Statistic,Month,NACE.Group,value
Retail Sales Index Volume Adjusted,2021 January,Motor trades (45),83.5
Retail Sales Index Volume Adjusted,2021 January,"Retail sale in non-specialised stores with food, beverages or tobacco predominating (4711)",102.3
Retail Sales Index Volume Adjusted,2021 January,Department stores (4719),65.1
Retail Sales Index Volume Adjusted,2021 January,Retail sale of automotive fuel (4730),77.7
Retail Sales Index Volume Adjusted,2021 January,"Retail sale of hardware, paints and glass (4752)",89.8
Retail Sales Index Volume Adjusted,2021 January,Retail sale of furniture and lighting (4759),62.0
Retail Sales Index Volume Adjusted,2021 January,Bars (5630),39.7
Retail Sales Index Volume Adjusted,2021 January,All retail businesses,80.0
Retail Sales Index Volume Adjusted,2021 January,"Motor trades and automotive fuel (45,4730)",82.4
Retail Sales Index Volume Adjusted,2021 January,"All retail businesses, excluding motor trades and bars",82.1
Retail Sales Index Volume Adjusted,2021 January,"All retail businesses, excluding motor trades",81.8
Retail Sales Index Volume Adjusted,2021 January,"All retail businesses, excluding motor trades, automotive fuel and bars",82.1
Retail Sales Index Volume Adjusted,2021 January,"Retail sale of food (4711,4721 to 4729)",105.3
Retail Sales Index Volume Adjusted,2021 January,"Retail sale of non food products, excluding motor trades, automotive fuel and bars",68.4
Retail Sales Index Volume Adjusted,2021 January,"Retail sale of food, beverages and tobacco in specialised stores (4721 to 4729)",111.0
Retail Sales Index Volume Adjusted,2021 January,"Retail sale of household equipment (4741 to 4743,4752,4754,4759)",83.3
Retail Sales Index Volume Adjusted,2021 January,"Retail sale of electrical goods (4741 to 4743,4754)",98.2
Retail Sales Index Volume Adjusted,2021 January,"Retail sale of textiles, clothing and footwear (4751,4771,4772)",26.0
Retail Sales Index Volume Adjusted,2021 January,"Retail sale of books, newspapers, stationery and other goods (4753,4761 to 4765,4776 to 4778)",65.2
Retail Sales Index Volume Adjusted,2021 January,"Other retail sales (4753,4763 to 4765,4776 to 4778)",65.1
Retail Sales Index Volume Adjusted,2021 January,"Retail sale of books, newspapers and stationery (4761,4762)",58.3
Retail Sales Index Volume Adjusted,2021 January,"Retail sale of pharmaceutical, medical and cosmetic articles (4773 to 4775)",82.1
Retail Sales Index Volume Adjusted,2021 February,Motor trades (45),102.4
Retail Sales Index Volume Adjusted,2021 February,"Retail sale in non-specialised stores with food, beverages or tobacco predominating (4711)",101.3
Retail Sales Index Volume Adjusted,2021 February,Department stores (4719),83.0
Retail Sales Index Volume Adjusted,2021 February,Retail sale of automotive fuel (4730),81.5
Retail Sales Index Volume Adjusted,2021 February,"Retail sale of hardware, paints and glass (4752)",101.2
Retail Sales Index Volume Adjusted,2021 February,Retail sale of furniture and lighting (4759),75.6
Retail Sales Index Volume Adjusted,2021 February,Bars (5630),25.8
Retail Sales Index Volume Adjusted,2021 February,All retail businesses,89.8
Retail Sales Index Volume Adjusted,2021 February,"Motor trades and automotive fuel (45,4730)",99.7
Retail Sales Index Volume Adjusted,2021 February,"All retail businesses, excluding motor trades and bars",88.1
Retail Sales Index Volume Adjusted,2021 February,"All retail businesses, excluding motor trades",83.5
Retail Sales Index Volume Adjusted,2021 February,"All retail businesses, excluding motor trades, automotive fuel and bars",88.4
Retail Sales Index Volume Adjusted,2021 February,"Retail sale of food (4711,4721 to 4729)",100.7
Retail Sales Index Volume Adjusted,2021 February,"Retail sale of non food products, excluding motor trades, automotive fuel and bars",79.9
Retail Sales Index Volume Adjusted,2021 February,"Retail sale of food, beverages and tobacco in specialised stores (4721 to 4729)",99.2
Retail Sales Index Volume Adjusted,2021 February,"Retail sale of household equipment (4741 to 4743,4752,4754,4759)",102.9
Retail Sales Index Volume Adjusted,2021 February,"Retail sale of electrical goods (4741 to 4743,4754)",117.9
Retail Sales Index Volume Adjusted,2021 February,"Retail sale of textiles, clothing and footwear (4751,4771,4772)",27.6
Retail Sales Index Volume Adjusted,2021 February,"Retail sale of books, newspapers, stationery and other goods (4753,4761 to 4765,4776 to 4778)",76.2
Retail Sales Index Volume Adjusted,2021 February,"Other retail sales (4753,4763 to 4765,4776 to 4778)",75.8
Retail Sales Index Volume Adjusted,2021 February,"Retail sale of books, newspapers and stationery (4761,4762)",65.2
Retail Sales Index Volume Adjusted,2021 February,"Retail sale of pharmaceutical, medical and cosmetic articles (4773 to 4775)",90.3
Retail Sales Index Volume Adjusted,2021 March,Motor trades (45),99.5
Retail Sales Index Volume Adjusted,2021 March,"Retail sale in non-specialised stores with food, beverages or tobacco predominating (4711)",102.4
Retail Sales Index Volume Adjusted,2021 March,Department stores (4719),77.3
Retail Sales Index Volume Adjusted,2021 March,Retail sale of automotive fuel (4730),90.5
Retail Sales Index Volume Adjusted,2021 March,"Retail sale of hardware, paints and glass (4752)",125.7
Retail Sales Index Volume Adjusted,2021 March,Retail sale of furniture and lighting (4759),82.4
Retail Sales Index Volume Adjusted,2021 March,Bars (5630),26.3
Retail Sales Index Volume Adjusted,2021 March,All retail businesses,90.1
Retail Sales Index Volume Adjusted,2021 March,"Motor trades and automotive fuel (45,4730)",98.1
Retail Sales Index Volume Adjusted,2021 March,"All retail businesses, excluding motor trades and bars",89.5
Retail Sales Index Volume Adjusted,2021 March,"All retail businesses, excluding motor trades",84.9
Retail Sales Index Volume Adjusted,2021 March,"All retail businesses, excluding motor trades, automotive fuel and bars",89.5
Retail Sales Index Volume Adjusted,2021 March,"Retail sale of food (4711,4721 to 4729)",103.1
Retail Sales Index Volume Adjusted,2021 March,"Retail sale of non food products, excluding motor trades, automotive fuel and bars",80.7
Retail Sales Index Volume Adjusted,2021 March,"Retail sale of food, beverages and tobacco in specialised stores (4721 to 4729)",102.8
Retail Sales Index Volume Adjusted,2021 March,"Retail sale of household equipment (4741 to 4743,4752,4754,4759)",109.4
Retail Sales Index Volume Adjusted,2021 March,"Retail sale of electrical goods (4741 to 4743,4754)",110.9
Retail Sales Index Volume Adjusted,2021 March,"Retail sale of textiles, clothing and footwear (4751,4771,4772)",28.1
Retail Sales Index Volume Adjusted,2021 March,"Retail sale of books, newspapers, stationery and other goods (4753,4761 to 4765,4776 to 4778)",81.5
Retail Sales Index Volume Adjusted,2021 March,"Other retail sales (4753,4763 to 4765,4776 to 4778)",80.5
Retail Sales Index Volume Adjusted,2021 March,"Retail sale of books, newspapers and stationery (4761,4762)",75.7
Retail Sales Index Volume Adjusted,2021 March,"Retail sale of pharmaceutical, medical and cosmetic articles (4773 to 4775)",88.8
Retail Sales Index Volume Adjusted,2021 April,Motor trades (45),97.4
Retail Sales Index Volume Adjusted,2021 April,"Retail sale in non-specialised stores with food, beverages or tobacco predominating (4711)",104.8
Retail Sales Index Volume Adjusted,2021 April,Department stores (4719),55.8
Retail Sales Index Volume Adjusted,2021 April,Retail sale of automotive fuel (4730),92.9
Retail Sales Index Volume Adjusted,2021 April,"Retail sale of hardware, paints and glass (4752)",121.0
Retail Sales Index Volume Adjusted,2021 April,Retail sale of furniture and lighting (4759),89.5
Retail Sales Index Volume Adjusted,2021 April,Bars (5630),34.7
Retail Sales Index Volume Adjusted,2021 April,All retail businesses,90.4
Retail Sales Index Volume Adjusted,2021 April,"Motor trades and automotive fuel (45,4730)",96.3
Retail Sales Index Volume Adjusted,2021 April,"All retail businesses, excluding motor trades and bars",88.6
Retail Sales Index Volume Adjusted,2021 April,"All retail businesses, excluding motor trades",85.5
