Statistic,Month,Industry.Sector.NACE.Rev.2,value
Industrial Production Index,2015 March,"Computer, electronic and optical products (26)",
Industrial Production Index,2015 March,Electrical equipment (27),64.1
Industrial Production Index,2015 March,Machinery and equipment n.e.c. (28),
Industrial Production Index,2015 March,"Electricity, gas, steam and air conditioning supply (35)",127.0
Industrial Production Index,2015 March,"Energy producing industries (05,06,19,35)",
Industrial Production Index,2015 March,Mining and quarrying (05 to 09),
Industrial Production Index,2015 March,Transportable goods industries (05 to 33),61.4
Industrial Production Index,2015 March,Industries (05 to 35),62.1
Industrial Production Index,2015 March,"Traditional sector (05 to 17,181,19,22 to 25,28 to 31,321 to 324,329,33,35)",82.8
Industrial Production Index,2015 March,"Food products and beverages (10,11)",
Industrial Production Index,2015 March,Manufacturing industries (10 to 33),61.5
Industrial Production Index,2015 March,"Tobacco: leather; petroleum; transport equipment; furniture; repair of machinery (12, 15, 19, 29 to 31,33)",101.7
Industrial Production Index,2015 March,"Textiles, wearing apparel and leather products (13 to 15)",96.2
Industrial Production Index,2015 March,"Paper and paper products, printing and reproduction of recorded media (17,18)",138.3
Industrial Production Index,2015 March,"Chemicals and pharmaceuticals (20,21)",
Industrial Production Index,2015 March,"Basic metals and fabricated metal products (24,25)",86.5
Industrial Production Index,2015 March,"Computer, electronic, optical and electrical equipment (26,27)",
Industrial Production Index,2015 March,"Transport equipment (29,30)",130.8
Industrial Production Index,2015 March,"Other manufacturing, repair and installation of machinery and equipment (32,33)",
Industrial Production Index,2015 March,"Other foods (102 to 104,108)",77.9
Industrial Production Index,2015 March,"Grain mill and starch products; prepared animal feeds (106,109)",80.0
Industrial Production Index,2015 March,"Modern sector (182,20,21,26,27,325)",58.6
Industrial Production Index,2015 March,Capital goods,
Industrial Production Index,2015 March,Intermediate goods,
Industrial Production Index,2015 March,Consumer goods,
Industrial Production Index,2015 March,Durable consumer goods,
Industrial Production Index,2015 March,Non-durable consumer goods,
Industrial Production Index,2015 April,Food products (10),89.3
Industrial Production Index,2015 April,Meat and meat products (101),77.5
Industrial Production Index,2015 April,Dairy products (105),104.2
Industrial Production Index,2015 April,Bakery and farinaceous products (107),100.3
Industrial Production Index,2015 April,Beverages (11),
Industrial Production Index,2015 April,"Wood and wood products, except furniture (16)",63.2
Industrial Production Index,2015 April,Chemicals and chemical products (20),
Industrial Production Index,2015 April,Basic pharmaceutical products and preparations (21),
Industrial Production Index,2015 April,Rubber and plastic products (22),64.1
Industrial Production Index,2015 April,Other non-metallic mineral products (23),73.8
Industrial Production Index,2015 April,"Computer, electronic and optical products (26)",
Industrial Production Index,2015 April,Electrical equipment (27),63.1
Industrial Production Index,2015 April,Machinery and equipment n.e.c. (28),
Industrial Production Index,2015 April,"Electricity, gas, steam and air conditioning supply (35)",115.2
Industrial Production Index,2015 April,"Energy producing industries (05,06,19,35)",
Industrial Production Index,2015 April,Mining and quarrying (05 to 09),
Industrial Production Index,2015 April,Transportable goods industries (05 to 33),53.9
Industrial Production Index,2015 April,Industries (05 to 35),54.7
Industrial Production Index,2015 April,"Traditional sector (05 to 17,181,19,22 to 25,28 to 31,321 to 324,329,33,35)",84.8
Industrial Production Index,2015 April,"Food products and beverages (10,11)",
Industrial Production Index,2015 April,Manufacturing industries (10 to 33),54.1
Industrial Production Index,2015 April,"Tobacco: leather; petroleum; transport equipment; furniture; repair of machinery (12, 15, 19, 29 to 31,33)",98.0
Industrial Production Index,2015 April,"Textiles, wearing apparel and leather products (13 to 15)",86.3
Industrial Production Index,2015 April,"Paper and paper products, printing and reproduction of recorded media (17,18)",130.2
Industrial Production Index,2015 April,"Chemicals and pharmaceuticals (20,21)",
Industrial Production Index,2015 April,"Basic metals and fabricated metal products (24,25)",78.3
Industrial Production Index,2015 April,"Computer, electronic, optical and electrical equipment (26,27)",
Industrial Production Index,2015 April,"Transport equipment (29,30)",119.2
Industrial Production Index,2015 April,"Other manufacturing, repair and installation of machinery and equipment (32,33)",
Industrial Production Index,2015 April,"Other foods (102 to 104,108)",89.4
Industrial Production Index,2015 April,"Grain mill and starch products; prepared animal feeds (106,109)",81.0
Industrial Production Index,2015 April,"Modern sector (182,20,21,26,27,325)",49.5
Industrial Production Index,2015 April,Capital goods,
Industrial Production Index,2015 April,Intermediate goods,
Industrial Production Index,2015 April,Consumer goods,
Industrial Production Index,2015 April,Durable consumer goods,
Industrial Production Index,2015 April,Non-durable consumer goods,
Industrial Production Index,2015 May,Food products (10),92.6
Industrial Production Index,2015 May,Meat and meat products (101),82.4
Industrial Production Index,2015 May,Dairy products (105),118.1
Industrial Production Index,2015 May,Bakery and farinaceous products (107),99.0
Industrial Production Index,2015 May,Beverages (11),
Industrial Production Index,2015 May,"Wood and wood products, except furniture (16)",57.6
Industrial Production Index,2015 May,Chemicals and chemical products (20),
Industrial Production Index,2015 May,Basic pharmaceutical products and preparations (21),
Industrial Production Index,2015 May,Rubber and plastic products (22),66.3
Industrial Production Index,2015 May,Other non-metallic mineral products (23),72.2
Industrial Production Index,2015 May,"Computer, electronic and optical products (26)",
Industrial Production Index,2015 May,Electrical equipment (27),68.2
Industrial Production Index,2015 May,Machinery and equipment n.e.c. (28),
Industrial Production Index,2015 May,"Electricity, gas, steam and air conditioning supply (35)",126.4
Industrial Production Index,2015 May,"Energy producing industries (05,06,19,35)",
Industrial Production Index,2015 May,Mining and quarrying (05 to 09),
Industrial Production Index,2015 May,Transportable goods industries (05 to 33),53.2
Industrial Production Index,2015 May,Industries (05 to 35),54.2
Industrial Production Index,2015 May,"Traditional sector (05 to 17,181,19,22 to 25,28 to 31,321 to 324,329,33,35)",88.4
Industrial Production Index,2015 May,"Food products and beverages (10,11)",
Industrial Production Index,2015 May,Manufacturing industries (10 to 33),53.4
Industrial Production Index,2015 May,"Tobacco: leather; petroleum; transport equipment; furniture; repair of machinery (12, 15, 19, 29 to 31,33)",106.9
Industrial Production Index,2015 May,"Textiles, wearing apparel and leather products (13 to 15)",84.3
Industrial Production Index,2015 May,"Paper and paper products, printing and reproduction of recorded media (17,18)",126.0
Industrial Production Index,2015 May,"Chemicals and pharmaceuticals (20,21)",
Industrial Production Index,2015 May,"Basic metals and fabricated metal products (24,25)",82.4
Industrial Production Index,2015 May,"Computer, electronic, optical and electrical equipment (26,27)",
Industrial Production Index,2015 May,"Transport equipment (29,30)",111.6
Industrial Production Index,2015 May,"Other manufacturing, repair and installation of machinery and equipment (32,33)",
Industrial Production Index,2015 May,"Other foods (102 to 104,108)",92.1
Industrial Production Index,2015 May,"Grain mill and starch products; prepared animal feeds (106,109)",73.3
Industrial Production Index,2015 May,"Modern sector (182,20,21,26,27,325)",48.3
Industrial Production Index,2015 May,Capital goods,
Industrial Production Index,2015 May,Intermediate goods,
Industrial Production Index,2015 May,Consumer goods,
Industrial Production Index,2015 May,Durable consumer goods,
Industrial Production Index,2015 May,Non-durable consumer goods,
Industrial Production Index,2015 June,Food products (10),93.0
Industrial Production Index,2015 June,Meat and meat products (101),78.7
Industrial Production Index,2015 June,Dairy products (105),106.1
Industrial Production Index,2015 June,Bakery and farinaceous products (107),89.0
Industrial Production Index,2015 June,Beverages (11),
Industrial Production Index,2015 June,"Wood and wood products, except furniture (16)",62.9
Industrial Production Index,2015 June,Chemicals and chemical products (20),
Industrial Production Index,2015 June,Basic pharmaceutical products and preparations (21),
Industrial Production Index,2015 June,Rubber and plastic products (22),69.0
Industrial Production Index,2015 June,Other non-metallic mineral products (23),82.6
Industrial Production Index,2015 June,"Computer, electronic and optical products (26)",
Industrial Production Index,2015 June,Electrical equipment (27),68.6
Industrial Production Index,2015 June,Machinery and equipment n.e.c. (28),
Industrial Production Index,2015 June,"Electricity, gas, steam and air conditioning supply (35)",117.5
Industrial Production Index,2015 June,"Energy producing industries (05,06,19,35)",
Industrial Production Index,2015 June,Mining and quarrying (05 to 09),
Industrial Production Index,2015 June,Transportable goods industries (05 to 33),58.9
Industrial Production Index,2015 June,Industries (05 to 35),59.5
Industrial Production Index,2015 June,"Traditional sector (05 to 17,181,19,22 to 25,28 to 31,321 to 324,329,33,35)",89.3
Industrial Production Index,2015 June,"Food products and beverages (10,11)",
Industrial Production Index,2015 June,Manufacturing industries (10 to 33),58.9
Industrial Production Index,2015 June,"Tobacco: leather; petroleum; transport equipment; furniture; repair of machinery (12, 15, 19, 29 to 31,33)",103.3
Industrial Production Index,2015 June,"Textiles, wearing apparel and leather products (13 to 15)",96.3
Industrial Production Index,2015 June,"Paper and paper products, printing and reproduction of recorded media (17,18)",108.8
Industrial Production Index,2015 June,"Chemicals and pharmaceuticals (20,21)",
Industrial Production Index,2015 June,"Basic metals and fabricated metal products (24,25)",85.6
Industrial Production Index,2015 June,"Computer, electronic, optical and electrical equipment (26,27)",
Industrial Production Index,2015 June,"Transport equipment (29,30)",120.7
Industrial Production Index,2015 June,"Other manufacturing, repair and installation of machinery and equipment (32,33)",
Industrial Production Index,2015 June,"Other foods (102 to 104,108)",94.9
Industrial Production Index,2015 June,"Grain mill and starch products; prepared animal feeds (106,109)",65.8
Industrial Production Index,2015 June,"Modern sector (182,20,21,26,27,325)",54.4
Industrial Production Index,2015 June,Capital goods,
Industrial Production Index,2015 June,Intermediate goods,
Industrial Production Index,2015 June,Consumer goods,
Industrial Production Index,2015 June,Durable consumer goods,
Industrial Production Index,2015 June,Non-durable consumer goods,
Industrial Production Index,2015 July,Food products (10),92.0
Industrial Production Index,2015 July,Meat and meat products (101),83.9
Industrial Production Index,2015 July,Dairy products (105),111.2
Industrial Production Index,2015 July,Bakery and farinaceous products (107),94.4
Industrial Production Index,2015 July,Beverages (11),
Industrial Production Index,2015 July,"Wood and wood products, except furniture (16)",66.8
Industrial Production Index,2015 July,Chemicals and chemical products (20),
Industrial Production Index,2015 July,Basic pharmaceutical products and preparations (21),
Industrial Production Index,2015 July,Rubber and plastic products (22),70.3
Industrial Production Index,2015 July,Other non-metallic mineral products (23),75.8
Industrial Production Index,2015 July,"Computer, electronic and optical products (26)",
Industrial Production Index,2015 July,Electrical equipment (27),58.1
Industrial Production Index,2015 July,Machinery and equipment n.e.c. (28),
Industrial Production Index,2015 July,"Electricity, gas, steam and air conditioning supply (35)",122.7
Industrial Production Index,2015 July,"Energy producing industries (05,06,19,35)",
Industrial Production Index,2015 July,Mining and quarrying (05 to 09),
Industrial Production Index,2015 July,Transportable goods industries (05 to 33),57.1
Industrial Production Index,2015 July,Industries (05 to 35),57.9
Industrial Production Index,2015 July,"Traditional sector (05 to 17,181,19,22 to 25,28 to 31,321 to 324,329,33,35)",90.5
Industrial Production Index,2015 July,"Food products and beverages (10,11)",
Industrial Production Index,2015 July,Manufacturing industries (10 to 33),57.2
Industrial Production Index,2015 July,"Tobacco: leather; petroleum; transport equipment; furniture; repair of machinery (12, 15, 19, 29 to 31,33)",98.3
Industrial Production Index,2015 July,"Textiles, wearing apparel and leather products (13 to 15)",104.8
Industrial Production Index,2015 July,"Paper and paper products, printing and reproduction of recorded media (17,18)",116.8
Industrial Production Index,2015 July,"Chemicals and pharmaceuticals (20,21)",
Industrial Production Index,2015 July,"Basic metals and fabricated metal products (24,25)",90.5
Industrial Production Index,2015 July,"Computer, electronic, optical and electrical equipment (26,27)",
Industrial Production Index,2015 July,"Transport equipment (29,30)",110.3
Industrial Production Index,2015 July,"Other manufacturing, repair and installation of machinery and equipment (32,33)",
Industrial Production Index,2015 July,"Other foods (102 to 104,108)",92.2
Industrial Production Index,2015 July,"Grain mill and starch products; prepared animal feeds (106,109)",67.2
Industrial Production Index,2015 July,"Modern sector (182,20,21,26,27,325)",52.3
Industrial Production Index,2015 July,Capital goods,
Industrial Production Index,2015 July,Intermediate goods,
Industrial Production Index,2015 July,Consumer goods,
Industrial Production Index,2015 July,Durable consumer goods,
Industrial Production Index,2015 July,Non-durable consumer goods,
Industrial Production Index,2015 August,Food products (10),87.0
Industrial Production Index,2015 August,Meat and meat products (101),85.6
Industrial Production Index,2015 August,Dairy products (105),110.2
Industrial Production Index,2015 August,Bakery and farinaceous products (107),96.7
Industrial Production Index,2015 August,Beverages (11),
Industrial Production Index,2015 August,"Wood and wood products, except furniture (16)",64.3
Industrial Production Index,2015 August,Chemicals and chemical products (20),
Industrial Production Index,2015 August,Basic pharmaceutical products and preparations (21),
Industrial Production Index,2015 August,Rubber and plastic products (22),61.1
Industrial Production Index,2015 August,Other non-metallic mineral products (23),70.4
Industrial Production Index,2015 August,"Computer, electronic and optical products (26)",
Industrial Production Index,2015 August,Electrical equipment (27),57.6
Industrial Production Index,2015 August,Machinery and equipment n.e.c. (28),
Industrial Production Index,2015 August,"Electricity, gas, steam and air conditioning supply (35)",123.0
Industrial Production Index,2015 August,"Energy producing industries (05,06,19,35)",
Industrial Production Index,2015 August,Mining and quarrying (05 to 09),
Industrial Production Index,2015 August,Transportable goods industries (05 to 33),54.8
Industrial Production Index,2015 August,Industries (05 to 35),55.7
Industrial Production Index,2015 August,"Traditional sector (05 to 17,181,19,22 to 25,28 to 31,321 to 324,329,33,35)",85.3
Industrial Production Index,2015 August,"Food products and beverages (10,11)",
Industrial Production Index,2015 August,Manufacturing industries (10 to 33),54.9
Industrial Production Index,2015 August,"Tobacco: leather; petroleum; transport equipment; furniture; repair of machinery (12, 15, 19, 29 to 31,33)",96.1
Industrial Production Index,2015 August,"Textiles, wearing apparel and leather products (13 to 15)",83.9
Industrial Production Index,2015 August,"Paper and paper products, printing and reproduction of recorded media (17,18)",137.3
Industrial Production Index,2015 August,"Chemicals and pharmaceuticals (20,21)",
Industrial Production Index,2015 August,"Basic metals and fabricated metal products (24,25)",74.0
Industrial Production Index,2015 August,"Computer, electronic, optical and electrical equipment (26,27)",
Industrial Production Index,2015 August,"Transport equipment (29,30)",100.3
Industrial Production Index,2015 August,"Other manufacturing, repair and installation of machinery and equipment (32,33)",
Industrial Production Index,2015 August,"Other foods (102 to 104,108)",85.5
Industrial Production Index,2015 August,"Grain mill and starch products; prepared animal feeds (106,109)",66.2
Industrial Production Index,2015 August,"Modern sector (182,20,21,26,27,325)",50.6
Industrial Production Index,2015 August,Capital goods,
Industrial Production Index,2015 August,Intermediate goods,
Industrial Production Index,2015 August,Consumer goods,
Industrial Production Index,2015 August,Durable consumer goods,
Industrial Production Index,2015 August,Non-durable consumer goods,
Industrial Production Index,2015 September,Food products (10),89.4
Industrial Production Index,2015 September,Meat and meat products (101),85.0
Industrial Production Index,2015 September,Dairy products (105),101.0
Industrial Production Index,2015 September,Bakery and farinaceous products (107),99.0
Industrial Production Index,2015 September,Beverages (11),
Industrial Production Index,2015 September,"Wood and wood products, except furniture (16)",60.6
Industrial Production Index,2015 September,Chemicals and chemical products (20),
Industrial Production Index,2015 September,Basic pharmaceutical products and preparations (21),
Industrial Production Index,2015 September,Rubber and plastic products (22),72.2
Industrial Production Index,2015 September,Other non-metallic mineral products (23),82.2
Industrial Production Index,2015 September,"Computer, electronic and optical products (26)",
Industrial Production Index,2015 September,Electrical equipment (27),65.3
Industrial Production Index,2015 September,Machinery and equipment n.e.c. (28),
Industrial Production Index,2015 September,"Electricity, gas, steam and air conditioning supply (35)",124.0
Industrial Production Index,2015 September,"Energy producing industries (05,06,19,35)",
Industrial Production Index,2015 September,Mining and quarrying (05 to 09),
Industrial Production Index,2015 September,Transportable goods industries (05 to 33),62.7
Industrial Production Index,2015 September,Industries (05 to 35),63.4
Industrial Production Index,2015 September,"Traditional sector (05 to 17,181,19,22 to 25,28 to 31,321 to 324,329,33,35)",90.8
Industrial Production Index,2015 September,"Food products and beverages (10,11)",
Industrial Production Index,2015 September,Manufacturing industries (10 to 33),62.9
Industrial Production Index,2015 September,"Tobacco: leather; petroleum; transport equipment; furniture; repair of machinery (12, 15, 19, 29 to 31,33)",110.0
Industrial Production Index,2015 September,"Textiles, wearing apparel and leather products (13 to 15)",96.9
Industrial Production Index,2015 September,"Paper and paper products, printing and reproduction of recorded media (17,18)",144.9
Industrial Production Index,2015 September,"Chemicals and pharmaceuticals (20,21)",
Industrial Production Index,2015 September,"Basic metals and fabricated metal products (24,25)",84.2
Industrial Production Index,2015 September,"Computer, electronic, optical and electrical equipment (26,27)",
Industrial Production Index,2015 September,"Transport equipment (29,30)",114.0
Industrial Production Index,2015 September,"Other manufacturing, repair and installation of machinery and equipment (32,33)",
Industrial Production Index,2015 September,"Other foods (102 to 104,108)",89.4
Industrial Production Index,2015 September,"Grain mill and starch products; prepared animal feeds (106,109)",68.8
Industrial Production Index,2015 September,"Modern sector (182,20,21,26,27,325)",58.7
Industrial Production Index,2015 September,Capital goods,
Industrial Production Index,2015 September,Intermediate goods,
Industrial Production Index,2015 September,Consumer goods,
Industrial Production Index,2015 September,Durable consumer goods,
Industrial Production Index,2015 September,Non-durable consumer goods,
Industrial Production Index,2015 October,Food products (10),72.2
