,Statistic,Quarter,Eircode.Output,value
1060,New Dwelling Completion,2013Q4,K78: Lucan,18
1061,New Dwelling Completion,2013Q4,N37: Athlone,15
1062,New Dwelling Completion,2013Q4,N39: Longford,12
1063,New Dwelling Completion,2013Q4,N41: Carrick-on-Shannon,9
1064,New Dwelling Completion,2013Q4,N91: Mullingar,8
1065,New Dwelling Completion,2013Q4,P12: Macroom,5
1066,New Dwelling Completion,2013Q4,P14: Crookstown,1
1067,New Dwelling Completion,2013Q4,P17: Kinsale,8
1068,New Dwelling Completion,2013Q4,P24: Cobh,2
1069,New Dwelling Completion,2013Q4,P25: Midleton,8
1070,New Dwelling Completion,2013Q4,P31: Ballincollig,6
1071,New Dwelling Completion,2013Q4,P32: Rylane,2
1072,New Dwelling Completion,2013Q4,P36: Youghal,2
1073,New Dwelling Completion,2013Q4,P43: Carrigaline,18
1074,New Dwelling Completion,2013Q4,P47: Dunmanway,7
1075,New Dwelling Completion,2013Q4,P51: Mallow,17
1076,New Dwelling Completion,2013Q4,P56: Charleville,4
1077,New Dwelling Completion,2013Q4,P61: Fermoy,5
1078,New Dwelling Completion,2013Q4,P67: Mitchelstown,1
1079,New Dwelling Completion,2013Q4,P72: Bandon,3
1080,New Dwelling Completion,2013Q4,P75: Bantry,2
1081,New Dwelling Completion,2013Q4,P81: Skibbereen,9
1082,New Dwelling Completion,2013Q4,P85: Clonakilty,3
1083,New Dwelling Completion,2013Q4,R14: Athy,4
1084,New Dwelling Completion,2013Q4,R21: Mhuine Bheag,2
1085,New Dwelling Completion,2013Q4,R32: Portlaoise,27
1086,New Dwelling Completion,2013Q4,R35: Tullamore,13
1087,New Dwelling Completion,2013Q4,R42: Birr,7
1088,New Dwelling Completion,2013Q4,R45: Edenderry,2
1089,New Dwelling Completion,2013Q4,R51: Kildare,5
1090,New Dwelling Completion,2013Q4,R56: Curragh,4
1091,New Dwelling Completion,2013Q4,R93: Carlow,6
1092,New Dwelling Completion,2013Q4,R95: Kilkenny,21
1093,New Dwelling Completion,2013Q4,T12: Cork Southside,22
1094,New Dwelling Completion,2013Q4,T23: Cork Northside,47
1095,New Dwelling Completion,2013Q4,T34: Carrignavar,2
1096,New Dwelling Completion,2013Q4,T45: Glanmire,3
1097,New Dwelling Completion,2013Q4,T56: Watergrasshill,4
1098,New Dwelling Completion,2013Q4,V14: Shannon,1
1099,New Dwelling Completion,2013Q4,V15: Kilrush,10
1100,New Dwelling Completion,2013Q4,V23: Caherciveen,3
1101,New Dwelling Completion,2013Q4,V31: Listowel,6
1102,New Dwelling Completion,2013Q4,V35: Kilmallock,11
1103,New Dwelling Completion,2013Q4,V42: Newcastle West,4
1104,New Dwelling Completion,2013Q4,V92: Tralee,26
1105,New Dwelling Completion,2013Q4,V93: Killarney,23
1106,New Dwelling Completion,2013Q4,V94: Limerick,105
1107,New Dwelling Completion,2013Q4,V95: Ennis,19
1108,New Dwelling Completion,2013Q4,W12: Newbridge,9
1109,New Dwelling Completion,2013Q4,W23: Celbridge,19
1110,New Dwelling Completion,2013Q4,W34: Monasterevin,5
1111,New Dwelling Completion,2013Q4,W91: Naas,24
1112,New Dwelling Completion,2013Q4,X35: Dungarvan,5
1113,New Dwelling Completion,2013Q4,X42: Kilmacthomas,3
1114,New Dwelling Completion,2013Q4,X91: Waterford,17
1115,New Dwelling Completion,2013Q4,Y14: Arklow,6
1116,New Dwelling Completion,2013Q4,Y21: Enniscorthy,19
1117,New Dwelling Completion,2013Q4,Y25: Gorey,15
1118,New Dwelling Completion,2013Q4,Y34: New Ross,5
1119,New Dwelling Completion,2013Q4,Y35: Wexford,22
1120,New Dwelling Completion,2014Q1,All,1094
1121,New Dwelling Completion,2014Q1,A41: Ballyboughal,1
1122,New Dwelling Completion,2014Q1,A42: Garristown,0
1123,New Dwelling Completion,2014Q1,A45: Oldtown,1
1124,New Dwelling Completion,2014Q1,A63: Greystones,8
1125,New Dwelling Completion,2014Q1,A67: Wicklow,4
1126,New Dwelling Completion,2014Q1,A75: Castleblaney,7
1127,New Dwelling Completion,2014Q1,A81: Carrickmacross,3
1128,New Dwelling Completion,2014Q1,A82: Kells,10
1129,New Dwelling Completion,2014Q1,A83: Enfield,4
1130,New Dwelling Completion,2014Q1,A84: Ashbourne,9
1131,New Dwelling Completion,2014Q1,A85: Dunshaughlin,5
1132,New Dwelling Completion,2014Q1,A86: Dunboyne,1
1133,New Dwelling Completion,2014Q1,A91: Dundalk,15
1134,New Dwelling Completion,2014Q1,A92: Drogheda,14
1135,New Dwelling Completion,2014Q1,A94: Blackrock,102
1136,New Dwelling Completion,2014Q1,A96: Glenageary,10
1137,New Dwelling Completion,2014Q1,A98: Bray,7
1138,New Dwelling Completion,2014Q1,C15: Navan,10
1139,New Dwelling Completion,2014Q1,D01: Dublin 1,2
1140,New Dwelling Completion,2014Q1,D02: Dublin 2,0
1141,New Dwelling Completion,2014Q1,D03: Dublin 3,0
1142,New Dwelling Completion,2014Q1,D04: Dublin 4,9
1143,New Dwelling Completion,2014Q1,D05: Dublin 5,5
1144,New Dwelling Completion,2014Q1,D06: Dublin 6,2
1145,New Dwelling Completion,2014Q1,D07: Dublin 7,3
1146,New Dwelling Completion,2014Q1,D08: Dublin 8,11
1147,New Dwelling Completion,2014Q1,D09: Dublin 9,0
1148,New Dwelling Completion,2014Q1,D10: Dublin 10,2
1149,New Dwelling Completion,2014Q1,D11: Dublin 11,2
1150,New Dwelling Completion,2014Q1,D12: Dublin 12,3
1151,New Dwelling Completion,2014Q1,D13: Dublin 13,15
1152,New Dwelling Completion,2014Q1,D14: Dublin 14,0
1153,New Dwelling Completion,2014Q1,D15: Dublin 15,18
1154,New Dwelling Completion,2014Q1,D16: Dublin 16,3
1155,New Dwelling Completion,2014Q1,D17: Dublin 17,4
1156,New Dwelling Completion,2014Q1,D18: Dublin 18,31
1157,New Dwelling Completion,2014Q1,D20: Dublin 20,0
1158,New Dwelling Completion,2014Q1,D22: Dublin 22,1
1159,New Dwelling Completion,2014Q1,D24: Dublin 24,20
1160,New Dwelling Completion,2014Q1,D6W: Dublin 6W,0
1161,New Dwelling Completion,2014Q1,E21: Cahir,2
1162,New Dwelling Completion,2014Q1,E25: Cashel,1
1163,New Dwelling Completion,2014Q1,E32: Carrick-on-Suir,1
1164,New Dwelling Completion,2014Q1,E34: Tipperary,1
1165,New Dwelling Completion,2014Q1,E41: Thurles,3
1166,New Dwelling Completion,2014Q1,E45: Nenagh,9
1167,New Dwelling Completion,2014Q1,E53: Roscrea,2
1168,New Dwelling Completion,2014Q1,E91: Clonmel,5
1169,New Dwelling Completion,2014Q1,F12: Claremorris,11
1170,New Dwelling Completion,2014Q1,F23: Castlebar,2
1171,New Dwelling Completion,2014Q1,F26: Ballina,15
1172,New Dwelling Completion,2014Q1,F28: Westport,8
1173,New Dwelling Completion,2014Q1,F31: Ballinrobe,3
1174,New Dwelling Completion,2014Q1,F35: Ballyhaunis,0
1175,New Dwelling Completion,2014Q1,F42: Roscommon,6
1176,New Dwelling Completion,2014Q1,F45: Castlerea,6
1177,New Dwelling Completion,2014Q1,F52: Boyle,0
1178,New Dwelling Completion,2014Q1,F56: Ballymote,2
1179,New Dwelling Completion,2014Q1,F91: Sligo,5
1180,New Dwelling Completion,2014Q1,F92: Letterkenny,22
1181,New Dwelling Completion,2014Q1,F93: Lifford,19
1182,New Dwelling Completion,2014Q1,F94: Donegal,15
1183,New Dwelling Completion,2014Q1,H12: Cavan,10
1184,New Dwelling Completion,2014Q1,H14: Belturbet,2
1185,New Dwelling Completion,2014Q1,H16: Cootehill,4
1186,New Dwelling Completion,2014Q1,H18: Monaghan,3
1187,New Dwelling Completion,2014Q1,H23: Clones,0
1188,New Dwelling Completion,2014Q1,H53: Ballinasloe,10
1189,New Dwelling Completion,2014Q1,H54: Tuam,12
1190,New Dwelling Completion,2014Q1,H62: Loughrea,3
1191,New Dwelling Completion,2014Q1,H65: Athenry,1
1192,New Dwelling Completion,2014Q1,H71: Clifden,1
1193,New Dwelling Completion,2014Q1,H91: Galway,46
1194,New Dwelling Completion,2014Q1,K32: Balbriggan,8
1195,New Dwelling Completion,2014Q1,K34: Skerries,6
1196,New Dwelling Completion,2014Q1,K36: Malahide,8
1197,New Dwelling Completion,2014Q1,K45: Lusk,4
1198,New Dwelling Completion,2014Q1,K56: Rush,5
1199,New Dwelling Completion,2014Q1,K67: Swords,5
1200,New Dwelling Completion,2014Q1,K78: Lucan,25
1201,New Dwelling Completion,2014Q1,N37: Athlone,10
1202,New Dwelling Completion,2014Q1,N39: Longford,17
1203,New Dwelling Completion,2014Q1,N41: Carrick-on-Shannon,6
1204,New Dwelling Completion,2014Q1,N91: Mullingar,17
1205,New Dwelling Completion,2014Q1,P12: Macroom,8
1206,New Dwelling Completion,2014Q1,P14: Crookstown,1
1207,New Dwelling Completion,2014Q1,P17: Kinsale,5
1208,New Dwelling Completion,2014Q1,P24: Cobh,0
1209,New Dwelling Completion,2014Q1,P25: Midleton,7
1210,New Dwelling Completion,2014Q1,P31: Ballincollig,3
1211,New Dwelling Completion,2014Q1,P32: Rylane,3
1212,New Dwelling Completion,2014Q1,P36: Youghal,1
1213,New Dwelling Completion,2014Q1,P43: Carrigaline,8
1214,New Dwelling Completion,2014Q1,P47: Dunmanway,3
1215,New Dwelling Completion,2014Q1,P51: Mallow,17
1216,New Dwelling Completion,2014Q1,P56: Charleville,3
1217,New Dwelling Completion,2014Q1,P61: Fermoy,3
1218,New Dwelling Completion,2014Q1,P67: Mitchelstown,1
1219,New Dwelling Completion,2014Q1,P72: Bandon,3
1220,New Dwelling Completion,2014Q1,P75: Bantry,4
1221,New Dwelling Completion,2014Q1,P81: Skibbereen,7
1222,New Dwelling Completion,2014Q1,P85: Clonakilty,8
1223,New Dwelling Completion,2014Q1,R14: Athy,0
1224,New Dwelling Completion,2014Q1,R21: Mhuine Bheag,0
1225,New Dwelling Completion,2014Q1,R32: Portlaoise,23
1226,New Dwelling Completion,2014Q1,R35: Tullamore,8
1227,New Dwelling Completion,2014Q1,R42: Birr,6
1228,New Dwelling Completion,2014Q1,R45: Edenderry,2
1229,New Dwelling Completion,2014Q1,R51: Kildare,1
1230,New Dwelling Completion,2014Q1,R56: Curragh,1
1231,New Dwelling Completion,2014Q1,R93: Carlow,23
1232,New Dwelling Completion,2014Q1,R95: Kilkenny,20
1233,New Dwelling Completion,2014Q1,T12: Cork Southside,13
1234,New Dwelling Completion,2014Q1,T23: Cork Northside,5
1235,New Dwelling Completion,2014Q1,T34: Carrignavar,1
1236,New Dwelling Completion,2014Q1,T45: Glanmire,2
1237,New Dwelling Completion,2014Q1,T56: Watergrasshill,2
1238,New Dwelling Completion,2014Q1,V14: Shannon,0
1239,New Dwelling Completion,2014Q1,V15: Kilrush,2
1240,New Dwelling Completion,2014Q1,V23: Caherciveen,3
1241,New Dwelling Completion,2014Q1,V31: Listowel,2
1242,New Dwelling Completion,2014Q1,V35: Kilmallock,3
1243,New Dwelling Completion,2014Q1,V42: Newcastle West,6
1244,New Dwelling Completion,2014Q1,V92: Tralee,20
1245,New Dwelling Completion,2014Q1,V93: Killarney,12
1246,New Dwelling Completion,2014Q1,V94: Limerick,27
1247,New Dwelling Completion,2014Q1,V95: Ennis,28
1248,New Dwelling Completion,2014Q1,W12: Newbridge,6
1249,New Dwelling Completion,2014Q1,W23: Celbridge,27
1250,New Dwelling Completion,2014Q1,W34: Monasterevin,2
1251,New Dwelling Completion,2014Q1,W91: Naas,26
1252,New Dwelling Completion,2014Q1,X35: Dungarvan,1
1253,New Dwelling Completion,2014Q1,X42: Kilmacthomas,2
1254,New Dwelling Completion,2014Q1,X91: Waterford,12
1255,New Dwelling Completion,2014Q1,Y14: Arklow,3
1256,New Dwelling Completion,2014Q1,Y21: Enniscorthy,12
1257,New Dwelling Completion,2014Q1,Y25: Gorey,10
1258,New Dwelling Completion,2014Q1,Y34: New Ross,6
1259,New Dwelling Completion,2014Q1,Y35: Wexford,9
1260,New Dwelling Completion,2014Q2,All,1318
1261,New Dwelling Completion,2014Q2,A41: Ballyboughal,1
1262,New Dwelling Completion,2014Q2,A42: Garristown,1
1263,New Dwelling Completion,2014Q2,A45: Oldtown,0
1264,New Dwelling Completion,2014Q2,A63: Greystones,6
1265,New Dwelling Completion,2014Q2,A67: Wicklow,4
1266,New Dwelling Completion,2014Q2,A75: Castleblaney,2
1267,New Dwelling Completion,2014Q2,A81: Carrickmacross,7
1268,New Dwelling Completion,2014Q2,A82: Kells,17
1269,New Dwelling Completion,2014Q2,A83: Enfield,1
1270,New Dwelling Completion,2014Q2,A84: Ashbourne,8
1271,New Dwelling Completion,2014Q2,A85: Dunshaughlin,3
1272,New Dwelling Completion,2014Q2,A86: Dunboyne,2
1273,New Dwelling Completion,2014Q2,A91: Dundalk,18
1274,New Dwelling Completion,2014Q2,A92: Drogheda,19
1275,New Dwelling Completion,2014Q2,A94: Blackrock,4
1276,New Dwelling Completion,2014Q2,A96: Glenageary,38
1277,New Dwelling Completion,2014Q2,A98: Bray,8
1278,New Dwelling Completion,2014Q2,C15: Navan,23
1279,New Dwelling Completion,2014Q2,D01: Dublin 1,158
1280,New Dwelling Completion,2014Q2,D02: Dublin 2,1
1281,New Dwelling Completion,2014Q2,D03: Dublin 3,5
1282,New Dwelling Completion,2014Q2,D04: Dublin 4,4
1283,New Dwelling Completion,2014Q2,D05: Dublin 5,0
1284,New Dwelling Completion,2014Q2,D06: Dublin 6,10
1285,New Dwelling Completion,2014Q2,D07: Dublin 7,32
1286,New Dwelling Completion,2014Q2,D08: Dublin 8,8
1287,New Dwelling Completion,2014Q2,D09: Dublin 9,1
1288,New Dwelling Completion,2014Q2,D10: Dublin 10,0
1289,New Dwelling Completion,2014Q2,D11: Dublin 11,4
1290,New Dwelling Completion,2014Q2,D12: Dublin 12,0
1291,New Dwelling Completion,2014Q2,D13: Dublin 13,5
1292,New Dwelling Completion,2014Q2,D14: Dublin 14,5
1293,New Dwelling Completion,2014Q2,D15: Dublin 15,20
1294,New Dwelling Completion,2014Q2,D16: Dublin 16,10
1295,New Dwelling Completion,2014Q2,D17: Dublin 17,20
1296,New Dwelling Completion,2014Q2,D18: Dublin 18,16
1297,New Dwelling Completion,2014Q2,D20: Dublin 20,0
1298,New Dwelling Completion,2014Q2,D22: Dublin 22,2
1299,New Dwelling Completion,2014Q2,D24: Dublin 24,26
1300,New Dwelling Completion,2014Q2,D6W: Dublin 6W,4
1301,New Dwelling Completion,2014Q2,E21: Cahir,6
1302,New Dwelling Completion,2014Q2,E25: Cashel,0
1303,New Dwelling Completion,2014Q2,E32: Carrick-on-Suir,6
1304,New Dwelling Completion,2014Q2,E34: Tipperary,5
1305,New Dwelling Completion,2014Q2,E41: Thurles,6
1306,New Dwelling Completion,2014Q2,E45: Nenagh,3
1307,New Dwelling Completion,2014Q2,E53: Roscrea,2
1308,New Dwelling Completion,2014Q2,E91: Clonmel,9
1309,New Dwelling Completion,2014Q2,F12: Claremorris,11
1310,New Dwelling Completion,2014Q2,F23: Castlebar,4
1311,New Dwelling Completion,2014Q2,F26: Ballina,17
1312,New Dwelling Completion,2014Q2,F28: Westport,14
1313,New Dwelling Completion,2014Q2,F31: Ballinrobe,2
1314,New Dwelling Completion,2014Q2,F35: Ballyhaunis,3
1315,New Dwelling Completion,2014Q2,F42: Roscommon,3
1316,New Dwelling Completion,2014Q2,F45: Castlerea,3
1317,New Dwelling Completion,2014Q2,F52: Boyle,2
1318,New Dwelling Completion,2014Q2,F56: Ballymote,2
1319,New Dwelling Completion,2014Q2,F91: Sligo,18
1320,New Dwelling Completion,2014Q2,F92: Letterkenny,22
1321,New Dwelling Completion,2014Q2,F93: Lifford,22
1322,New Dwelling Completion,2014Q2,F94: Donegal,18
1323,New Dwelling Completion,2014Q2,H12: Cavan,5
1324,New Dwelling Completion,2014Q2,H14: Belturbet,1
1325,New Dwelling Completion,2014Q2,H16: Cootehill,1
1326,New Dwelling Completion,2014Q2,H18: Monaghan,7
1327,New Dwelling Completion,2014Q2,H23: Clones,0
1328,New Dwelling Completion,2014Q2,H53: Ballinasloe,15
1329,New Dwelling Completion,2014Q2,H54: Tuam,7
1330,New Dwelling Completion,2014Q2,H62: Loughrea,3
1331,New Dwelling Completion,2014Q2,H65: Athenry,5
1332,New Dwelling Completion,2014Q2,H71: Clifden,0
1333,New Dwelling Completion,2014Q2,H91: Galway,51
1334,New Dwelling Completion,2014Q2,K32: Balbriggan,6
1335,New Dwelling Completion,2014Q2,K34: Skerries,6
1336,New Dwelling Completion,2014Q2,K36: Malahide,11
1337,New Dwelling Completion,2014Q2,K45: Lusk,7
1338,New Dwelling Completion,2014Q2,K56: Rush,9
1339,New Dwelling Completion,2014Q2,K67: Swords,14
1340,New Dwelling Completion,2014Q2,K78: Lucan,19
1341,New Dwelling Completion,2014Q2,N37: Athlone,8
1342,New Dwelling Completion,2014Q2,N39: Longford,9
1343,New Dwelling Completion,2014Q2,N41: Carrick-on-Shannon,5
1344,New Dwelling Completion,2014Q2,N91: Mullingar,8
1345,New Dwelling Completion,2014Q2,P12: Macroom,13
1346,New Dwelling Completion,2014Q2,P14: Crookstown,0
1347,New Dwelling Completion,2014Q2,P17: Kinsale,8
1348,New Dwelling Completion,2014Q2,P24: Cobh,0
1349,New Dwelling Completion,2014Q2,P25: Midleton,7
1350,New Dwelling Completion,2014Q2,P31: Ballincollig,8
1351,New Dwelling Completion,2014Q2,P32: Rylane,3
1352,New Dwelling Completion,2014Q2,P36: Youghal,2
1353,New Dwelling Completion,2014Q2,P43: Carrigaline,12
1354,New Dwelling Completion,2014Q2,P47: Dunmanway,1
1355,New Dwelling Completion,2014Q2,P51: Mallow,12
1356,New Dwelling Completion,2014Q2,P56: Charleville,2
1357,New Dwelling Completion,2014Q2,P61: Fermoy,5
1358,New Dwelling Completion,2014Q2,P67: Mitchelstown,3
1359,New Dwelling Completion,2014Q2,P72: Bandon,11
1360,New Dwelling Completion,2014Q2,P75: Bantry,8
1361,New Dwelling Completion,2014Q2,P81: Skibbereen,6
1362,New Dwelling Completion,2014Q2,P85: Clonakilty,6
1363,New Dwelling Completion,2014Q2,R14: Athy,4
1364,New Dwelling Completion,2014Q2,R21: Mhuine Bheag,7
1365,New Dwelling Completion,2014Q2,R32: Portlaoise,14
1366,New Dwelling Completion,2014Q2,R35: Tullamore,5
1367,New Dwelling Completion,2014Q2,R42: Birr,2
1368,New Dwelling Completion,2014Q2,R45: Edenderry,1
1369,New Dwelling Completion,2014Q2,R51: Kildare,2
1370,New Dwelling Completion,2014Q2,R56: Curragh,1
1371,New Dwelling Completion,2014Q2,R93: Carlow,13
1372,New Dwelling Completion,2014Q2,R95: Kilkenny,14
1373,New Dwelling Completion,2014Q2,T12: Cork Southside,12
1374,New Dwelling Completion,2014Q2,T23: Cork Northside,18
1375,New Dwelling Completion,2014Q2,T34: Carrignavar,0
1376,New Dwelling Completion,2014Q2,T45: Glanmire,5
1377,New Dwelling Completion,2014Q2,T56: Watergrasshill,2
1378,New Dwelling Completion,2014Q2,V14: Shannon,0
1379,New Dwelling Completion,2014Q2,V15: Kilrush,3
1380,New Dwelling Completion,2014Q2,V23: Caherciveen,2
1381,New Dwelling Completion,2014Q2,V31: Listowel,7
1382,New Dwelling Completion,2014Q2,V35: Kilmallock,8
1383,New Dwelling Completion,2014Q2,V42: Newcastle West,10
1384,New Dwelling Completion,2014Q2,V92: Tralee,17
1385,New Dwelling Completion,2014Q2,V93: Killarney,16
1386,New Dwelling Completion,2014Q2,V94: Limerick,28
1387,New Dwelling Completion,2014Q2,V95: Ennis,23
1388,New Dwelling Completion,2014Q2,W12: Newbridge,8
1389,New Dwelling Completion,2014Q2,W23: Celbridge,29
1390,New Dwelling Completion,2014Q2,W34: Monasterevin,1
1391,New Dwelling Completion,2014Q2,W91: Naas,32
1392,New Dwelling Completion,2014Q2,X35: Dungarvan,4
1393,New Dwelling Completion,2014Q2,X42: Kilmacthomas,1
1394,New Dwelling Completion,2014Q2,X91: Waterford,9
1395,New Dwelling Completion,2014Q2,Y14: Arklow,5
1396,New Dwelling Completion,2014Q2,Y21: Enniscorthy,15
1397,New Dwelling Completion,2014Q2,Y25: Gorey,9
1398,New Dwelling Completion,2014Q2,Y34: New Ross,4
1399,New Dwelling Completion,2014Q2,Y35: Wexford,12
1400,New Dwelling Completion,2014Q3,All,1404
1401,New Dwelling Completion,2014Q3,A41: Ballyboughal,1
1402,New Dwelling Completion,2014Q3,A42: Garristown,0
1403,New Dwelling Completion,2014Q3,A45: Oldtown,1
1404,New Dwelling Completion,2014Q3,A63: Greystones,7
1405,New Dwelling Completion,2014Q3,A67: Wicklow,8
1406,New Dwelling Completion,2014Q3,A75: Castleblaney,5
1407,New Dwelling Completion,2014Q3,A81: Carrickmacross,3
1408,New Dwelling Completion,2014Q3,A82: Kells,16
1409,New Dwelling Completion,2014Q3,A83: Enfield,4
1410,New Dwelling Completion,2014Q3,A84: Ashbourne,6
1411,New Dwelling Completion,2014Q3,A85: Dunshaughlin,12
1412,New Dwelling Completion,2014Q3,A86: Dunboyne,4
1413,New Dwelling Completion,2014Q3,A91: Dundalk,13
1414,New Dwelling Completion,2014Q3,A92: Drogheda,42
1415,New Dwelling Completion,2014Q3,A94: Blackrock,14
1416,New Dwelling Completion,2014Q3,A96: Glenageary,24
1417,New Dwelling Completion,2014Q3,A98: Bray,8
1418,New Dwelling Completion,2014Q3,C15: Navan,18
1419,New Dwelling Completion,2014Q3,D01: Dublin 1,7
1420,New Dwelling Completion,2014Q3,D02: Dublin 2,5
1421,New Dwelling Completion,2014Q3,D03: Dublin 3,69
1422,New Dwelling Completion,2014Q3,D04: Dublin 4,15
1423,New Dwelling Completion,2014Q3,D05: Dublin 5,3
1424,New Dwelling Completion,2014Q3,D06: Dublin 6,17
1425,New Dwelling Completion,2014Q3,D07: Dublin 7,4
1426,New Dwelling Completion,2014Q3,D08: Dublin 8,4
1427,New Dwelling Completion,2014Q3,D09: Dublin 9,12
1428,New Dwelling Completion,2014Q3,D10: Dublin 10,0
1429,New Dwelling Completion,2014Q3,D11: Dublin 11,2
1430,New Dwelling Completion,2014Q3,D12: Dublin 12,12
1431,New Dwelling Completion,2014Q3,D13: Dublin 13,15
1432,New Dwelling Completion,2014Q3,D14: Dublin 14,1
1433,New Dwelling Completion,2014Q3,D15: Dublin 15,50
1434,New Dwelling Completion,2014Q3,D16: Dublin 16,7
1435,New Dwelling Completion,2014Q3,D17: Dublin 17,0
1436,New Dwelling Completion,2014Q3,D18: Dublin 18,35
1437,New Dwelling Completion,2014Q3,D20: Dublin 20,1
1438,New Dwelling Completion,2014Q3,D22: Dublin 22,0
1439,New Dwelling Completion,2014Q3,D24: Dublin 24,35
1440,New Dwelling Completion,2014Q3,D6W: Dublin 6W,3
1441,New Dwelling Completion,2014Q3,E21: Cahir,2
1442,New Dwelling Completion,2014Q3,E25: Cashel,2
1443,New Dwelling Completion,2014Q3,E32: Carrick-on-Suir,3
1444,New Dwelling Completion,2014Q3,E34: Tipperary,5
1445,New Dwelling Completion,2014Q3,E41: Thurles,7
1446,New Dwelling Completion,2014Q3,E45: Nenagh,12
1447,New Dwelling Completion,2014Q3,E53: Roscrea,1
1448,New Dwelling Completion,2014Q3,E91: Clonmel,6
1449,New Dwelling Completion,2014Q3,F12: Claremorris,13
1450,New Dwelling Completion,2014Q3,F23: Castlebar,6
1451,New Dwelling Completion,2014Q3,F26: Ballina,12
1452,New Dwelling Completion,2014Q3,F28: Westport,11
1453,New Dwelling Completion,2014Q3,F31: Ballinrobe,1
1454,New Dwelling Completion,2014Q3,F35: Ballyhaunis,4
1455,New Dwelling Completion,2014Q3,F42: Roscommon,6
1456,New Dwelling Completion,2014Q3,F45: Castlerea,5
1457,New Dwelling Completion,2014Q3,F52: Boyle,0
1458,New Dwelling Completion,2014Q3,F56: Ballymote,1
1459,New Dwelling Completion,2014Q3,F91: Sligo,12
1460,New Dwelling Completion,2014Q3,F92: Letterkenny,29
1461,New Dwelling Completion,2014Q3,F93: Lifford,24
1462,New Dwelling Completion,2014Q3,F94: Donegal,10
1463,New Dwelling Completion,2014Q3,H12: Cavan,8
1464,New Dwelling Completion,2014Q3,H14: Belturbet,0
1465,New Dwelling Completion,2014Q3,H16: Cootehill,3
1466,New Dwelling Completion,2014Q3,H18: Monaghan,12
1467,New Dwelling Completion,2014Q3,H23: Clones,0
1468,New Dwelling Completion,2014Q3,H53: Ballinasloe,15
1469,New Dwelling Completion,2014Q3,H54: Tuam,8
1470,New Dwelling Completion,2014Q3,H62: Loughrea,3
1471,New Dwelling Completion,2014Q3,H65: Athenry,10
1472,New Dwelling Completion,2014Q3,H71: Clifden,2
1473,New Dwelling Completion,2014Q3,H91: Galway,50
1474,New Dwelling Completion,2014Q3,K32: Balbriggan,8
1475,New Dwelling Completion,2014Q3,K34: Skerries,10
1476,New Dwelling Completion,2014Q3,K36: Malahide,21
1477,New Dwelling Completion,2014Q3,K45: Lusk,13
1478,New Dwelling Completion,2014Q3,K56: Rush,10
1479,New Dwelling Completion,2014Q3,K67: Swords,22
1480,New Dwelling Completion,2014Q3,K78: Lucan,12
1481,New Dwelling Completion,2014Q3,N37: Athlone,7
1482,New Dwelling Completion,2014Q3,N39: Longford,16
1483,New Dwelling Completion,2014Q3,N41: Carrick-on-Shannon,6
1484,New Dwelling Completion,2014Q3,N91: Mullingar,11
1485,New Dwelling Completion,2014Q3,P12: Macroom,10
1486,New Dwelling Completion,2014Q3,P14: Crookstown,1
1487,New Dwelling Completion,2014Q3,P17: Kinsale,4
1488,New Dwelling Completion,2014Q3,P24: Cobh,1
1489,New Dwelling Completion,2014Q3,P25: Midleton,7
1490,New Dwelling Completion,2014Q3,P31: Ballincollig,8
1491,New Dwelling Completion,2014Q3,P32: Rylane,1
1492,New Dwelling Completion,2014Q3,P36: Youghal,4
1493,New Dwelling Completion,2014Q3,P43: Carrigaline,13
1494,New Dwelling Completion,2014Q3,P47: Dunmanway,9
1495,New Dwelling Completion,2014Q3,P51: Mallow,21
1496,New Dwelling Completion,2014Q3,P56: Charleville,2
1497,New Dwelling Completion,2014Q3,P61: Fermoy,3
1498,New Dwelling Completion,2014Q3,P67: Mitchelstown,1
1499,New Dwelling Completion,2014Q3,P72: Bandon,9
1500,New Dwelling Completion,2014Q3,P75: Bantry,6
1501,New Dwelling Completion,2014Q3,P81: Skibbereen,4
1502,New Dwelling Completion,2014Q3,P85: Clonakilty,2
1503,New Dwelling Completion,2014Q3,R14: Athy,2
1504,New Dwelling Completion,2014Q3,R21: Mhuine Bheag,5
1505,New Dwelling Completion,2014Q3,R32: Portlaoise,15
1506,New Dwelling Completion,2014Q3,R35: Tullamore,11
1507,New Dwelling Completion,2014Q3,R42: Birr,2
1508,New Dwelling Completion,2014Q3,R45: Edenderry,8
1509,New Dwelling Completion,2014Q3,R51: Kildare,2
1510,New Dwelling Completion,2014Q3,R56: Curragh,0
1511,New Dwelling Completion,2014Q3,R93: Carlow,16
1512,New Dwelling Completion,2014Q3,R95: Kilkenny,18
1513,New Dwelling Completion,2014Q3,T12: Cork Southside,30
1514,New Dwelling Completion,2014Q3,T23: Cork Northside,6
1515,New Dwelling Completion,2014Q3,T34: Carrignavar,1
1516,New Dwelling Completion,2014Q3,T45: Glanmire,1
1517,New Dwelling Completion,2014Q3,T56: Watergrasshill,4
1518,New Dwelling Completion,2014Q3,V14: Shannon,2
1519,New Dwelling Completion,2014Q3,V15: Kilrush,6
1520,New Dwelling Completion,2014Q3,V23: Caherciveen,1
1521,New Dwelling Completion,2014Q3,V31: Listowel,4
1522,New Dwelling Completion,2014Q3,V35: Kilmallock,8
1523,New Dwelling Completion,2014Q3,V42: Newcastle West,1
