,Statistic,Quarter,Eircode.Output,value
109,New Dwelling Completion,2012Q1,R51: Kildare,2
110,New Dwelling Completion,2012Q1,R56: Curragh,4
111,New Dwelling Completion,2012Q1,R93: Carlow,12
112,New Dwelling Completion,2012Q1,R95: Kilkenny,21
113,New Dwelling Completion,2012Q1,T12: Cork Southside,11
114,New Dwelling Completion,2012Q1,T23: Cork Northside,10
115,New Dwelling Completion,2012Q1,T34: Carrignavar,0
116,New Dwelling Completion,2012Q1,T45: Glanmire,10
117,New Dwelling Completion,2012Q1,T56: Watergrasshill,2
118,New Dwelling Completion,2012Q1,V14: Shannon,10
119,New Dwelling Completion,2012Q1,V15: Kilrush,3
120,New Dwelling Completion,2012Q1,V23: Caherciveen,3
121,New Dwelling Completion,2012Q1,V31: Listowel,6
122,New Dwelling Completion,2012Q1,V35: Kilmallock,6
123,New Dwelling Completion,2012Q1,V42: Newcastle West,2
124,New Dwelling Completion,2012Q1,V92: Tralee,15
125,New Dwelling Completion,2012Q1,V93: Killarney,23
126,New Dwelling Completion,2012Q1,V94: Limerick,35
127,New Dwelling Completion,2012Q1,V95: Ennis,19
128,New Dwelling Completion,2012Q1,W12: Newbridge,2
129,New Dwelling Completion,2012Q1,W23: Celbridge,15
130,New Dwelling Completion,2012Q1,W34: Monasterevin,1
131,New Dwelling Completion,2012Q1,W91: Naas,14
132,New Dwelling Completion,2012Q1,X35: Dungarvan,3
133,New Dwelling Completion,2012Q1,X42: Kilmacthomas,1
134,New Dwelling Completion,2012Q1,X91: Waterford,13
135,New Dwelling Completion,2012Q1,Y14: Arklow,2
136,New Dwelling Completion,2012Q1,Y21: Enniscorthy,24
137,New Dwelling Completion,2012Q1,Y25: Gorey,10
138,New Dwelling Completion,2012Q1,Y34: New Ross,4
139,New Dwelling Completion,2012Q1,Y35: Wexford,9
140,New Dwelling Completion,2012Q2,All,1117
141,New Dwelling Completion,2012Q2,A41: Ballyboughal,0
142,New Dwelling Completion,2012Q2,A42: Garristown,2
143,New Dwelling Completion,2012Q2,A45: Oldtown,1
144,New Dwelling Completion,2012Q2,A63: Greystones,22
145,New Dwelling Completion,2012Q2,A67: Wicklow,2
146,New Dwelling Completion,2012Q2,A75: Castleblaney,7
147,New Dwelling Completion,2012Q2,A81: Carrickmacross,2
148,New Dwelling Completion,2012Q2,A82: Kells,18
149,New Dwelling Completion,2012Q2,A83: Enfield,2
150,New Dwelling Completion,2012Q2,A84: Ashbourne,6
151,New Dwelling Completion,2012Q2,A85: Dunshaughlin,3
152,New Dwelling Completion,2012Q2,A86: Dunboyne,0
153,New Dwelling Completion,2012Q2,A91: Dundalk,15
154,New Dwelling Completion,2012Q2,A92: Drogheda,15
155,New Dwelling Completion,2012Q2,A94: Blackrock,6
156,New Dwelling Completion,2012Q2,A96: Glenageary,3
157,New Dwelling Completion,2012Q2,A98: Bray,5
158,New Dwelling Completion,2012Q2,C15: Navan,24
159,New Dwelling Completion,2012Q2,D01: Dublin 1,0
160,New Dwelling Completion,2012Q2,D02: Dublin 2,3
161,New Dwelling Completion,2012Q2,D03: Dublin 3,10
162,New Dwelling Completion,2012Q2,D04: Dublin 4,5
163,New Dwelling Completion,2012Q2,D05: Dublin 5,2
164,New Dwelling Completion,2012Q2,D06: Dublin 6,2
165,New Dwelling Completion,2012Q2,D07: Dublin 7,8
166,New Dwelling Completion,2012Q2,D08: Dublin 8,2
167,New Dwelling Completion,2012Q2,D09: Dublin 9,1
168,New Dwelling Completion,2012Q2,D10: Dublin 10,0
169,New Dwelling Completion,2012Q2,D11: Dublin 11,1
170,New Dwelling Completion,2012Q2,D12: Dublin 12,0
