Statistic,Quarter,Type.of.House,value
New Dwelling Completions,2018Q3,Single house,1207
New Dwelling Completions,2018Q3,Scheme house,2829
New Dwelling Completions,2018Q3,Apartment,577
New Dwelling Completions,2018Q3,All house types,4613
New Dwelling Completions,2018Q4,Single house,1350
New Dwelling Completions,2018Q4,Scheme house,3361
New Dwelling Completions,2018Q4,Apartment,706
New Dwelling Completions,2018Q4,All house types,5417
New Dwelling Completions,2019Q1,Single house,1089
New Dwelling Completions,2019Q1,Scheme house,2564
New Dwelling Completions,2019Q1,Apartment,574
New Dwelling Completions,2019Q1,All house types,4227
New Dwelling Completions,2019Q2,Single house,1326
New Dwelling Completions,2019Q2,Scheme house,2833
New Dwelling Completions,2019Q2,Apartment,653
New Dwelling Completions,2019Q2,All house types,4812
New Dwelling Completions,2019Q3,Single house,1264
New Dwelling Completions,2019Q3,Scheme house,3315
New Dwelling Completions,2019Q3,Apartment,1051
New Dwelling Completions,2019Q3,All house types,5630
New Dwelling Completions,2019Q4,Single house,1413
New Dwelling Completions,2019Q4,Scheme house,3823
New Dwelling Completions,2019Q4,Apartment,1174
New Dwelling Completions,2019Q4,All house types,6410
New Dwelling Completions,2020Q1,Single house,1105
New Dwelling Completions,2020Q1,Scheme house,2839
New Dwelling Completions,2020Q1,Apartment,990
New Dwelling Completions,2020Q1,All house types,4934
New Dwelling Completions,2020Q2,Single house,876
New Dwelling Completions,2020Q2,Scheme house,1836
New Dwelling Completions,2020Q2,Apartment,518
New Dwelling Completions,2020Q2,All house types,3230
New Dwelling Completions,2020Q3,Single house,1460
New Dwelling Completions,2020Q3,Scheme house,2869
New Dwelling Completions,2020Q3,Apartment,710
New Dwelling Completions,2020Q3,All house types,5039
New Dwelling Completions,2020Q4,Single house,1530
New Dwelling Completions,2020Q4,Scheme house,4130
New Dwelling Completions,2020Q4,Apartment,1666
New Dwelling Completions,2020Q4,All house types,7326
New Dwelling Completions,2021Q1,Single house,978
New Dwelling Completions,2021Q1,Scheme house,2260
New Dwelling Completions,2021Q1,Apartment,728
New Dwelling Completions,2021Q1,All house types,3966
New Dwelling Completions,2021Q2,Single house,1162
New Dwelling Completions,2021Q2,Scheme house,2537
New Dwelling Completions,2021Q2,Apartment,1279
New Dwelling Completions,2021Q2,All house types,4978
New Dwelling Completions,2021Q3,Single house,1204
New Dwelling Completions,2021Q3,Scheme house,2477
New Dwelling Completions,2021Q3,Apartment,963
New Dwelling Completions,2021Q3,All house types,4644
New Dwelling Completions,2021Q4,Single house,1390
New Dwelling Completions,2021Q4,Scheme house,3411
New Dwelling Completions,2021Q4,Apartment,2126
New Dwelling Completions,2021Q4,All house types,6927
New Dwelling Completions,2022Q1,Single house,1109
New Dwelling Completions,2022Q1,Scheme house,2802
New Dwelling Completions,2022Q1,Apartment,1703
New Dwelling Completions,2022Q1,All house types,5614
New Dwelling Completions,2022Q2,Single house,1340
New Dwelling Completions,2022Q2,Scheme house,3938
New Dwelling Completions,2022Q2,Apartment,2333
New Dwelling Completions,2022Q2,All house types,7611
New Dwelling Completions,2022Q3,Single house,1522
New Dwelling Completions,2022Q3,Scheme house,3575
New Dwelling Completions,2022Q3,Apartment,2288
New Dwelling Completions,2022Q3,All house types,7385
New Dwelling Completions,2022Q4,Single house,1524
New Dwelling Completions,2022Q4,Scheme house,4823
New Dwelling Completions,2022Q4,Apartment,2754
New Dwelling Completions,2022Q4,All house types,9101
New Dwelling Completions,2023Q1,Single house,1185
New Dwelling Completions,2023Q1,Scheme house,3082
New Dwelling Completions,2023Q1,Apartment,2380
New Dwelling Completions,2023Q1,All house types,6647
New Dwelling Completions,2023Q2,Single house,1415
New Dwelling Completions,2023Q2,Scheme house,4021
New Dwelling Completions,2023Q2,Apartment,1845
New Dwelling Completions,2023Q2,All house types,7281
New Dwelling Completions,2023Q3,Single house,1440
New Dwelling Completions,2023Q3,Scheme house,3649
New Dwelling Completions,2023Q3,Apartment,3355
New Dwelling Completions,2023Q3,All house types,8444
New Dwelling Completions,2023Q4,Single house,1489
New Dwelling Completions,2023Q4,Scheme house,4752
New Dwelling Completions,2023Q4,Apartment,4013
New Dwelling Completions,2023Q4,All house types,10254
New Dwelling Completions,2024Q1,Single house,1200
New Dwelling Completions,2024Q1,Scheme house,3038
New Dwelling Completions,2024Q1,Apartment,1603
New Dwelling Completions,2024Q1,All house types,5841
Seasonally Adjusted New Dwelling Completions,2011Q1,Single house,1382
Seasonally Adjusted New Dwelling Completions,2011Q1,Scheme house,489
Seasonally Adjusted New Dwelling Completions,2011Q1,Apartment,333
Seasonally Adjusted New Dwelling Completions,2011Q1,All house types,2204
Seasonally Adjusted New Dwelling Completions,2011Q2,Single house,1253
Seasonally Adjusted New Dwelling Completions,2011Q2,Scheme house,441
Seasonally Adjusted New Dwelling Completions,2011Q2,Apartment,207
Seasonally Adjusted New Dwelling Completions,2011Q2,All house types,1901
Seasonally Adjusted New Dwelling Completions,2011Q3,Single house,1184
Seasonally Adjusted New Dwelling Completions,2011Q3,Scheme house,302
Seasonally Adjusted New Dwelling Completions,2011Q3,Apartment,194
Seasonally Adjusted New Dwelling Completions,2011Q3,All house types,1680
Seasonally Adjusted New Dwelling Completions,2011Q4,Single house,1057
Seasonally Adjusted New Dwelling Completions,2011Q4,Scheme house,186
Seasonally Adjusted New Dwelling Completions,2011Q4,Apartment,125
Seasonally Adjusted New Dwelling Completions,2011Q4,All house types,1369
Seasonally Adjusted New Dwelling Completions,2012Q1,Single house,953
Seasonally Adjusted New Dwelling Completions,2012Q1,Scheme house,234
Seasonally Adjusted New Dwelling Completions,2012Q1,Apartment,149
Seasonally Adjusted New Dwelling Completions,2012Q1,All house types,1336
Seasonally Adjusted New Dwelling Completions,2012Q2,Single house,886
Seasonally Adjusted New Dwelling Completions,2012Q2,Scheme house,222
Seasonally Adjusted New Dwelling Completions,2012Q2,Apartment,73
Seasonally Adjusted New Dwelling Completions,2012Q2,All house types,1181
Seasonally Adjusted New Dwelling Completions,2012Q3,Single house,859
Seasonally Adjusted New Dwelling Completions,2012Q3,Scheme house,241
Seasonally Adjusted New Dwelling Completions,2012Q3,Apartment,97
Seasonally Adjusted New Dwelling Completions,2012Q3,All house types,1197
Seasonally Adjusted New Dwelling Completions,2012Q4,Single house,830
Seasonally Adjusted New Dwelling Completions,2012Q4,Scheme house,261
Seasonally Adjusted New Dwelling Completions,2012Q4,Apartment,131
Seasonally Adjusted New Dwelling Completions,2012Q4,All house types,1221
Seasonally Adjusted New Dwelling Completions,2013Q1,Single house,759
Seasonally Adjusted New Dwelling Completions,2013Q1,Scheme house,215
Seasonally Adjusted New Dwelling Completions,2013Q1,Apartment,92
Seasonally Adjusted New Dwelling Completions,2013Q1,All house types,1066
Seasonally Adjusted New Dwelling Completions,2013Q2,Single house,751
Seasonally Adjusted New Dwelling Completions,2013Q2,Scheme house,286
Seasonally Adjusted New Dwelling Completions,2013Q2,Apartment,141
Seasonally Adjusted New Dwelling Completions,2013Q2,All house types,1178
Seasonally Adjusted New Dwelling Completions,2013Q3,Single house,719
Seasonally Adjusted New Dwelling Completions,2013Q3,Scheme house,265
Seasonally Adjusted New Dwelling Completions,2013Q3,Apartment,40
Seasonally Adjusted New Dwelling Completions,2013Q3,All house types,1024
Seasonally Adjusted New Dwelling Completions,2013Q4,Single house,730
Seasonally Adjusted New Dwelling Completions,2013Q4,Scheme house,359
Seasonally Adjusted New Dwelling Completions,2013Q4,Apartment,184
Seasonally Adjusted New Dwelling Completions,2013Q4,All house types,1273
Seasonally Adjusted New Dwelling Completions,2014Q1,Single house,736
Seasonally Adjusted New Dwelling Completions,2014Q1,Scheme house,337
Seasonally Adjusted New Dwelling Completions,2014Q1,Apartment,189
Seasonally Adjusted New Dwelling Completions,2014Q1,All house types,1261
Seasonally Adjusted New Dwelling Completions,2014Q2,Single house,739
Seasonally Adjusted New Dwelling Completions,2014Q2,Scheme house,417
Seasonally Adjusted New Dwelling Completions,2014Q2,Apartment,241
Seasonally Adjusted New Dwelling Completions,2014Q2,All house types,1397
Seasonally Adjusted New Dwelling Completions,2014Q3,Single house,717
Seasonally Adjusted New Dwelling Completions,2014Q3,Scheme house,503
Seasonally Adjusted New Dwelling Completions,2014Q3,Apartment,168
Seasonally Adjusted New Dwelling Completions,2014Q3,All house types,1388
Seasonally Adjusted New Dwelling Completions,2014Q4,Single house,784
Seasonally Adjusted New Dwelling Completions,2014Q4,Scheme house,512
Seasonally Adjusted New Dwelling Completions,2014Q4,Apartment,157
Seasonally Adjusted New Dwelling Completions,2014Q4,All house types,1452
Seasonally Adjusted New Dwelling Completions,2015Q1,Single house,765
Seasonally Adjusted New Dwelling Completions,2015Q1,Scheme house,708
Seasonally Adjusted New Dwelling Completions,2015Q1,Apartment,124
Seasonally Adjusted New Dwelling Completions,2015Q1,All house types,1596
Seasonally Adjusted New Dwelling Completions,2015Q2,Single house,761
Seasonally Adjusted New Dwelling Completions,2015Q2,Scheme house,715
Seasonally Adjusted New Dwelling Completions,2015Q2,Apartment,163
Seasonally Adjusted New Dwelling Completions,2015Q2,All house types,1640
Seasonally Adjusted New Dwelling Completions,2015Q3,Single house,861
Seasonally Adjusted New Dwelling Completions,2015Q3,Scheme house,898
Seasonally Adjusted New Dwelling Completions,2015Q3,Apartment,243
Seasonally Adjusted New Dwelling Completions,2015Q3,All house types,2003
Seasonally Adjusted New Dwelling Completions,2015Q4,Single house,857
Seasonally Adjusted New Dwelling Completions,2015Q4,Scheme house,928
Seasonally Adjusted New Dwelling Completions,2015Q4,Apartment,137
Seasonally Adjusted New Dwelling Completions,2015Q4,All house types,1922
Seasonally Adjusted New Dwelling Completions,2016Q1,Single house,793
Seasonally Adjusted New Dwelling Completions,2016Q1,Scheme house,1161
Seasonally Adjusted New Dwelling Completions,2016Q1,Apartment,383
Seasonally Adjusted New Dwelling Completions,2016Q1,All house types,2336
Seasonally Adjusted New Dwelling Completions,2016Q2,Single house,903
Seasonally Adjusted New Dwelling Completions,2016Q2,Scheme house,1237
Seasonally Adjusted New Dwelling Completions,2016Q2,Apartment,258
Seasonally Adjusted New Dwelling Completions,2016Q2,All house types,2398
Seasonally Adjusted New Dwelling Completions,2016Q3,Single house,947
Seasonally Adjusted New Dwelling Completions,2016Q3,Scheme house,1223
Seasonally Adjusted New Dwelling Completions,2016Q3,Apartment,257
Seasonally Adjusted New Dwelling Completions,2016Q3,All house types,2428
Seasonally Adjusted New Dwelling Completions,2016Q4,Single house,953
Seasonally Adjusted New Dwelling Completions,2016Q4,Scheme house,1365
Seasonally Adjusted New Dwelling Completions,2016Q4,Apartment,250
Seasonally Adjusted New Dwelling Completions,2016Q4,All house types,2568
Seasonally Adjusted New Dwelling Completions,2017Q1,Single house,1000
