,Statistic,Month,Type.of.Residential.Property,value
2004,Residential Property Price Index,2013 May,Dublin - houses,69.2
2005,Residential Property Price Index,2013 May,Dublin - apartments,69.1
2006,Residential Property Price Index,2013 May,Dublin City - houses,65.4
2007,Residential Property Price Index,2013 May,Dun Laoghaire-Rathdown - houses,72.2
2008,Residential Property Price Index,2013 May,Fingal - houses,71.5
2009,Residential Property Price Index,2013 May,South Dublin - houses,71.7
2010,Residential Property Price Index,2013 May,National excluding Dublin - all residential properties,79.8
2011,Residential Property Price Index,2013 May,National excluding Dublin - houses,79.7
2012,Residential Property Price Index,2013 May,National excluding Dublin - apartments,83.2
2013,Residential Property Price Index,2013 May,Border - houses,87.3
2014,Residential Property Price Index,2013 May,Midland - houses,82.7
2015,Residential Property Price Index,2013 May,West - houses,92.6
2016,Residential Property Price Index,2013 May,Mid-East - houses,73.1
2017,Residential Property Price Index,2013 May,Mid-West - houses,86.3
2018,Residential Property Price Index,2013 May,South-East - houses,77.8
2019,Residential Property Price Index,2013 May,South-West - houses,78.4
2020,Residential Property Price Index,2013 June,National - all residential properties,75.6
2021,Residential Property Price Index,2013 June,National - houses,76.0
2022,Residential Property Price Index,2013 June,National - apartments,72.2
2023,Residential Property Price Index,2013 June,Dublin - all residential properties,71.6
2024,Residential Property Price Index,2013 June,Dublin - houses,71.9
2025,Residential Property Price Index,2013 June,Dublin - apartments,69.9
2026,Residential Property Price Index,2013 June,Dublin City - houses,66.7
2027,Residential Property Price Index,2013 June,Dun Laoghaire-Rathdown - houses,74.7
2028,Residential Property Price Index,2013 June,Fingal - houses,72.3
2029,Residential Property Price Index,2013 June,South Dublin - houses,72.5
2030,Residential Property Price Index,2013 June,National excluding Dublin - all residential properties,80.9
2031,Residential Property Price Index,2013 June,National excluding Dublin - houses,80.8
2032,Residential Property Price Index,2013 June,National excluding Dublin - apartments,81.7
2033,Residential Property Price Index,2013 June,Border - houses,86.8
2034,Residential Property Price Index,2013 June,Midland - houses,84.3
2035,Residential Property Price Index,2013 June,West - houses,94.8
2036,Residential Property Price Index,2013 June,Mid-East - houses,72.5
2037,Residential Property Price Index,2013 June,Mid-West - houses,84.6
2038,Residential Property Price Index,2013 June,South-East - houses,77.4
2039,Residential Property Price Index,2013 June,South-West - houses,79.8
2040,Residential Property Price Index,2013 July,National - all residential properties,77.4
2041,Residential Property Price Index,2013 July,National - houses,77.9
2042,Residential Property Price Index,2013 July,National - apartments,72.7
2043,Residential Property Price Index,2013 July,Dublin - all residential properties,74.2
2044,Residential Property Price Index,2013 July,Dublin - houses,74.8
2045,Residential Property Price Index,2013 July,Dublin - apartments,70.8
2046,Residential Property Price Index,2013 July,Dublin City - houses,68.5
2047,Residential Property Price Index,2013 July,Dun Laoghaire-Rathdown - houses,77.5
2048,Residential Property Price Index,2013 July,Fingal - houses,73.4
2049,Residential Property Price Index,2013 July,South Dublin - houses,73.4
2050,Residential Property Price Index,2013 July,National excluding Dublin - all residential properties,81.6
2051,Residential Property Price Index,2013 July,National excluding Dublin - houses,81.6
2052,Residential Property Price Index,2013 July,National excluding Dublin - apartments,82.2
2053,Residential Property Price Index,2013 July,Border - houses,89.5
2054,Residential Property Price Index,2013 July,Midland - houses,83.9
2055,Residential Property Price Index,2013 July,West - houses,94.8
2056,Residential Property Price Index,2013 July,Mid-East - houses,72.4
2057,Residential Property Price Index,2013 July,Mid-West - houses,85.0
2058,Residential Property Price Index,2013 July,South-East - houses,77.6
2059,Residential Property Price Index,2013 July,South-West - houses,79.9
2060,Residential Property Price Index,2013 August,National - all residential properties,78.5
2061,Residential Property Price Index,2013 August,National - houses,79.1
2062,Residential Property Price Index,2013 August,National - apartments,73.1
2063,Residential Property Price Index,2013 August,Dublin - all residential properties,76.0
2064,Residential Property Price Index,2013 August,Dublin - houses,76.9
2065,Residential Property Price Index,2013 August,Dublin - apartments,71.1
2066,Residential Property Price Index,2013 August,Dublin City - houses,70.5
2067,Residential Property Price Index,2013 August,Dun Laoghaire-Rathdown - houses,79.4
2068,Residential Property Price Index,2013 August,Fingal - houses,74.7
2069,Residential Property Price Index,2013 August,South Dublin - houses,74.9
2070,Residential Property Price Index,2013 August,National excluding Dublin - all residential properties,81.8
2071,Residential Property Price Index,2013 August,National excluding Dublin - houses,81.7
2072,Residential Property Price Index,2013 August,National excluding Dublin - apartments,82.9
2073,Residential Property Price Index,2013 August,Border - houses,89.9
2074,Residential Property Price Index,2013 August,Midland - houses,80.3
2075,Residential Property Price Index,2013 August,West - houses,94.7
2076,Residential Property Price Index,2013 August,Mid-East - houses,72.6
2077,Residential Property Price Index,2013 August,Mid-West - houses,86.9
2078,Residential Property Price Index,2013 August,South-East - houses,76.5
2079,Residential Property Price Index,2013 August,South-West - houses,80.4
2080,Residential Property Price Index,2013 September,National - all residential properties,79.7
2081,Residential Property Price Index,2013 September,National - houses,80.4
2082,Residential Property Price Index,2013 September,National - apartments,73.1
2083,Residential Property Price Index,2013 September,Dublin - all residential properties,77.4
2084,Residential Property Price Index,2013 September,Dublin - houses,78.4
2085,Residential Property Price Index,2013 September,Dublin - apartments,71.7
2086,Residential Property Price Index,2013 September,Dublin City - houses,72.5
2087,Residential Property Price Index,2013 September,Dun Laoghaire-Rathdown - houses,81.0
2088,Residential Property Price Index,2013 September,Fingal - houses,76.4
2089,Residential Property Price Index,2013 September,South Dublin - houses,75.9
2090,Residential Property Price Index,2013 September,National excluding Dublin - all residential properties,82.9
2091,Residential Property Price Index,2013 September,National excluding Dublin - houses,82.9
2092,Residential Property Price Index,2013 September,National excluding Dublin - apartments,80.8
2093,Residential Property Price Index,2013 September,Border - houses,91.6
2094,Residential Property Price Index,2013 September,Midland - houses,81.0
2095,Residential Property Price Index,2013 September,West - houses,93.7
2096,Residential Property Price Index,2013 September,Mid-East - houses,74.2
2097,Residential Property Price Index,2013 September,Mid-West - houses,87.5
2098,Residential Property Price Index,2013 September,South-East - houses,76.8
2099,Residential Property Price Index,2013 September,South-West - houses,81.6
2100,Residential Property Price Index,2013 October,National - all residential properties,80.2
2101,Residential Property Price Index,2013 October,National - houses,80.9
2102,Residential Property Price Index,2013 October,National - apartments,73.7
2103,Residential Property Price Index,2013 October,Dublin - all residential properties,77.9
2104,Residential Property Price Index,2013 October,Dublin - houses,78.8
2105,Residential Property Price Index,2013 October,Dublin - apartments,72.6
2106,Residential Property Price Index,2013 October,Dublin City - houses,73.4
2107,Residential Property Price Index,2013 October,Dun Laoghaire-Rathdown - houses,82.8
2108,Residential Property Price Index,2013 October,Fingal - houses,77.6
2109,Residential Property Price Index,2013 October,South Dublin - houses,76.5
2110,Residential Property Price Index,2013 October,National excluding Dublin - all residential properties,83.4
2111,Residential Property Price Index,2013 October,National excluding Dublin - houses,83.5
2112,Residential Property Price Index,2013 October,National excluding Dublin - apartments,80.9
2113,Residential Property Price Index,2013 October,Border - houses,91.5
2114,Residential Property Price Index,2013 October,Midland - houses,80.6
2115,Residential Property Price Index,2013 October,West - houses,94.1
2116,Residential Property Price Index,2013 October,Mid-East - houses,74.8
2117,Residential Property Price Index,2013 October,Mid-West - houses,87.7
2118,Residential Property Price Index,2013 October,South-East - houses,78.5
2119,Residential Property Price Index,2013 October,South-West - houses,82.4
2120,Residential Property Price Index,2013 November,National - all residential properties,80.6
2121,Residential Property Price Index,2013 November,National - houses,81.1
2122,Residential Property Price Index,2013 November,National - apartments,74.6
2123,Residential Property Price Index,2013 November,Dublin - all residential properties,78.8
2124,Residential Property Price Index,2013 November,Dublin - houses,79.4
2125,Residential Property Price Index,2013 November,Dublin - apartments,74.7
2126,Residential Property Price Index,2013 November,Dublin City - houses,74.8
2127,Residential Property Price Index,2013 November,Dun Laoghaire-Rathdown - houses,84.8
2128,Residential Property Price Index,2013 November,Fingal - houses,77.1
2129,Residential Property Price Index,2013 November,South Dublin - houses,77.9
2130,Residential Property Price Index,2013 November,National excluding Dublin - all residential properties,83.0
2131,Residential Property Price Index,2013 November,National excluding Dublin - houses,83.2
2132,Residential Property Price Index,2013 November,National excluding Dublin - apartments,78.5
2133,Residential Property Price Index,2013 November,Border - houses,92.1
2134,Residential Property Price Index,2013 November,Midland - houses,82.9
2135,Residential Property Price Index,2013 November,West - houses,94.9
2136,Residential Property Price Index,2013 November,Mid-East - houses,75.0
2137,Residential Property Price Index,2013 November,Mid-West - houses,86.5
2138,Residential Property Price Index,2013 November,South-East - houses,79.1
2139,Residential Property Price Index,2013 November,South-West - houses,82.6
2140,Residential Property Price Index,2013 December,National - all residential properties,81.5
2141,Residential Property Price Index,2013 December,National - houses,82.1
2142,Residential Property Price Index,2013 December,National - apartments,75.8
2143,Residential Property Price Index,2013 December,Dublin - all residential properties,79.8
2144,Residential Property Price Index,2013 December,Dublin - houses,80.5
2145,Residential Property Price Index,2013 December,Dublin - apartments,75.8
2146,Residential Property Price Index,2013 December,Dublin City - houses,76.9
2147,Residential Property Price Index,2013 December,Dun Laoghaire-Rathdown - houses,85.7
2148,Residential Property Price Index,2013 December,Fingal - houses,77.9
2149,Residential Property Price Index,2013 December,South Dublin - houses,78.9
2150,Residential Property Price Index,2013 December,National excluding Dublin - all residential properties,84.0
2151,Residential Property Price Index,2013 December,National excluding Dublin - houses,84.1
2152,Residential Property Price Index,2013 December,National excluding Dublin - apartments,80.9
2153,Residential Property Price Index,2013 December,Border - houses,91.0
2154,Residential Property Price Index,2013 December,Midland - houses,84.2
2155,Residential Property Price Index,2013 December,West - houses,94.4
2156,Residential Property Price Index,2013 December,Mid-East - houses,76.2
2157,Residential Property Price Index,2013 December,Mid-West - houses,87.7
2158,Residential Property Price Index,2013 December,South-East - houses,79.4
2159,Residential Property Price Index,2013 December,South-West - houses,84.4
2160,Residential Property Price Index,2014 January,National - all residential properties,81.6
2161,Residential Property Price Index,2014 January,National - houses,81.9
2162,Residential Property Price Index,2014 January,National - apartments,77.3
2163,Residential Property Price Index,2014 January,Dublin - all residential properties,80.1
2164,Residential Property Price Index,2014 January,Dublin - houses,80.4
2165,Residential Property Price Index,2014 January,Dublin - apartments,78.3
2166,Residential Property Price Index,2014 January,Dublin City - houses,77.5
2167,Residential Property Price Index,2014 January,Dun Laoghaire-Rathdown - houses,87.2
2168,Residential Property Price Index,2014 January,Fingal - houses,76.7
2169,Residential Property Price Index,2014 January,South Dublin - houses,79.8
2170,Residential Property Price Index,2014 January,National excluding Dublin - all residential properties,83.7
2171,Residential Property Price Index,2014 January,National excluding Dublin - houses,83.9
2172,Residential Property Price Index,2014 January,National excluding Dublin - apartments,80.2
2173,Residential Property Price Index,2014 January,Border - houses,88.0
2174,Residential Property Price Index,2014 January,Midland - houses,83.2
2175,Residential Property Price Index,2014 January,West - houses,94.8
2176,Residential Property Price Index,2014 January,Mid-East - houses,77.1
2177,Residential Property Price Index,2014 January,Mid-West - houses,89.4
2178,Residential Property Price Index,2014 January,South-East - houses,79.8
2179,Residential Property Price Index,2014 January,South-West - houses,84.5
2180,Residential Property Price Index,2014 February,National - all residential properties,82.0
2181,Residential Property Price Index,2014 February,National - houses,82.3
2182,Residential Property Price Index,2014 February,National - apartments,78.2
2183,Residential Property Price Index,2014 February,Dublin - all residential properties,80.5
2184,Residential Property Price Index,2014 February,Dublin - houses,80.9
2185,Residential Property Price Index,2014 February,Dublin - apartments,78.5
2186,Residential Property Price Index,2014 February,Dublin City - houses,78.9
2187,Residential Property Price Index,2014 February,Dun Laoghaire-Rathdown - houses,87.9
2188,Residential Property Price Index,2014 February,Fingal - houses,76.2
2189,Residential Property Price Index,2014 February,South Dublin - houses,80.5
2190,Residential Property Price Index,2014 February,National excluding Dublin - all residential properties,84.0
2191,Residential Property Price Index,2014 February,National excluding Dublin - houses,84.0
2192,Residential Property Price Index,2014 February,National excluding Dublin - apartments,83.0
2193,Residential Property Price Index,2014 February,Border - houses,87.9
2194,Residential Property Price Index,2014 February,Midland - houses,83.6
2195,Residential Property Price Index,2014 February,West - houses,93.6
2196,Residential Property Price Index,2014 February,Mid-East - houses,78.0
2197,Residential Property Price Index,2014 February,Mid-West - houses,89.3
2198,Residential Property Price Index,2014 February,South-East - houses,81.2
2199,Residential Property Price Index,2014 February,South-West - houses,84.9
2200,Residential Property Price Index,2014 March,National - all residential properties,82.5
2201,Residential Property Price Index,2014 March,National - houses,82.7
2202,Residential Property Price Index,2014 March,National - apartments,79.5
2203,Residential Property Price Index,2014 March,Dublin - all residential properties,81.8
2204,Residential Property Price Index,2014 March,Dublin - houses,82.2
2205,Residential Property Price Index,2014 March,Dublin - apartments,79.8
2206,Residential Property Price Index,2014 March,Dublin City - houses,79.5
2207,Residential Property Price Index,2014 March,Dun Laoghaire-Rathdown - houses,88.5
2208,Residential Property Price Index,2014 March,Fingal - houses,78.3
2209,Residential Property Price Index,2014 March,South Dublin - houses,82.4
2210,Residential Property Price Index,2014 March,National excluding Dublin - all residential properties,83.6
2211,Residential Property Price Index,2014 March,National excluding Dublin - houses,83.6
2212,Residential Property Price Index,2014 March,National excluding Dublin - apartments,84.1
2213,Residential Property Price Index,2014 March,Border - houses,86.5
2214,Residential Property Price Index,2014 March,Midland - houses,83.9
2215,Residential Property Price Index,2014 March,West - houses,91.8
2216,Residential Property Price Index,2014 March,Mid-East - houses,78.6
2217,Residential Property Price Index,2014 March,Mid-West - houses,88.3
2218,Residential Property Price Index,2014 March,South-East - houses,82.6
2219,Residential Property Price Index,2014 March,South-West - houses,84.9
2220,Residential Property Price Index,2014 April,National - all residential properties,84.3
2221,Residential Property Price Index,2014 April,National - houses,84.5
2222,Residential Property Price Index,2014 April,National - apartments,80.9
2223,Residential Property Price Index,2014 April,Dublin - all residential properties,84.2
2224,Residential Property Price Index,2014 April,Dublin - houses,84.7
2225,Residential Property Price Index,2014 April,Dublin - apartments,81.4
2226,Residential Property Price Index,2014 April,Dublin City - houses,81.8
2227,Residential Property Price Index,2014 April,Dun Laoghaire-Rathdown - houses,89.1
2228,Residential Property Price Index,2014 April,Fingal - houses,79.7
2229,Residential Property Price Index,2014 April,South Dublin - houses,85.4
2230,Residential Property Price Index,2014 April,National excluding Dublin - all residential properties,84.6
2231,Residential Property Price Index,2014 April,National excluding Dublin - houses,84.6
2232,Residential Property Price Index,2014 April,National excluding Dublin - apartments,85.1
2233,Residential Property Price Index,2014 April,Border - houses,88.4
2234,Residential Property Price Index,2014 April,Midland - houses,85.6
2235,Residential Property Price Index,2014 April,West - houses,93.5
2236,Residential Property Price Index,2014 April,Mid-East - houses,79.3
2237,Residential Property Price Index,2014 April,Mid-West - houses,87.6
2238,Residential Property Price Index,2014 April,South-East - houses,83.0
2239,Residential Property Price Index,2014 April,South-West - houses,85.3
2240,Residential Property Price Index,2014 May,National - all residential properties,86.5
2241,Residential Property Price Index,2014 May,National - houses,86.7
2242,Residential Property Price Index,2014 May,National - apartments,83.2
2243,Residential Property Price Index,2014 May,Dublin - all residential properties,87.2
2244,Residential Property Price Index,2014 May,Dublin - houses,87.5
2245,Residential Property Price Index,2014 May,Dublin - apartments,84.6
2246,Residential Property Price Index,2014 May,Dublin City - houses,84.5
2247,Residential Property Price Index,2014 May,Dun Laoghaire-Rathdown - houses,89.2
2248,Residential Property Price Index,2014 May,Fingal - houses,83.0
2249,Residential Property Price Index,2014 May,South Dublin - houses,88.1
2250,Residential Property Price Index,2014 May,National excluding Dublin - all residential properties,86.0
2251,Residential Property Price Index,2014 May,National excluding Dublin - houses,86.0
2252,Residential Property Price Index,2014 May,National excluding Dublin - apartments,85.3
2253,Residential Property Price Index,2014 May,Border - houses,90.8
2254,Residential Property Price Index,2014 May,Midland - houses,86.3
2255,Residential Property Price Index,2014 May,West - houses,94.3
2256,Residential Property Price Index,2014 May,Mid-East - houses,80.7
2257,Residential Property Price Index,2014 May,Mid-West - houses,88.7
2258,Residential Property Price Index,2014 May,South-East - houses,84.4
2259,Residential Property Price Index,2014 May,South-West - houses,85.2
2260,Residential Property Price Index,2014 June,National - all residential properties,89.0
2261,Residential Property Price Index,2014 June,National - houses,89.2
2262,Residential Property Price Index,2014 June,National - apartments,85.5
2263,Residential Property Price Index,2014 June,Dublin - all residential properties,90.8
2264,Residential Property Price Index,2014 June,Dublin - houses,91.4
2265,Residential Property Price Index,2014 June,Dublin - apartments,87.1
2266,Residential Property Price Index,2014 June,Dublin City - houses,87.7
2267,Residential Property Price Index,2014 June,Dun Laoghaire-Rathdown - houses,91.9
2268,Residential Property Price Index,2014 June,Fingal - houses,86.4
2269,Residential Property Price Index,2014 June,South Dublin - houses,90.0
2270,Residential Property Price Index,2014 June,National excluding Dublin - all residential properties,87.0
2271,Residential Property Price Index,2014 June,National excluding Dublin - houses,87.0
2272,Residential Property Price Index,2014 June,National excluding Dublin - apartments,86.9
2273,Residential Property Price Index,2014 June,Border - houses,87.7
2274,Residential Property Price Index,2014 June,Midland - houses,88.5
2275,Residential Property Price Index,2014 June,West - houses,95.1
2276,Residential Property Price Index,2014 June,Mid-East - houses,82.6
2277,Residential Property Price Index,2014 June,Mid-West - houses,90.3
2278,Residential Property Price Index,2014 June,South-East - houses,84.8
2279,Residential Property Price Index,2014 June,South-West - houses,85.4
2280,Residential Property Price Index,2014 July,National - all residential properties,91.7
2281,Residential Property Price Index,2014 July,National - houses,92.0
2282,Residential Property Price Index,2014 July,National - apartments,88.0
2283,Residential Property Price Index,2014 July,Dublin - all residential properties,94.5
2284,Residential Property Price Index,2014 July,Dublin - houses,95.4
2285,Residential Property Price Index,2014 July,Dublin - apartments,89.4
2286,Residential Property Price Index,2014 July,Dublin City - houses,91.7
2287,Residential Property Price Index,2014 July,Dun Laoghaire-Rathdown - houses,94.8
2288,Residential Property Price Index,2014 July,Fingal - houses,89.5
2289,Residential Property Price Index,2014 July,South Dublin - houses,92.9
2290,Residential Property Price Index,2014 July,National excluding Dublin - all residential properties,88.5
2291,Residential Property Price Index,2014 July,National excluding Dublin - houses,88.4
2292,Residential Property Price Index,2014 July,National excluding Dublin - apartments,90.5
2293,Residential Property Price Index,2014 July,Border - houses,87.8
2294,Residential Property Price Index,2014 July,Midland - houses,88.4
2295,Residential Property Price Index,2014 July,West - houses,95.6
2296,Residential Property Price Index,2014 July,Mid-East - houses,84.5
2297,Residential Property Price Index,2014 July,Mid-West - houses,90.4
2298,Residential Property Price Index,2014 July,South-East - houses,84.7
2299,Residential Property Price Index,2014 July,South-West - houses,87.4
2300,Residential Property Price Index,2014 August,National - all residential properties,93.6
2301,Residential Property Price Index,2014 August,National - houses,93.5
2302,Residential Property Price Index,2014 August,National - apartments,91.3
2303,Residential Property Price Index,2014 August,Dublin - all residential properties,96.6
2304,Residential Property Price Index,2014 August,Dublin - houses,97.0
2305,Residential Property Price Index,2014 August,Dublin - apartments,93.7
2306,Residential Property Price Index,2014 August,Dublin City - houses,94.0
2307,Residential Property Price Index,2014 August,Dun Laoghaire-Rathdown - houses,97.0
2308,Residential Property Price Index,2014 August,Fingal - houses,91.4
2309,Residential Property Price Index,2014 August,South Dublin - houses,95.5
2310,Residential Property Price Index,2014 August,National excluding Dublin - all residential properties,90.0
2311,Residential Property Price Index,2014 August,National excluding Dublin - houses,89.9
2312,Residential Property Price Index,2014 August,National excluding Dublin - apartments,91.7
2313,Residential Property Price Index,2014 August,Border - houses,90.3
2314,Residential Property Price Index,2014 August,Midland - houses,88.9
2315,Residential Property Price Index,2014 August,West - houses,96.6
2316,Residential Property Price Index,2014 August,Mid-East - houses,86.7
2317,Residential Property Price Index,2014 August,Mid-West - houses,89.5
2318,Residential Property Price Index,2014 August,South-East - houses,85.6
2319,Residential Property Price Index,2014 August,South-West - houses,88.8
2320,Residential Property Price Index,2014 September,National - all residential properties,95.6
2321,Residential Property Price Index,2014 September,National - houses,95.2
2322,Residential Property Price Index,2014 September,National - apartments,95.2
2323,Residential Property Price Index,2014 September,Dublin - all residential properties,99.0
2324,Residential Property Price Index,2014 September,Dublin - houses,98.7
2325,Residential Property Price Index,2014 September,Dublin - apartments,98.9
2326,Residential Property Price Index,2014 September,Dublin City - houses,97.0
2327,Residential Property Price Index,2014 September,Dun Laoghaire-Rathdown - houses,99.2
2328,Residential Property Price Index,2014 September,Fingal - houses,93.4
2329,Residential Property Price Index,2014 September,South Dublin - houses,97.3
2330,Residential Property Price Index,2014 September,National excluding Dublin - all residential properties,91.5
2331,Residential Property Price Index,2014 September,National excluding Dublin - houses,91.5
2332,Residential Property Price Index,2014 September,National excluding Dublin - apartments,91.9
2333,Residential Property Price Index,2014 September,Border - houses,90.9
2334,Residential Property Price Index,2014 September,Midland - houses,90.1
2335,Residential Property Price Index,2014 September,West - houses,98.4
2336,Residential Property Price Index,2014 September,Mid-East - houses,88.7
2337,Residential Property Price Index,2014 September,Mid-West - houses,90.2
2338,Residential Property Price Index,2014 September,South-East - houses,87.6
2339,Residential Property Price Index,2014 September,South-West - houses,89.9
2340,Residential Property Price Index,2014 October,National - all residential properties,96.6
2341,Residential Property Price Index,2014 October,National - houses,96.2
2342,Residential Property Price Index,2014 October,National - apartments,97.3
2343,Residential Property Price Index,2014 October,Dublin - all residential properties,99.5
2344,Residential Property Price Index,2014 October,Dublin - houses,99.1
2345,Residential Property Price Index,2014 October,Dublin - apartments,101.0
2346,Residential Property Price Index,2014 October,Dublin City - houses,98.8
2347,Residential Property Price Index,2014 October,Dun Laoghaire-Rathdown - houses,100.5
2348,Residential Property Price Index,2014 October,Fingal - houses,94.6
2349,Residential Property Price Index,2014 October,South Dublin - houses,99.1
2350,Residential Property Price Index,2014 October,National excluding Dublin - all residential properties,93.1
2351,Residential Property Price Index,2014 October,National excluding Dublin - houses,93.2
2352,Residential Property Price Index,2014 October,National excluding Dublin - apartments,92.1
2353,Residential Property Price Index,2014 October,Border - houses,93.2
2354,Residential Property Price Index,2014 October,Midland - houses,91.5
2355,Residential Property Price Index,2014 October,West - houses,99.3
2356,Residential Property Price Index,2014 October,Mid-East - houses,90.5
2357,Residential Property Price Index,2014 October,Mid-West - houses,92.0
2358,Residential Property Price Index,2014 October,South-East - houses,89.6
2359,Residential Property Price Index,2014 October,South-West - houses,91.4
2360,Residential Property Price Index,2014 November,National - all residential properties,96.9
2361,Residential Property Price Index,2014 November,National - houses,96.6
2362,Residential Property Price Index,2014 November,National - apartments,98.7
2363,Residential Property Price Index,2014 November,Dublin - all residential properties,99.3
2364,Residential Property Price Index,2014 November,Dublin - houses,99.0
2365,Residential Property Price Index,2014 November,Dublin - apartments,101.4
2366,Residential Property Price Index,2014 November,Dublin City - houses,100.5
2367,Residential Property Price Index,2014 November,Dun Laoghaire-Rathdown - houses,100.8
2368,Residential Property Price Index,2014 November,Fingal - houses,95.7
2369,Residential Property Price Index,2014 November,South Dublin - houses,99.8
2370,Residential Property Price Index,2014 November,National excluding Dublin - all residential properties,94.2
2371,Residential Property Price Index,2014 November,National excluding Dublin - houses,94.2
2372,Residential Property Price Index,2014 November,National excluding Dublin - apartments,93.6
2373,Residential Property Price Index,2014 November,Border - houses,94.4
2374,Residential Property Price Index,2014 November,Midland - houses,91.0
2375,Residential Property Price Index,2014 November,West - houses,100.4
2376,Residential Property Price Index,2014 November,Mid-East - houses,92.5
2377,Residential Property Price Index,2014 November,Mid-West - houses,92.0
2378,Residential Property Price Index,2014 November,South-East - houses,91.9
2379,Residential Property Price Index,2014 November,South-West - houses,92.5
2380,Residential Property Price Index,2014 December,National - all residential properties,96.2
2381,Residential Property Price Index,2014 December,National - houses,96.0
2382,Residential Property Price Index,2014 December,National - apartments,99.1
2383,Residential Property Price Index,2014 December,Dublin - all residential properties,97.9
2384,Residential Property Price Index,2014 December,Dublin - houses,97.7
2385,Residential Property Price Index,2014 December,Dublin - apartments,100.5
2386,Residential Property Price Index,2014 December,Dublin City - houses,100.3
2387,Residential Property Price Index,2014 December,Dun Laoghaire-Rathdown - houses,100.6
2388,Residential Property Price Index,2014 December,Fingal - houses,96.0
2389,Residential Property Price Index,2014 December,South Dublin - houses,99.7
2390,Residential Property Price Index,2014 December,National excluding Dublin - all residential properties,94.3
2391,Residential Property Price Index,2014 December,National excluding Dublin - houses,94.4
2392,Residential Property Price Index,2014 December,National excluding Dublin - apartments,93.9
2393,Residential Property Price Index,2014 December,Border - houses,95.2
2394,Residential Property Price Index,2014 December,Midland - houses,91.5
2395,Residential Property Price Index,2014 December,West - houses,98.6
2396,Residential Property Price Index,2014 December,Mid-East - houses,93.9
2397,Residential Property Price Index,2014 December,Mid-West - houses,93.0
2398,Residential Property Price Index,2014 December,South-East - houses,93.2
2399,Residential Property Price Index,2014 December,South-West - houses,93.8
2400,Residential Property Price Index,2015 January,National - all residential properties,96.5
2401,Residential Property Price Index,2015 January,National - houses,96.3
2402,Residential Property Price Index,2015 January,National - apartments,99.9
2403,Residential Property Price Index,2015 January,Dublin - all residential properties,98.3
2404,Residential Property Price Index,2015 January,Dublin - houses,98.0
2405,Residential Property Price Index,2015 January,Dublin - apartments,100.9
2406,Residential Property Price Index,2015 January,Dublin City - houses,100.5
2407,Residential Property Price Index,2015 January,Dun Laoghaire-Rathdown - houses,99.8
2408,Residential Property Price Index,2015 January,Fingal - houses,97.6
2409,Residential Property Price Index,2015 January,South Dublin - houses,101.4
2410,Residential Property Price Index,2015 January,National excluding Dublin - all residential properties,94.6
2411,Residential Property Price Index,2015 January,National excluding Dublin - houses,94.7
2412,Residential Property Price Index,2015 January,National excluding Dublin - apartments,94.3
2413,Residential Property Price Index,2015 January,Border - houses,94.6
2414,Residential Property Price Index,2015 January,Midland - houses,94.6
2415,Residential Property Price Index,2015 January,West - houses,96.8
2416,Residential Property Price Index,2015 January,Mid-East - houses,95.4
2417,Residential Property Price Index,2015 January,Mid-West - houses,94.7
2418,Residential Property Price Index,2015 January,South-East - houses,94.5
2419,Residential Property Price Index,2015 January,South-West - houses,94.0
2420,Residential Property Price Index,2015 February,National - all residential properties,96.2
2421,Residential Property Price Index,2015 February,National - houses,96.2
2422,Residential Property Price Index,2015 February,National - apartments,99.1
2423,Residential Property Price Index,2015 February,Dublin - all residential properties,97.9
2424,Residential Property Price Index,2015 February,Dublin - houses,97.9
2425,Residential Property Price Index,2015 February,Dublin - apartments,99.2
2426,Residential Property Price Index,2015 February,Dublin City - houses,100.8
2427,Residential Property Price Index,2015 February,Dun Laoghaire-Rathdown - houses,98.1
2428,Residential Property Price Index,2015 February,Fingal - houses,98.2
2429,Residential Property Price Index,2015 February,South Dublin - houses,102.0
2430,Residential Property Price Index,2015 February,National excluding Dublin - all residential properties,94.5
2431,Residential Property Price Index,2015 February,National excluding Dublin - houses,94.6
2432,Residential Property Price Index,2015 February,National excluding Dublin - apartments,93.7
2433,Residential Property Price Index,2015 February,Border - houses,95.0
2434,Residential Property Price Index,2015 February,Midland - houses,95.1
2435,Residential Property Price Index,2015 February,West - houses,95.7
2436,Residential Property Price Index,2015 February,Mid-East - houses,96.1
2437,Residential Property Price Index,2015 February,Mid-West - houses,94.1
2438,Residential Property Price Index,2015 February,South-East - houses,95.4
2439,Residential Property Price Index,2015 February,South-West - houses,94.9
2440,Residential Property Price Index,2015 March,National - all residential properties,96.5
2441,Residential Property Price Index,2015 March,National - houses,96.7
2442,Residential Property Price Index,2015 March,National - apartments,98.0
2443,Residential Property Price Index,2015 March,Dublin - all residential properties,97.8
2444,Residential Property Price Index,2015 March,Dublin - houses,98.7
2445,Residential Property Price Index,2015 March,Dublin - apartments,95.6
2446,Residential Property Price Index,2015 March,Dublin City - houses,100.2
2447,Residential Property Price Index,2015 March,Dun Laoghaire-Rathdown - houses,99.3
2448,Residential Property Price Index,2015 March,Fingal - houses,98.5
2449,Residential Property Price Index,2015 March,South Dublin - houses,102.1
2450,Residential Property Price Index,2015 March,National excluding Dublin - all residential properties,95.2
2451,Residential Property Price Index,2015 March,National excluding Dublin - houses,94.9
