Statistic,Quarter,NACE.Rev..2.Sector,value
Compensation of Employees at Constant Prices,2017Q1,Financial and Insurance Activities,2155.5340363
Compensation of Employees at Constant Prices,2017Q1,Real Estate Activities,365.4970471
Compensation of Employees at Constant Prices,2017Q1,"Professional, Admin and Support Services",3983.0558663
Compensation of Employees at Constant Prices,2017Q1,"Public Admin, Education and Health",7409.5264526
Compensation of Employees at Constant Prices,2017Q1,"Arts, Entertainment and Other Services",714.5046853
Compensation of Employees at Constant Prices,2017Q1,All Sectors,27943.3674353
Compensation of Employees at Constant Prices,2017Q2,"Agriculture, Forestry and Fishing",335.2050402
Compensation of Employees at Constant Prices,2017Q2,Industry (excl. Construction),3811.698889
Compensation of Employees at Constant Prices,2017Q2,Industry - of which Manufacturing,3533.5024288
Compensation of Employees at Constant Prices,2017Q2,Construction,1209.4816515
Compensation of Employees at Constant Prices,2017Q2,"Distribution, Transport, Hotels and Restaurants",5703.8519533
Compensation of Employees at Constant Prices,2017Q2,Information and Communication,2196.65497
Compensation of Employees at Constant Prices,2017Q2,Financial and Insurance Activities,1985.7160596
Compensation of Employees at Constant Prices,2017Q2,Real Estate Activities,335.1045486
Compensation of Employees at Constant Prices,2017Q2,"Professional, Admin and Support Services",4041.1945533
Compensation of Employees at Constant Prices,2017Q2,"Public Admin, Education and Health",7258.2066513
Compensation of Employees at Constant Prices,2017Q2,"Arts, Entertainment and Other Services",729.3803726
Compensation of Employees at Constant Prices,2017Q2,All Sectors,27440.8231072
Compensation of Employees at Constant Prices,2017Q3,"Agriculture, Forestry and Fishing",319.8049897
Compensation of Employees at Constant Prices,2017Q3,Industry (excl. Construction),4084.4832217
Compensation of Employees at Constant Prices,2017Q3,Industry - of which Manufacturing,3758.8512304
Compensation of Employees at Constant Prices,2017Q3,Construction,1267.2666865
Compensation of Employees at Constant Prices,2017Q3,"Distribution, Transport, Hotels and Restaurants",5786.8476673
Compensation of Employees at Constant Prices,2017Q3,Information and Communication,2455.7193392
Compensation of Employees at Constant Prices,2017Q3,Financial and Insurance Activities,2143.7016173
Compensation of Employees at Constant Prices,2017Q3,Real Estate Activities,332.096039
Compensation of Employees at Constant Prices,2017Q3,"Professional, Admin and Support Services",4015.1617257
Compensation of Employees at Constant Prices,2017Q3,"Public Admin, Education and Health",6879.9644896
Compensation of Employees at Constant Prices,2017Q3,"Arts, Entertainment and Other Services",759.0217617
Compensation of Employees at Constant Prices,2017Q3,All Sectors,27836.3150257
Compensation of Employees at Constant Prices,2017Q4,"Agriculture, Forestry and Fishing",283.66401
Compensation of Employees at Constant Prices,2017Q4,Industry (excl. Construction),3853.8774636
Compensation of Employees at Constant Prices,2017Q4,Industry - of which Manufacturing,3588.9301757
Compensation of Employees at Constant Prices,2017Q4,Construction,1286.890874
Compensation of Employees at Constant Prices,2017Q4,"Distribution, Transport, Hotels and Restaurants",5832.8002633
Compensation of Employees at Constant Prices,2017Q4,Information and Communication,2274.9579827
Compensation of Employees at Constant Prices,2017Q4,Financial and Insurance Activities,2010.7424145
Compensation of Employees at Constant Prices,2017Q4,Real Estate Activities,317.6716464
Compensation of Employees at Constant Prices,2017Q4,"Professional, Admin and Support Services",3906.9408668
Compensation of Employees at Constant Prices,2017Q4,"Public Admin, Education and Health",7693.9696456
Compensation of Employees at Constant Prices,2017Q4,"Arts, Entertainment and Other Services",740.2168184
Compensation of Employees at Constant Prices,2017Q4,All Sectors,28117.9014311
Compensation of Employees at Constant Prices,2018Q1,"Agriculture, Forestry and Fishing",293.0092498
Compensation of Employees at Constant Prices,2018Q1,Industry (excl. Construction),3878.1518417
Compensation of Employees at Constant Prices,2018Q1,Industry - of which Manufacturing,3602.4864193
Compensation of Employees at Constant Prices,2018Q1,Construction,1333.7292618
Compensation of Employees at Constant Prices,2018Q1,"Distribution, Transport, Hotels and Restaurants",5621.2986363
Compensation of Employees at Constant Prices,2018Q1,Information and Communication,2422.9144809
Compensation of Employees at Constant Prices,2018Q1,Financial and Insurance Activities,2021.0347415
Compensation of Employees at Constant Prices,2018Q1,Real Estate Activities,295.087668
Compensation of Employees at Constant Prices,2018Q1,"Professional, Admin and Support Services",4069.0138778
Compensation of Employees at Constant Prices,2018Q1,"Public Admin, Education and Health",7710.0056174
Compensation of Employees at Constant Prices,2018Q1,"Arts, Entertainment and Other Services",761.7060583
Compensation of Employees at Constant Prices,2018Q1,All Sectors,28278.327757
Compensation of Employees at Constant Prices,2018Q2,"Agriculture, Forestry and Fishing",313.6021875
Compensation of Employees at Constant Prices,2018Q2,Industry (excl. Construction),3983.044818
Compensation of Employees at Constant Prices,2018Q2,Industry - of which Manufacturing,3695.4285656
Compensation of Employees at Constant Prices,2018Q2,Construction,1477.1397114
Compensation of Employees at Constant Prices,2018Q2,"Distribution, Transport, Hotels and Restaurants",5996.5119077
Compensation of Employees at Constant Prices,2018Q2,Information and Communication,2430.8661562
Compensation of Employees at Constant Prices,2018Q2,Financial and Insurance Activities,2109.5811509
Compensation of Employees at Constant Prices,2018Q2,Real Estate Activities,352.6024404
Compensation of Employees at Constant Prices,2018Q2,"Professional, Admin and Support Services",4493.8887344
Compensation of Employees at Constant Prices,2018Q2,"Public Admin, Education and Health",8144.8221258
Compensation of Employees at Constant Prices,2018Q2,"Arts, Entertainment and Other Services",755.2531408
Compensation of Employees at Constant Prices,2018Q2,All Sectors,29900.819
Compensation of Employees at Constant Prices,2018Q3,"Agriculture, Forestry and Fishing",307.0932639
Compensation of Employees at Constant Prices,2018Q3,Industry (excl. Construction),4043.1240429
Compensation of Employees at Constant Prices,2018Q3,Industry - of which Manufacturing,3781.2610097
Compensation of Employees at Constant Prices,2018Q3,Construction,1503.3108526
Compensation of Employees at Constant Prices,2018Q3,"Distribution, Transport, Hotels and Restaurants",5984.3926903
Compensation of Employees at Constant Prices,2018Q3,Information and Communication,2586.490117
Compensation of Employees at Constant Prices,2018Q3,Financial and Insurance Activities,1935.8938364
Compensation of Employees at Constant Prices,2018Q3,Real Estate Activities,284.5096188
Compensation of Employees at Constant Prices,2018Q3,"Professional, Admin and Support Services",4371.1051417
Compensation of Employees at Constant Prices,2018Q3,"Public Admin, Education and Health",7188.1732906
Compensation of Employees at Constant Prices,2018Q3,"Arts, Entertainment and Other Services",815.1167504
Compensation of Employees at Constant Prices,2018Q3,All Sectors,28779.1403832
Compensation of Employees at Constant Prices,2018Q4,"Agriculture, Forestry and Fishing",286.3488408
Compensation of Employees at Constant Prices,2018Q4,Industry (excl. Construction),3786.4306305
Compensation of Employees at Constant Prices,2018Q4,Industry - of which Manufacturing,3523.119665
Compensation of Employees at Constant Prices,2018Q4,Construction,1380.5338243
Compensation of Employees at Constant Prices,2018Q4,"Distribution, Transport, Hotels and Restaurants",6106.4393684
Compensation of Employees at Constant Prices,2018Q4,Information and Communication,2379.8090538
Compensation of Employees at Constant Prices,2018Q4,Financial and Insurance Activities,1981.3250951
Compensation of Employees at Constant Prices,2018Q4,Real Estate Activities,373.3253798
Compensation of Employees at Constant Prices,2018Q4,"Professional, Admin and Support Services",4313.5270506
Compensation of Employees at Constant Prices,2018Q4,"Public Admin, Education and Health",8370.4132292
Compensation of Employees at Constant Prices,2018Q4,"Arts, Entertainment and Other Services",759.4175329
Compensation of Employees at Constant Prices,2018Q4,All Sectors,29621.1416215
Compensation of Employees at Constant Prices,2019Q1,"Agriculture, Forestry and Fishing",302.5402937
Compensation of Employees at Constant Prices,2019Q1,Industry (excl. Construction),4106.3812757
Compensation of Employees at Constant Prices,2019Q1,Industry - of which Manufacturing,3794.542548
Compensation of Employees at Constant Prices,2019Q1,Construction,1398.2753764
Compensation of Employees at Constant Prices,2019Q1,"Distribution, Transport, Hotels and Restaurants",6073.0648064
Compensation of Employees at Constant Prices,2019Q1,Information and Communication,2500.9065598
Compensation of Employees at Constant Prices,2019Q1,Financial and Insurance Activities,2186.3397174
Compensation of Employees at Constant Prices,2019Q1,Real Estate Activities,334.5644672
Compensation of Employees at Constant Prices,2019Q1,"Professional, Admin and Support Services",4608.5063326
Compensation of Employees at Constant Prices,2019Q1,"Public Admin, Education and Health",8576.5882832
Compensation of Employees at Constant Prices,2019Q1,"Arts, Entertainment and Other Services",707.9736458
Compensation of Employees at Constant Prices,2019Q1,All Sectors,30670.6767785
Compensation of Employees at Constant Prices,2019Q2,"Agriculture, Forestry and Fishing",317.7372705
Compensation of Employees at Constant Prices,2019Q2,Industry (excl. Construction),4055.2468414
Compensation of Employees at Constant Prices,2019Q2,Industry - of which Manufacturing,3695.4258276
Compensation of Employees at Constant Prices,2019Q2,Construction,1511.8654622
Compensation of Employees at Constant Prices,2019Q2,"Distribution, Transport, Hotels and Restaurants",6035.8357508
Compensation of Employees at Constant Prices,2019Q2,Information and Communication,2597.1627994
Compensation of Employees at Constant Prices,2019Q2,Financial and Insurance Activities,2250.5926197
Compensation of Employees at Constant Prices,2019Q2,Real Estate Activities,372.2896765
Compensation of Employees at Constant Prices,2019Q2,"Professional, Admin and Support Services",4619.1175254
Compensation of Employees at Constant Prices,2019Q2,"Public Admin, Education and Health",8489.5926255
Compensation of Employees at Constant Prices,2019Q2,"Arts, Entertainment and Other Services",759.8379568
Compensation of Employees at Constant Prices,2019Q2,All Sectors,30862.6720896
Compensation of Employees at Constant Prices,2019Q3,"Agriculture, Forestry and Fishing",281.9224525
Compensation of Employees at Constant Prices,2019Q3,Industry (excl. Construction),4178.0115145
Compensation of Employees at Constant Prices,2019Q3,Industry - of which Manufacturing,3891.6971881
Compensation of Employees at Constant Prices,2019Q3,Construction,1512.9852609
Compensation of Employees at Constant Prices,2019Q3,"Distribution, Transport, Hotels and Restaurants",6003.5214992
Compensation of Employees at Constant Prices,2019Q3,Information and Communication,2760.6722989
Compensation of Employees at Constant Prices,2019Q3,Financial and Insurance Activities,2255.5514354
Compensation of Employees at Constant Prices,2019Q3,Real Estate Activities,327.4390363
Compensation of Employees at Constant Prices,2019Q3,"Professional, Admin and Support Services",4450.8651947
Compensation of Employees at Constant Prices,2019Q3,"Public Admin, Education and Health",7797.6112209
Compensation of Employees at Constant Prices,2019Q3,"Arts, Entertainment and Other Services",733.9766787
Compensation of Employees at Constant Prices,2019Q3,All Sectors,30168.2904316
Compensation of Employees at Constant Prices,2019Q4,"Agriculture, Forestry and Fishing",310.8564135
Compensation of Employees at Constant Prices,2019Q4,Industry (excl. Construction),3962.0880534
Compensation of Employees at Constant Prices,2019Q4,Industry - of which Manufacturing,3699.106073
Compensation of Employees at Constant Prices,2019Q4,Construction,1502.6124164
Compensation of Employees at Constant Prices,2019Q4,"Distribution, Transport, Hotels and Restaurants",5935.2184908
Compensation of Employees at Constant Prices,2019Q4,Information and Communication,2563.097119
Compensation of Employees at Constant Prices,2019Q4,Financial and Insurance Activities,2209.1599123
Compensation of Employees at Constant Prices,2019Q4,Real Estate Activities,316.6429511
Compensation of Employees at Constant Prices,2019Q4,"Professional, Admin and Support Services",4477.2375365
Compensation of Employees at Constant Prices,2019Q4,"Public Admin, Education and Health",8694.9132943
Compensation of Employees at Constant Prices,2019Q4,"Arts, Entertainment and Other Services",729.1312071
Compensation of Employees at Constant Prices,2019Q4,All Sectors,30586.6563665
Compensation of Employees at Constant Prices,2020Q1,"Agriculture, Forestry and Fishing",320.8542259
Compensation of Employees at Constant Prices,2020Q1,Industry (excl. Construction),4031.9937063
Compensation of Employees at Constant Prices,2020Q1,Industry - of which Manufacturing,3787.0146575
Compensation of Employees at Constant Prices,2020Q1,Construction,1435.6982282
Compensation of Employees at Constant Prices,2020Q1,"Distribution, Transport, Hotels and Restaurants",5951.070685
Compensation of Employees at Constant Prices,2020Q1,Information and Communication,2620.559993
Compensation of Employees at Constant Prices,2020Q1,Financial and Insurance Activities,2349.0166085
Compensation of Employees at Constant Prices,2020Q1,Real Estate Activities,339.8824778
Compensation of Employees at Constant Prices,2020Q1,"Professional, Admin and Support Services",4722.7452045
Compensation of Employees at Constant Prices,2020Q1,"Public Admin, Education and Health",8540.899364
Compensation of Employees at Constant Prices,2020Q1,"Arts, Entertainment and Other Services",708.9594057
Compensation of Employees at Constant Prices,2020Q1,All Sectors,30896.3075827
Compensation of Employees at Constant Prices,2020Q2,"Agriculture, Forestry and Fishing",246.7596712
Compensation of Employees at Constant Prices,2020Q2,Industry (excl. Construction),3685.3131072
Compensation of Employees at Constant Prices,2020Q2,Industry - of which Manufacturing,3449.2069896
Compensation of Employees at Constant Prices,2020Q2,Construction,794.691247
Compensation of Employees at Constant Prices,2020Q2,"Distribution, Transport, Hotels and Restaurants",4271.7954707
Compensation of Employees at Constant Prices,2020Q2,Information and Communication,2713.1531931
Compensation of Employees at Constant Prices,2020Q2,Financial and Insurance Activities,2615.9906098
Compensation of Employees at Constant Prices,2020Q2,Real Estate Activities,323.7059261
Compensation of Employees at Constant Prices,2020Q2,"Professional, Admin and Support Services",4281.720533
Compensation of Employees at Constant Prices,2020Q2,"Public Admin, Education and Health",7957.4513447
Compensation of Employees at Constant Prices,2020Q2,"Arts, Entertainment and Other Services",346.3782594
Compensation of Employees at Constant Prices,2020Q2,All Sectors,27233.4402128
Compensation of Employees at Constant Prices,2020Q3,"Agriculture, Forestry and Fishing",287.4158321
Compensation of Employees at Constant Prices,2020Q3,Industry (excl. Construction),4304.9630037
Compensation of Employees at Constant Prices,2020Q3,Industry - of which Manufacturing,3998.3306879
Compensation of Employees at Constant Prices,2020Q3,Construction,1428.0587016
Compensation of Employees at Constant Prices,2020Q3,"Distribution, Transport, Hotels and Restaurants",5739.2889473
Compensation of Employees at Constant Prices,2020Q3,Information and Communication,2670.3953111
Compensation of Employees at Constant Prices,2020Q3,Financial and Insurance Activities,2355.1871392
Compensation of Employees at Constant Prices,2020Q3,Real Estate Activities,359.3874922
Compensation of Employees at Constant Prices,2020Q3,"Professional, Admin and Support Services",4557.3572085
Compensation of Employees at Constant Prices,2020Q3,"Public Admin, Education and Health",7629.2322816
Compensation of Employees at Constant Prices,2020Q3,"Arts, Entertainment and Other Services",711.2574556
Compensation of Employees at Constant Prices,2020Q3,All Sectors,29929.635549
Compensation of Employees at Constant Prices,2020Q4,"Agriculture, Forestry and Fishing",298.6044879
Compensation of Employees at Constant Prices,2020Q4,Industry (excl. Construction),4215.7768881
Compensation of Employees at Constant Prices,2020Q4,Industry - of which Manufacturing,4015.9834508
Compensation of Employees at Constant Prices,2020Q4,Construction,1362.5584469
Compensation of Employees at Constant Prices,2020Q4,"Distribution, Transport, Hotels and Restaurants",5311.9799348
Compensation of Employees at Constant Prices,2020Q4,Information and Communication,2782.3982294
Compensation of Employees at Constant Prices,2020Q4,Financial and Insurance Activities,2279.1446439
Compensation of Employees at Constant Prices,2020Q4,Real Estate Activities,331.9997047
Compensation of Employees at Constant Prices,2020Q4,"Professional, Admin and Support Services",4167.8561327
Compensation of Employees at Constant Prices,2020Q4,"Public Admin, Education and Health",8555.2539659
Compensation of Employees at Constant Prices,2020Q4,"Arts, Entertainment and Other Services",465.0191083
Compensation of Employees at Constant Prices,2020Q4,All Sectors,29699.838881
Compensation of Employees at Constant Prices,2021Q1,"Agriculture, Forestry and Fishing",316.8087579
Compensation of Employees at Constant Prices,2021Q1,Industry (excl. Construction),4358.0980797
Compensation of Employees at Constant Prices,2021Q1,Industry - of which Manufacturing,4184.275866
Compensation of Employees at Constant Prices,2021Q1,Construction,1071.7297482
Compensation of Employees at Constant Prices,2021Q1,"Distribution, Transport, Hotels and Restaurants",4848.1779081
Compensation of Employees at Constant Prices,2021Q1,Information and Communication,2987.540196
Compensation of Employees at Constant Prices,2021Q1,Financial and Insurance Activities,2445.2482617
Compensation of Employees at Constant Prices,2021Q1,Real Estate Activities,288.4118831
Compensation of Employees at Constant Prices,2021Q1,"Professional, Admin and Support Services",4384.0497182
Compensation of Employees at Constant Prices,2021Q1,"Public Admin, Education and Health",8969.1866355
Compensation of Employees at Constant Prices,2021Q1,"Arts, Entertainment and Other Services",423.0631454
Compensation of Employees at Constant Prices,2021Q1,All Sectors,30067.8431714
Compensation of Employees at Constant Prices,2021Q2,"Agriculture, Forestry and Fishing",339.207913
Compensation of Employees at Constant Prices,2021Q2,Industry (excl. Construction),4351.8145612
Compensation of Employees at Constant Prices,2021Q2,Industry - of which Manufacturing,4111.5778216
Compensation of Employees at Constant Prices,2021Q2,Construction,1306.5269957
Compensation of Employees at Constant Prices,2021Q2,"Distribution, Transport, Hotels and Restaurants",5369.5257453
Compensation of Employees at Constant Prices,2021Q2,Information and Communication,2975.8552247
Compensation of Employees at Constant Prices,2021Q2,Financial and Insurance Activities,2585.4652566
Compensation of Employees at Constant Prices,2021Q2,Real Estate Activities,359.6912157
Compensation of Employees at Constant Prices,2021Q2,"Professional, Admin and Support Services",4798.5276056
Compensation of Employees at Constant Prices,2021Q2,"Public Admin, Education and Health",9388.2412461
Compensation of Employees at Constant Prices,2021Q2,"Arts, Entertainment and Other Services",576.0778714
Compensation of Employees at Constant Prices,2021Q2,All Sectors,31997.0032284
Compensation of Employees at Constant Prices,2021Q3,"Agriculture, Forestry and Fishing",305.2754699
Compensation of Employees at Constant Prices,2021Q3,Industry (excl. Construction),4038.7521358
Compensation of Employees at Constant Prices,2021Q3,Industry - of which Manufacturing,3747.3684056
Compensation of Employees at Constant Prices,2021Q3,Construction,1498.5734552
Compensation of Employees at Constant Prices,2021Q3,"Distribution, Transport, Hotels and Restaurants",6024.6144039
Compensation of Employees at Constant Prices,2021Q3,Information and Communication,3059.2114381
Compensation of Employees at Constant Prices,2021Q3,Financial and Insurance Activities,2378.038792
Compensation of Employees at Constant Prices,2021Q3,Real Estate Activities,481.9184454
Compensation of Employees at Constant Prices,2021Q3,"Professional, Admin and Support Services",4826.4511524
Compensation of Employees at Constant Prices,2021Q3,"Public Admin, Education and Health",8318.0363733
Compensation of Employees at Constant Prices,2021Q3,"Arts, Entertainment and Other Services",728.2865062
Compensation of Employees at Constant Prices,2021Q3,All Sectors,31517.5274512
Compensation of Employees at Constant Prices,2021Q4,"Agriculture, Forestry and Fishing",312.6763437
Compensation of Employees at Constant Prices,2021Q4,Industry (excl. Construction),4054.5437793
Compensation of Employees at Constant Prices,2021Q4,Industry - of which Manufacturing,3794.9312841
Compensation of Employees at Constant Prices,2021Q4,Construction,1546.5266587
Compensation of Employees at Constant Prices,2021Q4,"Distribution, Transport, Hotels and Restaurants",5815.3820152
Compensation of Employees at Constant Prices,2021Q4,Information and Communication,3384.2959128
Compensation of Employees at Constant Prices,2021Q4,Financial and Insurance Activities,2579.9737591
Compensation of Employees at Constant Prices,2021Q4,Real Estate Activities,412.7955958
Compensation of Employees at Constant Prices,2021Q4,"Professional, Admin and Support Services",4927.9228151
Compensation of Employees at Constant Prices,2021Q4,"Public Admin, Education and Health",9310.272067
Compensation of Employees at Constant Prices,2021Q4,"Arts, Entertainment and Other Services",724.0252236
Compensation of Employees at Constant Prices,2021Q4,All Sectors,32983.532453
Compensation of Employees at Constant Prices,2022Q1,"Agriculture, Forestry and Fishing",293.1929127
Compensation of Employees at Constant Prices,2022Q1,Industry (excl. Construction),4457.0860776
Compensation of Employees at Constant Prices,2022Q1,Industry - of which Manufacturing,4149.7906513
Compensation of Employees at Constant Prices,2022Q1,Construction,1666.289142
Compensation of Employees at Constant Prices,2022Q1,"Distribution, Transport, Hotels and Restaurants",6102.4659164
Compensation of Employees at Constant Prices,2022Q1,Information and Communication,3604.8107227
Compensation of Employees at Constant Prices,2022Q1,Financial and Insurance Activities,2735.4703099
Compensation of Employees at Constant Prices,2022Q1,Real Estate Activities,526.5465195
Compensation of Employees at Constant Prices,2022Q1,"Professional, Admin and Support Services",5069.7298892
Compensation of Employees at Constant Prices,2022Q1,"Public Admin, Education and Health",9720.371409
Compensation of Employees at Constant Prices,2022Q1,"Arts, Entertainment and Other Services",710.4106225
Compensation of Employees at Constant Prices,2022Q1,All Sectors,34793.7596873
Compensation of Employees at Constant Prices,2022Q2,"Agriculture, Forestry and Fishing",311.0969858
Compensation of Employees at Constant Prices,2022Q2,Industry (excl. Construction),4636.7113212
Compensation of Employees at Constant Prices,2022Q2,Industry - of which Manufacturing,4295.8921159
Compensation of Employees at Constant Prices,2022Q2,Construction,1714.4973211
Compensation of Employees at Constant Prices,2022Q2,"Distribution, Transport, Hotels and Restaurants",6320.8158311
Compensation of Employees at Constant Prices,2022Q2,Information and Communication,3535.4311037
Compensation of Employees at Constant Prices,2022Q2,Financial and Insurance Activities,2725.5937195
Compensation of Employees at Constant Prices,2022Q2,Real Estate Activities,360.8160638
Compensation of Employees at Constant Prices,2022Q2,"Professional, Admin and Support Services",5030.8256615
Compensation of Employees at Constant Prices,2022Q2,"Public Admin, Education and Health",9512.2350805
Compensation of Employees at Constant Prices,2022Q2,"Arts, Entertainment and Other Services",678.2721591
Compensation of Employees at Constant Prices,2022Q2,All Sectors,34792.3366548
Compensation of Employees at Constant Prices,2022Q3,"Agriculture, Forestry and Fishing",272.3901277
Compensation of Employees at Constant Prices,2022Q3,Industry (excl. Construction),4754.8219891
Compensation of Employees at Constant Prices,2022Q3,Industry - of which Manufacturing,4377.8187542
Compensation of Employees at Constant Prices,2022Q3,Construction,1802.9014318
Compensation of Employees at Constant Prices,2022Q3,"Distribution, Transport, Hotels and Restaurants",6075.3195158
Compensation of Employees at Constant Prices,2022Q3,Information and Communication,3441.1901628
Compensation of Employees at Constant Prices,2022Q3,Financial and Insurance Activities,2625.4345452
Compensation of Employees at Constant Prices,2022Q3,Real Estate Activities,363.3115084
Compensation of Employees at Constant Prices,2022Q3,"Professional, Admin and Support Services",4911.3957431
Compensation of Employees at Constant Prices,2022Q3,"Public Admin, Education and Health",8850.6531246
Compensation of Employees at Constant Prices,2022Q3,"Arts, Entertainment and Other Services",696.9997908
Compensation of Employees at Constant Prices,2022Q3,All Sectors,33776.4603047
Compensation of Employees at Constant Prices,2022Q4,"Agriculture, Forestry and Fishing",298.4254966
Compensation of Employees at Constant Prices,2022Q4,Industry (excl. Construction),4542.3684751
Compensation of Employees at Constant Prices,2022Q4,Industry - of which Manufacturing,4191.4872578
Compensation of Employees at Constant Prices,2022Q4,Construction,1692.4210392
Compensation of Employees at Constant Prices,2022Q4,"Distribution, Transport, Hotels and Restaurants",6252.7942096
Compensation of Employees at Constant Prices,2022Q4,Information and Communication,3414.2669817
Compensation of Employees at Constant Prices,2022Q4,Financial and Insurance Activities,2722.0997168
Compensation of Employees at Constant Prices,2022Q4,Real Estate Activities,411.4311683
Compensation of Employees at Constant Prices,2022Q4,"Professional, Admin and Support Services",4857.7164741
Compensation of Employees at Constant Prices,2022Q4,"Public Admin, Education and Health",9547.4241119
Compensation of Employees at Constant Prices,2022Q4,"Arts, Entertainment and Other Services",691.4672687
Compensation of Employees at Constant Prices,2022Q4,All Sectors,34386.412052
Compensation of Employees at Constant Prices,2023Q1,"Agriculture, Forestry and Fishing",281.4087093
Compensation of Employees at Constant Prices,2023Q1,Industry (excl. Construction),4810.4616377
Compensation of Employees at Constant Prices,2023Q1,Industry - of which Manufacturing,4513.2959184
Compensation of Employees at Constant Prices,2023Q1,Construction,1685.9713365
Compensation of Employees at Constant Prices,2023Q1,"Distribution, Transport, Hotels and Restaurants",6364.471473
Compensation of Employees at Constant Prices,2023Q1,Information and Communication,3628.9270851
Compensation of Employees at Constant Prices,2023Q1,Financial and Insurance Activities,2766.4474901
Compensation of Employees at Constant Prices,2023Q1,Real Estate Activities,382.9061259
Compensation of Employees at Constant Prices,2023Q1,"Professional, Admin and Support Services",5341.5576916
Compensation of Employees at Constant Prices,2023Q1,"Public Admin, Education and Health",10093.1475321
Compensation of Employees at Constant Prices,2023Q1,"Arts, Entertainment and Other Services",725.0029861
Compensation of Employees at Constant Prices,2023Q1,All Sectors,36054.8873103
Compensation of Employees at Constant Prices,2023Q2,"Agriculture, Forestry and Fishing",274.4858329
Compensation of Employees at Constant Prices,2023Q2,Industry (excl. Construction),4491.9809657
Compensation of Employees at Constant Prices,2023Q2,Industry - of which Manufacturing,4168.7384237
Compensation of Employees at Constant Prices,2023Q2,Construction,1811.0608144
Compensation of Employees at Constant Prices,2023Q2,"Distribution, Transport, Hotels and Restaurants",6663.1210197
Compensation of Employees at Constant Prices,2023Q2,Information and Communication,3687.1335134
Compensation of Employees at Constant Prices,2023Q2,Financial and Insurance Activities,2817.1061429
Compensation of Employees at Constant Prices,2023Q2,Real Estate Activities,246.9960072
Compensation of Employees at Constant Prices,2023Q2,"Professional, Admin and Support Services",5663.6127304
Compensation of Employees at Constant Prices,2023Q2,"Public Admin, Education and Health",9850.4246793
Compensation of Employees at Constant Prices,2023Q2,"Arts, Entertainment and Other Services",726.6601836
Compensation of Employees at Constant Prices,2023Q2,All Sectors,36242.1708213
Compensation of Employees at Constant Prices,2023Q3,"Agriculture, Forestry and Fishing",367.6732444
Compensation of Employees at Constant Prices,2023Q3,Industry (excl. Construction),4539.2275934
Compensation of Employees at Constant Prices,2023Q3,Industry - of which Manufacturing,4195.3138463
Compensation of Employees at Constant Prices,2023Q3,Construction,1742.9704468
Compensation of Employees at Constant Prices,2023Q3,"Distribution, Transport, Hotels and Restaurants",6508.9431965
Compensation of Employees at Constant Prices,2023Q3,Information and Communication,3724.7177061
Compensation of Employees at Constant Prices,2023Q3,Financial and Insurance Activities,2657.1823235
Compensation of Employees at Constant Prices,2023Q3,Real Estate Activities,329.5917897
Compensation of Employees at Constant Prices,2023Q3,"Professional, Admin and Support Services",5355.235675
Compensation of Employees at Constant Prices,2023Q3,"Public Admin, Education and Health",9069.3363176
Compensation of Employees at Constant Prices,2023Q3,"Arts, Entertainment and Other Services",748.0170468
Compensation of Employees at Constant Prices,2023Q3,All Sectors,35032.0379179
Compensation of Employees at Constant Prices,2023Q4,"Agriculture, Forestry and Fishing",309.6514514
Compensation of Employees at Constant Prices,2023Q4,Industry (excl. Construction),4144.1320121
Compensation of Employees at Constant Prices,2023Q4,Industry - of which Manufacturing,3819.525741
Compensation of Employees at Constant Prices,2023Q4,Construction,1571.1920488
Compensation of Employees at Constant Prices,2023Q4,"Distribution, Transport, Hotels and Restaurants",6791.4976014
Compensation of Employees at Constant Prices,2023Q4,Information and Communication,3225.1806338
Compensation of Employees at Constant Prices,2023Q4,Financial and Insurance Activities,2590.8145783
Compensation of Employees at Constant Prices,2023Q4,Real Estate Activities,326.5194507
Compensation of Employees at Constant Prices,2023Q4,"Professional, Admin and Support Services",5392.6960589
Compensation of Employees at Constant Prices,2023Q4,"Public Admin, Education and Health",10066.0963727
Compensation of Employees at Constant Prices,2023Q4,"Arts, Entertainment and Other Services",776.883154
Compensation of Employees at Constant Prices,2023Q4,All Sectors,35221.346609
Compensation of Employees at Constant Prices,2024Q1,"Agriculture, Forestry and Fishing",315.3071828
Compensation of Employees at Constant Prices,2024Q1,Industry (excl. Construction),4900.4624658
Compensation of Employees at Constant Prices,2024Q1,Industry - of which Manufacturing,4317.1584577
Compensation of Employees at Constant Prices,2024Q1,Construction,1703.4197766
Compensation of Employees at Constant Prices,2024Q1,"Distribution, Transport, Hotels and Restaurants",6646.0985411
Compensation of Employees at Constant Prices,2024Q1,Information and Communication,3411.7301893
Compensation of Employees at Constant Prices,2024Q1,Financial and Insurance Activities,2807.4163347
Compensation of Employees at Constant Prices,2024Q1,Real Estate Activities,353.0430001
Compensation of Employees at Constant Prices,2024Q1,"Professional, Admin and Support Services",5685.7051552
Compensation of Employees at Constant Prices,2024Q1,"Public Admin, Education and Health",10111.7509156
Compensation of Employees at Constant Prices,2024Q1,"Arts, Entertainment and Other Services",753.6515824
Compensation of Employees at Constant Prices,2024Q1,All Sectors,36688.5851435
Compensation of Employees at Constant Prices,2024Q2,"Agriculture, Forestry and Fishing",319.7557816
Compensation of Employees at Constant Prices,2024Q2,Industry (excl. Construction),4901.0773409
