Statistic,Quarter,NACE.Rev..2.Sector,value
Compensation of Employees at Constant Prices,2011Q2,"Professional, Admin and Support Services",3181.9441837
Compensation of Employees at Constant Prices,2011Q2,"Public Admin, Education and Health",6309.5647013
Compensation of Employees at Constant Prices,2011Q2,"Arts, Entertainment and Other Services",600.184495
Compensation of Employees at Constant Prices,2011Q2,All Sectors,23021.3532407
Compensation of Employees at Constant Prices,2011Q3,"Agriculture, Forestry and Fishing",306.7022013
Compensation of Employees at Constant Prices,2011Q3,Industry (excl. Construction),3091.5793181
Compensation of Employees at Constant Prices,2011Q3,Industry - of which Manufacturing,2887.4727324
Compensation of Employees at Constant Prices,2011Q3,Construction,784.6772331
Compensation of Employees at Constant Prices,2011Q3,"Distribution, Transport, Hotels and Restaurants",4774.7132269
Compensation of Employees at Constant Prices,2011Q3,Information and Communication,1666.0651857
Compensation of Employees at Constant Prices,2011Q3,Financial and Insurance Activities,1827.9053599
Compensation of Employees at Constant Prices,2011Q3,Real Estate Activities,246.0862365
Compensation of Employees at Constant Prices,2011Q3,"Professional, Admin and Support Services",2914.5629684
Compensation of Employees at Constant Prices,2011Q3,"Public Admin, Education and Health",5526.6972238
Compensation of Employees at Constant Prices,2011Q3,"Arts, Entertainment and Other Services",599.7730486
Compensation of Employees at Constant Prices,2011Q3,All Sectors,21654.1329311
Compensation of Employees at Constant Prices,2011Q4,"Agriculture, Forestry and Fishing",242.8646769
Compensation of Employees at Constant Prices,2011Q4,Industry (excl. Construction),3155.713027
Compensation of Employees at Constant Prices,2011Q4,Industry - of which Manufacturing,2980.9099776
Compensation of Employees at Constant Prices,2011Q4,Construction,729.9902377
Compensation of Employees at Constant Prices,2011Q4,"Distribution, Transport, Hotels and Restaurants",4646.7253152
Compensation of Employees at Constant Prices,2011Q4,Information and Communication,1672.834956
Compensation of Employees at Constant Prices,2011Q4,Financial and Insurance Activities,1848.5449368
Compensation of Employees at Constant Prices,2011Q4,Real Estate Activities,297.1593359
Compensation of Employees at Constant Prices,2011Q4,"Professional, Admin and Support Services",2857.5473367
Compensation of Employees at Constant Prices,2011Q4,"Public Admin, Education and Health",6354.5120363
Compensation of Employees at Constant Prices,2011Q4,"Arts, Entertainment and Other Services",621.4927956
Compensation of Employees at Constant Prices,2011Q4,All Sectors,22511.084423
Compensation of Employees at Constant Prices,2012Q1,"Agriculture, Forestry and Fishing",264.025085
Compensation of Employees at Constant Prices,2012Q1,Industry (excl. Construction),3123.3645618
Compensation of Employees at Constant Prices,2012Q1,Industry - of which Manufacturing,2942.1031215
Compensation of Employees at Constant Prices,2012Q1,Construction,720.4590566
Compensation of Employees at Constant Prices,2012Q1,"Distribution, Transport, Hotels and Restaurants",4645.4277692
Compensation of Employees at Constant Prices,2012Q1,Information and Communication,1794.7173579
Compensation of Employees at Constant Prices,2012Q1,Financial and Insurance Activities,1857.342563
Compensation of Employees at Constant Prices,2012Q1,Real Estate Activities,331.6443441
Compensation of Employees at Constant Prices,2012Q1,"Professional, Admin and Support Services",2997.7623563
Compensation of Employees at Constant Prices,2012Q1,"Public Admin, Education and Health",6401.0939852
Compensation of Employees at Constant Prices,2012Q1,"Arts, Entertainment and Other Services",631.0689308
Compensation of Employees at Constant Prices,2012Q1,All Sectors,22775.6974085
Compensation of Employees at Constant Prices,2012Q2,"Agriculture, Forestry and Fishing",309.1559301
Compensation of Employees at Constant Prices,2012Q2,Industry (excl. Construction),3036.5686126
Compensation of Employees at Constant Prices,2012Q2,Industry - of which Manufacturing,2878.3452871
Compensation of Employees at Constant Prices,2012Q2,Construction,672.3091201
Compensation of Employees at Constant Prices,2012Q2,"Distribution, Transport, Hotels and Restaurants",4592.8998056
Compensation of Employees at Constant Prices,2012Q2,Information and Communication,1847.9725992
Compensation of Employees at Constant Prices,2012Q2,Financial and Insurance Activities,1827.4366334
Compensation of Employees at Constant Prices,2012Q2,Real Estate Activities,297.3787682
Compensation of Employees at Constant Prices,2012Q2,"Professional, Admin and Support Services",2968.4427059
Compensation of Employees at Constant Prices,2012Q2,"Public Admin, Education and Health",6334.9244565
Compensation of Employees at Constant Prices,2012Q2,"Arts, Entertainment and Other Services",662.8164432
Compensation of Employees at Constant Prices,2012Q2,All Sectors,22527.2534602
Compensation of Employees at Constant Prices,2012Q3,"Agriculture, Forestry and Fishing",332.8849021
Compensation of Employees at Constant Prices,2012Q3,Industry (excl. Construction),3012.5765105
Compensation of Employees at Constant Prices,2012Q3,Industry - of which Manufacturing,2846.1345736
Compensation of Employees at Constant Prices,2012Q3,Construction,692.9048877
Compensation of Employees at Constant Prices,2012Q3,"Distribution, Transport, Hotels and Restaurants",4764.2840695
Compensation of Employees at Constant Prices,2012Q3,Information and Communication,1802.3582199
Compensation of Employees at Constant Prices,2012Q3,Financial and Insurance Activities,1910.1577345
Compensation of Employees at Constant Prices,2012Q3,Real Estate Activities,279.060008
Compensation of Employees at Constant Prices,2012Q3,"Professional, Admin and Support Services",3088.7593124
Compensation of Employees at Constant Prices,2012Q3,"Public Admin, Education and Health",5807.8783498
Compensation of Employees at Constant Prices,2012Q3,"Arts, Entertainment and Other Services",667.6853266
Compensation of Employees at Constant Prices,2012Q3,All Sectors,22230.6576875
Compensation of Employees at Constant Prices,2012Q4,"Agriculture, Forestry and Fishing",280.0985347
Compensation of Employees at Constant Prices,2012Q4,Industry (excl. Construction),3085.7879191
Compensation of Employees at Constant Prices,2012Q4,Industry - of which Manufacturing,2985.4405295
Compensation of Employees at Constant Prices,2012Q4,Construction,663.6380087
Compensation of Employees at Constant Prices,2012Q4,"Distribution, Transport, Hotels and Restaurants",4716.5727466
Compensation of Employees at Constant Prices,2012Q4,Information and Communication,1878.0774201
Compensation of Employees at Constant Prices,2012Q4,Financial and Insurance Activities,1902.2130642
Compensation of Employees at Constant Prices,2012Q4,Real Estate Activities,273.9301122
Compensation of Employees at Constant Prices,2012Q4,"Professional, Admin and Support Services",3062.3441562
Compensation of Employees at Constant Prices,2012Q4,"Public Admin, Education and Health",6469.9007441
Compensation of Employees at Constant Prices,2012Q4,"Arts, Entertainment and Other Services",610.6819617
