Statistic,Quarter,NST.Group,value
Tonne-Kilometre,2016Q3,"Wood, pulp and paper",141
Tonne-Kilometre,2016Q3,Coke and refined petroleum products,244
Tonne-Kilometre,2016Q3,Chemicals and plastics,117
Tonne-Kilometre,2016Q3,Other non-metallic mineral products,216
Tonne-Kilometre,2016Q3,Metal products (except machinery and equipment),58
Tonne-Kilometre,2016Q3,Machinery and equipment,60
Tonne-Kilometre,2016Q3,Furniture and other manufactured goods,58
Tonne-Kilometre,2016Q3,Secondary raw materials and waste,76
Tonne-Kilometre,2016Q3,Other NST 2007 goods,449
Tonne-Kilometre,2016Q4,All NST 2007 goods,3055
Tonne-Kilometre,2016Q4,Products of agriculture forestry and fishing,334
Tonne-Kilometre,2016Q4,Coal and natural gas,30
Tonne-Kilometre,2016Q4,"Quarry products, metal ores and peat",288
Tonne-Kilometre,2016Q4,Foodstuffs,623
Tonne-Kilometre,2016Q4,Textiles and leather,26
Tonne-Kilometre,2016Q4,"Wood, pulp and paper",193
Tonne-Kilometre,2016Q4,Coke and refined petroleum products,277
Tonne-Kilometre,2016Q4,Chemicals and plastics,103
Tonne-Kilometre,2016Q4,Other non-metallic mineral products,268
Tonne-Kilometre,2016Q4,Metal products (except machinery and equipment),84
Tonne-Kilometre,2016Q4,Machinery and equipment,57
Tonne-Kilometre,2016Q4,Furniture and other manufactured goods,40
Tonne-Kilometre,2016Q4,Secondary raw materials and waste,111
Tonne-Kilometre,2016Q4,Other NST 2007 goods,621
Tonne-Kilometre,2017Q1,All NST 2007 goods,2754
Tonne-Kilometre,2017Q1,Products of agriculture forestry and fishing,336
Tonne-Kilometre,2017Q1,Coal and natural gas,26
Tonne-Kilometre,2017Q1,"Quarry products, metal ores and peat",287
Tonne-Kilometre,2017Q1,Foodstuffs,705
Tonne-Kilometre,2017Q1,Textiles and leather,18
Tonne-Kilometre,2017Q1,"Wood, pulp and paper",153
Tonne-Kilometre,2017Q1,Coke and refined petroleum products,201
Tonne-Kilometre,2017Q1,Chemicals and plastics,161
Tonne-Kilometre,2017Q1,Other non-metallic mineral products,205
Tonne-Kilometre,2017Q1,Metal products (except machinery and equipment),59
Tonne-Kilometre,2017Q1,Machinery and equipment,47
Tonne-Kilometre,2017Q1,Furniture and other manufactured goods,37
Tonne-Kilometre,2017Q1,Secondary raw materials and waste,68
Tonne-Kilometre,2017Q1,Other NST 2007 goods,453
Tonne-Kilometre,2017Q2,All NST 2007 goods,2962
Tonne-Kilometre,2017Q2,Products of agriculture forestry and fishing,258
Tonne-Kilometre,2017Q2,Coal and natural gas,34
Tonne-Kilometre,2017Q2,"Quarry products, metal ores and peat",356
Tonne-Kilometre,2017Q2,Foodstuffs,767
Tonne-Kilometre,2017Q2,Textiles and leather,26
Tonne-Kilometre,2017Q2,"Wood, pulp and paper",116
Tonne-Kilometre,2017Q2,Coke and refined petroleum products,202
Tonne-Kilometre,2017Q2,Chemicals and plastics,136
Tonne-Kilometre,2017Q2,Other non-metallic mineral products,248
Tonne-Kilometre,2017Q2,Metal products (except machinery and equipment),51
Tonne-Kilometre,2017Q2,Machinery and equipment,48
Tonne-Kilometre,2017Q2,Furniture and other manufactured goods,35
Tonne-Kilometre,2017Q2,Secondary raw materials and waste,87
Tonne-Kilometre,2017Q2,Other NST 2007 goods,598
Tonne-Kilometre,2017Q3,All NST 2007 goods,3051
Tonne-Kilometre,2017Q3,Products of agriculture forestry and fishing,378
Tonne-Kilometre,2017Q3,Coal and natural gas,13
Tonne-Kilometre,2017Q3,"Quarry products, metal ores and peat",320
Tonne-Kilometre,2017Q3,Foodstuffs,743
Tonne-Kilometre,2017Q3,Textiles and leather,28
Tonne-Kilometre,2017Q3,"Wood, pulp and paper",151
Tonne-Kilometre,2017Q3,Coke and refined petroleum products,212
Tonne-Kilometre,2017Q3,Chemicals and plastics,118
Tonne-Kilometre,2017Q3,Other non-metallic mineral products,240
Tonne-Kilometre,2017Q3,Metal products (except machinery and equipment),52
Tonne-Kilometre,2017Q3,Machinery and equipment,61
Tonne-Kilometre,2017Q3,Furniture and other manufactured goods,44
Tonne-Kilometre,2017Q3,Secondary raw materials and waste,115
Tonne-Kilometre,2017Q3,Other NST 2007 goods,574
Tonne-Kilometre,2017Q4,All NST 2007 goods,2992
Tonne-Kilometre,2017Q4,Products of agriculture forestry and fishing,288
Tonne-Kilometre,2017Q4,Coal and natural gas,30
Tonne-Kilometre,2017Q4,"Quarry products, metal ores and peat",396
Tonne-Kilometre,2017Q4,Foodstuffs,730
Tonne-Kilometre,2017Q4,Textiles and leather,24
Tonne-Kilometre,2017Q4,"Wood, pulp and paper",115
Tonne-Kilometre,2017Q4,Coke and refined petroleum products,209
Tonne-Kilometre,2017Q4,Chemicals and plastics,118
Tonne-Kilometre,2017Q4,Other non-metallic mineral products,234
Tonne-Kilometre,2017Q4,Metal products (except machinery and equipment),70
Tonne-Kilometre,2017Q4,Machinery and equipment,52
Tonne-Kilometre,2017Q4,Furniture and other manufactured goods,51
Tonne-Kilometre,2017Q4,Secondary raw materials and waste,96
Tonne-Kilometre,2017Q4,Other NST 2007 goods,581
Tonne-Kilometre,2018Q1,All NST 2007 goods,2764
Tonne-Kilometre,2018Q1,Products of agriculture forestry and fishing,208
Tonne-Kilometre,2018Q1,Coal and natural gas,21
Tonne-Kilometre,2018Q1,"Quarry products, metal ores and peat",372
Tonne-Kilometre,2018Q1,Foodstuffs,683
Tonne-Kilometre,2018Q1,Textiles and leather,23
Tonne-Kilometre,2018Q1,"Wood, pulp and paper",166
Tonne-Kilometre,2018Q1,Coke and refined petroleum products,200
Tonne-Kilometre,2018Q1,Chemicals and plastics,146
Tonne-Kilometre,2018Q1,Other non-metallic mineral products,193
Tonne-Kilometre,2018Q1,Metal products (except machinery and equipment),59
Tonne-Kilometre,2018Q1,Machinery and equipment,49
Tonne-Kilometre,2018Q1,Furniture and other manufactured goods,48
Tonne-Kilometre,2018Q1,Secondary raw materials and waste,95
Tonne-Kilometre,2018Q1,Other NST 2007 goods,500
Tonne-Kilometre,2018Q2,All NST 2007 goods,3114
Tonne-Kilometre,2018Q2,Products of agriculture forestry and fishing,252
Tonne-Kilometre,2018Q2,Coal and natural gas,16
Tonne-Kilometre,2018Q2,"Quarry products, metal ores and peat",411
Tonne-Kilometre,2018Q2,Foodstuffs,734
Tonne-Kilometre,2018Q2,Textiles and leather,13
Tonne-Kilometre,2018Q2,"Wood, pulp and paper",161
Tonne-Kilometre,2018Q2,Coke and refined petroleum products,201
Tonne-Kilometre,2018Q2,Chemicals and plastics,175
Tonne-Kilometre,2018Q2,Other non-metallic mineral products,255
Tonne-Kilometre,2018Q2,Metal products (except machinery and equipment),47
Tonne-Kilometre,2018Q2,Machinery and equipment,45
Tonne-Kilometre,2018Q2,Furniture and other manufactured goods,53
Tonne-Kilometre,2018Q2,Secondary raw materials and waste,89
Tonne-Kilometre,2018Q2,Other NST 2007 goods,662
Tonne-Kilometre,2018Q3,All NST 2007 goods,2949
Tonne-Kilometre,2018Q3,Products of agriculture forestry and fishing,307
Tonne-Kilometre,2018Q3,Coal and natural gas,13
Tonne-Kilometre,2018Q3,"Quarry products, metal ores and peat",373
Tonne-Kilometre,2018Q3,Foodstuffs,718
Tonne-Kilometre,2018Q3,Textiles and leather,24
Tonne-Kilometre,2018Q3,"Wood, pulp and paper",124
Tonne-Kilometre,2018Q3,Coke and refined petroleum products,180
Tonne-Kilometre,2018Q3,Chemicals and plastics,114
Tonne-Kilometre,2018Q3,Other non-metallic mineral products,286
Tonne-Kilometre,2018Q3,Metal products (except machinery and equipment),56
Tonne-Kilometre,2018Q3,Machinery and equipment,66
Tonne-Kilometre,2018Q3,Furniture and other manufactured goods,51
Tonne-Kilometre,2018Q3,Secondary raw materials and waste,69
Tonne-Kilometre,2018Q3,Other NST 2007 goods,567
Tonne-Kilometre,2018Q4,All NST 2007 goods,2710
Tonne-Kilometre,2018Q4,Products of agriculture forestry and fishing,223
Tonne-Kilometre,2018Q4,Coal and natural gas,25
Tonne-Kilometre,2018Q4,"Quarry products, metal ores and peat",338
Tonne-Kilometre,2018Q4,Foodstuffs,651
Tonne-Kilometre,2018Q4,Textiles and leather,22
Tonne-Kilometre,2018Q4,"Wood, pulp and paper",163
Tonne-Kilometre,2018Q4,Coke and refined petroleum products,163
Tonne-Kilometre,2018Q4,Chemicals and plastics,85
Tonne-Kilometre,2018Q4,Other non-metallic mineral products,246
Tonne-Kilometre,2018Q4,Metal products (except machinery and equipment),51
Tonne-Kilometre,2018Q4,Machinery and equipment,51
Tonne-Kilometre,2018Q4,Furniture and other manufactured goods,47
Tonne-Kilometre,2018Q4,Secondary raw materials and waste,74
Tonne-Kilometre,2018Q4,Other NST 2007 goods,573
Tonne-Kilometre,2019Q1,All NST 2007 goods,2890
Tonne-Kilometre,2019Q1,Products of agriculture forestry and fishing,310
Tonne-Kilometre,2019Q1,Coal and natural gas,40
Tonne-Kilometre,2019Q1,"Quarry products, metal ores and peat",339
Tonne-Kilometre,2019Q1,Foodstuffs,671
Tonne-Kilometre,2019Q1,Textiles and leather,18
Tonne-Kilometre,2019Q1,"Wood, pulp and paper",116
Tonne-Kilometre,2019Q1,Coke and refined petroleum products,180
Tonne-Kilometre,2019Q1,Chemicals and plastics,152
Tonne-Kilometre,2019Q1,Other non-metallic mineral products,274
Tonne-Kilometre,2019Q1,Metal products (except machinery and equipment),77
Tonne-Kilometre,2019Q1,Machinery and equipment,41
Tonne-Kilometre,2019Q1,Furniture and other manufactured goods,68
Tonne-Kilometre,2019Q1,Secondary raw materials and waste,83
Tonne-Kilometre,2019Q1,Other NST 2007 goods,523
Tonne-Kilometre,2019Q2,All NST 2007 goods,3136
Tonne-Kilometre,2019Q2,Products of agriculture forestry and fishing,358
Tonne-Kilometre,2019Q2,Coal and natural gas,17
Tonne-Kilometre,2019Q2,"Quarry products, metal ores and peat",353
Tonne-Kilometre,2019Q2,Foodstuffs,745
Tonne-Kilometre,2019Q2,Textiles and leather,26
Tonne-Kilometre,2019Q2,"Wood, pulp and paper",148
Tonne-Kilometre,2019Q2,Coke and refined petroleum products,161
Tonne-Kilometre,2019Q2,Chemicals and plastics,136
Tonne-Kilometre,2019Q2,Other non-metallic mineral products,301
Tonne-Kilometre,2019Q2,Metal products (except machinery and equipment),61
Tonne-Kilometre,2019Q2,Machinery and equipment,58
Tonne-Kilometre,2019Q2,Furniture and other manufactured goods,58
Tonne-Kilometre,2019Q2,Secondary raw materials and waste,98
Tonne-Kilometre,2019Q2,Other NST 2007 goods,617
Tonne-Kilometre,2019Q3,All NST 2007 goods,3277
Tonne-Kilometre,2019Q3,Products of agriculture forestry and fishing,293
Tonne-Kilometre,2019Q3,Coal and natural gas,9
Tonne-Kilometre,2019Q3,"Quarry products, metal ores and peat",443
Tonne-Kilometre,2019Q3,Foodstuffs,747
Tonne-Kilometre,2019Q3,Textiles and leather,7
Tonne-Kilometre,2019Q3,"Wood, pulp and paper",152
Tonne-Kilometre,2019Q3,Coke and refined petroleum products,215
Tonne-Kilometre,2019Q3,Chemicals and plastics,130
Tonne-Kilometre,2019Q3,Other non-metallic mineral products,276
Tonne-Kilometre,2019Q3,Metal products (except machinery and equipment),74
Tonne-Kilometre,2019Q3,Machinery and equipment,64
Tonne-Kilometre,2019Q3,Furniture and other manufactured goods,53
Tonne-Kilometre,2019Q3,Secondary raw materials and waste,167
Tonne-Kilometre,2019Q3,Other NST 2007 goods,648
Tonne-Kilometre,2019Q4,All NST 2007 goods,3100
Tonne-Kilometre,2019Q4,Products of agriculture forestry and fishing,353
Tonne-Kilometre,2019Q4,Coal and natural gas,23
Tonne-Kilometre,2019Q4,"Quarry products, metal ores and peat",312
Tonne-Kilometre,2019Q4,Foodstuffs,862
Tonne-Kilometre,2019Q4,Textiles and leather,29
Tonne-Kilometre,2019Q4,"Wood, pulp and paper",119
Tonne-Kilometre,2019Q4,Coke and refined petroleum products,161
Tonne-Kilometre,2019Q4,Chemicals and plastics,85
Tonne-Kilometre,2019Q4,Other non-metallic mineral products,266
Tonne-Kilometre,2019Q4,Metal products (except machinery and equipment),49
Tonne-Kilometre,2019Q4,Machinery and equipment,112
Tonne-Kilometre,2019Q4,Furniture and other manufactured goods,39
Tonne-Kilometre,2019Q4,Secondary raw materials and waste,121
Tonne-Kilometre,2019Q4,Other NST 2007 goods,571
Tonne-Kilometre,2020Q1,All NST 2007 goods,2873
Tonne-Kilometre,2020Q1,Products of agriculture forestry and fishing,273
Tonne-Kilometre,2020Q1,Coal and natural gas,24
Tonne-Kilometre,2020Q1,"Quarry products, metal ores and peat",324
Tonne-Kilometre,2020Q1,Foodstuffs,721
Tonne-Kilometre,2020Q1,Textiles and leather,18
Tonne-Kilometre,2020Q1,"Wood, pulp and paper",175
Tonne-Kilometre,2020Q1,Coke and refined petroleum products,163
Tonne-Kilometre,2020Q1,Chemicals and plastics,150
Tonne-Kilometre,2020Q1,Other non-metallic mineral products,225
Tonne-Kilometre,2020Q1,Metal products (except machinery and equipment),44
Tonne-Kilometre,2020Q1,Machinery and equipment,45
Tonne-Kilometre,2020Q1,Furniture and other manufactured goods,58
Tonne-Kilometre,2020Q1,Secondary raw materials and waste,92
Tonne-Kilometre,2020Q1,Other NST 2007 goods,561
Tonne-Kilometre,2020Q2,All NST 2007 goods,2406
Tonne-Kilometre,2020Q2,Products of agriculture forestry and fishing,290
Tonne-Kilometre,2020Q2,Coal and natural gas,8
Tonne-Kilometre,2020Q2,"Quarry products, metal ores and peat",224
Tonne-Kilometre,2020Q2,Foodstuffs,693
Tonne-Kilometre,2020Q2,Textiles and leather,8
Tonne-Kilometre,2020Q2,"Wood, pulp and paper",113
Tonne-Kilometre,2020Q2,Coke and refined petroleum products,168
Tonne-Kilometre,2020Q2,Chemicals and plastics,94
Tonne-Kilometre,2020Q2,Other non-metallic mineral products,171
Tonne-Kilometre,2020Q2,Metal products (except machinery and equipment),30
Tonne-Kilometre,2020Q2,Machinery and equipment,25
Tonne-Kilometre,2020Q2,Furniture and other manufactured goods,36
Tonne-Kilometre,2020Q2,Secondary raw materials and waste,99
Tonne-Kilometre,2020Q2,Other NST 2007 goods,446
Tonne-Kilometre,2020Q3,All NST 2007 goods,3110
Tonne-Kilometre,2020Q3,Products of agriculture forestry and fishing,333
Tonne-Kilometre,2020Q3,Coal and natural gas,9
Tonne-Kilometre,2020Q3,"Quarry products, metal ores and peat",350
Tonne-Kilometre,2020Q3,Foodstuffs,760
Tonne-Kilometre,2020Q3,Textiles and leather,23
Tonne-Kilometre,2020Q3,"Wood, pulp and paper",133
Tonne-Kilometre,2020Q3,Coke and refined petroleum products,275
Tonne-Kilometre,2020Q3,Chemicals and plastics,103
Tonne-Kilometre,2020Q3,Other non-metallic mineral products,291
Tonne-Kilometre,2020Q3,Metal products (except machinery and equipment),42
Tonne-Kilometre,2020Q3,Machinery and equipment,35
Tonne-Kilometre,2020Q3,Furniture and other manufactured goods,41
Tonne-Kilometre,2020Q3,Secondary raw materials and waste,94
Tonne-Kilometre,2020Q3,Other NST 2007 goods,620
Tonne-Kilometre,2020Q4,All NST 2007 goods,2994
Tonne-Kilometre,2020Q4,Products of agriculture forestry and fishing,289
Tonne-Kilometre,2020Q4,Coal and natural gas,47
Tonne-Kilometre,2020Q4,"Quarry products, metal ores and peat",296
Tonne-Kilometre,2020Q4,Foodstuffs,816
Tonne-Kilometre,2020Q4,Textiles and leather,30
Tonne-Kilometre,2020Q4,"Wood, pulp and paper",143
Tonne-Kilometre,2020Q4,Coke and refined petroleum products,204
Tonne-Kilometre,2020Q4,Chemicals and plastics,69
Tonne-Kilometre,2020Q4,Other non-metallic mineral products,273
Tonne-Kilometre,2020Q4,Metal products (except machinery and equipment),47
Tonne-Kilometre,2020Q4,Machinery and equipment,22
Tonne-Kilometre,2020Q4,Furniture and other manufactured goods,44
Tonne-Kilometre,2020Q4,Secondary raw materials and waste,108
Tonne-Kilometre,2020Q4,Other NST 2007 goods,606
Tonne-Kilometre,2021Q1,All NST 2007 goods,2852
Tonne-Kilometre,2021Q1,Products of agriculture forestry and fishing,358
Tonne-Kilometre,2021Q1,Coal and natural gas,20
Tonne-Kilometre,2021Q1,"Quarry products, metal ores and peat",263
Tonne-Kilometre,2021Q1,Foodstuffs,749
Tonne-Kilometre,2021Q1,Textiles and leather,14
Tonne-Kilometre,2021Q1,"Wood, pulp and paper",88
Tonne-Kilometre,2021Q1,Coke and refined petroleum products,220
Tonne-Kilometre,2021Q1,Chemicals and plastics,131
Tonne-Kilometre,2021Q1,Other non-metallic mineral products,190
Tonne-Kilometre,2021Q1,Metal products (except machinery and equipment),53
Tonne-Kilometre,2021Q1,Machinery and equipment,44
Tonne-Kilometre,2021Q1,Furniture and other manufactured goods,53
Tonne-Kilometre,2021Q1,Secondary raw materials and waste,117
Tonne-Kilometre,2021Q1,Other NST 2007 goods,553
Tonne-Kilometre,2021Q2,All NST 2007 goods,3239
Tonne-Kilometre,2021Q2,Products of agriculture forestry and fishing,320
Tonne-Kilometre,2021Q2,Coal and natural gas,26
Tonne-Kilometre,2021Q2,"Quarry products, metal ores and peat",445
Tonne-Kilometre,2021Q2,Foodstuffs,742
Tonne-Kilometre,2021Q2,Textiles and leather,11
Tonne-Kilometre,2021Q2,"Wood, pulp and paper",177
Tonne-Kilometre,2021Q2,Coke and refined petroleum products,179
Tonne-Kilometre,2021Q2,Chemicals and plastics,112
Tonne-Kilometre,2021Q2,Other non-metallic mineral products,274
Tonne-Kilometre,2021Q2,Metal products (except machinery and equipment),60
Tonne-Kilometre,2021Q2,Machinery and equipment,36
Tonne-Kilometre,2021Q2,Furniture and other manufactured goods,59
Tonne-Kilometre,2021Q2,Secondary raw materials and waste,137
Tonne-Kilometre,2021Q2,Other NST 2007 goods,661
Tonne-Kilometre,2021Q3,All NST 2007 goods,3326
Tonne-Kilometre,2021Q3,Products of agriculture forestry and fishing,423
Tonne-Kilometre,2021Q3,Coal and natural gas,15
Tonne-Kilometre,2021Q3,"Quarry products, metal ores and peat",442
Tonne-Kilometre,2021Q3,Foodstuffs,839
Tonne-Kilometre,2021Q3,Textiles and leather,28
Tonne-Kilometre,2021Q3,"Wood, pulp and paper",160
Tonne-Kilometre,2021Q3,Coke and refined petroleum products,251
Tonne-Kilometre,2021Q3,Chemicals and plastics,123
Tonne-Kilometre,2021Q3,Other non-metallic mineral products,260
Tonne-Kilometre,2021Q3,Metal products (except machinery and equipment),69
Tonne-Kilometre,2021Q3,Machinery and equipment,47
Tonne-Kilometre,2021Q3,Furniture and other manufactured goods,49
Tonne-Kilometre,2021Q3,Secondary raw materials and waste,104
Tonne-Kilometre,2021Q3,Other NST 2007 goods,517
Tonne-Kilometre,2021Q4,All NST 2007 goods,3082
Tonne-Kilometre,2021Q4,Products of agriculture forestry and fishing,220
Tonne-Kilometre,2021Q4,Coal and natural gas,33
Tonne-Kilometre,2021Q4,"Quarry products, metal ores and peat",362
Tonne-Kilometre,2021Q4,Foodstuffs,896
Tonne-Kilometre,2021Q4,Textiles and leather,18
Tonne-Kilometre,2021Q4,"Wood, pulp and paper",160
Tonne-Kilometre,2021Q4,Coke and refined petroleum products,204
Tonne-Kilometre,2021Q4,Chemicals and plastics,98
Tonne-Kilometre,2021Q4,Other non-metallic mineral products,233
Tonne-Kilometre,2021Q4,Metal products (except machinery and equipment),61
Tonne-Kilometre,2021Q4,Machinery and equipment,68
Tonne-Kilometre,2021Q4,Furniture and other manufactured goods,45
Tonne-Kilometre,2021Q4,Secondary raw materials and waste,93
Tonne-Kilometre,2021Q4,Other NST 2007 goods,591
Tonne-Kilometre,2022Q1,All NST 2007 goods,3048
Tonne-Kilometre,2022Q1,Products of agriculture forestry and fishing,243
Tonne-Kilometre,2022Q1,Coal and natural gas,30
Tonne-Kilometre,2022Q1,"Quarry products, metal ores and peat",435
Tonne-Kilometre,2022Q1,Foodstuffs,713
Tonne-Kilometre,2022Q1,Textiles and leather,8
Tonne-Kilometre,2022Q1,"Wood, pulp and paper",112
Tonne-Kilometre,2022Q1,Coke and refined petroleum products,275
Tonne-Kilometre,2022Q1,Chemicals and plastics,179
Tonne-Kilometre,2022Q1,Other non-metallic mineral products,283
Tonne-Kilometre,2022Q1,Metal products (except machinery and equipment),43
Tonne-Kilometre,2022Q1,Machinery and equipment,80
Tonne-Kilometre,2022Q1,Furniture and other manufactured goods,34
Tonne-Kilometre,2022Q1,Secondary raw materials and waste,98
Tonne-Kilometre,2022Q1,Other NST 2007 goods,515
Tonne-Kilometre,2022Q2,All NST 2007 goods,3364
Tonne-Kilometre,2022Q2,Products of agriculture forestry and fishing,408
Tonne-Kilometre,2022Q2,Coal and natural gas,15
Tonne-Kilometre,2022Q2,"Quarry products, metal ores and peat",381
Tonne-Kilometre,2022Q2,Foodstuffs,898
Tonne-Kilometre,2022Q2,Textiles and leather,28
Tonne-Kilometre,2022Q2,"Wood, pulp and paper",161
Tonne-Kilometre,2022Q2,Coke and refined petroleum products,126
Tonne-Kilometre,2022Q2,Chemicals and plastics,120
Tonne-Kilometre,2022Q2,Other non-metallic mineral products,367
Tonne-Kilometre,2022Q2,Metal products (except machinery and equipment),57
Tonne-Kilometre,2022Q2,Machinery and equipment,72
Tonne-Kilometre,2022Q2,Furniture and other manufactured goods,37
Tonne-Kilometre,2022Q2,Secondary raw materials and waste,108
Tonne-Kilometre,2022Q2,Other NST 2007 goods,586
Tonne-Kilometre,2022Q3,All NST 2007 goods,2969
Tonne-Kilometre,2022Q3,Products of agriculture forestry and fishing,332
Tonne-Kilometre,2022Q3,Coal and natural gas,27
Tonne-Kilometre,2022Q3,"Quarry products, metal ores and peat",426
Tonne-Kilometre,2022Q3,Foodstuffs,740
Tonne-Kilometre,2022Q3,Textiles and leather,40
Tonne-Kilometre,2022Q3,"Wood, pulp and paper",107
Tonne-Kilometre,2022Q3,Coke and refined petroleum products,149
Tonne-Kilometre,2022Q3,Chemicals and plastics,105
Tonne-Kilometre,2022Q3,Other non-metallic mineral products,259
Tonne-Kilometre,2022Q3,Metal products (except machinery and equipment),77
Tonne-Kilometre,2022Q3,Machinery and equipment,81
Tonne-Kilometre,2022Q3,Furniture and other manufactured goods,47
Tonne-Kilometre,2022Q3,Secondary raw materials and waste,111
Tonne-Kilometre,2022Q3,Other NST 2007 goods,467
Tonne-Kilometre,2022Q4,All NST 2007 goods,2998
Tonne-Kilometre,2022Q4,Products of agriculture forestry and fishing,276
Tonne-Kilometre,2022Q4,Coal and natural gas,6
Tonne-Kilometre,2022Q4,"Quarry products, metal ores and peat",428
Tonne-Kilometre,2022Q4,Foodstuffs,754
Tonne-Kilometre,2022Q4,Textiles and leather,9
Tonne-Kilometre,2022Q4,"Wood, pulp and paper",177
Tonne-Kilometre,2022Q4,Coke and refined petroleum products,258
Tonne-Kilometre,2022Q4,Chemicals and plastics,111
Tonne-Kilometre,2022Q4,Other non-metallic mineral products,257
Tonne-Kilometre,2022Q4,Metal products (except machinery and equipment),39
Tonne-Kilometre,2022Q4,Machinery and equipment,100
Tonne-Kilometre,2022Q4,Furniture and other manufactured goods,40
Tonne-Kilometre,2022Q4,Secondary raw materials and waste,94
Tonne-Kilometre,2022Q4,Other NST 2007 goods,449
Tonne-Kilometre,2023Q1,All NST 2007 goods,3082
Tonne-Kilometre,2023Q1,Products of agriculture forestry and fishing,431
Tonne-Kilometre,2023Q1,Coal and natural gas,24
Tonne-Kilometre,2023Q1,"Quarry products, metal ores and peat",422
Tonne-Kilometre,2023Q1,Foodstuffs,693
Tonne-Kilometre,2023Q1,Textiles and leather,31
Tonne-Kilometre,2023Q1,"Wood, pulp and paper",136
Tonne-Kilometre,2023Q1,Coke and refined petroleum products,205
Tonne-Kilometre,2023Q1,Chemicals and plastics,83
Tonne-Kilometre,2023Q1,Other non-metallic mineral products,354
Tonne-Kilometre,2023Q1,Metal products (except machinery and equipment),52
Tonne-Kilometre,2023Q1,Machinery and equipment,48
Tonne-Kilometre,2023Q1,Furniture and other manufactured goods,51
Tonne-Kilometre,2023Q1,Secondary raw materials and waste,87
Tonne-Kilometre,2023Q1,Other NST 2007 goods,466
Tonne-Kilometre,2023Q2,All NST 2007 goods,3278
Tonne-Kilometre,2023Q2,Products of agriculture forestry and fishing,335
Tonne-Kilometre,2023Q2,Coal and natural gas,17
Tonne-Kilometre,2023Q2,"Quarry products, metal ores and peat",528
Tonne-Kilometre,2023Q2,Foodstuffs,743
Tonne-Kilometre,2023Q2,Textiles and leather,29
Tonne-Kilometre,2023Q2,"Wood, pulp and paper",174
Tonne-Kilometre,2023Q2,Coke and refined petroleum products,178
Tonne-Kilometre,2023Q2,Chemicals and plastics,112
Tonne-Kilometre,2023Q2,Other non-metallic mineral products,365
Tonne-Kilometre,2023Q2,Metal products (except machinery and equipment),36
Tonne-Kilometre,2023Q2,Machinery and equipment,56
Tonne-Kilometre,2023Q2,Furniture and other manufactured goods,45
Tonne-Kilometre,2023Q2,Secondary raw materials and waste,122
Tonne-Kilometre,2023Q2,Other NST 2007 goods,539
Tonnes Carried,2009Q1,All NST 2007 goods,42164
Tonnes Carried,2009Q1,Products of agriculture forestry and fishing,2063
Tonnes Carried,2009Q1,Coal and natural gas,757
Tonnes Carried,2009Q1,"Quarry products, metal ores and peat",13920
Tonnes Carried,2009Q1,Foodstuffs,6160
Tonnes Carried,2009Q1,Textiles and leather,204
Tonnes Carried,2009Q1,"Wood, pulp and paper",2024
Tonnes Carried,2009Q1,Coke and refined petroleum products,2784
Tonnes Carried,2009Q1,Chemicals and plastics,1584
Tonnes Carried,2009Q1,Other non-metallic mineral products,5353
Tonnes Carried,2009Q1,Metal products (except machinery and equipment),854
Tonnes Carried,2009Q1,Machinery and equipment,1067
Tonnes Carried,2009Q1,Furniture and other manufactured goods,695
Tonnes Carried,2009Q1,Secondary raw materials and waste,1547
Tonnes Carried,2009Q1,Other NST 2007 goods,3152
Tonnes Carried,2009Q2,All NST 2007 goods,37377
Tonnes Carried,2009Q2,Products of agriculture forestry and fishing,2164
Tonnes Carried,2009Q2,Coal and natural gas,383
Tonnes Carried,2009Q2,"Quarry products, metal ores and peat",13368
Tonnes Carried,2009Q2,Foodstuffs,5253
Tonnes Carried,2009Q2,Textiles and leather,128
Tonnes Carried,2009Q2,"Wood, pulp and paper",1378
Tonnes Carried,2009Q2,Coke and refined petroleum products,2507
Tonnes Carried,2009Q2,Chemicals and plastics,1251
Tonnes Carried,2009Q2,Other non-metallic mineral products,5568
Tonnes Carried,2009Q2,Metal products (except machinery and equipment),726
Tonnes Carried,2009Q2,Machinery and equipment,713
Tonnes Carried,2009Q2,Furniture and other manufactured goods,374
Tonnes Carried,2009Q2,Secondary raw materials and waste,880
Tonnes Carried,2009Q2,Other NST 2007 goods,2684
Tonnes Carried,2009Q3,All NST 2007 goods,35612
Tonnes Carried,2009Q3,Products of agriculture forestry and fishing,2009
Tonnes Carried,2009Q3,Coal and natural gas,367
Tonnes Carried,2009Q3,"Quarry products, metal ores and peat",10830
Tonnes Carried,2009Q3,Foodstuffs,6223
Tonnes Carried,2009Q3,Textiles and leather,382
Tonnes Carried,2009Q3,"Wood, pulp and paper",808
Tonnes Carried,2009Q3,Coke and refined petroleum products,2194
Tonnes Carried,2009Q3,Chemicals and plastics,753
Tonnes Carried,2009Q3,Other non-metallic mineral products,7284
Tonnes Carried,2009Q3,Metal products (except machinery and equipment),704
Tonnes Carried,2009Q3,Machinery and equipment,685
Tonnes Carried,2009Q3,Furniture and other manufactured goods,462
Tonnes Carried,2009Q3,Secondary raw materials and waste,555
Tonnes Carried,2009Q3,Other NST 2007 goods,2359
Tonnes Carried,2009Q4,All NST 2007 goods,33161
Tonnes Carried,2009Q4,Products of agriculture forestry and fishing,2644
Tonnes Carried,2009Q4,Coal and natural gas,616
