Statistic,Quarter,NST.Group,value
Tonne-Kilometre,2010Q3,Products of agriculture forestry and fishing,287
Tonne-Kilometre,2010Q3,Coal and natural gas,7
Tonne-Kilometre,2010Q3,"Quarry products, metal ores and peat",278
Tonne-Kilometre,2010Q3,Foodstuffs,652
Tonne-Kilometre,2010Q3,Textiles and leather,24
Tonne-Kilometre,2010Q3,"Wood, pulp and paper",185
Tonne-Kilometre,2010Q3,Coke and refined petroleum products,201
Tonne-Kilometre,2010Q3,Chemicals and plastics,101
Tonne-Kilometre,2010Q3,Other non-metallic mineral products,217
Tonne-Kilometre,2010Q3,Metal products (except machinery and equipment),75
Tonne-Kilometre,2010Q3,Machinery and equipment,75
Tonne-Kilometre,2010Q3,Furniture and other manufactured goods,25
Tonne-Kilometre,2010Q3,Secondary raw materials and waste,43
Tonne-Kilometre,2010Q3,Other NST 2007 goods,557
Tonne-Kilometre,2010Q4,All NST 2007 goods,2487
Tonne-Kilometre,2010Q4,Products of agriculture forestry and fishing,268
Tonne-Kilometre,2010Q4,Coal and natural gas,30
Tonne-Kilometre,2010Q4,"Quarry products, metal ores and peat",213
Tonne-Kilometre,2010Q4,Foodstuffs,658
Tonne-Kilometre,2010Q4,Textiles and leather,40
Tonne-Kilometre,2010Q4,"Wood, pulp and paper",146
Tonne-Kilometre,2010Q4,Coke and refined petroleum products,257
Tonne-Kilometre,2010Q4,Chemicals and plastics,93
Tonne-Kilometre,2010Q4,Other non-metallic mineral products,158
Tonne-Kilometre,2010Q4,Metal products (except machinery and equipment),48
Tonne-Kilometre,2010Q4,Machinery and equipment,57
Tonne-Kilometre,2010Q4,Furniture and other manufactured goods,35
Tonne-Kilometre,2010Q4,Secondary raw materials and waste,58
Tonne-Kilometre,2010Q4,Other NST 2007 goods,427
Tonne-Kilometre,2011Q1,All NST 2007 goods,2589
Tonne-Kilometre,2011Q1,Products of agriculture forestry and fishing,309
Tonne-Kilometre,2011Q1,Coal and natural gas,33
Tonne-Kilometre,2011Q1,"Quarry products, metal ores and peat",184
Tonne-Kilometre,2011Q1,Foodstuffs,599
Tonne-Kilometre,2011Q1,Textiles and leather,43
Tonne-Kilometre,2011Q1,"Wood, pulp and paper",143
Tonne-Kilometre,2011Q1,Coke and refined petroleum products,250
Tonne-Kilometre,2011Q1,Chemicals and plastics,127
Tonne-Kilometre,2011Q1,Other non-metallic mineral products,121
Tonne-Kilometre,2011Q1,Metal products (except machinery and equipment),69
Tonne-Kilometre,2011Q1,Machinery and equipment,72
Tonne-Kilometre,2011Q1,Furniture and other manufactured goods,32
Tonne-Kilometre,2011Q1,Secondary raw materials and waste,74
Tonne-Kilometre,2011Q1,Other NST 2007 goods,533
Tonne-Kilometre,2011Q2,All NST 2007 goods,2620
Tonne-Kilometre,2011Q2,Products of agriculture forestry and fishing,341
Tonne-Kilometre,2011Q2,Coal and natural gas,16
Tonne-Kilometre,2011Q2,"Quarry products, metal ores and peat",246
Tonne-Kilometre,2011Q2,Foodstuffs,724
Tonne-Kilometre,2011Q2,Textiles and leather,32
Tonne-Kilometre,2011Q2,"Wood, pulp and paper",146
Tonne-Kilometre,2011Q2,Coke and refined petroleum products,159
Tonne-Kilometre,2011Q2,Chemicals and plastics,130
Tonne-Kilometre,2011Q2,Other non-metallic mineral products,122
Tonne-Kilometre,2011Q2,Metal products (except machinery and equipment),52
Tonne-Kilometre,2011Q2,Machinery and equipment,52
Tonne-Kilometre,2011Q2,Furniture and other manufactured goods,41
Tonne-Kilometre,2011Q2,Secondary raw materials and waste,64
Tonne-Kilometre,2011Q2,Other NST 2007 goods,495
Tonne-Kilometre,2011Q3,All NST 2007 goods,2572
Tonne-Kilometre,2011Q3,Products of agriculture forestry and fishing,301
Tonne-Kilometre,2011Q3,Coal and natural gas,23
Tonne-Kilometre,2011Q3,"Quarry products, metal ores and peat",260
Tonne-Kilometre,2011Q3,Foodstuffs,670
Tonne-Kilometre,2011Q3,Textiles and leather,30
Tonne-Kilometre,2011Q3,"Wood, pulp and paper",145
Tonne-Kilometre,2011Q3,Coke and refined petroleum products,142
Tonne-Kilometre,2011Q3,Chemicals and plastics,67
Tonne-Kilometre,2011Q3,Other non-metallic mineral products,197
Tonne-Kilometre,2011Q3,Metal products (except machinery and equipment),69
Tonne-Kilometre,2011Q3,Machinery and equipment,77
Tonne-Kilometre,2011Q3,Furniture and other manufactured goods,40
Tonne-Kilometre,2011Q3,Secondary raw materials and waste,70
Tonne-Kilometre,2011Q3,Other NST 2007 goods,482
Tonne-Kilometre,2011Q4,All NST 2007 goods,2160
Tonne-Kilometre,2011Q4,Products of agriculture forestry and fishing,240
Tonne-Kilometre,2011Q4,Coal and natural gas,16
Tonne-Kilometre,2011Q4,"Quarry products, metal ores and peat",187
Tonne-Kilometre,2011Q4,Foodstuffs,584
