Statistic,Quarter,Type.of.House,Local.Authority,value
New Dwelling Completion,2013Q1,Apartment,Offaly County Council,0
New Dwelling Completion,2013Q1,Apartment,Roscommon County Council,0
New Dwelling Completion,2013Q1,Apartment,South Dublin County Council,5
New Dwelling Completion,2013Q1,Apartment,Sligo County Council,4
New Dwelling Completion,2013Q1,Apartment,Tipperary County Council,0
New Dwelling Completion,2013Q1,Apartment,Waterford City & County Council,0
New Dwelling Completion,2013Q1,Apartment,Westmeath County Council,0
New Dwelling Completion,2013Q1,Apartment,Wicklow County Council,1
New Dwelling Completion,2013Q1,Apartment,Wexford County Council,0
New Dwelling Completion,2013Q1,Apartment,Ireland,77
New Dwelling Completion,2013Q1,All house types,Cork City Council,16
New Dwelling Completion,2013Q1,All house types,Clare County Council,27
New Dwelling Completion,2013Q1,All house types,Cavan County Council,15
New Dwelling Completion,2013Q1,All house types,Cork County Council,88
New Dwelling Completion,2013Q1,All house types,Carlow County Council,7
New Dwelling Completion,2013Q1,All house types,Dublin City Council,36
New Dwelling Completion,2013Q1,All house types,Dún Laoghaire Rathdown County Council,22
New Dwelling Completion,2013Q1,All house types,Donegal County Council,54
New Dwelling Completion,2013Q1,All house types,Fingal County Council,27
New Dwelling Completion,2013Q1,All house types,Galway County Council,75
New Dwelling Completion,2013Q1,All house types,Galway City Council,3
New Dwelling Completion,2013Q1,All house types,Kildare County Council,34
New Dwelling Completion,2013Q1,All house types,Kilkenny County Council,19
New Dwelling Completion,2013Q1,All house types,Kerry County Council,39
New Dwelling Completion,2013Q1,All house types,Longford County Council,8
New Dwelling Completion,2013Q1,All house types,Louth County Council,48
New Dwelling Completion,2013Q1,All house types,Limerick City & County Council,46
New Dwelling Completion,2013Q1,All house types,Leitrim County Council,10
New Dwelling Completion,2013Q1,All house types,Laois County Council,13
New Dwelling Completion,2013Q1,All house types,Meath County Council,36
New Dwelling Completion,2013Q1,All house types,Monaghan County Council,16
New Dwelling Completion,2013Q1,All house types,Mayo County Council,38
New Dwelling Completion,2013Q1,All house types,Offaly County Council,12
New Dwelling Completion,2013Q1,All house types,Roscommon County Council,22
New Dwelling Completion,2013Q1,All house types,South Dublin County Council,28
New Dwelling Completion,2013Q1,All house types,Sligo County Council,30
New Dwelling Completion,2013Q1,All house types,Tipperary County Council,25
New Dwelling Completion,2013Q1,All house types,Waterford City & County Council,23
New Dwelling Completion,2013Q1,All house types,Westmeath County Council,13
New Dwelling Completion,2013Q1,All house types,Wicklow County Council,30
New Dwelling Completion,2013Q1,All house types,Wexford County Council,29
New Dwelling Completion,2013Q1,All house types,Ireland,889
New Dwelling Completion,2013Q2,Single house,Cork City Council,7
New Dwelling Completion,2013Q2,Single house,Clare County Council,30
New Dwelling Completion,2013Q2,Single house,Cavan County Council,16
New Dwelling Completion,2013Q2,Single house,Cork County Council,83
New Dwelling Completion,2013Q2,Single house,Carlow County Council,9
New Dwelling Completion,2013Q2,Single house,Dublin City Council,12
New Dwelling Completion,2013Q2,Single house,Dún Laoghaire Rathdown County Council,14
New Dwelling Completion,2013Q2,Single house,Donegal County Council,56
New Dwelling Completion,2013Q2,Single house,Fingal County Council,11
New Dwelling Completion,2013Q2,Single house,Galway County Council,57
New Dwelling Completion,2013Q2,Single house,Galway City Council,3
New Dwelling Completion,2013Q2,Single house,Kildare County Council,18
New Dwelling Completion,2013Q2,Single house,Kilkenny County Council,23
New Dwelling Completion,2013Q2,Single house,Kerry County Council,42
New Dwelling Completion,2013Q2,Single house,Longford County Council,7
New Dwelling Completion,2013Q2,Single house,Louth County Council,23
New Dwelling Completion,2013Q2,Single house,Limerick City & County Council,35
New Dwelling Completion,2013Q2,Single house,Leitrim County Council,8
New Dwelling Completion,2013Q2,Single house,Laois County Council,17
New Dwelling Completion,2013Q2,Single house,Meath County Council,28
New Dwelling Completion,2013Q2,Single house,Monaghan County Council,13
New Dwelling Completion,2013Q2,Single house,Mayo County Council,42
New Dwelling Completion,2013Q2,Single house,Offaly County Council,14
New Dwelling Completion,2013Q2,Single house,Roscommon County Council,15
New Dwelling Completion,2013Q2,Single house,South Dublin County Council,3
New Dwelling Completion,2013Q2,Single house,Sligo County Council,15
New Dwelling Completion,2013Q2,Single house,Tipperary County Council,33
New Dwelling Completion,2013Q2,Single house,Waterford City & County Council,15
New Dwelling Completion,2013Q2,Single house,Westmeath County Council,17
New Dwelling Completion,2013Q2,Single house,Wicklow County Council,22
New Dwelling Completion,2013Q2,Single house,Wexford County Council,33
New Dwelling Completion,2013Q2,Single house,Ireland,721
New Dwelling Completion,2013Q2,Scheme house,Cork City Council,62
New Dwelling Completion,2013Q2,Scheme house,Clare County Council,0
New Dwelling Completion,2013Q2,Scheme house,Cavan County Council,1
New Dwelling Completion,2013Q2,Scheme house,Cork County Council,18
New Dwelling Completion,2013Q2,Scheme house,Carlow County Council,0
New Dwelling Completion,2013Q2,Scheme house,Dublin City Council,19
New Dwelling Completion,2013Q2,Scheme house,Dún Laoghaire Rathdown County Council,10
New Dwelling Completion,2013Q2,Scheme house,Donegal County Council,2
New Dwelling Completion,2013Q2,Scheme house,Fingal County Council,13
New Dwelling Completion,2013Q2,Scheme house,Galway County Council,0
New Dwelling Completion,2013Q2,Scheme house,Galway City Council,0
New Dwelling Completion,2013Q2,Scheme house,Kildare County Council,34
New Dwelling Completion,2013Q2,Scheme house,Kilkenny County Council,2
New Dwelling Completion,2013Q2,Scheme house,Kerry County Council,0
New Dwelling Completion,2013Q2,Scheme house,Longford County Council,0
New Dwelling Completion,2013Q2,Scheme house,Louth County Council,56
New Dwelling Completion,2013Q2,Scheme house,Limerick City & County Council,0
New Dwelling Completion,2013Q2,Scheme house,Leitrim County Council,0
New Dwelling Completion,2013Q2,Scheme house,Laois County Council,5
New Dwelling Completion,2013Q2,Scheme house,Meath County Council,9
New Dwelling Completion,2013Q2,Scheme house,Monaghan County Council,2
New Dwelling Completion,2013Q2,Scheme house,Mayo County Council,1
New Dwelling Completion,2013Q2,Scheme house,Offaly County Council,0
New Dwelling Completion,2013Q2,Scheme house,Roscommon County Council,0
New Dwelling Completion,2013Q2,Scheme house,South Dublin County Council,14
New Dwelling Completion,2013Q2,Scheme house,Sligo County Council,0
New Dwelling Completion,2013Q2,Scheme house,Tipperary County Council,5
New Dwelling Completion,2013Q2,Scheme house,Waterford City & County Council,6
New Dwelling Completion,2013Q2,Scheme house,Westmeath County Council,1
New Dwelling Completion,2013Q2,Scheme house,Wicklow County Council,16
New Dwelling Completion,2013Q2,Scheme house,Wexford County Council,5
New Dwelling Completion,2013Q2,Scheme house,Ireland,281
New Dwelling Completion,2013Q2,Apartment,Cork City Council,0
New Dwelling Completion,2013Q2,Apartment,Clare County Council,1
New Dwelling Completion,2013Q2,Apartment,Cavan County Council,0
New Dwelling Completion,2013Q2,Apartment,Cork County Council,0
New Dwelling Completion,2013Q2,Apartment,Carlow County Council,1
New Dwelling Completion,2013Q2,Apartment,Dublin City Council,80
New Dwelling Completion,2013Q2,Apartment,Dún Laoghaire Rathdown County Council,0
New Dwelling Completion,2013Q2,Apartment,Donegal County Council,2
New Dwelling Completion,2013Q2,Apartment,Fingal County Council,1
New Dwelling Completion,2013Q2,Apartment,Galway County Council,0
New Dwelling Completion,2013Q2,Apartment,Galway City Council,28
New Dwelling Completion,2013Q2,Apartment,Kildare County Council,0
New Dwelling Completion,2013Q2,Apartment,Kilkenny County Council,9
New Dwelling Completion,2013Q2,Apartment,Kerry County Council,0
New Dwelling Completion,2013Q2,Apartment,Longford County Council,0
New Dwelling Completion,2013Q2,Apartment,Louth County Council,0
New Dwelling Completion,2013Q2,Apartment,Limerick City & County Council,1
New Dwelling Completion,2013Q2,Apartment,Leitrim County Council,4
New Dwelling Completion,2013Q2,Apartment,Laois County Council,2
New Dwelling Completion,2013Q2,Apartment,Meath County Council,0
New Dwelling Completion,2013Q2,Apartment,Monaghan County Council,0
New Dwelling Completion,2013Q2,Apartment,Mayo County Council,2
New Dwelling Completion,2013Q2,Apartment,Offaly County Council,0
New Dwelling Completion,2013Q2,Apartment,Roscommon County Council,1
New Dwelling Completion,2013Q2,Apartment,South Dublin County Council,8
New Dwelling Completion,2013Q2,Apartment,Sligo County Council,0
New Dwelling Completion,2013Q2,Apartment,Tipperary County Council,0
New Dwelling Completion,2013Q2,Apartment,Waterford City & County Council,0
New Dwelling Completion,2013Q2,Apartment,Westmeath County Council,0
New Dwelling Completion,2013Q2,Apartment,Wicklow County Council,3
New Dwelling Completion,2013Q2,Apartment,Wexford County Council,1
New Dwelling Completion,2013Q2,Apartment,Ireland,144
New Dwelling Completion,2013Q2,All house types,Cork City Council,69
New Dwelling Completion,2013Q2,All house types,Clare County Council,31
New Dwelling Completion,2013Q2,All house types,Cavan County Council,17
New Dwelling Completion,2013Q2,All house types,Cork County Council,101
New Dwelling Completion,2013Q2,All house types,Carlow County Council,10
New Dwelling Completion,2013Q2,All house types,Dublin City Council,111
New Dwelling Completion,2013Q2,All house types,Dún Laoghaire Rathdown County Council,24
New Dwelling Completion,2013Q2,All house types,Donegal County Council,60
New Dwelling Completion,2013Q2,All house types,Fingal County Council,25
New Dwelling Completion,2013Q2,All house types,Galway County Council,57
New Dwelling Completion,2013Q2,All house types,Galway City Council,31
New Dwelling Completion,2013Q2,All house types,Kildare County Council,52
New Dwelling Completion,2013Q2,All house types,Kilkenny County Council,34
New Dwelling Completion,2013Q2,All house types,Kerry County Council,42
New Dwelling Completion,2013Q2,All house types,Longford County Council,7
New Dwelling Completion,2013Q2,All house types,Louth County Council,79
New Dwelling Completion,2013Q2,All house types,Limerick City & County Council,36
New Dwelling Completion,2013Q2,All house types,Leitrim County Council,12
New Dwelling Completion,2013Q2,All house types,Laois County Council,24
New Dwelling Completion,2013Q2,All house types,Meath County Council,37
New Dwelling Completion,2013Q2,All house types,Monaghan County Council,15
New Dwelling Completion,2013Q2,All house types,Mayo County Council,45
New Dwelling Completion,2013Q2,All house types,Offaly County Council,14
New Dwelling Completion,2013Q2,All house types,Roscommon County Council,16
New Dwelling Completion,2013Q2,All house types,South Dublin County Council,25
New Dwelling Completion,2013Q2,All house types,Sligo County Council,15
New Dwelling Completion,2013Q2,All house types,Tipperary County Council,38
New Dwelling Completion,2013Q2,All house types,Waterford City & County Council,21
New Dwelling Completion,2013Q2,All house types,Westmeath County Council,18
New Dwelling Completion,2013Q2,All house types,Wicklow County Council,41
New Dwelling Completion,2013Q2,All house types,Wexford County Council,39
New Dwelling Completion,2013Q2,All house types,Ireland,1146
New Dwelling Completion,2013Q3,Single house,Cork City Council,9
New Dwelling Completion,2013Q3,Single house,Clare County Council,24
New Dwelling Completion,2013Q3,Single house,Cavan County Council,13
New Dwelling Completion,2013Q3,Single house,Cork County Council,91
New Dwelling Completion,2013Q3,Single house,Carlow County Council,16
New Dwelling Completion,2013Q3,Single house,Dublin City Council,10
New Dwelling Completion,2013Q3,Single house,Dún Laoghaire Rathdown County Council,10
New Dwelling Completion,2013Q3,Single house,Donegal County Council,51
New Dwelling Completion,2013Q3,Single house,Fingal County Council,10
New Dwelling Completion,2013Q3,Single house,Galway County Council,58
New Dwelling Completion,2013Q3,Single house,Galway City Council,6
New Dwelling Completion,2013Q3,Single house,Kildare County Council,27
New Dwelling Completion,2013Q3,Single house,Kilkenny County Council,29
New Dwelling Completion,2013Q3,Single house,Kerry County Council,47
New Dwelling Completion,2013Q3,Single house,Longford County Council,7
New Dwelling Completion,2013Q3,Single house,Louth County Council,14
New Dwelling Completion,2013Q3,Single house,Limerick City & County Council,22
New Dwelling Completion,2013Q3,Single house,Leitrim County Council,10
New Dwelling Completion,2013Q3,Single house,Laois County Council,16
New Dwelling Completion,2013Q3,Single house,Meath County Council,23
New Dwelling Completion,2013Q3,Single house,Monaghan County Council,18
New Dwelling Completion,2013Q3,Single house,Mayo County Council,35
New Dwelling Completion,2013Q3,Single house,Offaly County Council,8
New Dwelling Completion,2013Q3,Single house,Roscommon County Council,13
New Dwelling Completion,2013Q3,Single house,South Dublin County Council,6
New Dwelling Completion,2013Q3,Single house,Sligo County Council,22
New Dwelling Completion,2013Q3,Single house,Tipperary County Council,19
New Dwelling Completion,2013Q3,Single house,Waterford City & County Council,18
New Dwelling Completion,2013Q3,Single house,Westmeath County Council,17
New Dwelling Completion,2013Q3,Single house,Wicklow County Council,20
New Dwelling Completion,2013Q3,Single house,Wexford County Council,58
New Dwelling Completion,2013Q3,Single house,Ireland,727
New Dwelling Completion,2013Q3,Scheme house,Cork City Council,4
New Dwelling Completion,2013Q3,Scheme house,Clare County Council,1
New Dwelling Completion,2013Q3,Scheme house,Cavan County Council,3
New Dwelling Completion,2013Q3,Scheme house,Cork County Council,12
New Dwelling Completion,2013Q3,Scheme house,Carlow County Council,0
New Dwelling Completion,2013Q3,Scheme house,Dublin City Council,22
New Dwelling Completion,2013Q3,Scheme house,Dún Laoghaire Rathdown County Council,20
New Dwelling Completion,2013Q3,Scheme house,Donegal County Council,11
New Dwelling Completion,2013Q3,Scheme house,Fingal County Council,50
New Dwelling Completion,2013Q3,Scheme house,Galway County Council,4
New Dwelling Completion,2013Q3,Scheme house,Galway City Council,2
New Dwelling Completion,2013Q3,Scheme house,Kildare County Council,24
New Dwelling Completion,2013Q3,Scheme house,Kilkenny County Council,1
New Dwelling Completion,2013Q3,Scheme house,Kerry County Council,7
New Dwelling Completion,2013Q3,Scheme house,Longford County Council,2
New Dwelling Completion,2013Q3,Scheme house,Louth County Council,21
New Dwelling Completion,2013Q3,Scheme house,Limerick City & County Council,2
New Dwelling Completion,2013Q3,Scheme house,Leitrim County Council,0
New Dwelling Completion,2013Q3,Scheme house,Laois County Council,2
New Dwelling Completion,2013Q3,Scheme house,Meath County Council,9
New Dwelling Completion,2013Q3,Scheme house,Monaghan County Council,0
New Dwelling Completion,2013Q3,Scheme house,Mayo County Council,6
New Dwelling Completion,2013Q3,Scheme house,Offaly County Council,2
New Dwelling Completion,2013Q3,Scheme house,Roscommon County Council,7
New Dwelling Completion,2013Q3,Scheme house,South Dublin County Council,26
New Dwelling Completion,2013Q3,Scheme house,Sligo County Council,0
New Dwelling Completion,2013Q3,Scheme house,Tipperary County Council,3
New Dwelling Completion,2013Q3,Scheme house,Waterford City & County Council,6
New Dwelling Completion,2013Q3,Scheme house,Westmeath County Council,0
New Dwelling Completion,2013Q3,Scheme house,Wicklow County Council,18
New Dwelling Completion,2013Q3,Scheme house,Wexford County Council,2
New Dwelling Completion,2013Q3,Scheme house,Ireland,267
New Dwelling Completion,2013Q3,Apartment,Cork City Council,1
New Dwelling Completion,2013Q3,Apartment,Clare County Council,1
New Dwelling Completion,2013Q3,Apartment,Cavan County Council,0
New Dwelling Completion,2013Q3,Apartment,Cork County Council,0
New Dwelling Completion,2013Q3,Apartment,Carlow County Council,0
New Dwelling Completion,2013Q3,Apartment,Dublin City Council,25
New Dwelling Completion,2013Q3,Apartment,Dún Laoghaire Rathdown County Council,0
New Dwelling Completion,2013Q3,Apartment,Donegal County Council,0
New Dwelling Completion,2013Q3,Apartment,Fingal County Council,1
New Dwelling Completion,2013Q3,Apartment,Galway County Council,0
New Dwelling Completion,2013Q3,Apartment,Galway City Council,1
New Dwelling Completion,2013Q3,Apartment,Kildare County Council,0
New Dwelling Completion,2013Q3,Apartment,Kilkenny County Council,1
New Dwelling Completion,2013Q3,Apartment,Kerry County Council,0
New Dwelling Completion,2013Q3,Apartment,Longford County Council,0
New Dwelling Completion,2013Q3,Apartment,Louth County Council,2
New Dwelling Completion,2013Q3,Apartment,Limerick City & County Council,0
New Dwelling Completion,2013Q3,Apartment,Leitrim County Council,0
New Dwelling Completion,2013Q3,Apartment,Laois County Council,0
New Dwelling Completion,2013Q3,Apartment,Meath County Council,1
New Dwelling Completion,2013Q3,Apartment,Monaghan County Council,0
New Dwelling Completion,2013Q3,Apartment,Mayo County Council,0
New Dwelling Completion,2013Q3,Apartment,Offaly County Council,0
New Dwelling Completion,2013Q3,Apartment,Roscommon County Council,0
New Dwelling Completion,2013Q3,Apartment,South Dublin County Council,1
New Dwelling Completion,2013Q3,Apartment,Sligo County Council,1
New Dwelling Completion,2013Q3,Apartment,Tipperary County Council,1
New Dwelling Completion,2013Q3,Apartment,Waterford City & County Council,0
New Dwelling Completion,2013Q3,Apartment,Westmeath County Council,0
New Dwelling Completion,2013Q3,Apartment,Wicklow County Council,3
New Dwelling Completion,2013Q3,Apartment,Wexford County Council,0
New Dwelling Completion,2013Q3,Apartment,Ireland,39
New Dwelling Completion,2013Q3,All house types,Cork City Council,14
New Dwelling Completion,2013Q3,All house types,Clare County Council,26
New Dwelling Completion,2013Q3,All house types,Cavan County Council,16
New Dwelling Completion,2013Q3,All house types,Cork County Council,103
New Dwelling Completion,2013Q3,All house types,Carlow County Council,16
New Dwelling Completion,2013Q3,All house types,Dublin City Council,57
New Dwelling Completion,2013Q3,All house types,Dún Laoghaire Rathdown County Council,30
New Dwelling Completion,2013Q3,All house types,Donegal County Council,62
New Dwelling Completion,2013Q3,All house types,Fingal County Council,61
New Dwelling Completion,2013Q3,All house types,Galway County Council,62
New Dwelling Completion,2013Q3,All house types,Galway City Council,9
New Dwelling Completion,2013Q3,All house types,Kildare County Council,51
New Dwelling Completion,2013Q3,All house types,Kilkenny County Council,31
New Dwelling Completion,2013Q3,All house types,Kerry County Council,54
New Dwelling Completion,2013Q3,All house types,Longford County Council,9
New Dwelling Completion,2013Q3,All house types,Louth County Council,37
New Dwelling Completion,2013Q3,All house types,Limerick City & County Council,24
New Dwelling Completion,2013Q3,All house types,Leitrim County Council,10
New Dwelling Completion,2013Q3,All house types,Laois County Council,18
New Dwelling Completion,2013Q3,All house types,Meath County Council,33
New Dwelling Completion,2013Q3,All house types,Monaghan County Council,18
New Dwelling Completion,2013Q3,All house types,Mayo County Council,41
New Dwelling Completion,2013Q3,All house types,Offaly County Council,10
New Dwelling Completion,2013Q3,All house types,Roscommon County Council,20
New Dwelling Completion,2013Q3,All house types,South Dublin County Council,33
New Dwelling Completion,2013Q3,All house types,Sligo County Council,23
New Dwelling Completion,2013Q3,All house types,Tipperary County Council,23
New Dwelling Completion,2013Q3,All house types,Waterford City & County Council,24
New Dwelling Completion,2013Q3,All house types,Westmeath County Council,17
New Dwelling Completion,2013Q3,All house types,Wicklow County Council,41
New Dwelling Completion,2013Q3,All house types,Wexford County Council,60
New Dwelling Completion,2013Q3,All house types,Ireland,1033
New Dwelling Completion,2013Q4,Single house,Cork City Council,7
New Dwelling Completion,2013Q4,Single house,Clare County Council,32
New Dwelling Completion,2013Q4,Single house,Cavan County Council,21
New Dwelling Completion,2013Q4,Single house,Cork County Council,88
New Dwelling Completion,2013Q4,Single house,Carlow County Council,8
New Dwelling Completion,2013Q4,Single house,Dublin City Council,10
New Dwelling Completion,2013Q4,Single house,Dún Laoghaire Rathdown County Council,11
New Dwelling Completion,2013Q4,Single house,Donegal County Council,74
New Dwelling Completion,2013Q4,Single house,Fingal County Council,11
New Dwelling Completion,2013Q4,Single house,Galway County Council,65
New Dwelling Completion,2013Q4,Single house,Galway City Council,4
New Dwelling Completion,2013Q4,Single house,Kildare County Council,28
New Dwelling Completion,2013Q4,Single house,Kilkenny County Council,23
New Dwelling Completion,2013Q4,Single house,Kerry County Council,51
New Dwelling Completion,2013Q4,Single house,Longford County Council,9
New Dwelling Completion,2013Q4,Single house,Louth County Council,24
New Dwelling Completion,2013Q4,Single house,Limerick City & County Council,35
New Dwelling Completion,2013Q4,Single house,Leitrim County Council,9
New Dwelling Completion,2013Q4,Single house,Laois County Council,21
New Dwelling Completion,2013Q4,Single house,Meath County Council,41
New Dwelling Completion,2013Q4,Single house,Monaghan County Council,29
New Dwelling Completion,2013Q4,Single house,Mayo County Council,54
New Dwelling Completion,2013Q4,Single house,Offaly County Council,17
New Dwelling Completion,2013Q4,Single house,Roscommon County Council,22
New Dwelling Completion,2013Q4,Single house,South Dublin County Council,9
New Dwelling Completion,2013Q4,Single house,Sligo County Council,19
New Dwelling Completion,2013Q4,Single house,Tipperary County Council,43
New Dwelling Completion,2013Q4,Single house,Waterford City & County Council,13
New Dwelling Completion,2013Q4,Single house,Westmeath County Council,14
New Dwelling Completion,2013Q4,Single house,Wicklow County Council,18
New Dwelling Completion,2013Q4,Single house,Wexford County Council,51
New Dwelling Completion,2013Q4,Single house,Ireland,861
New Dwelling Completion,2013Q4,Scheme house,Cork City Council,48
New Dwelling Completion,2013Q4,Scheme house,Clare County Council,7
New Dwelling Completion,2013Q4,Scheme house,Cavan County Council,0
New Dwelling Completion,2013Q4,Scheme house,Cork County Council,28
New Dwelling Completion,2013Q4,Scheme house,Carlow County Council,1
New Dwelling Completion,2013Q4,Scheme house,Dublin City Council,40
New Dwelling Completion,2013Q4,Scheme house,Dún Laoghaire Rathdown County Council,39
New Dwelling Completion,2013Q4,Scheme house,Donegal County Council,0
New Dwelling Completion,2013Q4,Scheme house,Fingal County Council,60
New Dwelling Completion,2013Q4,Scheme house,Galway County Council,2
New Dwelling Completion,2013Q4,Scheme house,Galway City Council,2
New Dwelling Completion,2013Q4,Scheme house,Kildare County Council,29
New Dwelling Completion,2013Q4,Scheme house,Kilkenny County Council,3
New Dwelling Completion,2013Q4,Scheme house,Kerry County Council,7
New Dwelling Completion,2013Q4,Scheme house,Longford County Council,2
New Dwelling Completion,2013Q4,Scheme house,Louth County Council,17
New Dwelling Completion,2013Q4,Scheme house,Limerick City & County Council,9
New Dwelling Completion,2013Q4,Scheme house,Leitrim County Council,0
New Dwelling Completion,2013Q4,Scheme house,Laois County Council,9
New Dwelling Completion,2013Q4,Scheme house,Meath County Council,9
New Dwelling Completion,2013Q4,Scheme house,Monaghan County Council,7
New Dwelling Completion,2013Q4,Scheme house,Mayo County Council,36
New Dwelling Completion,2013Q4,Scheme house,Offaly County Council,1
New Dwelling Completion,2013Q4,Scheme house,Roscommon County Council,0
New Dwelling Completion,2013Q4,Scheme house,South Dublin County Council,45
New Dwelling Completion,2013Q4,Scheme house,Sligo County Council,2
New Dwelling Completion,2013Q4,Scheme house,Tipperary County Council,2
New Dwelling Completion,2013Q4,Scheme house,Waterford City & County Council,9
New Dwelling Completion,2013Q4,Scheme house,Westmeath County Council,1
New Dwelling Completion,2013Q4,Scheme house,Wicklow County Council,8
New Dwelling Completion,2013Q4,Scheme house,Wexford County Council,10
New Dwelling Completion,2013Q4,Scheme house,Ireland,433
New Dwelling Completion,2013Q4,Apartment,Cork City Council,4
New Dwelling Completion,2013Q4,Apartment,Clare County Council,0
New Dwelling Completion,2013Q4,Apartment,Cavan County Council,0
New Dwelling Completion,2013Q4,Apartment,Cork County Council,3
New Dwelling Completion,2013Q4,Apartment,Carlow County Council,0
New Dwelling Completion,2013Q4,Apartment,Dublin City Council,40
New Dwelling Completion,2013Q4,Apartment,Dún Laoghaire Rathdown County Council,82
New Dwelling Completion,2013Q4,Apartment,Donegal County Council,0
New Dwelling Completion,2013Q4,Apartment,Fingal County Council,1
New Dwelling Completion,2013Q4,Apartment,Galway County Council,0
New Dwelling Completion,2013Q4,Apartment,Galway City Council,1
New Dwelling Completion,2013Q4,Apartment,Kildare County Council,0
New Dwelling Completion,2013Q4,Apartment,Kilkenny County Council,2
New Dwelling Completion,2013Q4,Apartment,Kerry County Council,1
New Dwelling Completion,2013Q4,Apartment,Longford County Council,0
New Dwelling Completion,2013Q4,Apartment,Louth County Council,0
New Dwelling Completion,2013Q4,Apartment,Limerick City & County Council,64
New Dwelling Completion,2013Q4,Apartment,Leitrim County Council,0
New Dwelling Completion,2013Q4,Apartment,Laois County Council,0
New Dwelling Completion,2013Q4,Apartment,Meath County Council,4
New Dwelling Completion,2013Q4,Apartment,Monaghan County Council,0
New Dwelling Completion,2013Q4,Apartment,Mayo County Council,0
New Dwelling Completion,2013Q4,Apartment,Offaly County Council,1
New Dwelling Completion,2013Q4,Apartment,Roscommon County Council,0
New Dwelling Completion,2013Q4,Apartment,South Dublin County Council,2
New Dwelling Completion,2013Q4,Apartment,Sligo County Council,1
New Dwelling Completion,2013Q4,Apartment,Tipperary County Council,3
New Dwelling Completion,2013Q4,Apartment,Waterford City & County Council,1
New Dwelling Completion,2013Q4,Apartment,Westmeath County Council,3
New Dwelling Completion,2013Q4,Apartment,Wicklow County Council,0
New Dwelling Completion,2013Q4,Apartment,Wexford County Council,0
New Dwelling Completion,2013Q4,Apartment,Ireland,213
New Dwelling Completion,2013Q4,All house types,Cork City Council,59
New Dwelling Completion,2013Q4,All house types,Clare County Council,39
New Dwelling Completion,2013Q4,All house types,Cavan County Council,21
New Dwelling Completion,2013Q4,All house types,Cork County Council,119
New Dwelling Completion,2013Q4,All house types,Carlow County Council,9
New Dwelling Completion,2013Q4,All house types,Dublin City Council,90
New Dwelling Completion,2013Q4,All house types,Dún Laoghaire Rathdown County Council,132
New Dwelling Completion,2013Q4,All house types,Donegal County Council,74
New Dwelling Completion,2013Q4,All house types,Fingal County Council,72
New Dwelling Completion,2013Q4,All house types,Galway County Council,67
New Dwelling Completion,2013Q4,All house types,Galway City Council,7
New Dwelling Completion,2013Q4,All house types,Kildare County Council,57
New Dwelling Completion,2013Q4,All house types,Kilkenny County Council,28
New Dwelling Completion,2013Q4,All house types,Kerry County Council,59
New Dwelling Completion,2013Q4,All house types,Longford County Council,11
New Dwelling Completion,2013Q4,All house types,Louth County Council,41
New Dwelling Completion,2013Q4,All house types,Limerick City & County Council,108
New Dwelling Completion,2013Q4,All house types,Leitrim County Council,9
New Dwelling Completion,2013Q4,All house types,Laois County Council,30
New Dwelling Completion,2013Q4,All house types,Meath County Council,54
New Dwelling Completion,2013Q4,All house types,Monaghan County Council,36
New Dwelling Completion,2013Q4,All house types,Mayo County Council,90
New Dwelling Completion,2013Q4,All house types,Offaly County Council,19
New Dwelling Completion,2013Q4,All house types,Roscommon County Council,22
New Dwelling Completion,2013Q4,All house types,South Dublin County Council,56
New Dwelling Completion,2013Q4,All house types,Sligo County Council,22
New Dwelling Completion,2013Q4,All house types,Tipperary County Council,48
New Dwelling Completion,2013Q4,All house types,Waterford City & County Council,23
New Dwelling Completion,2013Q4,All house types,Westmeath County Council,18
New Dwelling Completion,2013Q4,All house types,Wicklow County Council,26
New Dwelling Completion,2013Q4,All house types,Wexford County Council,61
New Dwelling Completion,2013Q4,All house types,Ireland,1507
New Dwelling Completion,2014Q1,Single house,Cork City Council,2
New Dwelling Completion,2014Q1,Single house,Clare County Council,23
New Dwelling Completion,2014Q1,Single house,Cavan County Council,24
New Dwelling Completion,2014Q1,Single house,Cork County Council,76
New Dwelling Completion,2014Q1,Single house,Carlow County Council,11
New Dwelling Completion,2014Q1,Single house,Dublin City Council,5
New Dwelling Completion,2014Q1,Single house,Dún Laoghaire Rathdown County Council,8
New Dwelling Completion,2014Q1,Single house,Donegal County Council,53
New Dwelling Completion,2014Q1,Single house,Fingal County Council,8
New Dwelling Completion,2014Q1,Single house,Galway County Council,60
New Dwelling Completion,2014Q1,Single house,Galway City Council,1
New Dwelling Completion,2014Q1,Single house,Kildare County Council,25
New Dwelling Completion,2014Q1,Single house,Kilkenny County Council,15
New Dwelling Completion,2014Q1,Single house,Kerry County Council,29
New Dwelling Completion,2014Q1,Single house,Longford County Council,12
New Dwelling Completion,2014Q1,Single house,Louth County Council,23
New Dwelling Completion,2014Q1,Single house,Limerick City & County Council,24
New Dwelling Completion,2014Q1,Single house,Leitrim County Council,7
New Dwelling Completion,2014Q1,Single house,Laois County Council,10
New Dwelling Completion,2014Q1,Single house,Meath County Council,28
New Dwelling Completion,2014Q1,Single house,Monaghan County Council,11
New Dwelling Completion,2014Q1,Single house,Mayo County Council,32
New Dwelling Completion,2014Q1,Single house,Offaly County Council,13
New Dwelling Completion,2014Q1,Single house,Roscommon County Council,15
