Statistic,Quarter,Type.of.House,Local.Authority,value
New Dwelling Completion,2011Q1,All house types,Dublin City Council,72
New Dwelling Completion,2011Q1,All house types,Dún Laoghaire Rathdown County Council,30
New Dwelling Completion,2011Q1,All house types,Donegal County Council,118
New Dwelling Completion,2011Q1,All house types,Fingal County Council,144
New Dwelling Completion,2011Q1,All house types,Galway County Council,93
New Dwelling Completion,2011Q1,All house types,Galway City Council,15
New Dwelling Completion,2011Q1,All house types,Kildare County Council,126
New Dwelling Completion,2011Q1,All house types,Kilkenny County Council,40
New Dwelling Completion,2011Q1,All house types,Kerry County Council,62
New Dwelling Completion,2011Q1,All house types,Longford County Council,11
New Dwelling Completion,2011Q1,All house types,Louth County Council,48
New Dwelling Completion,2011Q1,All house types,Limerick City & County Council,54
New Dwelling Completion,2011Q1,All house types,Leitrim County Council,42
New Dwelling Completion,2011Q1,All house types,Laois County Council,34
New Dwelling Completion,2011Q1,All house types,Meath County Council,70
New Dwelling Completion,2011Q1,All house types,Monaghan County Council,26
New Dwelling Completion,2011Q1,All house types,Mayo County Council,67
New Dwelling Completion,2011Q1,All house types,Offaly County Council,28
New Dwelling Completion,2011Q1,All house types,Roscommon County Council,26
New Dwelling Completion,2011Q1,All house types,South Dublin County Council,41
New Dwelling Completion,2011Q1,All house types,Sligo County Council,52
New Dwelling Completion,2011Q1,All house types,Tipperary County Council,63
New Dwelling Completion,2011Q1,All house types,Waterford City & County Council,96
New Dwelling Completion,2011Q1,All house types,Westmeath County Council,33
New Dwelling Completion,2011Q1,All house types,Wicklow County Council,74
New Dwelling Completion,2011Q1,All house types,Wexford County Council,73
New Dwelling Completion,2011Q1,All house types,Ireland,1875
New Dwelling Completion,2011Q2,Single house,Cork City Council,16
New Dwelling Completion,2011Q2,Single house,Clare County Council,41
New Dwelling Completion,2011Q2,Single house,Cavan County Council,27
New Dwelling Completion,2011Q2,Single house,Cork County Council,159
New Dwelling Completion,2011Q2,Single house,Carlow County Council,16
New Dwelling Completion,2011Q2,Single house,Dublin City Council,13
New Dwelling Completion,2011Q2,Single house,Dún Laoghaire Rathdown County Council,12
New Dwelling Completion,2011Q2,Single house,Donegal County Council,106
New Dwelling Completion,2011Q2,Single house,Fingal County Council,22
New Dwelling Completion,2011Q2,Single house,Galway County Council,104
New Dwelling Completion,2011Q2,Single house,Galway City Council,7
New Dwelling Completion,2011Q2,Single house,Kildare County Council,36
