Statistic,Month,NACE.Rev.2.Sector,value
Percentage Change over 1 month for Services Index,2021 August,"Other Service Activities (L, 92, 93, 95, 96)",-1.6
Percentage Change over 1 month for Services Index,2021 August,"All Services (G, H, I, J, L, M, N (excl. 7735), 92, 93, 95, 96)",-2.5
Percentage Change over 1 month for Services Index,2021 August,Wholesale Trade (46),-4.4
Percentage Change over 1 month for Services Index,2021 August,Accommodation (55),3.2
Percentage Change over 1 month for Services Index,2021 August,"Food Service Activities (561, 562)",5.8
Percentage Change over 1 month for Services Index,2021 August,"Services, excl. Sector J. (G, H, I, L, M, N (excl. N7735), R92, R93, S95, S96)",-4.9
Percentage Change over 1 month for Services Index,2021 September,Wholesale & Retail Trade; Repair of Motor Vehicles & Motorcycles (G),6.6
Percentage Change over 1 month for Services Index,2021 September,Transportation & Storage (H),-1.0
Percentage Change over 1 month for Services Index,2021 September,Accommodation & Food Service Activities (I),-3.0
Percentage Change over 1 month for Services Index,2021 September,Information & Communication (J),9.4
Percentage Change over 1 month for Services Index,2021 September,"Professional, Scientific & Technical Activities (M)",19.3
Percentage Change over 1 month for Services Index,2021 September,Administrative & Support Service Activities (N (excl. 7735)),4.9
Percentage Change over 1 month for Services Index,2021 September,"Other Service Activities (L, 92, 93, 95, 96)",17.7
Percentage Change over 1 month for Services Index,2021 September,"All Services (G, H, I, J, L, M, N (excl. 7735), 92, 93, 95, 96)",9.2
Percentage Change over 1 month for Services Index,2021 September,Wholesale Trade (46),11.7
Percentage Change over 1 month for Services Index,2021 September,Accommodation (55),-18.0
Percentage Change over 1 month for Services Index,2021 September,"Food Service Activities (561, 562)",15.9
Percentage Change over 1 month for Services Index,2021 September,"Services, excl. Sector J. (G, H, I, L, M, N (excl. N7735), R92, R93, S95, S96)",9.1
Percentage Change over 1 month for Services Index,2021 October,Wholesale & Retail Trade; Repair of Motor Vehicles & Motorcycles (G),-1.2
Percentage Change over 1 month for Services Index,2021 October,Transportation & Storage (H),8.8
Percentage Change over 1 month for Services Index,2021 October,Accommodation & Food Service Activities (I),5.4
Percentage Change over 1 month for Services Index,2021 October,Information & Communication (J),1.8
Percentage Change over 1 month for Services Index,2021 October,"Professional, Scientific & Technical Activities (M)",-11.6
Percentage Change over 1 month for Services Index,2021 October,Administrative & Support Service Activities (N (excl. 7735)),41.6
Percentage Change over 1 month for Services Index,2021 October,"Other Service Activities (L, 92, 93, 95, 96)",4.2
Percentage Change over 1 month for Services Index,2021 October,"All Services (G, H, I, J, L, M, N (excl. 7735), 92, 93, 95, 96)",1.9
Percentage Change over 1 month for Services Index,2021 October,Wholesale Trade (46),2.2
Percentage Change over 1 month for Services Index,2021 October,Accommodation (55),-0.8
Percentage Change over 1 month for Services Index,2021 October,"Food Service Activities (561, 562)",9.0
Percentage Change over 1 month for Services Index,2021 October,"Services, excl. Sector J. (G, H, I, L, M, N (excl. N7735), R92, R93, S95, S96)",1.9
Percentage Change over 1 month for Services Index,2021 November,Wholesale & Retail Trade; Repair of Motor Vehicles & Motorcycles (G),7.6
Percentage Change over 1 month for Services Index,2021 November,Transportation & Storage (H),-5.8
Percentage Change over 1 month for Services Index,2021 November,Accommodation & Food Service Activities (I),-17.5
Percentage Change over 1 month for Services Index,2021 November,Information & Communication (J),2.0
Percentage Change over 1 month for Services Index,2021 November,"Professional, Scientific & Technical Activities (M)",8.9
Percentage Change over 1 month for Services Index,2021 November,Administrative & Support Service Activities (N (excl. 7735)),-15.1
Percentage Change over 1 month for Services Index,2021 November,"Other Service Activities (L, 92, 93, 95, 96)",-7.8
Percentage Change over 1 month for Services Index,2021 November,"All Services (G, H, I, J, L, M, N (excl. 7735), 92, 93, 95, 96)",1.0
Percentage Change over 1 month for Services Index,2021 November,Wholesale Trade (46),4.7
Percentage Change over 1 month for Services Index,2021 November,Accommodation (55),-23.3
Percentage Change over 1 month for Services Index,2021 November,"Food Service Activities (561, 562)",-7.0
Percentage Change over 1 month for Services Index,2021 November,"Services, excl. Sector J. (G, H, I, L, M, N (excl. N7735), R92, R93, S95, S96)",0.2
Percentage Change over 1 month for Services Index,2021 December,Wholesale & Retail Trade; Repair of Motor Vehicles & Motorcycles (G),4.1
Percentage Change over 1 month for Services Index,2021 December,Transportation & Storage (H),-1.6
Percentage Change over 1 month for Services Index,2021 December,Accommodation & Food Service Activities (I),-2.4
Percentage Change over 1 month for Services Index,2021 December,Information & Communication (J),25.2
Percentage Change over 1 month for Services Index,2021 December,"Professional, Scientific & Technical Activities (M)",15.9
Percentage Change over 1 month for Services Index,2021 December,Administrative & Support Service Activities (N (excl. 7735)),-5.6
Percentage Change over 1 month for Services Index,2021 December,"Other Service Activities (L, 92, 93, 95, 96)",18.8
Percentage Change over 1 month for Services Index,2021 December,"All Services (G, H, I, J, L, M, N (excl. 7735), 92, 93, 95, 96)",15.7
Percentage Change over 1 month for Services Index,2021 December,Wholesale Trade (46),-1.9
Percentage Change over 1 month for Services Index,2021 December,Accommodation (55),-2.7
Percentage Change over 1 month for Services Index,2021 December,"Food Service Activities (561, 562)",2.3
Percentage Change over 1 month for Services Index,2021 December,"Services, excl. Sector J. (G, H, I, L, M, N (excl. N7735), R92, R93, S95, S96)",6.3
Percentage Change over 1 month for Services Index,2022 January,Wholesale & Retail Trade; Repair of Motor Vehicles & Motorcycles (G),-14.5
Percentage Change over 1 month for Services Index,2022 January,Transportation & Storage (H),-16.1
Percentage Change over 1 month for Services Index,2022 January,Accommodation & Food Service Activities (I),-19.5
Percentage Change over 1 month for Services Index,2022 January,Information & Communication (J),-25.1
Percentage Change over 1 month for Services Index,2022 January,"Professional, Scientific & Technical Activities (M)",-16.1
Percentage Change over 1 month for Services Index,2022 January,Administrative & Support Service Activities (N (excl. 7735)),-7.3
Percentage Change over 1 month for Services Index,2022 January,"Other Service Activities (L, 92, 93, 95, 96)",-22.1
Percentage Change over 1 month for Services Index,2022 January,"All Services (G, H, I, J, L, M, N (excl. 7735), 92, 93, 95, 96)",-20.5
Percentage Change over 1 month for Services Index,2022 January,Wholesale Trade (46),-8.8
Percentage Change over 1 month for Services Index,2022 January,Accommodation (55),-29.5
Percentage Change over 1 month for Services Index,2022 January,"Food Service Activities (561, 562)",2.4
Percentage Change over 1 month for Services Index,2022 January,"Services, excl. Sector J. (G, H, I, L, M, N (excl. N7735), R92, R93, S95, S96)",-15.2
Percentage Change over 1 month for Services Index,2022 February,Wholesale & Retail Trade; Repair of Motor Vehicles & Motorcycles (G),4.2
Percentage Change over 1 month for Services Index,2022 February,Transportation & Storage (H),-6.2
Percentage Change over 1 month for Services Index,2022 February,Accommodation & Food Service Activities (I),43.7
Percentage Change over 1 month for Services Index,2022 February,Information & Communication (J),-3.4
Percentage Change over 1 month for Services Index,2022 February,"Professional, Scientific & Technical Activities (M)",5.3
Percentage Change over 1 month for Services Index,2022 February,Administrative & Support Service Activities (N (excl. 7735)),0.7
Percentage Change over 1 month for Services Index,2022 February,"Other Service Activities (L, 92, 93, 95, 96)",-3.7
Percentage Change over 1 month for Services Index,2022 February,"All Services (G, H, I, J, L, M, N (excl. 7735), 92, 93, 95, 96)",1.0
Percentage Change over 1 month for Services Index,2022 February,Wholesale Trade (46),5.8
Percentage Change over 1 month for Services Index,2022 February,Accommodation (55),45.8
Percentage Change over 1 month for Services Index,2022 February,"Food Service Activities (561, 562)",16.1
Percentage Change over 1 month for Services Index,2022 February,"Services, excl. Sector J. (G, H, I, L, M, N (excl. N7735), R92, R93, S95, S96)",5.6
Percentage Change over 1 month for Services Index,2022 March,Wholesale & Retail Trade; Repair of Motor Vehicles & Motorcycles (G),7.9
Percentage Change over 1 month for Services Index,2022 March,Transportation & Storage (H),29.1
Percentage Change over 1 month for Services Index,2022 March,Accommodation & Food Service Activities (I),11.9
Percentage Change over 1 month for Services Index,2022 March,Information & Communication (J),20.3
Percentage Change over 1 month for Services Index,2022 March,"Professional, Scientific & Technical Activities (M)",11.8
Percentage Change over 1 month for Services Index,2022 March,Administrative & Support Service Activities (N (excl. 7735)),13.0
Percentage Change over 1 month for Services Index,2022 March,"Other Service Activities (L, 92, 93, 95, 96)",2.9
Percentage Change over 1 month for Services Index,2022 March,"All Services (G, H, I, J, L, M, N (excl. 7735), 92, 93, 95, 96)",15.5
Percentage Change over 1 month for Services Index,2022 March,Wholesale Trade (46),12.6
Percentage Change over 1 month for Services Index,2022 March,Accommodation (55),21.0
Percentage Change over 1 month for Services Index,2022 March,"Food Service Activities (561, 562)",-1.5
Percentage Change over 1 month for Services Index,2022 March,"Services, excl. Sector J. (G, H, I, L, M, N (excl. N7735), R92, R93, S95, S96)",11.0
Percentage Change over 1 month for Services Index,2022 April,Wholesale & Retail Trade; Repair of Motor Vehicles & Motorcycles (G),-7.6
Percentage Change over 1 month for Services Index,2022 April,Transportation & Storage (H),15.0
Percentage Change over 1 month for Services Index,2022 April,Accommodation & Food Service Activities (I),4.6
Percentage Change over 1 month for Services Index,2022 April,Information & Communication (J),-9.5
Percentage Change over 1 month for Services Index,2022 April,"Professional, Scientific & Technical Activities (M)",-21.6
Percentage Change over 1 month for Services Index,2022 April,Administrative & Support Service Activities (N (excl. 7735)),-3.0
Percentage Change over 1 month for Services Index,2022 April,"Other Service Activities (L, 92, 93, 95, 96)",17.8
Percentage Change over 1 month for Services Index,2022 April,"All Services (G, H, I, J, L, M, N (excl. 7735), 92, 93, 95, 96)",-8.5
Percentage Change over 1 month for Services Index,2022 April,Wholesale Trade (46),-11.2
Percentage Change over 1 month for Services Index,2022 April,Accommodation (55),31.5
Percentage Change over 1 month for Services Index,2022 April,"Food Service Activities (561, 562)",5.1
Percentage Change over 1 month for Services Index,2022 April,"Services, excl. Sector J. (G, H, I, L, M, N (excl. N7735), R92, R93, S95, S96)",-7.4
Percentage Change over 1 month for Services Index,2022 May,Wholesale & Retail Trade; Repair of Motor Vehicles & Motorcycles (G),10.6
Percentage Change over 1 month for Services Index,2022 May,Transportation & Storage (H),7.3
Percentage Change over 1 month for Services Index,2022 May,Accommodation & Food Service Activities (I),17.7
Percentage Change over 1 month for Services Index,2022 May,Information & Communication (J),5.8
Percentage Change over 1 month for Services Index,2022 May,"Professional, Scientific & Technical Activities (M)",3.2
Percentage Change over 1 month for Services Index,2022 May,Administrative & Support Service Activities (N (excl. 7735)),13.7
Percentage Change over 1 month for Services Index,2022 May,"Other Service Activities (L, 92, 93, 95, 96)",-6.9
Percentage Change over 1 month for Services Index,2022 May,"All Services (G, H, I, J, L, M, N (excl. 7735), 92, 93, 95, 96)",7.0
Percentage Change over 1 month for Services Index,2022 May,Wholesale Trade (46),15.4
Percentage Change over 1 month for Services Index,2022 May,Accommodation (55),9.0
Percentage Change over 1 month for Services Index,2022 May,"Food Service Activities (561, 562)",12.3
Percentage Change over 1 month for Services Index,2022 May,"Services, excl. Sector J. (G, H, I, L, M, N (excl. N7735), R92, R93, S95, S96)",8.2
Percentage Change over 1 month for Services Index,2022 June,Wholesale & Retail Trade; Repair of Motor Vehicles & Motorcycles (G),3.0
Percentage Change over 1 month for Services Index,2022 June,Transportation & Storage (H),9.3
Percentage Change over 1 month for Services Index,2022 June,Accommodation & Food Service Activities (I),-8.5
Percentage Change over 1 month for Services Index,2022 June,Information & Communication (J),12.5
Percentage Change over 1 month for Services Index,2022 June,"Professional, Scientific & Technical Activities (M)",18.3
Percentage Change over 1 month for Services Index,2022 June,Administrative & Support Service Activities (N (excl. 7735)),-2.7
Percentage Change over 1 month for Services Index,2022 June,"Other Service Activities (L, 92, 93, 95, 96)",1.3
Percentage Change over 1 month for Services Index,2022 June,"All Services (G, H, I, J, L, M, N (excl. 7735), 92, 93, 95, 96)",8.8
Percentage Change over 1 month for Services Index,2022 June,Wholesale Trade (46),1.4
Percentage Change over 1 month for Services Index,2022 June,Accommodation (55),9.9
Percentage Change over 1 month for Services Index,2022 June,"Food Service Activities (561, 562)",1.3
Percentage Change over 1 month for Services Index,2022 June,"Services, excl. Sector J. (G, H, I, L, M, N (excl. N7735), R92, R93, S95, S96)",5.2
Percentage Change over 1 month for Services Index,2022 July,Wholesale & Retail Trade; Repair of Motor Vehicles & Motorcycles (G),-7.2
Percentage Change over 1 month for Services Index,2022 July,Transportation & Storage (H),10.6
Percentage Change over 1 month for Services Index,2022 July,Accommodation & Food Service Activities (I),8.2
Percentage Change over 1 month for Services Index,2022 July,Information & Communication (J),-11.4
Percentage Change over 1 month for Services Index,2022 July,"Professional, Scientific & Technical Activities (M)",-10.5
Percentage Change over 1 month for Services Index,2022 July,Administrative & Support Service Activities (N (excl. 7735)),11.0
Percentage Change over 1 month for Services Index,2022 July,"Other Service Activities (L, 92, 93, 95, 96)",4.9
Percentage Change over 1 month for Services Index,2022 July,"All Services (G, H, I, J, L, M, N (excl. 7735), 92, 93, 95, 96)",-6.9
Percentage Change over 1 month for Services Index,2022 July,Wholesale Trade (46),-11.2
Percentage Change over 1 month for Services Index,2022 July,Accommodation (55),8.7
Percentage Change over 1 month for Services Index,2022 July,"Food Service Activities (561, 562)",1.2
Percentage Change over 1 month for Services Index,2022 July,"Services, excl. Sector J. (G, H, I, L, M, N (excl. N7735), R92, R93, S95, S96)",-2.2
Percentage Change over 1 month for Services Index,2022 August,Wholesale & Retail Trade; Repair of Motor Vehicles & Motorcycles (G),4.5
Percentage Change over 1 month for Services Index,2022 August,Transportation & Storage (H),-1.2
Percentage Change over 1 month for Services Index,2022 August,Accommodation & Food Service Activities (I),0.0
Percentage Change over 1 month for Services Index,2022 August,Information & Communication (J),2.9
Percentage Change over 1 month for Services Index,2022 August,"Professional, Scientific & Technical Activities (M)",6.6
Percentage Change over 1 month for Services Index,2022 August,Administrative & Support Service Activities (N (excl. 7735)),-23.4
Percentage Change over 1 month for Services Index,2022 August,"Other Service Activities (L, 92, 93, 95, 96)",4.3
Percentage Change over 1 month for Services Index,2022 August,"All Services (G, H, I, J, L, M, N (excl. 7735), 92, 93, 95, 96)",1.5
Percentage Change over 1 month for Services Index,2022 August,Wholesale Trade (46),10.5
Percentage Change over 1 month for Services Index,2022 August,Accommodation (55),-3.2
Percentage Change over 1 month for Services Index,2022 August,"Food Service Activities (561, 562)",-3.2
Percentage Change over 1 month for Services Index,2022 August,"Services, excl. Sector J. (G, H, I, L, M, N (excl. N7735), R92, R93, S95, S96)",0.2
Percentage Change over 1 month for Services Index,2022 September,Wholesale & Retail Trade; Repair of Motor Vehicles & Motorcycles (G),15.0
Percentage Change over 1 month for Services Index,2022 September,Transportation & Storage (H),-7.3
Percentage Change over 1 month for Services Index,2022 September,Accommodation & Food Service Activities (I),-1.1
Percentage Change over 1 month for Services Index,2022 September,Information & Communication (J),6.8
Percentage Change over 1 month for Services Index,2022 September,"Professional, Scientific & Technical Activities (M)",4.7
Percentage Change over 1 month for Services Index,2022 September,Administrative & Support Service Activities (N (excl. 7735)),22.5
Percentage Change over 1 month for Services Index,2022 September,"Other Service Activities (L, 92, 93, 95, 96)",4.1
Percentage Change over 1 month for Services Index,2022 September,"All Services (G, H, I, J, L, M, N (excl. 7735), 92, 93, 95, 96)",7.6
Percentage Change over 1 month for Services Index,2022 September,Wholesale Trade (46),22.8
Percentage Change over 1 month for Services Index,2022 September,Accommodation (55),-6.3
Percentage Change over 1 month for Services Index,2022 September,"Food Service Activities (561, 562)",7.1
Percentage Change over 1 month for Services Index,2022 September,"Services, excl. Sector J. (G, H, I, L, M, N (excl. N7735), R92, R93, S95, S96)",8.4
Percentage Change over 1 month for Services Index,2022 October,Wholesale & Retail Trade; Repair of Motor Vehicles & Motorcycles (G),-18.5
Percentage Change over 1 month for Services Index,2022 October,Transportation & Storage (H),-3.6
Percentage Change over 1 month for Services Index,2022 October,Accommodation & Food Service Activities (I),-0.1
Percentage Change over 1 month for Services Index,2022 October,Information & Communication (J),-2.8
Percentage Change over 1 month for Services Index,2022 October,"Professional, Scientific & Technical Activities (M)",-10.6
Percentage Change over 1 month for Services Index,2022 October,Administrative & Support Service Activities (N (excl. 7735)),-9.7
Percentage Change over 1 month for Services Index,2022 October,"Other Service Activities (L, 92, 93, 95, 96)",1.1
Percentage Change over 1 month for Services Index,2022 October,"All Services (G, H, I, J, L, M, N (excl. 7735), 92, 93, 95, 96)",-7.1
Percentage Change over 1 month for Services Index,2022 October,Wholesale Trade (46),-25.9
Percentage Change over 1 month for Services Index,2022 October,Accommodation (55),-5.3
Percentage Change over 1 month for Services Index,2022 October,"Food Service Activities (561, 562)",2.7
Percentage Change over 1 month for Services Index,2022 October,"Services, excl. Sector J. (G, H, I, L, M, N (excl. N7735), R92, R93, S95, S96)",-11.1
Percentage Change over 1 month for Services Index,2022 November,Wholesale & Retail Trade; Repair of Motor Vehicles & Motorcycles (G),11.5
Percentage Change over 1 month for Services Index,2022 November,Transportation & Storage (H),-14.6
Percentage Change over 1 month for Services Index,2022 November,Accommodation & Food Service Activities (I),-3.5
Percentage Change over 1 month for Services Index,2022 November,Information & Communication (J),3.5
Percentage Change over 1 month for Services Index,2022 November,"Professional, Scientific & Technical Activities (M)",-0.6
Percentage Change over 1 month for Services Index,2022 November,Administrative & Support Service Activities (N (excl. 7735)),13.2
Percentage Change over 1 month for Services Index,2022 November,"Other Service Activities (L, 92, 93, 95, 96)",-3.5
Percentage Change over 1 month for Services Index,2022 November,"All Services (G, H, I, J, L, M, N (excl. 7735), 92, 93, 95, 96)",3.5
Percentage Change over 1 month for Services Index,2022 November,Wholesale Trade (46),8.2
Percentage Change over 1 month for Services Index,2022 November,Accommodation (55),-15.1
Percentage Change over 1 month for Services Index,2022 November,"Food Service Activities (561, 562)",0.3
Percentage Change over 1 month for Services Index,2022 November,"Services, excl. Sector J. (G, H, I, L, M, N (excl. N7735), R92, R93, S95, S96)",3.5
Percentage Change over 1 month for Services Index,2022 December,Wholesale & Retail Trade; Repair of Motor Vehicles & Motorcycles (G),4.7
Percentage Change over 1 month for Services Index,2022 December,Transportation & Storage (H),13.7
Percentage Change over 1 month for Services Index,2022 December,Accommodation & Food Service Activities (I),9.2
Percentage Change over 1 month for Services Index,2022 December,Information & Communication (J),13.8
Percentage Change over 1 month for Services Index,2022 December,"Professional, Scientific & Technical Activities (M)",4.5
Percentage Change over 1 month for Services Index,2022 December,Administrative & Support Service Activities (N (excl. 7735)),4.2
Percentage Change over 1 month for Services Index,2022 December,"Other Service Activities (L, 92, 93, 95, 96)",4.4
Percentage Change over 1 month for Services Index,2022 December,"All Services (G, H, I, J, L, M, N (excl. 7735), 92, 93, 95, 96)",9.8
Percentage Change over 1 month for Services Index,2022 December,Wholesale Trade (46),-3.5
Percentage Change over 1 month for Services Index,2022 December,Accommodation (55),14.1
Percentage Change over 1 month for Services Index,2022 December,"Food Service Activities (561, 562)",1.1
Percentage Change over 1 month for Services Index,2022 December,"Services, excl. Sector J. (G, H, I, L, M, N (excl. N7735), R92, R93, S95, S96)",5.7
Percentage Change over 1 month for Services Index,2023 January,Wholesale & Retail Trade; Repair of Motor Vehicles & Motorcycles (G),-11.6
Percentage Change over 1 month for Services Index,2023 January,Transportation & Storage (H),-11.0
Percentage Change over 1 month for Services Index,2023 January,Accommodation & Food Service Activities (I),-25.4
Percentage Change over 1 month for Services Index,2023 January,Information & Communication (J),-18.8
Percentage Change over 1 month for Services Index,2023 January,"Professional, Scientific & Technical Activities (M)",-6.1
Percentage Change over 1 month for Services Index,2023 January,Administrative & Support Service Activities (N (excl. 7735)),-26.4
Percentage Change over 1 month for Services Index,2023 January,"Other Service Activities (L, 92, 93, 95, 96)",-0.2
Percentage Change over 1 month for Services Index,2023 January,"All Services (G, H, I, J, L, M, N (excl. 7735), 92, 93, 95, 96)",-16.0
Percentage Change over 1 month for Services Index,2023 January,Wholesale Trade (46),-4.6
Percentage Change over 1 month for Services Index,2023 January,Accommodation (55),-26.2
Percentage Change over 1 month for Services Index,2023 January,"Food Service Activities (561, 562)",-8.8
Percentage Change over 1 month for Services Index,2023 January,"Services, excl. Sector J. (G, H, I, L, M, N (excl. N7735), R92, R93, S95, S96)",-12.8
Percentage Change over 1 month for Services Index,2023 February,Wholesale & Retail Trade; Repair of Motor Vehicles & Motorcycles (G),3.2
Percentage Change over 1 month for Services Index,2023 February,Transportation & Storage (H),-10.3
Percentage Change over 1 month for Services Index,2023 February,Accommodation & Food Service Activities (I),14.4
Percentage Change over 1 month for Services Index,2023 February,Information & Communication (J),-1.2
Percentage Change over 1 month for Services Index,2023 February,"Professional, Scientific & Technical Activities (M)",1.3
Percentage Change over 1 month for Services Index,2023 February,Administrative & Support Service Activities (N (excl. 7735)),12.3
Percentage Change over 1 month for Services Index,2023 February,"Other Service Activities (L, 92, 93, 95, 96)",-6.7
Percentage Change over 1 month for Services Index,2023 February,"All Services (G, H, I, J, L, M, N (excl. 7735), 92, 93, 95, 96)",0.8
Percentage Change over 1 month for Services Index,2023 February,Wholesale Trade (46),4.8
Percentage Change over 1 month for Services Index,2023 February,Accommodation (55),6.0
Percentage Change over 1 month for Services Index,2023 February,"Food Service Activities (561, 562)",-4.0
Percentage Change over 1 month for Services Index,2023 February,"Services, excl. Sector J. (G, H, I, L, M, N (excl. N7735), R92, R93, S95, S96)",2.9
Percentage Change over 1 month for Services Index,2023 March,Wholesale & Retail Trade; Repair of Motor Vehicles & Motorcycles (G),-0.7
Percentage Change over 1 month for Services Index,2023 March,Transportation & Storage (H),16.7
Percentage Change over 1 month for Services Index,2023 March,Accommodation & Food Service Activities (I),19.1
Percentage Change over 1 month for Services Index,2023 March,Information & Communication (J),9.7
Percentage Change over 1 month for Services Index,2023 March,"Professional, Scientific & Technical Activities (M)",19.1
Percentage Change over 1 month for Services Index,2023 March,Administrative & Support Service Activities (N (excl. 7735)),-3.7
Percentage Change over 1 month for Services Index,2023 March,"Other Service Activities (L, 92, 93, 95, 96)",14.4
Percentage Change over 1 month for Services Index,2023 March,"All Services (G, H, I, J, L, M, N (excl. 7735), 92, 93, 95, 96)",9.1
Percentage Change over 1 month for Services Index,2023 March,Wholesale Trade (46),-0.3
Percentage Change over 1 month for Services Index,2023 March,Accommodation (55),24.8
Percentage Change over 1 month for Services Index,2023 March,"Food Service Activities (561, 562)",16.7
Percentage Change over 1 month for Services Index,2023 March,"Services, excl. Sector J. (G, H, I, L, M, N (excl. N7735), R92, R93, S95, S96)",8.5
Percentage Change over 1 month for Services Index,2023 April,Wholesale & Retail Trade; Repair of Motor Vehicles & Motorcycles (G),-5.1
Percentage Change over 1 month for Services Index,2023 April,Transportation & Storage (H),8.1
Percentage Change over 1 month for Services Index,2023 April,Accommodation & Food Service Activities (I),-2.7
Percentage Change over 1 month for Services Index,2023 April,Information & Communication (J),-4.8
Percentage Change over 1 month for Services Index,2023 April,"Professional, Scientific & Technical Activities (M)",-13.5
Percentage Change over 1 month for Services Index,2023 April,Administrative & Support Service Activities (N (excl. 7735)),-7.7
Percentage Change over 1 month for Services Index,2023 April,"Other Service Activities (L, 92, 93, 95, 96)",-4.8
Percentage Change over 1 month for Services Index,2023 April,"All Services (G, H, I, J, L, M, N (excl. 7735), 92, 93, 95, 96)",-5.7
Percentage Change over 1 month for Services Index,2023 April,Wholesale Trade (46),-7.7
Percentage Change over 1 month for Services Index,2023 April,Accommodation (55),9.9
Percentage Change over 1 month for Services Index,2023 April,"Food Service Activities (561, 562)",2.5
Percentage Change over 1 month for Services Index,2023 April,"Services, excl. Sector J. (G, H, I, L, M, N (excl. N7735), R92, R93, S95, S96)",-6.6
Percentage Change over 1 month for Services Index,2023 May,Wholesale & Retail Trade; Repair of Motor Vehicles & Motorcycles (G),11.3
Percentage Change over 1 month for Services Index,2023 May,Transportation & Storage (H),9.0
Percentage Change over 1 month for Services Index,2023 May,Accommodation & Food Service Activities (I),11.6
Percentage Change over 1 month for Services Index,2023 May,Information & Communication (J),5.6
Percentage Change over 1 month for Services Index,2023 May,"Professional, Scientific & Technical Activities (M)",1.4
Percentage Change over 1 month for Services Index,2023 May,Administrative & Support Service Activities (N (excl. 7735)),11.2
Percentage Change over 1 month for Services Index,2023 May,"Other Service Activities (L, 92, 93, 95, 96)",2.8
Percentage Change over 1 month for Services Index,2023 May,"All Services (G, H, I, J, L, M, N (excl. 7735), 92, 93, 95, 96)",6.7
Percentage Change over 1 month for Services Index,2023 May,Wholesale Trade (46),17.3
Percentage Change over 1 month for Services Index,2023 May,Accommodation (55),7.2
Percentage Change over 1 month for Services Index,2023 May,"Food Service Activities (561, 562)",0.7
Percentage Change over 1 month for Services Index,2023 May,"Services, excl. Sector J. (G, H, I, L, M, N (excl. N7735), R92, R93, S95, S96)",7.8
Percentage Change over 1 month for Services Index,2023 June,Wholesale & Retail Trade; Repair of Motor Vehicles & Motorcycles (G),-2.1
Percentage Change over 1 month for Services Index,2023 June,Transportation & Storage (H),7.0
Percentage Change over 1 month for Services Index,2023 June,Accommodation & Food Service Activities (I),-7.9
Percentage Change over 1 month for Services Index,2023 June,Information & Communication (J),5.5
Percentage Change over 1 month for Services Index,2023 June,"Professional, Scientific & Technical Activities (M)",16.1
Percentage Change over 1 month for Services Index,2023 June,Administrative & Support Service Activities (N (excl. 7735)),-0.8
Percentage Change over 1 month for Services Index,2023 June,"Other Service Activities (L, 92, 93, 95, 96)",-7.7
Percentage Change over 1 month for Services Index,2023 June,"All Services (G, H, I, J, L, M, N (excl. 7735), 92, 93, 95, 96)",3.9
Percentage Change over 1 month for Services Index,2023 June,Wholesale Trade (46),-5.0
Percentage Change over 1 month for Services Index,2023 June,Accommodation (55),6.9
Percentage Change over 1 month for Services Index,2023 June,"Food Service Activities (561, 562)",3.5
Percentage Change over 1 month for Services Index,2023 June,"Services, excl. Sector J. (G, H, I, L, M, N (excl. N7735), R92, R93, S95, S96)",2.4
Percentage Change over 1 month for Services Index,2023 July,Wholesale & Retail Trade; Repair of Motor Vehicles & Motorcycles (G),-7.1
Percentage Change over 1 month for Services Index,2023 July,Transportation & Storage (H),1.2
Percentage Change over 1 month for Services Index,2023 July,Accommodation & Food Service Activities (I),7.3
Percentage Change over 1 month for Services Index,2023 July,Information & Communication (J),-9.1
Percentage Change over 1 month for Services Index,2023 July,"Professional, Scientific & Technical Activities (M)",-10.9
Percentage Change over 1 month for Services Index,2023 July,Administrative & Support Service Activities (N (excl. 7735)),-6.2
Percentage Change over 1 month for Services Index,2023 July,"Other Service Activities (L, 92, 93, 95, 96)",-0.2
Percentage Change over 1 month for Services Index,2023 July,"All Services (G, H, I, J, L, M, N (excl. 7735), 92, 93, 95, 96)",-7.3
Percentage Change over 1 month for Services Index,2023 July,Wholesale Trade (46),-10.6
Percentage Change over 1 month for Services Index,2023 July,Accommodation (55),4.0
Percentage Change over 1 month for Services Index,2023 July,"Food Service Activities (561, 562)",5.7
Percentage Change over 1 month for Services Index,2023 July,"Services, excl. Sector J. (G, H, I, L, M, N (excl. N7735), R92, R93, S95, S96)",-5.4
Percentage Change over 1 month for Services Index,2023 August,Wholesale & Retail Trade; Repair of Motor Vehicles & Motorcycles (G),7.1
Percentage Change over 1 month for Services Index,2023 August,Transportation & Storage (H),5.0
Percentage Change over 1 month for Services Index,2023 August,Accommodation & Food Service Activities (I),3.0
Percentage Change over 1 month for Services Index,2023 August,Information & Communication (J),4.0
Percentage Change over 1 month for Services Index,2023 August,"Professional, Scientific & Technical Activities (M)",0.9
Percentage Change over 1 month for Services Index,2023 August,Administrative & Support Service Activities (N (excl. 7735)),-3.8
Percentage Change over 1 month for Services Index,2023 August,"Other Service Activities (L, 92, 93, 95, 96)",-1.3
Percentage Change over 1 month for Services Index,2023 August,"All Services (G, H, I, J, L, M, N (excl. 7735), 92, 93, 95, 96)",3.5
Percentage Change over 1 month for Services Index,2023 August,Wholesale Trade (46),13.6
Percentage Change over 1 month for Services Index,2023 August,Accommodation (55),5.2
