Statistic,Quarter,Sub.Head,value
"Current, Capital and Financial Account Balances BPM6",2003Q3,Invisibles,-8266
"Current, Capital and Financial Account Balances BPM6",2003Q3,Secondary income,-365
"Current, Capital and Financial Account Balances BPM6",2003Q3,Financial account,422
"Current, Capital and Financial Account Balances BPM6",2003Q3,Net Errors and omissions,141
"Current, Capital and Financial Account Balances BPM6",2003Q3,Direct investment,-3830
"Current, Capital and Financial Account Balances BPM6",2003Q3,Portfolio investment,23201
"Current, Capital and Financial Account Balances BPM6",2003Q3,Other investment,-19033
"Current, Capital and Financial Account Balances BPM6",2003Q4,Current account,501
"Current, Capital and Financial Account Balances BPM6",2003Q4,Capital account,425
"Current, Capital and Financial Account Balances BPM6",2003Q4,Merchandise,8099
"Current, Capital and Financial Account Balances BPM6",2003Q4,Services,-2751
"Current, Capital and Financial Account Balances BPM6",2003Q4,Primary income,-4654
"Current, Capital and Financial Account Balances BPM6",2003Q4,Invisibles,-7599
"Current, Capital and Financial Account Balances BPM6",2003Q4,Secondary income,-194
"Current, Capital and Financial Account Balances BPM6",2003Q4,Financial account,-375
"Current, Capital and Financial Account Balances BPM6",2003Q4,Net Errors and omissions,-1301
"Current, Capital and Financial Account Balances BPM6",2003Q4,Direct investment,4032
"Current, Capital and Financial Account Balances BPM6",2003Q4,Portfolio investment,-2428
"Current, Capital and Financial Account Balances BPM6",2003Q4,Other investment,-1900
"Current, Capital and Financial Account Balances BPM6",2004Q1,Current account,-231
"Current, Capital and Financial Account Balances BPM6",2004Q1,Capital account,-3
"Current, Capital and Financial Account Balances BPM6",2004Q1,Merchandise,8576
"Current, Capital and Financial Account Balances BPM6",2004Q1,Services,-3034
"Current, Capital and Financial Account Balances BPM6",2004Q1,Primary income,-5357
"Current, Capital and Financial Account Balances BPM6",2004Q1,Invisibles,-8807
"Current, Capital and Financial Account Balances BPM6",2004Q1,Secondary income,-416
"Current, Capital and Financial Account Balances BPM6",2004Q1,Financial account,1614
"Current, Capital and Financial Account Balances BPM6",2004Q1,Net Errors and omissions,1848
"Current, Capital and Financial Account Balances BPM6",2004Q1,Direct investment,8076
"Current, Capital and Financial Account Balances BPM6",2004Q1,Portfolio investment,-10665
"Current, Capital and Financial Account Balances BPM6",2004Q1,Other investment,5392
"Current, Capital and Financial Account Balances BPM6",2004Q2,Current account,200
"Current, Capital and Financial Account Balances BPM6",2004Q2,Capital account,-38
"Current, Capital and Financial Account Balances BPM6",2004Q2,Merchandise,9081
"Current, Capital and Financial Account Balances BPM6",2004Q2,Services,-2954
"Current, Capital and Financial Account Balances BPM6",2004Q2,Primary income,-5621
"Current, Capital and Financial Account Balances BPM6",2004Q2,Invisibles,-8880
"Current, Capital and Financial Account Balances BPM6",2004Q2,Secondary income,-306
"Current, Capital and Financial Account Balances BPM6",2004Q2,Financial account,-521
"Current, Capital and Financial Account Balances BPM6",2004Q2,Net Errors and omissions,-684
"Current, Capital and Financial Account Balances BPM6",2004Q2,Direct investment,4869
"Current, Capital and Financial Account Balances BPM6",2004Q2,Portfolio investment,-9346
"Current, Capital and Financial Account Balances BPM6",2004Q2,Other investment,4091
"Current, Capital and Financial Account Balances BPM6",2004Q3,Current account,-89
"Current, Capital and Financial Account Balances BPM6",2004Q3,Capital account,38
"Current, Capital and Financial Account Balances BPM6",2004Q3,Merchandise,8620
"Current, Capital and Financial Account Balances BPM6",2004Q3,Services,-3158
"Current, Capital and Financial Account Balances BPM6",2004Q3,Primary income,-5310
"Current, Capital and Financial Account Balances BPM6",2004Q3,Invisibles,-8708
"Current, Capital and Financial Account Balances BPM6",2004Q3,Secondary income,-240
"Current, Capital and Financial Account Balances BPM6",2004Q3,Financial account,-3041
"Current, Capital and Financial Account Balances BPM6",2004Q3,Net Errors and omissions,-2990
"Current, Capital and Financial Account Balances BPM6",2004Q3,Direct investment,-158
"Current, Capital and Financial Account Balances BPM6",2004Q3,Portfolio investment,4805
"Current, Capital and Financial Account Balances BPM6",2004Q3,Other investment,-7817
"Current, Capital and Financial Account Balances BPM6",2004Q4,Current account,-34
"Current, Capital and Financial Account Balances BPM6",2004Q4,Capital account,358
"Current, Capital and Financial Account Balances BPM6",2004Q4,Merchandise,8311
"Current, Capital and Financial Account Balances BPM6",2004Q4,Services,-2995
"Current, Capital and Financial Account Balances BPM6",2004Q4,Primary income,-5057
"Current, Capital and Financial Account Balances BPM6",2004Q4,Invisibles,-8345
"Current, Capital and Financial Account Balances BPM6",2004Q4,Secondary income,-294
"Current, Capital and Financial Account Balances BPM6",2004Q4,Financial account,-2591
"Current, Capital and Financial Account Balances BPM6",2004Q4,Net Errors and omissions,-2915
"Current, Capital and Financial Account Balances BPM6",2004Q4,Direct investment,10308
"Current, Capital and Financial Account Balances BPM6",2004Q4,Portfolio investment,919
"Current, Capital and Financial Account Balances BPM6",2004Q4,Other investment,-13836
"Current, Capital and Financial Account Balances BPM6",2005Q1,Current account,-1696
"Current, Capital and Financial Account Balances BPM6",2005Q1,Capital account,99
"Current, Capital and Financial Account Balances BPM6",2005Q1,Merchandise,7677
"Current, Capital and Financial Account Balances BPM6",2005Q1,Services,-2920
"Current, Capital and Financial Account Balances BPM6",2005Q1,Primary income,-5881
"Current, Capital and Financial Account Balances BPM6",2005Q1,Invisibles,-9373
"Current, Capital and Financial Account Balances BPM6",2005Q1,Secondary income,-572
"Current, Capital and Financial Account Balances BPM6",2005Q1,Financial account,2898
"Current, Capital and Financial Account Balances BPM6",2005Q1,Net Errors and omissions,4495
"Current, Capital and Financial Account Balances BPM6",2005Q1,Direct investment,-808
"Current, Capital and Financial Account Balances BPM6",2005Q1,Portfolio investment,-4080
"Current, Capital and Financial Account Balances BPM6",2005Q1,Other investment,7834
"Current, Capital and Financial Account Balances BPM6",2005Q2,Current account,-1183
