Statistic,Quarter,Sub.Head,value
"Current, Capital and Financial Account Balances BPM6",2010Q1,Capital account,50
"Current, Capital and Financial Account Balances BPM6",2010Q1,Merchandise,10235
"Current, Capital and Financial Account Balances BPM6",2010Q1,Services,-2824
"Current, Capital and Financial Account Balances BPM6",2010Q1,Primary income,-7978
"Current, Capital and Financial Account Balances BPM6",2010Q1,Invisibles,-11681
"Current, Capital and Financial Account Balances BPM6",2010Q1,Secondary income,-879
"Current, Capital and Financial Account Balances BPM6",2010Q1,Financial account,7043
"Current, Capital and Financial Account Balances BPM6",2010Q1,Net Errors and omissions,8439
"Current, Capital and Financial Account Balances BPM6",2010Q1,Direct investment,-4772
"Current, Capital and Financial Account Balances BPM6",2010Q1,Portfolio investment,-19821
"Current, Capital and Financial Account Balances BPM6",2010Q1,Other investment,31668
"Current, Capital and Financial Account Balances BPM6",2010Q2,Current account,-1402
"Current, Capital and Financial Account Balances BPM6",2010Q2,Capital account,4
"Current, Capital and Financial Account Balances BPM6",2010Q2,Merchandise,10555
"Current, Capital and Financial Account Balances BPM6",2010Q2,Services,-3342
"Current, Capital and Financial Account Balances BPM6",2010Q2,Primary income,-8026
"Current, Capital and Financial Account Balances BPM6",2010Q2,Invisibles,-11957
"Current, Capital and Financial Account Balances BPM6",2010Q2,Secondary income,-590
"Current, Capital and Financial Account Balances BPM6",2010Q2,Financial account,-13001
"Current, Capital and Financial Account Balances BPM6",2010Q2,Net Errors and omissions,-11602
"Current, Capital and Financial Account Balances BPM6",2010Q2,Direct investment,-3249
"Current, Capital and Financial Account Balances BPM6",2010Q2,Portfolio investment,8568
"Current, Capital and Financial Account Balances BPM6",2010Q2,Other investment,-18338
"Current, Capital and Financial Account Balances BPM6",2010Q3,Current account,1174
"Current, Capital and Financial Account Balances BPM6",2010Q3,Capital account,14
"Current, Capital and Financial Account Balances BPM6",2010Q3,Merchandise,11985
"Current, Capital and Financial Account Balances BPM6",2010Q3,Services,-2955
"Current, Capital and Financial Account Balances BPM6",2010Q3,Primary income,-7152
"Current, Capital and Financial Account Balances BPM6",2010Q3,Invisibles,-10811
"Current, Capital and Financial Account Balances BPM6",2010Q3,Secondary income,-704
"Current, Capital and Financial Account Balances BPM6",2010Q3,Financial account,-4910
"Current, Capital and Financial Account Balances BPM6",2010Q3,Net Errors and omissions,-6098
"Current, Capital and Financial Account Balances BPM6",2010Q3,Direct investment,1178
"Current, Capital and Financial Account Balances BPM6",2010Q3,Portfolio investment,19581
"Current, Capital and Financial Account Balances BPM6",2010Q3,Other investment,-25745
"Current, Capital and Financial Account Balances BPM6",2010Q4,Current account,-337
"Current, Capital and Financial Account Balances BPM6",2010Q4,Capital account,23
"Current, Capital and Financial Account Balances BPM6",2010Q4,Merchandise,8513
"Current, Capital and Financial Account Balances BPM6",2010Q4,Services,-4300
"Current, Capital and Financial Account Balances BPM6",2010Q4,Primary income,-4022
"Current, Capital and Financial Account Balances BPM6",2010Q4,Invisibles,-8850
"Current, Capital and Financial Account Balances BPM6",2010Q4,Secondary income,-528
"Current, Capital and Financial Account Balances BPM6",2010Q4,Financial account,-537
"Current, Capital and Financial Account Balances BPM6",2010Q4,Net Errors and omissions,-222
"Current, Capital and Financial Account Balances BPM6",2010Q4,Direct investment,-9475
"Current, Capital and Financial Account Balances BPM6",2010Q4,Portfolio investment,-94293
"Current, Capital and Financial Account Balances BPM6",2010Q4,Other investment,103299
"Current, Capital and Financial Account Balances BPM6",2011Q1,Current account,-1422
"Current, Capital and Financial Account Balances BPM6",2011Q1,Capital account,24
"Current, Capital and Financial Account Balances BPM6",2011Q1,Merchandise,10624
"Current, Capital and Financial Account Balances BPM6",2011Q1,Services,-2926
"Current, Capital and Financial Account Balances BPM6",2011Q1,Primary income,-8278
"Current, Capital and Financial Account Balances BPM6",2011Q1,Invisibles,-12046
"Current, Capital and Financial Account Balances BPM6",2011Q1,Secondary income,-841
"Current, Capital and Financial Account Balances BPM6",2011Q1,Financial account,-4295
"Current, Capital and Financial Account Balances BPM6",2011Q1,Net Errors and omissions,-2897
"Current, Capital and Financial Account Balances BPM6",2011Q1,Direct investment,-8453
"Current, Capital and Financial Account Balances BPM6",2011Q1,Portfolio investment,-7063
"Current, Capital and Financial Account Balances BPM6",2011Q1,Other investment,11286
"Current, Capital and Financial Account Balances BPM6",2011Q2,Current account,-1336
"Current, Capital and Financial Account Balances BPM6",2011Q2,Capital account,1
"Current, Capital and Financial Account Balances BPM6",2011Q2,Merchandise,9576
"Current, Capital and Financial Account Balances BPM6",2011Q2,Services,-1580
"Current, Capital and Financial Account Balances BPM6",2011Q2,Primary income,-8820
"Current, Capital and Financial Account Balances BPM6",2011Q2,Invisibles,-10913
"Current, Capital and Financial Account Balances BPM6",2011Q2,Secondary income,-513
"Current, Capital and Financial Account Balances BPM6",2011Q2,Financial account,-2759
"Current, Capital and Financial Account Balances BPM6",2011Q2,Net Errors and omissions,-1424
"Current, Capital and Financial Account Balances BPM6",2011Q2,Direct investment,-7601
"Current, Capital and Financial Account Balances BPM6",2011Q2,Portfolio investment,-22344
"Current, Capital and Financial Account Balances BPM6",2011Q2,Other investment,27157
"Current, Capital and Financial Account Balances BPM6",2011Q3,Current account,736
"Current, Capital and Financial Account Balances BPM6",2011Q3,Capital account,-1
"Current, Capital and Financial Account Balances BPM6",2011Q3,Merchandise,11547
"Current, Capital and Financial Account Balances BPM6",2011Q3,Services,-1862
"Current, Capital and Financial Account Balances BPM6",2011Q3,Primary income,-8307
"Current, Capital and Financial Account Balances BPM6",2011Q3,Invisibles,-10810
"Current, Capital and Financial Account Balances BPM6",2011Q3,Secondary income,-641
"Current, Capital and Financial Account Balances BPM6",2011Q3,Financial account,-4022
"Current, Capital and Financial Account Balances BPM6",2011Q3,Net Errors and omissions,-4757
"Current, Capital and Financial Account Balances BPM6",2011Q3,Direct investment,-6802
"Current, Capital and Financial Account Balances BPM6",2011Q3,Portfolio investment,19456
"Current, Capital and Financial Account Balances BPM6",2011Q3,Other investment,-16652
"Current, Capital and Financial Account Balances BPM6",2011Q4,Current account,-789
"Current, Capital and Financial Account Balances BPM6",2011Q4,Capital account,210
"Current, Capital and Financial Account Balances BPM6",2011Q4,Merchandise,9510
"Current, Capital and Financial Account Balances BPM6",2011Q4,Services,-2729
"Current, Capital and Financial Account Balances BPM6",2011Q4,Primary income,-6906
"Current, Capital and Financial Account Balances BPM6",2011Q4,Invisibles,-10299
"Current, Capital and Financial Account Balances BPM6",2011Q4,Secondary income,-664
"Current, Capital and Financial Account Balances BPM6",2011Q4,Financial account,-3772
"Current, Capital and Financial Account Balances BPM6",2011Q4,Net Errors and omissions,-3194
"Current, Capital and Financial Account Balances BPM6",2011Q4,Direct investment,4158
"Current, Capital and Financial Account Balances BPM6",2011Q4,Portfolio investment,-16957
"Current, Capital and Financial Account Balances BPM6",2011Q4,Other investment,9295
"Current, Capital and Financial Account Balances BPM6",2012Q1,Current account,-2702
"Current, Capital and Financial Account Balances BPM6",2012Q1,Capital account,61
"Current, Capital and Financial Account Balances BPM6",2012Q1,Merchandise,8969
"Current, Capital and Financial Account Balances BPM6",2012Q1,Services,-1805
"Current, Capital and Financial Account Balances BPM6",2012Q1,Primary income,-9051
"Current, Capital and Financial Account Balances BPM6",2012Q1,Invisibles,-11670
"Current, Capital and Financial Account Balances BPM6",2012Q1,Secondary income,-814
"Current, Capital and Financial Account Balances BPM6",2012Q1,Financial account,-857
"Current, Capital and Financial Account Balances BPM6",2012Q1,Net Errors and omissions,1784
"Current, Capital and Financial Account Balances BPM6",2012Q1,Direct investment,-13176
"Current, Capital and Financial Account Balances BPM6",2012Q1,Portfolio investment,44957
"Current, Capital and Financial Account Balances BPM6",2012Q1,Other investment,-32626
"Current, Capital and Financial Account Balances BPM6",2012Q2,Current account,-2419
"Current, Capital and Financial Account Balances BPM6",2012Q2,Capital account,1
"Current, Capital and Financial Account Balances BPM6",2012Q2,Merchandise,9275
"Current, Capital and Financial Account Balances BPM6",2012Q2,Services,-2603
"Current, Capital and Financial Account Balances BPM6",2012Q2,Primary income,-8488
"Current, Capital and Financial Account Balances BPM6",2012Q2,Invisibles,-11694
"Current, Capital and Financial Account Balances BPM6",2012Q2,Secondary income,-603
"Current, Capital and Financial Account Balances BPM6",2012Q2,Financial account,-9061
"Current, Capital and Financial Account Balances BPM6",2012Q2,Net Errors and omissions,-6643
"Current, Capital and Financial Account Balances BPM6",2012Q2,Direct investment,3238
"Current, Capital and Financial Account Balances BPM6",2012Q2,Portfolio investment,-33254
"Current, Capital and Financial Account Balances BPM6",2012Q2,Other investment,20949
"Current, Capital and Financial Account Balances BPM6",2012Q3,Current account,471
"Current, Capital and Financial Account Balances BPM6",2012Q3,Capital account,5
"Current, Capital and Financial Account Balances BPM6",2012Q3,Merchandise,10072
"Current, Capital and Financial Account Balances BPM6",2012Q3,Services,-327
"Current, Capital and Financial Account Balances BPM6",2012Q3,Primary income,-8632
"Current, Capital and Financial Account Balances BPM6",2012Q3,Invisibles,-9602
"Current, Capital and Financial Account Balances BPM6",2012Q3,Secondary income,-643
"Current, Capital and Financial Account Balances BPM6",2012Q3,Financial account,-2714
"Current, Capital and Financial Account Balances BPM6",2012Q3,Net Errors and omissions,-3190
"Current, Capital and Financial Account Balances BPM6",2012Q3,Direct investment,-14231
"Current, Capital and Financial Account Balances BPM6",2012Q3,Portfolio investment,-6315
"Current, Capital and Financial Account Balances BPM6",2012Q3,Other investment,17833
"Current, Capital and Financial Account Balances BPM6",2012Q4,Current account,-1284
"Current, Capital and Financial Account Balances BPM6",2012Q4,Capital account,19
"Current, Capital and Financial Account Balances BPM6",2012Q4,Merchandise,8580
"Current, Capital and Financial Account Balances BPM6",2012Q4,Services,-1547
"Current, Capital and Financial Account Balances BPM6",2012Q4,Primary income,-7768
"Current, Capital and Financial Account Balances BPM6",2012Q4,Invisibles,-9864
"Current, Capital and Financial Account Balances BPM6",2012Q4,Secondary income,-549
"Current, Capital and Financial Account Balances BPM6",2012Q4,Financial account,2308
"Current, Capital and Financial Account Balances BPM6",2012Q4,Net Errors and omissions,3573
"Current, Capital and Financial Account Balances BPM6",2012Q4,Direct investment,3672
"Current, Capital and Financial Account Balances BPM6",2012Q4,Portfolio investment,-6155
"Current, Capital and Financial Account Balances BPM6",2012Q4,Other investment,4796
"Current, Capital and Financial Account Balances BPM6",2013Q1,Current account,-456
"Current, Capital and Financial Account Balances BPM6",2013Q1,Capital account,-207
"Current, Capital and Financial Account Balances BPM6",2013Q1,Merchandise,7726
"Current, Capital and Financial Account Balances BPM6",2013Q1,Services,39
"Current, Capital and Financial Account Balances BPM6",2013Q1,Primary income,-7394
"Current, Capital and Financial Account Balances BPM6",2013Q1,Invisibles,-8183
"Current, Capital and Financial Account Balances BPM6",2013Q1,Secondary income,-828
"Current, Capital and Financial Account Balances BPM6",2013Q1,Financial account,2509
"Current, Capital and Financial Account Balances BPM6",2013Q1,Net Errors and omissions,3172
"Current, Capital and Financial Account Balances BPM6",2013Q1,Direct investment,-5248
"Current, Capital and Financial Account Balances BPM6",2013Q1,Portfolio investment,8252
"Current, Capital and Financial Account Balances BPM6",2013Q1,Other investment,-494
"Current, Capital and Financial Account Balances BPM6",2013Q2,Current account,734
"Current, Capital and Financial Account Balances BPM6",2013Q2,Capital account,-244
"Current, Capital and Financial Account Balances BPM6",2013Q2,Merchandise,9638
"Current, Capital and Financial Account Balances BPM6",2013Q2,Services,10
"Current, Capital and Financial Account Balances BPM6",2013Q2,Primary income,-8215
"Current, Capital and Financial Account Balances BPM6",2013Q2,Invisibles,-8905
"Current, Capital and Financial Account Balances BPM6",2013Q2,Secondary income,-700
"Current, Capital and Financial Account Balances BPM6",2013Q2,Financial account,-1083
"Current, Capital and Financial Account Balances BPM6",2013Q2,Net Errors and omissions,-1573
"Current, Capital and Financial Account Balances BPM6",2013Q2,Direct investment,-8701
"Current, Capital and Financial Account Balances BPM6",2013Q2,Portfolio investment,13569
"Current, Capital and Financial Account Balances BPM6",2013Q2,Other investment,-5952
"Current, Capital and Financial Account Balances BPM6",2013Q3,Current account,3023
"Current, Capital and Financial Account Balances BPM6",2013Q3,Capital account,-259
"Current, Capital and Financial Account Balances BPM6",2013Q3,Merchandise,9816
"Current, Capital and Financial Account Balances BPM6",2013Q3,Services,1163
"Current, Capital and Financial Account Balances BPM6",2013Q3,Primary income,-7292
"Current, Capital and Financial Account Balances BPM6",2013Q3,Invisibles,-6792
"Current, Capital and Financial Account Balances BPM6",2013Q3,Secondary income,-663
"Current, Capital and Financial Account Balances BPM6",2013Q3,Financial account,1891
"Current, Capital and Financial Account Balances BPM6",2013Q3,Net Errors and omissions,-873
"Current, Capital and Financial Account Balances BPM6",2013Q3,Direct investment,-2471
"Current, Capital and Financial Account Balances BPM6",2013Q3,Portfolio investment,9553
"Current, Capital and Financial Account Balances BPM6",2013Q3,Other investment,-5196
"Current, Capital and Financial Account Balances BPM6",2013Q4,Current account,1086
"Current, Capital and Financial Account Balances BPM6",2013Q4,Capital account,-226
"Current, Capital and Financial Account Balances BPM6",2013Q4,Merchandise,7326
"Current, Capital and Financial Account Balances BPM6",2013Q4,Services,407
"Current, Capital and Financial Account Balances BPM6",2013Q4,Primary income,-5907
"Current, Capital and Financial Account Balances BPM6",2013Q4,Invisibles,-6240
"Current, Capital and Financial Account Balances BPM6",2013Q4,Secondary income,-740
"Current, Capital and Financial Account Balances BPM6",2013Q4,Financial account,973
"Current, Capital and Financial Account Balances BPM6",2013Q4,Net Errors and omissions,113
"Current, Capital and Financial Account Balances BPM6",2013Q4,Direct investment,-1890
"Current, Capital and Financial Account Balances BPM6",2013Q4,Portfolio investment,18422
"Current, Capital and Financial Account Balances BPM6",2013Q4,Other investment,-15564
"Current, Capital and Financial Account Balances BPM6",2014Q1,Current account,-794
"Current, Capital and Financial Account Balances BPM6",2014Q1,Capital account,-1691
"Current, Capital and Financial Account Balances BPM6",2014Q1,Merchandise,8939
"Current, Capital and Financial Account Balances BPM6",2014Q1,Services,-1051
"Current, Capital and Financial Account Balances BPM6",2014Q1,Primary income,-7783
"Current, Capital and Financial Account Balances BPM6",2014Q1,Invisibles,-9733
"Current, Capital and Financial Account Balances BPM6",2014Q1,Secondary income,-899
"Current, Capital and Financial Account Balances BPM6",2014Q1,Financial account,844
"Current, Capital and Financial Account Balances BPM6",2014Q1,Net Errors and omissions,3329
"Current, Capital and Financial Account Balances BPM6",2014Q1,Direct investment,1158
"Current, Capital and Financial Account Balances BPM6",2014Q1,Portfolio investment,-12758
"Current, Capital and Financial Account Balances BPM6",2014Q1,Other investment,12445
"Current, Capital and Financial Account Balances BPM6",2014Q2,Current account,1697
"Current, Capital and Financial Account Balances BPM6",2014Q2,Capital account,-1717
"Current, Capital and Financial Account Balances BPM6",2014Q2,Merchandise,11286
"Current, Capital and Financial Account Balances BPM6",2014Q2,Services,-720
"Current, Capital and Financial Account Balances BPM6",2014Q2,Primary income,-8260
"Current, Capital and Financial Account Balances BPM6",2014Q2,Invisibles,-9588
"Current, Capital and Financial Account Balances BPM6",2014Q2,Secondary income,-608
"Current, Capital and Financial Account Balances BPM6",2014Q2,Financial account,2930
"Current, Capital and Financial Account Balances BPM6",2014Q2,Net Errors and omissions,2950
"Current, Capital and Financial Account Balances BPM6",2014Q2,Direct investment,-4465
"Current, Capital and Financial Account Balances BPM6",2014Q2,Portfolio investment,-4507
"Current, Capital and Financial Account Balances BPM6",2014Q2,Other investment,11901
"Current, Capital and Financial Account Balances BPM6",2014Q3,Current account,3193
"Current, Capital and Financial Account Balances BPM6",2014Q3,Capital account,-1649
"Current, Capital and Financial Account Balances BPM6",2014Q3,Merchandise,10985
"Current, Capital and Financial Account Balances BPM6",2014Q3,Services,875
"Current, Capital and Financial Account Balances BPM6",2014Q3,Primary income,-8122
"Current, Capital and Financial Account Balances BPM6",2014Q3,Invisibles,-7792
"Current, Capital and Financial Account Balances BPM6",2014Q3,Secondary income,-545
"Current, Capital and Financial Account Balances BPM6",2014Q3,Financial account,-5168
"Current, Capital and Financial Account Balances BPM6",2014Q3,Net Errors and omissions,-6712
"Current, Capital and Financial Account Balances BPM6",2014Q3,Direct investment,-2454
"Current, Capital and Financial Account Balances BPM6",2014Q3,Portfolio investment,-15244
"Current, Capital and Financial Account Balances BPM6",2014Q3,Other investment,12526
"Current, Capital and Financial Account Balances BPM6",2014Q4,Current account,42
"Current, Capital and Financial Account Balances BPM6",2014Q4,Capital account,-1712
"Current, Capital and Financial Account Balances BPM6",2014Q4,Merchandise,9521
"Current, Capital and Financial Account Balances BPM6",2014Q4,Services,-1694
"Current, Capital and Financial Account Balances BPM6",2014Q4,Primary income,-7086
"Current, Capital and Financial Account Balances BPM6",2014Q4,Invisibles,-9478
"Current, Capital and Financial Account Balances BPM6",2014Q4,Secondary income,-698
"Current, Capital and Financial Account Balances BPM6",2014Q4,Financial account,-5605
"Current, Capital and Financial Account Balances BPM6",2014Q4,Net Errors and omissions,-3935
"Current, Capital and Financial Account Balances BPM6",2014Q4,Direct investment,-4337
"Current, Capital and Financial Account Balances BPM6",2014Q4,Portfolio investment,4722
"Current, Capital and Financial Account Balances BPM6",2014Q4,Other investment,-6123
"Current, Capital and Financial Account Balances BPM6",2015Q1,Current account,4989
"Current, Capital and Financial Account Balances BPM6",2015Q1,Capital account,-707
"Current, Capital and Financial Account Balances BPM6",2015Q1,Merchandise,26790
"Current, Capital and Financial Account Balances BPM6",2015Q1,Services,-4471
"Current, Capital and Financial Account Balances BPM6",2015Q1,Primary income,-16343
"Current, Capital and Financial Account Balances BPM6",2015Q1,Invisibles,-21800
"Current, Capital and Financial Account Balances BPM6",2015Q1,Secondary income,-986
"Current, Capital and Financial Account Balances BPM6",2015Q1,Financial account,3777
"Current, Capital and Financial Account Balances BPM6",2015Q1,Net Errors and omissions,-505
"Current, Capital and Financial Account Balances BPM6",2015Q1,Direct investment,40300
"Current, Capital and Financial Account Balances BPM6",2015Q1,Portfolio investment,-72413
"Current, Capital and Financial Account Balances BPM6",2015Q1,Other investment,35780
"Current, Capital and Financial Account Balances BPM6",2015Q2,Current account,7576
"Current, Capital and Financial Account Balances BPM6",2015Q2,Capital account,-226
"Current, Capital and Financial Account Balances BPM6",2015Q2,Merchandise,26894
"Current, Capital and Financial Account Balances BPM6",2015Q2,Services,-6830
"Current, Capital and Financial Account Balances BPM6",2015Q2,Primary income,-11694
"Current, Capital and Financial Account Balances BPM6",2015Q2,Invisibles,-19318
"Current, Capital and Financial Account Balances BPM6",2015Q2,Secondary income,-794
"Current, Capital and Financial Account Balances BPM6",2015Q2,Financial account,4816
"Current, Capital and Financial Account Balances BPM6",2015Q2,Net Errors and omissions,-2534
"Current, Capital and Financial Account Balances BPM6",2015Q2,Direct investment,-960
"Current, Capital and Financial Account Balances BPM6",2015Q2,Portfolio investment,14754
"Current, Capital and Financial Account Balances BPM6",2015Q2,Other investment,-9286
"Current, Capital and Financial Account Balances BPM6",2015Q3,Current account,6216
"Current, Capital and Financial Account Balances BPM6",2015Q3,Capital account,100
"Current, Capital and Financial Account Balances BPM6",2015Q3,Merchandise,29755
"Current, Capital and Financial Account Balances BPM6",2015Q3,Services,-6151
"Current, Capital and Financial Account Balances BPM6",2015Q3,Primary income,-16795
"Current, Capital and Financial Account Balances BPM6",2015Q3,Invisibles,-23539
"Current, Capital and Financial Account Balances BPM6",2015Q3,Secondary income,-593
"Current, Capital and Financial Account Balances BPM6",2015Q3,Financial account,9035
"Current, Capital and Financial Account Balances BPM6",2015Q3,Net Errors and omissions,2719
"Current, Capital and Financial Account Balances BPM6",2015Q3,Direct investment,10429
"Current, Capital and Financial Account Balances BPM6",2015Q3,Portfolio investment,-15637
"Current, Capital and Financial Account Balances BPM6",2015Q3,Other investment,14268
"Current, Capital and Financial Account Balances BPM6",2015Q4,Current account,-2069
"Current, Capital and Financial Account Balances BPM6",2015Q4,Capital account,-470
"Current, Capital and Financial Account Balances BPM6",2015Q4,Merchandise,29955
"Current, Capital and Financial Account Balances BPM6",2015Q4,Services,-15149
"Current, Capital and Financial Account Balances BPM6",2015Q4,Primary income,-15910
"Current, Capital and Financial Account Balances BPM6",2015Q4,Invisibles,-32024
"Current, Capital and Financial Account Balances BPM6",2015Q4,Secondary income,-965
"Current, Capital and Financial Account Balances BPM6",2015Q4,Financial account,-5228
"Current, Capital and Financial Account Balances BPM6",2015Q4,Net Errors and omissions,-2689
"Current, Capital and Financial Account Balances BPM6",2015Q4,Direct investment,-92446
"Current, Capital and Financial Account Balances BPM6",2015Q4,Portfolio investment,-10708
"Current, Capital and Financial Account Balances BPM6",2015Q4,Other investment,97824
"Current, Capital and Financial Account Balances BPM6",2016Q1,Current account,1779
"Current, Capital and Financial Account Balances BPM6",2016Q1,Capital account,-2670
"Current, Capital and Financial Account Balances BPM6",2016Q1,Merchandise,27367
"Current, Capital and Financial Account Balances BPM6",2016Q1,Services,-13070
"Current, Capital and Financial Account Balances BPM6",2016Q1,Primary income,-11497
"Current, Capital and Financial Account Balances BPM6",2016Q1,Invisibles,-25587
"Current, Capital and Financial Account Balances BPM6",2016Q1,Secondary income,-1020
"Current, Capital and Financial Account Balances BPM6",2016Q1,Financial account,7876
"Current, Capital and Financial Account Balances BPM6",2016Q1,Net Errors and omissions,8767
"Current, Capital and Financial Account Balances BPM6",2016Q1,Direct investment,12895
"Current, Capital and Financial Account Balances BPM6",2016Q1,Portfolio investment,-5514
"Current, Capital and Financial Account Balances BPM6",2016Q1,Other investment,-600
"Current, Capital and Financial Account Balances BPM6",2016Q2,Current account,270
"Current, Capital and Financial Account Balances BPM6",2016Q2,Capital account,-586
"Current, Capital and Financial Account Balances BPM6",2016Q2,Merchandise,24440
"Current, Capital and Financial Account Balances BPM6",2016Q2,Services,-12286
"Current, Capital and Financial Account Balances BPM6",2016Q2,Primary income,-11117
"Current, Capital and Financial Account Balances BPM6",2016Q2,Invisibles,-24171
"Current, Capital and Financial Account Balances BPM6",2016Q2,Secondary income,-768
"Current, Capital and Financial Account Balances BPM6",2016Q2,Financial account,-9948
"Current, Capital and Financial Account Balances BPM6",2016Q2,Net Errors and omissions,-9632
"Current, Capital and Financial Account Balances BPM6",2016Q2,Direct investment,1982
"Current, Capital and Financial Account Balances BPM6",2016Q2,Portfolio investment,3882
"Current, Capital and Financial Account Balances BPM6",2016Q2,Other investment,-15589
"Current, Capital and Financial Account Balances BPM6",2016Q3,Current account,-267
"Current, Capital and Financial Account Balances BPM6",2016Q3,Capital account,161
"Current, Capital and Financial Account Balances BPM6",2016Q3,Merchandise,26315
"Current, Capital and Financial Account Balances BPM6",2016Q3,Services,-10958
"Current, Capital and Financial Account Balances BPM6",2016Q3,Primary income,-14804
"Current, Capital and Financial Account Balances BPM6",2016Q3,Invisibles,-26582
"Current, Capital and Financial Account Balances BPM6",2016Q3,Secondary income,-820
"Current, Capital and Financial Account Balances BPM6",2016Q3,Financial account,-5676
"Current, Capital and Financial Account Balances BPM6",2016Q3,Net Errors and omissions,-5570
"Current, Capital and Financial Account Balances BPM6",2016Q3,Direct investment,-1695
"Current, Capital and Financial Account Balances BPM6",2016Q3,Portfolio investment,12528
"Current, Capital and Financial Account Balances BPM6",2016Q3,Other investment,-16888
"Current, Capital and Financial Account Balances BPM6",2016Q4,Current account,-5216
"Current, Capital and Financial Account Balances BPM6",2016Q4,Capital account,-1236
"Current, Capital and Financial Account Balances BPM6",2016Q4,Merchandise,28043
"Current, Capital and Financial Account Balances BPM6",2016Q4,Services,-18394
"Current, Capital and Financial Account Balances BPM6",2016Q4,Primary income,-13659
"Current, Capital and Financial Account Balances BPM6",2016Q4,Invisibles,-33258
"Current, Capital and Financial Account Balances BPM6",2016Q4,Secondary income,-1205
"Current, Capital and Financial Account Balances BPM6",2016Q4,Financial account,2182
"Current, Capital and Financial Account Balances BPM6",2016Q4,Net Errors and omissions,8634
"Current, Capital and Financial Account Balances BPM6",2016Q4,Direct investment,1020
"Current, Capital and Financial Account Balances BPM6",2016Q4,Portfolio investment,23729
"Current, Capital and Financial Account Balances BPM6",2016Q4,Other investment,-22772
"Current, Capital and Financial Account Balances BPM6",2017Q1,Current account,6597
"Current, Capital and Financial Account Balances BPM6",2017Q1,Capital account,-8538
"Current, Capital and Financial Account Balances BPM6",2017Q1,Merchandise,24968
"Current, Capital and Financial Account Balances BPM6",2017Q1,Services,-1314
"Current, Capital and Financial Account Balances BPM6",2017Q1,Primary income,-16441
"Current, Capital and Financial Account Balances BPM6",2017Q1,Invisibles,-18371
"Current, Capital and Financial Account Balances BPM6",2017Q1,Secondary income,-616
"Current, Capital and Financial Account Balances BPM6",2017Q1,Financial account,-11206
"Current, Capital and Financial Account Balances BPM6",2017Q1,Net Errors and omissions,-9265
"Current, Capital and Financial Account Balances BPM6",2017Q1,Direct investment,-6608
"Current, Capital and Financial Account Balances BPM6",2017Q1,Portfolio investment,-14015
"Current, Capital and Financial Account Balances BPM6",2017Q1,Other investment,9518
"Current, Capital and Financial Account Balances BPM6",2017Q2,Current account,-31349
"Current, Capital and Financial Account Balances BPM6",2017Q2,Capital account,-12079
"Current, Capital and Financial Account Balances BPM6",2017Q2,Merchandise,24327
"Current, Capital and Financial Account Balances BPM6",2017Q2,Services,-36726
"Current, Capital and Financial Account Balances BPM6",2017Q2,Primary income,-17781
"Current, Capital and Financial Account Balances BPM6",2017Q2,Invisibles,-55677
"Current, Capital and Financial Account Balances BPM6",2017Q2,Secondary income,-1170
"Current, Capital and Financial Account Balances BPM6",2017Q2,Financial account,-34333
"Current, Capital and Financial Account Balances BPM6",2017Q2,Net Errors and omissions,9095
"Current, Capital and Financial Account Balances BPM6",2017Q2,Direct investment,-24153
"Current, Capital and Financial Account Balances BPM6",2017Q2,Portfolio investment,-39145
"Current, Capital and Financial Account Balances BPM6",2017Q2,Other investment,28803
"Current, Capital and Financial Account Balances BPM6",2017Q3,Current account,14857
"Current, Capital and Financial Account Balances BPM6",2017Q3,Capital account,-4640
"Current, Capital and Financial Account Balances BPM6",2017Q3,Merchandise,28445
"Current, Capital and Financial Account Balances BPM6",2017Q3,Services,2205
"Current, Capital and Financial Account Balances BPM6",2017Q3,Primary income,-15168
"Current, Capital and Financial Account Balances BPM6",2017Q3,Invisibles,-13589
"Current, Capital and Financial Account Balances BPM6",2017Q3,Secondary income,-626
"Current, Capital and Financial Account Balances BPM6",2017Q3,Financial account,885
"Current, Capital and Financial Account Balances BPM6",2017Q3,Net Errors and omissions,-9332
"Current, Capital and Financial Account Balances BPM6",2017Q3,Direct investment,2681
"Current, Capital and Financial Account Balances BPM6",2017Q3,Portfolio investment,9996
"Current, Capital and Financial Account Balances BPM6",2017Q3,Other investment,-12027
"Current, Capital and Financial Account Balances BPM6",2017Q4,Current account,13423
"Current, Capital and Financial Account Balances BPM6",2017Q4,Capital account,-598
"Current, Capital and Financial Account Balances BPM6",2017Q4,Merchandise,30504
"Current, Capital and Financial Account Balances BPM6",2017Q4,Services,638
"Current, Capital and Financial Account Balances BPM6",2017Q4,Primary income,-17025
"Current, Capital and Financial Account Balances BPM6",2017Q4,Invisibles,-17081
"Current, Capital and Financial Account Balances BPM6",2017Q4,Secondary income,-694
"Current, Capital and Financial Account Balances BPM6",2017Q4,Financial account,22099
"Current, Capital and Financial Account Balances BPM6",2017Q4,Net Errors and omissions,9274
"Current, Capital and Financial Account Balances BPM6",2017Q4,Direct investment,-34193
"Current, Capital and Financial Account Balances BPM6",2017Q4,Portfolio investment,8664
"Current, Capital and Financial Account Balances BPM6",2017Q4,Other investment,47527
"Current, Capital and Financial Account Balances BPM6",2018Q1,Current account,9655
"Current, Capital and Financial Account Balances BPM6",2018Q1,Capital account,-109
"Current, Capital and Financial Account Balances BPM6",2018Q1,Merchandise,28269
