Statistic,Quarter,Business.of.Owner,value
All Vehicle Kilometres,2014Q1,Transport,186
All Vehicle Kilometres,2014Q1,Other,161
All Vehicle Kilometres,2014Q2,All business activities,334
All Vehicle Kilometres,2014Q2,Transport,176
All Vehicle Kilometres,2014Q2,Other,158
All Vehicle Kilometres,2014Q3,All business activities,323
All Vehicle Kilometres,2014Q3,Transport,165
All Vehicle Kilometres,2014Q3,Other,158
All Vehicle Kilometres,2014Q4,All business activities,303
All Vehicle Kilometres,2014Q4,Transport,149
All Vehicle Kilometres,2014Q4,Other,154
All Vehicle Kilometres,2015Q1,All business activities,316
All Vehicle Kilometres,2015Q1,Transport,154
All Vehicle Kilometres,2015Q1,Other,162
All Vehicle Kilometres,2015Q2,All business activities,326
All Vehicle Kilometres,2015Q2,Transport,169
All Vehicle Kilometres,2015Q2,Other,157
All Vehicle Kilometres,2015Q3,All business activities,344
All Vehicle Kilometres,2015Q3,Transport,180
All Vehicle Kilometres,2015Q3,Other,163
All Vehicle Kilometres,2015Q4,All business activities,317
All Vehicle Kilometres,2015Q4,Transport,158
All Vehicle Kilometres,2015Q4,Other,159
All Vehicle Kilometres,2016Q1,All business activities,386
All Vehicle Kilometres,2016Q1,Transport,192
All Vehicle Kilometres,2016Q1,Other,193
All Vehicle Kilometres,2016Q2,All business activities,386
All Vehicle Kilometres,2016Q2,Transport,209
All Vehicle Kilometres,2016Q2,Other,177
All Vehicle Kilometres,2016Q3,All business activities,393
All Vehicle Kilometres,2016Q3,Transport,214
All Vehicle Kilometres,2016Q3,Other,179
All Vehicle Kilometres,2016Q4,All business activities,394
All Vehicle Kilometres,2016Q4,Transport,211
All Vehicle Kilometres,2016Q4,Other,183
All Vehicle Kilometres,2017Q1,All business activities,373
All Vehicle Kilometres,2017Q1,Transport,190
All Vehicle Kilometres,2017Q1,Other,183
All Vehicle Kilometres,2017Q2,All business activities,412
All Vehicle Kilometres,2017Q2,Transport,204
All Vehicle Kilometres,2017Q2,Other,208
All Vehicle Kilometres,2017Q3,All business activities,395
All Vehicle Kilometres,2017Q3,Transport,207
All Vehicle Kilometres,2017Q3,Other,187
All Vehicle Kilometres,2017Q4,All business activities,412
All Vehicle Kilometres,2017Q4,Transport,204
All Vehicle Kilometres,2017Q4,Other,208
All Vehicle Kilometres,2018Q1,All business activities,385
All Vehicle Kilometres,2018Q1,Transport,184
All Vehicle Kilometres,2018Q1,Other,201
All Vehicle Kilometres,2018Q2,All business activities,420
All Vehicle Kilometres,2018Q2,Transport,210
All Vehicle Kilometres,2018Q2,Other,210
All Vehicle Kilometres,2018Q3,All business activities,423
All Vehicle Kilometres,2018Q3,Transport,209
All Vehicle Kilometres,2018Q3,Other,214
All Vehicle Kilometres,2018Q4,All business activities,371
All Vehicle Kilometres,2018Q4,Transport,192
All Vehicle Kilometres,2018Q4,Other,179
All Vehicle Kilometres,2019Q1,All business activities,418
All Vehicle Kilometres,2019Q1,Transport,216
All Vehicle Kilometres,2019Q1,Other,202
All Vehicle Kilometres,2019Q2,All business activities,450
All Vehicle Kilometres,2019Q2,Transport,216
All Vehicle Kilometres,2019Q2,Other,234
All Vehicle Kilometres,2019Q3,All business activities,454
All Vehicle Kilometres,2019Q3,Transport,238
All Vehicle Kilometres,2019Q3,Other,216
All Vehicle Kilometres,2019Q4,All business activities,412
All Vehicle Kilometres,2019Q4,Transport,192
All Vehicle Kilometres,2019Q4,Other,221
All Vehicle Kilometres,2020Q1,All business activities,405
All Vehicle Kilometres,2020Q1,Transport,189
All Vehicle Kilometres,2020Q1,Other,216
All Vehicle Kilometres,2020Q2,All business activities,305
All Vehicle Kilometres,2020Q2,Transport,144
All Vehicle Kilometres,2020Q2,Other,162
All Vehicle Kilometres,2020Q3,All business activities,401
All Vehicle Kilometres,2020Q3,Transport,194
All Vehicle Kilometres,2020Q3,Other,206
All Vehicle Kilometres,2020Q4,All business activities,377
All Vehicle Kilometres,2020Q4,Transport,187
All Vehicle Kilometres,2020Q4,Other,190
All Vehicle Kilometres,2021Q1,All business activities,417
All Vehicle Kilometres,2021Q1,Transport,190
All Vehicle Kilometres,2021Q1,Other,227
All Vehicle Kilometres,2021Q2,All business activities,426
All Vehicle Kilometres,2021Q2,Transport,211
All Vehicle Kilometres,2021Q2,Other,216
All Vehicle Kilometres,2021Q3,All business activities,455
All Vehicle Kilometres,2021Q3,Transport,223
All Vehicle Kilometres,2021Q3,Other,232
All Vehicle Kilometres,2021Q4,All business activities,387
All Vehicle Kilometres,2021Q4,Transport,205
All Vehicle Kilometres,2021Q4,Other,182
All Vehicle Kilometres,2022Q1,All business activities,468
All Vehicle Kilometres,2022Q1,Transport,223
All Vehicle Kilometres,2022Q1,Other,245
All Vehicle Kilometres,2022Q2,All business activities,464
All Vehicle Kilometres,2022Q2,Transport,214
All Vehicle Kilometres,2022Q2,Other,250
All Vehicle Kilometres,2022Q3,All business activities,422
All Vehicle Kilometres,2022Q3,Transport,207
All Vehicle Kilometres,2022Q3,Other,214
All Vehicle Kilometres,2022Q4,All business activities,433
All Vehicle Kilometres,2022Q4,Transport,222
All Vehicle Kilometres,2022Q4,Other,210
All Vehicle Kilometres,2023Q1,All business activities,441
All Vehicle Kilometres,2023Q1,Transport,202
All Vehicle Kilometres,2023Q1,Other,239
All Vehicle Kilometres,2023Q2,All business activities,453
All Vehicle Kilometres,2023Q2,Transport,233
All Vehicle Kilometres,2023Q2,Other,221
All Vehicle Kilometres,2023Q3,All business activities,451
All Vehicle Kilometres,2023Q3,Transport,234
All Vehicle Kilometres,2023Q3,Other,217
All Vehicle Kilometres,2023Q4,All business activities,478
All Vehicle Kilometres,2023Q4,Transport,241
All Vehicle Kilometres,2023Q4,Other,237
All Vehicle Kilometres,2024Q1,All business activities,528
All Vehicle Kilometres,2024Q1,Transport,246
All Vehicle Kilometres,2024Q1,Other,281
All Vehicle Kilometres,2024Q2,All business activities,469
All Vehicle Kilometres,2024Q2,Transport,243
All Vehicle Kilometres,2024Q2,Other,226
