Statistic,Quarter,Business.of.Owner,value
Tonne-Kilometre,2018Q4,All business activities,2710
Tonne-Kilometre,2018Q4,Transport,1936
Tonne-Kilometre,2018Q4,Other,774
Tonne-Kilometre,2019Q1,All business activities,2890
Tonne-Kilometre,2019Q1,Transport,2031
Tonne-Kilometre,2019Q1,Other,859
Tonne-Kilometre,2019Q2,All business activities,3136
Tonne-Kilometre,2019Q2,Transport,2216
Tonne-Kilometre,2019Q2,Other,920
Tonne-Kilometre,2019Q3,All business activities,3277
Tonne-Kilometre,2019Q3,Transport,2272
Tonne-Kilometre,2019Q3,Other,1005
Tonne-Kilometre,2019Q4,All business activities,3100
Tonne-Kilometre,2019Q4,Transport,2058
Tonne-Kilometre,2019Q4,Other,1042
Tonne-Kilometre,2020Q1,All business activities,2873
Tonne-Kilometre,2020Q1,Transport,1998
Tonne-Kilometre,2020Q1,Other,875
Tonne-Kilometre,2020Q2,All business activities,2406
Tonne-Kilometre,2020Q2,Transport,1640
Tonne-Kilometre,2020Q2,Other,766
Tonne-Kilometre,2020Q3,All business activities,3110
Tonne-Kilometre,2020Q3,Transport,2136
Tonne-Kilometre,2020Q3,Other,973
Tonne-Kilometre,2020Q4,All business activities,2994
Tonne-Kilometre,2020Q4,Transport,2009
Tonne-Kilometre,2020Q4,Other,986
Tonne-Kilometre,2021Q1,All business activities,2852
Tonne-Kilometre,2021Q1,Transport,1878
Tonne-Kilometre,2021Q1,Other,973
Tonne-Kilometre,2021Q2,All business activities,3225
Tonne-Kilometre,2021Q2,Transport,2228
Tonne-Kilometre,2021Q2,Other,998
Tonne-Kilometre,2021Q3,All business activities,3326
Tonne-Kilometre,2021Q3,Transport,2303
Tonne-Kilometre,2021Q3,Other,1023
Tonne-Kilometre,2021Q4,All business activities,3082
Tonne-Kilometre,2021Q4,Transport,2179
Tonne-Kilometre,2021Q4,Other,903
Tonne-Kilometre,2022Q1,All business activities,3048
Tonne-Kilometre,2022Q1,Transport,2032
Tonne-Kilometre,2022Q1,Other,1016
Tonne-Kilometre,2022Q2,All business activities,3364
Tonne-Kilometre,2022Q2,Transport,2358
Tonne-Kilometre,2022Q2,Other,1006
Tonne-Kilometre,2022Q3,All business activities,2969
Tonne-Kilometre,2022Q3,Transport,2084
Tonne-Kilometre,2022Q3,Other,885
Tonne-Kilometre,2022Q4,All business activities,2998
Tonne-Kilometre,2022Q4,Transport,2113
Tonne-Kilometre,2022Q4,Other,885
Tonne-Kilometre,2023Q1,All business activities,3082
Tonne-Kilometre,2023Q1,Transport,2024
Tonne-Kilometre,2023Q1,Other,1059
Tonne-Kilometre,2023Q2,All business activities,3278
Tonne-Kilometre,2023Q2,Transport,2353
Tonne-Kilometre,2023Q2,Other,925
Tonne-Kilometre,2023Q3,All business activities,3225
Tonne-Kilometre,2023Q3,Transport,2244
Tonne-Kilometre,2023Q3,Other,981
Tonne-Kilometre,2023Q4,All business activities,3010
Tonne-Kilometre,2023Q4,Transport,2093
Tonne-Kilometre,2023Q4,Other,917
Tonne-Kilometre,2024Q1,All business activities,3452
Tonne-Kilometre,2024Q1,Transport,2373
Tonne-Kilometre,2024Q1,Other,1079
