Statistic,Month,Taxation.Class,value
Vehicles Licensed for the First Time,2003 June,Secondhand Other Vehicles,270.0
Vehicles Licensed for the First Time,2003 June,Secondhand Motor Cycles,391.0
Vehicles Licensed for the First Time,2003 July,All Vehicles,20416.0
Vehicles Licensed for the First Time,2003 July,New Vehicles,17647.0
Vehicles Licensed for the First Time,2003 July,New Private Cars,13313.0
Vehicles Licensed for the First Time,2003 July,New Goods Vehicles,3033.0
Vehicles Licensed for the First Time,2003 July,New Tractors,257.0
Vehicles Licensed for the First Time,2003 July,New Motor Cycles,462.0
Vehicles Licensed for the First Time,2003 July,New Exempt Vehicles,363.0
Vehicles Licensed for the First Time,2003 July,"New public service vehicles, heavy agricultural and plant machinery and vehicles (NEC)",219.0
Vehicles Licensed for the First Time,2003 July,Secondhand Vehicles,2769.0
Vehicles Licensed for the First Time,2003 July,Secondhand Private Cars,1202.0
Vehicles Licensed for the First Time,2003 July,Secondhand Goods Vehicles,553.0
Vehicles Licensed for the First Time,2003 July,Secondhand Tractors,301.0
Vehicles Licensed for the First Time,2003 July,Secondhand Other Vehicles,325.0
Vehicles Licensed for the First Time,2003 July,Secondhand Motor Cycles,388.0
Vehicles Licensed for the First Time,2003 August,All Vehicles,14435.0
Vehicles Licensed for the First Time,2003 August,New Vehicles,12068.0
Vehicles Licensed for the First Time,2003 August,New Private Cars,8859.0
Vehicles Licensed for the First Time,2003 August,New Goods Vehicles,2080.0
Vehicles Licensed for the First Time,2003 August,New Tractors,199.0
Vehicles Licensed for the First Time,2003 August,New Motor Cycles,400.0
Vehicles Licensed for the First Time,2003 August,New Exempt Vehicles,357.0
Vehicles Licensed for the First Time,2003 August,"New public service vehicles, heavy agricultural and plant machinery and vehicles (NEC)",173.0
Vehicles Licensed for the First Time,2003 August,Secondhand Vehicles,2367.0
Vehicles Licensed for the First Time,2003 August,Secondhand Private Cars,1082.0
Vehicles Licensed for the First Time,2003 August,Secondhand Goods Vehicles,474.0
Vehicles Licensed for the First Time,2003 August,Secondhand Tractors,226.0
Vehicles Licensed for the First Time,2003 August,Secondhand Other Vehicles,273.0
Vehicles Licensed for the First Time,2003 August,Secondhand Motor Cycles,312.0
Vehicles Licensed for the First Time,2003 September,All Vehicles,12555.0
Vehicles Licensed for the First Time,2003 September,New Vehicles,9988.0
Vehicles Licensed for the First Time,2003 September,New Private Cars,6830.0
Vehicles Licensed for the First Time,2003 September,New Goods Vehicles,2063.0
Vehicles Licensed for the First Time,2003 September,New Tractors,190.0
Vehicles Licensed for the First Time,2003 September,New Motor Cycles,403.0
Vehicles Licensed for the First Time,2003 September,New Exempt Vehicles,288.0
Vehicles Licensed for the First Time,2003 September,"New public service vehicles, heavy agricultural and plant machinery and vehicles (NEC)",214.0
Vehicles Licensed for the First Time,2003 September,Secondhand Vehicles,2567.0
Vehicles Licensed for the First Time,2003 September,Secondhand Private Cars,1238.0
Vehicles Licensed for the First Time,2003 September,Secondhand Goods Vehicles,557.0
Vehicles Licensed for the First Time,2003 September,Secondhand Tractors,184.0
Vehicles Licensed for the First Time,2003 September,Secondhand Other Vehicles,276.0
Vehicles Licensed for the First Time,2003 September,Secondhand Motor Cycles,312.0
Vehicles Licensed for the First Time,2003 October,All Vehicles,11903.0
Vehicles Licensed for the First Time,2003 October,New Vehicles,9171.0
Vehicles Licensed for the First Time,2003 October,New Private Cars,6371.0
Vehicles Licensed for the First Time,2003 October,New Goods Vehicles,1904.0
Vehicles Licensed for the First Time,2003 October,New Tractors,158.0
Vehicles Licensed for the First Time,2003 October,New Motor Cycles,355.0
Vehicles Licensed for the First Time,2003 October,New Exempt Vehicles,217.0
Vehicles Licensed for the First Time,2003 October,"New public service vehicles, heavy agricultural and plant machinery and vehicles (NEC)",166.0
Vehicles Licensed for the First Time,2003 October,Secondhand Vehicles,2732.0
Vehicles Licensed for the First Time,2003 October,Secondhand Private Cars,1351.0
Vehicles Licensed for the First Time,2003 October,Secondhand Goods Vehicles,625.0
Vehicles Licensed for the First Time,2003 October,Secondhand Tractors,213.0
Vehicles Licensed for the First Time,2003 October,Secondhand Other Vehicles,274.0
Vehicles Licensed for the First Time,2003 October,Secondhand Motor Cycles,269.0
Vehicles Licensed for the First Time,2003 November,All Vehicles,8510.0
Vehicles Licensed for the First Time,2003 November,New Vehicles,6021.0
Vehicles Licensed for the First Time,2003 November,New Private Cars,3781.0
Vehicles Licensed for the First Time,2003 November,New Goods Vehicles,1581.0
Vehicles Licensed for the First Time,2003 November,New Tractors,140.0
Vehicles Licensed for the First Time,2003 November,New Motor Cycles,260.0
Vehicles Licensed for the First Time,2003 November,New Exempt Vehicles,144.0
Vehicles Licensed for the First Time,2003 November,"New public service vehicles, heavy agricultural and plant machinery and vehicles (NEC)",115.0
Vehicles Licensed for the First Time,2003 November,Secondhand Vehicles,2489.0
Vehicles Licensed for the First Time,2003 November,Secondhand Private Cars,1214.0
Vehicles Licensed for the First Time,2003 November,Secondhand Goods Vehicles,609.0
Vehicles Licensed for the First Time,2003 November,Secondhand Tractors,230.0
Vehicles Licensed for the First Time,2003 November,Secondhand Other Vehicles,232.0
Vehicles Licensed for the First Time,2003 November,Secondhand Motor Cycles,204.0
Vehicles Licensed for the First Time,2003 December,All Vehicles,5973.0
Vehicles Licensed for the First Time,2003 December,New Vehicles,3582.0
Vehicles Licensed for the First Time,2003 December,New Private Cars,2012.0
Vehicles Licensed for the First Time,2003 December,New Goods Vehicles,1079.0
Vehicles Licensed for the First Time,2003 December,New Tractors,146.0
Vehicles Licensed for the First Time,2003 December,New Motor Cycles,183.0
Vehicles Licensed for the First Time,2003 December,New Exempt Vehicles,84.0
Vehicles Licensed for the First Time,2003 December,"New public service vehicles, heavy agricultural and plant machinery and vehicles (NEC)",78.0
Vehicles Licensed for the First Time,2003 December,Secondhand Vehicles,2391.0
Vehicles Licensed for the First Time,2003 December,Secondhand Private Cars,1221.0
Vehicles Licensed for the First Time,2003 December,Secondhand Goods Vehicles,567.0
Vehicles Licensed for the First Time,2003 December,Secondhand Tractors,204.0
Vehicles Licensed for the First Time,2003 December,Secondhand Other Vehicles,245.0
Vehicles Licensed for the First Time,2003 December,Secondhand Motor Cycles,154.0
Vehicles Licensed for the First Time,2004 January,All Vehicles,23083.0
Vehicles Licensed for the First Time,2004 January,New Vehicles,20870.0
Vehicles Licensed for the First Time,2004 January,New Private Cars,16875.0
Vehicles Licensed for the First Time,2004 January,New Goods Vehicles,2528.0
Vehicles Licensed for the First Time,2004 January,New Tractors,271.0
Vehicles Licensed for the First Time,2004 January,New Motor Cycles,326.0
Vehicles Licensed for the First Time,2004 January,New Exempt Vehicles,584.0
Vehicles Licensed for the First Time,2004 January,"New public service vehicles, heavy agricultural and plant machinery and vehicles (NEC)",286.0
Vehicles Licensed for the First Time,2004 January,Secondhand Vehicles,2213.0
Vehicles Licensed for the First Time,2004 January,Secondhand Private Cars,1133.0
Vehicles Licensed for the First Time,2004 January,Secondhand Goods Vehicles,473.0
Vehicles Licensed for the First Time,2004 January,Secondhand Tractors,210.0
Vehicles Licensed for the First Time,2004 January,Secondhand Other Vehicles,222.0
Vehicles Licensed for the First Time,2004 January,Secondhand Motor Cycles,175.0
Vehicles Licensed for the First Time,2004 February,All Vehicles,27279.0
Vehicles Licensed for the First Time,2004 February,New Vehicles,24695.0
Vehicles Licensed for the First Time,2004 February,New Private Cars,20084.0
Vehicles Licensed for the First Time,2004 February,New Goods Vehicles,3298.0
Vehicles Licensed for the First Time,2004 February,New Tractors,261.0
Vehicles Licensed for the First Time,2004 February,New Motor Cycles,326.0
Vehicles Licensed for the First Time,2004 February,New Exempt Vehicles,444.0
Vehicles Licensed for the First Time,2004 February,"New public service vehicles, heavy agricultural and plant machinery and vehicles (NEC)",282.0
Vehicles Licensed for the First Time,2004 February,Secondhand Vehicles,2584.0
Vehicles Licensed for the First Time,2004 February,Secondhand Private Cars,1325.0
Vehicles Licensed for the First Time,2004 February,Secondhand Goods Vehicles,612.0
Vehicles Licensed for the First Time,2004 February,Secondhand Tractors,215.0
Vehicles Licensed for the First Time,2004 February,Secondhand Other Vehicles,214.0
Vehicles Licensed for the First Time,2004 February,Secondhand Motor Cycles,218.0
Vehicles Licensed for the First Time,2004 March,All Vehicles,29100.0
Vehicles Licensed for the First Time,2004 March,New Vehicles,26239.0
Vehicles Licensed for the First Time,2004 March,New Private Cars,21150.0
Vehicles Licensed for the First Time,2004 March,New Goods Vehicles,3435.0
Vehicles Licensed for the First Time,2004 March,New Tractors,284.0
Vehicles Licensed for the First Time,2004 March,New Motor Cycles,336.0
Vehicles Licensed for the First Time,2004 March,New Exempt Vehicles,673.0
Vehicles Licensed for the First Time,2004 March,"New public service vehicles, heavy agricultural and plant machinery and vehicles (NEC)",361.0
Vehicles Licensed for the First Time,2004 March,Secondhand Vehicles,2861.0
Vehicles Licensed for the First Time,2004 March,Secondhand Private Cars,1477.0
Vehicles Licensed for the First Time,2004 March,Secondhand Goods Vehicles,599.0
Vehicles Licensed for the First Time,2004 March,Secondhand Tractors,265.0
Vehicles Licensed for the First Time,2004 March,Secondhand Other Vehicles,290.0
Vehicles Licensed for the First Time,2004 March,Secondhand Motor Cycles,230.0
Vehicles Licensed for the First Time,2004 April,All Vehicles,26650.0
Vehicles Licensed for the First Time,2004 April,New Vehicles,23620.0
Vehicles Licensed for the First Time,2004 April,New Private Cars,19057.0
Vehicles Licensed for the First Time,2004 April,New Goods Vehicles,3111.0
Vehicles Licensed for the First Time,2004 April,New Tractors,258.0
Vehicles Licensed for the First Time,2004 April,New Motor Cycles,379.0
Vehicles Licensed for the First Time,2004 April,New Exempt Vehicles,513.0
Vehicles Licensed for the First Time,2004 April,"New public service vehicles, heavy agricultural and plant machinery and vehicles (NEC)",302.0
Vehicles Licensed for the First Time,2004 April,Secondhand Vehicles,3030.0
Vehicles Licensed for the First Time,2004 April,Secondhand Private Cars,1511.0
Vehicles Licensed for the First Time,2004 April,Secondhand Goods Vehicles,613.0
Vehicles Licensed for the First Time,2004 April,Secondhand Tractors,253.0
Vehicles Licensed for the First Time,2004 April,Secondhand Other Vehicles,362.0
Vehicles Licensed for the First Time,2004 April,Secondhand Motor Cycles,291.0
Vehicles Licensed for the First Time,2004 May,All Vehicles,23884.0
Vehicles Licensed for the First Time,2004 May,New Vehicles,20622.0
Vehicles Licensed for the First Time,2004 May,New Private Cars,16153.0
Vehicles Licensed for the First Time,2004 May,New Goods Vehicles,3039.0
Vehicles Licensed for the First Time,2004 May,New Tractors,251.0
Vehicles Licensed for the First Time,2004 May,New Motor Cycles,405.0
Vehicles Licensed for the First Time,2004 May,New Exempt Vehicles,500.0
Vehicles Licensed for the First Time,2004 May,"New public service vehicles, heavy agricultural and plant machinery and vehicles (NEC)",274.0
Vehicles Licensed for the First Time,2004 May,Secondhand Vehicles,3262.0
Vehicles Licensed for the First Time,2004 May,Secondhand Private Cars,1637.0
Vehicles Licensed for the First Time,2004 May,Secondhand Goods Vehicles,628.0
Vehicles Licensed for the First Time,2004 May,Secondhand Tractors,289.0
Vehicles Licensed for the First Time,2004 May,Secondhand Other Vehicles,384.0
Vehicles Licensed for the First Time,2004 May,Secondhand Motor Cycles,324.0
Vehicles Licensed for the First Time,2004 June,All Vehicles,21455.0
Vehicles Licensed for the First Time,2004 June,New Vehicles,17965.0
Vehicles Licensed for the First Time,2004 June,New Private Cars,13619.0
Vehicles Licensed for the First Time,2004 June,New Goods Vehicles,2959.0
Vehicles Licensed for the First Time,2004 June,New Tractors,293.0
Vehicles Licensed for the First Time,2004 June,New Motor Cycles,368.0
Vehicles Licensed for the First Time,2004 June,New Exempt Vehicles,419.0
Vehicles Licensed for the First Time,2004 June,"New public service vehicles, heavy agricultural and plant machinery and vehicles (NEC)",307.0
Vehicles Licensed for the First Time,2004 June,Secondhand Vehicles,3490.0
Vehicles Licensed for the First Time,2004 June,Secondhand Private Cars,1834.0
Vehicles Licensed for the First Time,2004 June,Secondhand Goods Vehicles,624.0
Vehicles Licensed for the First Time,2004 June,Secondhand Tractors,311.0
Vehicles Licensed for the First Time,2004 June,Secondhand Other Vehicles,369.0
Vehicles Licensed for the First Time,2004 June,Secondhand Motor Cycles,352.0
Vehicles Licensed for the First Time,2004 July,All Vehicles,22068.0
Vehicles Licensed for the First Time,2004 July,New Vehicles,18443.0
Vehicles Licensed for the First Time,2004 July,New Private Cars,14144.0
Vehicles Licensed for the First Time,2004 July,New Goods Vehicles,2813.0
Vehicles Licensed for the First Time,2004 July,New Tractors,300.0
Vehicles Licensed for the First Time,2004 July,New Motor Cycles,390.0
Vehicles Licensed for the First Time,2004 July,New Exempt Vehicles,548.0
Vehicles Licensed for the First Time,2004 July,"New public service vehicles, heavy agricultural and plant machinery and vehicles (NEC)",248.0
Vehicles Licensed for the First Time,2004 July,Secondhand Vehicles,3625.0
Vehicles Licensed for the First Time,2004 July,Secondhand Private Cars,1815.0
Vehicles Licensed for the First Time,2004 July,Secondhand Goods Vehicles,672.0
Vehicles Licensed for the First Time,2004 July,Secondhand Tractors,294.0
Vehicles Licensed for the First Time,2004 July,Secondhand Other Vehicles,468.0
Vehicles Licensed for the First Time,2004 July,Secondhand Motor Cycles,376.0
Vehicles Licensed for the First Time,2004 August,All Vehicles,16580.0
Vehicles Licensed for the First Time,2004 August,New Vehicles,13184.0
Vehicles Licensed for the First Time,2004 August,New Private Cars,9599.0
Vehicles Licensed for the First Time,2004 August,New Goods Vehicles,2350.0
Vehicles Licensed for the First Time,2004 August,New Tractors,228.0
Vehicles Licensed for the First Time,2004 August,New Motor Cycles,342.0
Vehicles Licensed for the First Time,2004 August,New Exempt Vehicles,448.0
Vehicles Licensed for the First Time,2004 August,"New public service vehicles, heavy agricultural and plant machinery and vehicles (NEC)",217.0
Vehicles Licensed for the First Time,2004 August,Secondhand Vehicles,3396.0
Vehicles Licensed for the First Time,2004 August,Secondhand Private Cars,1797.0
Vehicles Licensed for the First Time,2004 August,Secondhand Goods Vehicles,652.0
Vehicles Licensed for the First Time,2004 August,Secondhand Tractors,272.0
Vehicles Licensed for the First Time,2004 August,Secondhand Other Vehicles,356.0
Vehicles Licensed for the First Time,2004 August,Secondhand Motor Cycles,319.0
Vehicles Licensed for the First Time,2004 September,All Vehicles,14557.0
Vehicles Licensed for the First Time,2004 September,New Vehicles,10933.0
Vehicles Licensed for the First Time,2004 September,New Private Cars,7390.0
Vehicles Licensed for the First Time,2004 September,New Goods Vehicles,2474.0
Vehicles Licensed for the First Time,2004 September,New Tractors,185.0
Vehicles Licensed for the First Time,2004 September,New Motor Cycles,337.0
Vehicles Licensed for the First Time,2004 September,New Exempt Vehicles,352.0
Vehicles Licensed for the First Time,2004 September,"New public service vehicles, heavy agricultural and plant machinery and vehicles (NEC)",195.0
Vehicles Licensed for the First Time,2004 September,Secondhand Vehicles,3624.0
Vehicles Licensed for the First Time,2004 September,Secondhand Private Cars,2041.0
Vehicles Licensed for the First Time,2004 September,Secondhand Goods Vehicles,747.0
Vehicles Licensed for the First Time,2004 September,Secondhand Tractors,222.0
Vehicles Licensed for the First Time,2004 September,Secondhand Other Vehicles,360.0
Vehicles Licensed for the First Time,2004 September,Secondhand Motor Cycles,254.0
Vehicles Licensed for the First Time,2004 October,All Vehicles,12402.0
Vehicles Licensed for the First Time,2004 October,New Vehicles,8823.0
Vehicles Licensed for the First Time,2004 October,New Private Cars,5830.0
Vehicles Licensed for the First Time,2004 October,New Goods Vehicles,2087.0
Vehicles Licensed for the First Time,2004 October,New Tractors,191.0
Vehicles Licensed for the First Time,2004 October,New Motor Cycles,254.0
Vehicles Licensed for the First Time,2004 October,New Exempt Vehicles,292.0
Vehicles Licensed for the First Time,2004 October,"New public service vehicles, heavy agricultural and plant machinery and vehicles (NEC)",169.0
Vehicles Licensed for the First Time,2004 October,Secondhand Vehicles,3579.0
Vehicles Licensed for the First Time,2004 October,Secondhand Private Cars,2204.0
Vehicles Licensed for the First Time,2004 October,Secondhand Goods Vehicles,686.0
Vehicles Licensed for the First Time,2004 October,Secondhand Tractors,211.0
Vehicles Licensed for the First Time,2004 October,Secondhand Other Vehicles,267.0
Vehicles Licensed for the First Time,2004 October,Secondhand Motor Cycles,211.0
Vehicles Licensed for the First Time,2004 November,All Vehicles,10680.0
Vehicles Licensed for the First Time,2004 November,New Vehicles,6540.0
Vehicles Licensed for the First Time,2004 November,New Private Cars,3763.0
Vehicles Licensed for the First Time,2004 November,New Goods Vehicles,1951.0
Vehicles Licensed for the First Time,2004 November,New Tractors,205.0
Vehicles Licensed for the First Time,2004 November,New Motor Cycles,238.0
Vehicles Licensed for the First Time,2004 November,New Exempt Vehicles,223.0
Vehicles Licensed for the First Time,2004 November,"New public service vehicles, heavy agricultural and plant machinery and vehicles (NEC)",160.0
Vehicles Licensed for the First Time,2004 November,Secondhand Vehicles,4140.0
Vehicles Licensed for the First Time,2004 November,Secondhand Private Cars,2425.0
Vehicles Licensed for the First Time,2004 November,Secondhand Goods Vehicles,910.0
Vehicles Licensed for the First Time,2004 November,Secondhand Tractors,256.0
Vehicles Licensed for the First Time,2004 November,Secondhand Other Vehicles,332.0
Vehicles Licensed for the First Time,2004 November,Secondhand Motor Cycles,217.0
Vehicles Licensed for the First Time,2004 December,All Vehicles,7226.0
Vehicles Licensed for the First Time,2004 December,New Vehicles,3656.0
Vehicles Licensed for the First Time,2004 December,New Private Cars,2033.0
Vehicles Licensed for the First Time,2004 December,New Goods Vehicles,1127.0
Vehicles Licensed for the First Time,2004 December,New Tractors,154.0
Vehicles Licensed for the First Time,2004 December,New Motor Cycles,132.0
Vehicles Licensed for the First Time,2004 December,New Exempt Vehicles,114.0
Vehicles Licensed for the First Time,2004 December,"New public service vehicles, heavy agricultural and plant machinery and vehicles (NEC)",96.0
Vehicles Licensed for the First Time,2004 December,Secondhand Vehicles,3570.0
Vehicles Licensed for the First Time,2004 December,Secondhand Private Cars,2205.0
Vehicles Licensed for the First Time,2004 December,Secondhand Goods Vehicles,736.0
Vehicles Licensed for the First Time,2004 December,Secondhand Tractors,224.0
Vehicles Licensed for the First Time,2004 December,Secondhand Other Vehicles,255.0
Vehicles Licensed for the First Time,2004 December,Secondhand Motor Cycles,150.0
Vehicles Licensed for the First Time,2005 January,All Vehicles,27373.0
Vehicles Licensed for the First Time,2005 January,New Vehicles,24079.0
Vehicles Licensed for the First Time,2005 January,New Private Cars,20002.0
Vehicles Licensed for the First Time,2005 January,New Goods Vehicles,2934.0
Vehicles Licensed for the First Time,2005 January,New Tractors,247.0
Vehicles Licensed for the First Time,2005 January,New Motor Cycles,246.0
Vehicles Licensed for the First Time,2005 January,New Exempt Vehicles,356.0
Vehicles Licensed for the First Time,2005 January,"New public service vehicles, heavy agricultural and plant machinery and vehicles (NEC)",294.0
Vehicles Licensed for the First Time,2005 January,Secondhand Vehicles,3294.0
Vehicles Licensed for the First Time,2005 January,Secondhand Private Cars,1924.0
Vehicles Licensed for the First Time,2005 January,Secondhand Goods Vehicles,661.0
Vehicles Licensed for the First Time,2005 January,Secondhand Tractors,251.0
Vehicles Licensed for the First Time,2005 January,Secondhand Other Vehicles,283.0
Vehicles Licensed for the First Time,2005 January,Secondhand Motor Cycles,175.0
Vehicles Licensed for the First Time,2005 February,All Vehicles,34423.0
Vehicles Licensed for the First Time,2005 February,New Vehicles,30090.0
Vehicles Licensed for the First Time,2005 February,New Private Cars,24153.0
Vehicles Licensed for the First Time,2005 February,New Goods Vehicles,4460.0
Vehicles Licensed for the First Time,2005 February,New Tractors,329.0
Vehicles Licensed for the First Time,2005 February,New Motor Cycles,294.0
Vehicles Licensed for the First Time,2005 February,New Exempt Vehicles,536.0
Vehicles Licensed for the First Time,2005 February,"New public service vehicles, heavy agricultural and plant machinery and vehicles (NEC)",318.0
Vehicles Licensed for the First Time,2005 February,Secondhand Vehicles,4333.0
Vehicles Licensed for the First Time,2005 February,Secondhand Private Cars,2702.0
Vehicles Licensed for the First Time,2005 February,Secondhand Goods Vehicles,767.0
Vehicles Licensed for the First Time,2005 February,Secondhand Tractors,267.0
Vehicles Licensed for the First Time,2005 February,Secondhand Other Vehicles,387.0
Vehicles Licensed for the First Time,2005 February,Secondhand Motor Cycles,210.0
Vehicles Licensed for the First Time,2005 March,All Vehicles,33619.0
Vehicles Licensed for the First Time,2005 March,New Vehicles,28898.0
Vehicles Licensed for the First Time,2005 March,New Private Cars,23160.0
Vehicles Licensed for the First Time,2005 March,New Goods Vehicles,4219.0
Vehicles Licensed for the First Time,2005 March,New Tractors,309.0
Vehicles Licensed for the First Time,2005 March,New Motor Cycles,320.0
Vehicles Licensed for the First Time,2005 March,New Exempt Vehicles,552.0
Vehicles Licensed for the First Time,2005 March,"New public service vehicles, heavy agricultural and plant machinery and vehicles (NEC)",338.0
Vehicles Licensed for the First Time,2005 March,Secondhand Vehicles,4721.0
Vehicles Licensed for the First Time,2005 March,Secondhand Private Cars,2860.0
Vehicles Licensed for the First Time,2005 March,Secondhand Goods Vehicles,876.0
Vehicles Licensed for the First Time,2005 March,Secondhand Tractors,296.0
Vehicles Licensed for the First Time,2005 March,Secondhand Other Vehicles,395.0
Vehicles Licensed for the First Time,2005 March,Secondhand Motor Cycles,294.0
Vehicles Licensed for the First Time,2005 April,All Vehicles,32529.0
Vehicles Licensed for the First Time,2005 April,New Vehicles,26955.0
Vehicles Licensed for the First Time,2005 April,New Private Cars,20864.0
Vehicles Licensed for the First Time,2005 April,New Goods Vehicles,4399.0
Vehicles Licensed for the First Time,2005 April,New Tractors,415.0
Vehicles Licensed for the First Time,2005 April,New Motor Cycles,352.0
Vehicles Licensed for the First Time,2005 April,New Exempt Vehicles,534.0
Vehicles Licensed for the First Time,2005 April,"New public service vehicles, heavy agricultural and plant machinery and vehicles (NEC)",391.0
Vehicles Licensed for the First Time,2005 April,Secondhand Vehicles,5574.0
Vehicles Licensed for the First Time,2005 April,Secondhand Private Cars,3395.0
Vehicles Licensed for the First Time,2005 April,Secondhand Goods Vehicles,1000.0
Vehicles Licensed for the First Time,2005 April,Secondhand Tractors,323.0
Vehicles Licensed for the First Time,2005 April,Secondhand Other Vehicles,473.0
Vehicles Licensed for the First Time,2005 April,Secondhand Motor Cycles,383.0
Vehicles Licensed for the First Time,2005 May,All Vehicles,29340.0
Vehicles Licensed for the First Time,2005 May,New Vehicles,23958.0
Vehicles Licensed for the First Time,2005 May,New Private Cars,18331.0
Vehicles Licensed for the First Time,2005 May,New Goods Vehicles,4058.0
Vehicles Licensed for the First Time,2005 May,New Tractors,330.0
Vehicles Licensed for the First Time,2005 May,New Motor Cycles,358.0
Vehicles Licensed for the First Time,2005 May,New Exempt Vehicles,506.0
Vehicles Licensed for the First Time,2005 May,"New public service vehicles, heavy agricultural and plant machinery and vehicles (NEC)",375.0
Vehicles Licensed for the First Time,2005 May,Secondhand Vehicles,5382.0
Vehicles Licensed for the First Time,2005 May,Secondhand Private Cars,3206.0
Vehicles Licensed for the First Time,2005 May,Secondhand Goods Vehicles,953.0
Vehicles Licensed for the First Time,2005 May,Secondhand Tractors,334.0
Vehicles Licensed for the First Time,2005 May,Secondhand Other Vehicles,491.0
Vehicles Licensed for the First Time,2005 May,Secondhand Motor Cycles,398.0
Vehicles Licensed for the First Time,2005 June,All Vehicles,25664.0
Vehicles Licensed for the First Time,2005 June,New Vehicles,20195.0
Vehicles Licensed for the First Time,2005 June,New Private Cars,14950.0
Vehicles Licensed for the First Time,2005 June,New Goods Vehicles,3693.0
Vehicles Licensed for the First Time,2005 June,New Tractors,323.0
Vehicles Licensed for the First Time,2005 June,New Motor Cycles,348.0
Vehicles Licensed for the First Time,2005 June,New Exempt Vehicles,481.0
Vehicles Licensed for the First Time,2005 June,"New public service vehicles, heavy agricultural and plant machinery and vehicles (NEC)",400.0
Vehicles Licensed for the First Time,2005 June,Secondhand Vehicles,5469.0
Vehicles Licensed for the First Time,2005 June,Secondhand Private Cars,3331.0
Vehicles Licensed for the First Time,2005 June,Secondhand Goods Vehicles,954.0
Vehicles Licensed for the First Time,2005 June,Secondhand Tractors,327.0
Vehicles Licensed for the First Time,2005 June,Secondhand Other Vehicles,476.0
Vehicles Licensed for the First Time,2005 June,Secondhand Motor Cycles,381.0
Vehicles Licensed for the First Time,2005 July,All Vehicles,24198.0
Vehicles Licensed for the First Time,2005 July,New Vehicles,18729.0
Vehicles Licensed for the First Time,2005 July,New Private Cars,14149.0
Vehicles Licensed for the First Time,2005 July,New Goods Vehicles,3271.0
Vehicles Licensed for the First Time,2005 July,New Tractors,278.0
Vehicles Licensed for the First Time,2005 July,New Motor Cycles,320.0
Vehicles Licensed for the First Time,2005 July,New Exempt Vehicles,463.0
Vehicles Licensed for the First Time,2005 July,"New public service vehicles, heavy agricultural and plant machinery and vehicles (NEC)",248.0
Vehicles Licensed for the First Time,2005 July,Secondhand Vehicles,5469.0
Vehicles Licensed for the First Time,2005 July,Secondhand Private Cars,3415.0
Vehicles Licensed for the First Time,2005 July,Secondhand Goods Vehicles,920.0
Vehicles Licensed for the First Time,2005 July,Secondhand Tractors,303.0
Vehicles Licensed for the First Time,2005 July,Secondhand Other Vehicles,445.0
Vehicles Licensed for the First Time,2005 July,Secondhand Motor Cycles,386.0
Vehicles Licensed for the First Time,2005 August,All Vehicles,20788.0
Vehicles Licensed for the First Time,2005 August,New Vehicles,15260.0
Vehicles Licensed for the First Time,2005 August,New Private Cars,11086.0
Vehicles Licensed for the First Time,2005 August,New Goods Vehicles,2963.0
Vehicles Licensed for the First Time,2005 August,New Tractors,270.0
Vehicles Licensed for the First Time,2005 August,New Motor Cycles,273.0
Vehicles Licensed for the First Time,2005 August,New Exempt Vehicles,418.0
Vehicles Licensed for the First Time,2005 August,"New public service vehicles, heavy agricultural and plant machinery and vehicles (NEC)",250.0
Vehicles Licensed for the First Time,2005 August,Secondhand Vehicles,5528.0
Vehicles Licensed for the First Time,2005 August,Secondhand Private Cars,3481.0
Vehicles Licensed for the First Time,2005 August,Secondhand Goods Vehicles,969.0
Vehicles Licensed for the First Time,2005 August,Secondhand Tractors,271.0
Vehicles Licensed for the First Time,2005 August,Secondhand Other Vehicles,457.0
Vehicles Licensed for the First Time,2005 August,Secondhand Motor Cycles,350.0
Vehicles Licensed for the First Time,2005 September,All Vehicles,16895.0
Vehicles Licensed for the First Time,2005 September,New Vehicles,11334.0
Vehicles Licensed for the First Time,2005 September,New Private Cars,7475.0
Vehicles Licensed for the First Time,2005 September,New Goods Vehicles,2713.0
Vehicles Licensed for the First Time,2005 September,New Tractors,220.0
Vehicles Licensed for the First Time,2005 September,New Motor Cycles,244.0
Vehicles Licensed for the First Time,2005 September,New Exempt Vehicles,419.0
Vehicles Licensed for the First Time,2005 September,"New public service vehicles, heavy agricultural and plant machinery and vehicles (NEC)",263.0
Vehicles Licensed for the First Time,2005 September,Secondhand Vehicles,5561.0
Vehicles Licensed for the First Time,2005 September,Secondhand Private Cars,3507.0
Vehicles Licensed for the First Time,2005 September,Secondhand Goods Vehicles,1118.0
Vehicles Licensed for the First Time,2005 September,Secondhand Tractors,239.0
Vehicles Licensed for the First Time,2005 September,Secondhand Other Vehicles,405.0
Vehicles Licensed for the First Time,2005 September,Secondhand Motor Cycles,292.0
Vehicles Licensed for the First Time,2005 October,All Vehicles,14863.0
Vehicles Licensed for the First Time,2005 October,New Vehicles,9521.0
Vehicles Licensed for the First Time,2005 October,New Private Cars,6290.0
Vehicles Licensed for the First Time,2005 October,New Goods Vehicles,2385.0
Vehicles Licensed for the First Time,2005 October,New Tractors,192.0
Vehicles Licensed for the First Time,2005 October,New Motor Cycles,216.0
Vehicles Licensed for the First Time,2005 October,New Exempt Vehicles,264.0
Vehicles Licensed for the First Time,2005 October,"New public service vehicles, heavy agricultural and plant machinery and vehicles (NEC)",174.0
