Statistic,Month,Taxation.Class,value
Vehicles Licensed for the First Time,1996 December,"New public service vehicles, heavy agricultural and plant machinery and vehicles (NEC)",57.0
Vehicles Licensed for the First Time,1996 December,Secondhand Vehicles,3809.0
Vehicles Licensed for the First Time,1996 December,Secondhand Private Cars,3022.0
Vehicles Licensed for the First Time,1996 December,Secondhand Goods Vehicles,341.0
Vehicles Licensed for the First Time,1996 December,Secondhand Tractors,217.0
Vehicles Licensed for the First Time,1996 December,Secondhand Other Vehicles,229.0
Vehicles Licensed for the First Time,1996 December,Secondhand Motor Cycles,
Vehicles Licensed for the First Time,1997 January,All Vehicles,21856.0
Vehicles Licensed for the First Time,1997 January,New Vehicles,17521.0
Vehicles Licensed for the First Time,1997 January,New Private Cars,14691.0
Vehicles Licensed for the First Time,1997 January,New Goods Vehicles,1979.0
Vehicles Licensed for the First Time,1997 January,New Tractors,262.0
Vehicles Licensed for the First Time,1997 January,New Motor Cycles,202.0
Vehicles Licensed for the First Time,1997 January,New Exempt Vehicles,192.0
Vehicles Licensed for the First Time,1997 January,"New public service vehicles, heavy agricultural and plant machinery and vehicles (NEC)",195.0
Vehicles Licensed for the First Time,1997 January,Secondhand Vehicles,4335.0
Vehicles Licensed for the First Time,1997 January,Secondhand Private Cars,3373.0
Vehicles Licensed for the First Time,1997 January,Secondhand Goods Vehicles,420.0
Vehicles Licensed for the First Time,1997 January,Secondhand Tractors,258.0
Vehicles Licensed for the First Time,1997 January,Secondhand Other Vehicles,284.0
Vehicles Licensed for the First Time,1997 January,Secondhand Motor Cycles,
Vehicles Licensed for the First Time,1997 February,All Vehicles,20289.0
Vehicles Licensed for the First Time,1997 February,New Vehicles,15775.0
Vehicles Licensed for the First Time,1997 February,New Private Cars,12982.0
Vehicles Licensed for the First Time,1997 February,New Goods Vehicles,2038.0
Vehicles Licensed for the First Time,1997 February,New Tractors,168.0
Vehicles Licensed for the First Time,1997 February,New Motor Cycles,210.0
Vehicles Licensed for the First Time,1997 February,New Exempt Vehicles,168.0
Vehicles Licensed for the First Time,1997 February,"New public service vehicles, heavy agricultural and plant machinery and vehicles (NEC)",209.0
Vehicles Licensed for the First Time,1997 February,Secondhand Vehicles,4514.0
Vehicles Licensed for the First Time,1997 February,Secondhand Private Cars,3504.0
Vehicles Licensed for the First Time,1997 February,Secondhand Goods Vehicles,428.0
Vehicles Licensed for the First Time,1997 February,Secondhand Tractors,237.0
Vehicles Licensed for the First Time,1997 February,Secondhand Other Vehicles,345.0
Vehicles Licensed for the First Time,1997 February,Secondhand Motor Cycles,
Vehicles Licensed for the First Time,1997 March,All Vehicles,20497.0
Vehicles Licensed for the First Time,1997 March,New Vehicles,15961.0
Vehicles Licensed for the First Time,1997 March,New Private Cars,13548.0
Vehicles Licensed for the First Time,1997 March,New Goods Vehicles,1716.0
Vehicles Licensed for the First Time,1997 March,New Tractors,174.0
Vehicles Licensed for the First Time,1997 March,New Motor Cycles,238.0
Vehicles Licensed for the First Time,1997 March,New Exempt Vehicles,159.0
Vehicles Licensed for the First Time,1997 March,"New public service vehicles, heavy agricultural and plant machinery and vehicles (NEC)",126.0
Vehicles Licensed for the First Time,1997 March,Secondhand Vehicles,4536.0
Vehicles Licensed for the First Time,1997 March,Secondhand Private Cars,3544.0
Vehicles Licensed for the First Time,1997 March,Secondhand Goods Vehicles,427.0
Vehicles Licensed for the First Time,1997 March,Secondhand Tractors,218.0
Vehicles Licensed for the First Time,1997 March,Secondhand Other Vehicles,347.0
Vehicles Licensed for the First Time,1997 March,Secondhand Motor Cycles,
Vehicles Licensed for the First Time,1997 April,All Vehicles,22137.0
Vehicles Licensed for the First Time,1997 April,New Vehicles,16953.0
Vehicles Licensed for the First Time,1997 April,New Private Cars,14131.0
Vehicles Licensed for the First Time,1997 April,New Goods Vehicles,1971.0
Vehicles Licensed for the First Time,1997 April,New Tractors,164.0
Vehicles Licensed for the First Time,1997 April,New Motor Cycles,282.0
Vehicles Licensed for the First Time,1997 April,New Exempt Vehicles,225.0
Vehicles Licensed for the First Time,1997 April,"New public service vehicles, heavy agricultural and plant machinery and vehicles (NEC)",180.0
Vehicles Licensed for the First Time,1997 April,Secondhand Vehicles,5184.0
Vehicles Licensed for the First Time,1997 April,Secondhand Private Cars,3969.0
Vehicles Licensed for the First Time,1997 April,Secondhand Goods Vehicles,479.0
Vehicles Licensed for the First Time,1997 April,Secondhand Tractors,275.0
Vehicles Licensed for the First Time,1997 April,Secondhand Other Vehicles,461.0
Vehicles Licensed for the First Time,1997 April,Secondhand Motor Cycles,
Vehicles Licensed for the First Time,1997 May,All Vehicles,21954.0
Vehicles Licensed for the First Time,1997 May,New Vehicles,17024.0
Vehicles Licensed for the First Time,1997 May,New Private Cars,14159.0
Vehicles Licensed for the First Time,1997 May,New Goods Vehicles,1927.0
Vehicles Licensed for the First Time,1997 May,New Tractors,177.0
Vehicles Licensed for the First Time,1997 May,New Motor Cycles,264.0
Vehicles Licensed for the First Time,1997 May,New Exempt Vehicles,315.0
Vehicles Licensed for the First Time,1997 May,"New public service vehicles, heavy agricultural and plant machinery and vehicles (NEC)",182.0
Vehicles Licensed for the First Time,1997 May,Secondhand Vehicles,4930.0
Vehicles Licensed for the First Time,1997 May,Secondhand Private Cars,3739.0
Vehicles Licensed for the First Time,1997 May,Secondhand Goods Vehicles,420.0
Vehicles Licensed for the First Time,1997 May,Secondhand Tractors,336.0
Vehicles Licensed for the First Time,1997 May,Secondhand Other Vehicles,435.0
Vehicles Licensed for the First Time,1997 May,Secondhand Motor Cycles,
Vehicles Licensed for the First Time,1997 June,All Vehicles,16757.0
Vehicles Licensed for the First Time,1997 June,New Vehicles,12637.0
Vehicles Licensed for the First Time,1997 June,New Private Cars,10414.0
Vehicles Licensed for the First Time,1997 June,New Goods Vehicles,1516.0
Vehicles Licensed for the First Time,1997 June,New Tractors,152.0
Vehicles Licensed for the First Time,1997 June,New Motor Cycles,219.0
Vehicles Licensed for the First Time,1997 June,New Exempt Vehicles,176.0
Vehicles Licensed for the First Time,1997 June,"New public service vehicles, heavy agricultural and plant machinery and vehicles (NEC)",160.0
Vehicles Licensed for the First Time,1997 June,Secondhand Vehicles,4120.0
Vehicles Licensed for the First Time,1997 June,Secondhand Private Cars,3132.0
Vehicles Licensed for the First Time,1997 June,Secondhand Goods Vehicles,342.0
Vehicles Licensed for the First Time,1997 June,Secondhand Tractors,294.0
Vehicles Licensed for the First Time,1997 June,Secondhand Other Vehicles,352.0
Vehicles Licensed for the First Time,1997 June,Secondhand Motor Cycles,
Vehicles Licensed for the First Time,1997 July,All Vehicles,18784.0
Vehicles Licensed for the First Time,1997 July,New Vehicles,14036.0
Vehicles Licensed for the First Time,1997 July,New Private Cars,11420.0
Vehicles Licensed for the First Time,1997 July,New Goods Vehicles,1831.0
Vehicles Licensed for the First Time,1997 July,New Tractors,157.0
Vehicles Licensed for the First Time,1997 July,New Motor Cycles,283.0
Vehicles Licensed for the First Time,1997 July,New Exempt Vehicles,175.0
Vehicles Licensed for the First Time,1997 July,"New public service vehicles, heavy agricultural and plant machinery and vehicles (NEC)",170.0
Vehicles Licensed for the First Time,1997 July,Secondhand Vehicles,4748.0
Vehicles Licensed for the First Time,1997 July,Secondhand Private Cars,3635.0
Vehicles Licensed for the First Time,1997 July,Secondhand Goods Vehicles,414.0
Vehicles Licensed for the First Time,1997 July,Secondhand Tractors,279.0
Vehicles Licensed for the First Time,1997 July,Secondhand Other Vehicles,420.0
Vehicles Licensed for the First Time,1997 July,Secondhand Motor Cycles,
Vehicles Licensed for the First Time,1997 August,All Vehicles,14090.0
Vehicles Licensed for the First Time,1997 August,New Vehicles,9886.0
Vehicles Licensed for the First Time,1997 August,New Private Cars,7870.0
Vehicles Licensed for the First Time,1997 August,New Goods Vehicles,1390.0
Vehicles Licensed for the First Time,1997 August,New Tractors,132.0
Vehicles Licensed for the First Time,1997 August,New Motor Cycles,230.0
Vehicles Licensed for the First Time,1997 August,New Exempt Vehicles,158.0
Vehicles Licensed for the First Time,1997 August,"New public service vehicles, heavy agricultural and plant machinery and vehicles (NEC)",106.0
Vehicles Licensed for the First Time,1997 August,Secondhand Vehicles,4204.0
Vehicles Licensed for the First Time,1997 August,Secondhand Private Cars,3289.0
Vehicles Licensed for the First Time,1997 August,Secondhand Goods Vehicles,343.0
Vehicles Licensed for the First Time,1997 August,Secondhand Tractors,237.0
Vehicles Licensed for the First Time,1997 August,Secondhand Other Vehicles,335.0
Vehicles Licensed for the First Time,1997 August,Secondhand Motor Cycles,
Vehicles Licensed for the First Time,1997 September,All Vehicles,12807.0
Vehicles Licensed for the First Time,1997 September,New Vehicles,8366.0
Vehicles Licensed for the First Time,1997 September,New Private Cars,6340.0
Vehicles Licensed for the First Time,1997 September,New Goods Vehicles,1369.0
Vehicles Licensed for the First Time,1997 September,New Tractors,144.0
Vehicles Licensed for the First Time,1997 September,New Motor Cycles,232.0
Vehicles Licensed for the First Time,1997 September,New Exempt Vehicles,154.0
Vehicles Licensed for the First Time,1997 September,"New public service vehicles, heavy agricultural and plant machinery and vehicles (NEC)",127.0
Vehicles Licensed for the First Time,1997 September,Secondhand Vehicles,4441.0
Vehicles Licensed for the First Time,1997 September,Secondhand Private Cars,3454.0
Vehicles Licensed for the First Time,1997 September,Secondhand Goods Vehicles,377.0
Vehicles Licensed for the First Time,1997 September,Secondhand Tractors,238.0
Vehicles Licensed for the First Time,1997 September,Secondhand Other Vehicles,372.0
Vehicles Licensed for the First Time,1997 September,Secondhand Motor Cycles,
Vehicles Licensed for the First Time,1997 October,All Vehicles,13549.0
Vehicles Licensed for the First Time,1997 October,New Vehicles,8961.0
Vehicles Licensed for the First Time,1997 October,New Private Cars,6869.0
Vehicles Licensed for the First Time,1997 October,New Goods Vehicles,1423.0
Vehicles Licensed for the First Time,1997 October,New Tractors,143.0
Vehicles Licensed for the First Time,1997 October,New Motor Cycles,240.0
Vehicles Licensed for the First Time,1997 October,New Exempt Vehicles,149.0
Vehicles Licensed for the First Time,1997 October,"New public service vehicles, heavy agricultural and plant machinery and vehicles (NEC)",137.0
Vehicles Licensed for the First Time,1997 October,Secondhand Vehicles,4588.0
Vehicles Licensed for the First Time,1997 October,Secondhand Private Cars,3538.0
Vehicles Licensed for the First Time,1997 October,Secondhand Goods Vehicles,462.0
Vehicles Licensed for the First Time,1997 October,Secondhand Tractors,235.0
Vehicles Licensed for the First Time,1997 October,Secondhand Other Vehicles,353.0
Vehicles Licensed for the First Time,1997 October,Secondhand Motor Cycles,
Vehicles Licensed for the First Time,1997 November,All Vehicles,12819.0
Vehicles Licensed for the First Time,1997 November,New Vehicles,8424.0
Vehicles Licensed for the First Time,1997 November,New Private Cars,6777.0
Vehicles Licensed for the First Time,1997 November,New Goods Vehicles,1120.0
Vehicles Licensed for the First Time,1997 November,New Tractors,112.0
Vehicles Licensed for the First Time,1997 November,New Motor Cycles,179.0
Vehicles Licensed for the First Time,1997 November,New Exempt Vehicles,121.0
Vehicles Licensed for the First Time,1997 November,"New public service vehicles, heavy agricultural and plant machinery and vehicles (NEC)",115.0
Vehicles Licensed for the First Time,1997 November,Secondhand Vehicles,4395.0
Vehicles Licensed for the First Time,1997 November,Secondhand Private Cars,3380.0
Vehicles Licensed for the First Time,1997 November,Secondhand Goods Vehicles,421.0
Vehicles Licensed for the First Time,1997 November,Secondhand Tractors,256.0
Vehicles Licensed for the First Time,1997 November,Secondhand Other Vehicles,338.0
Vehicles Licensed for the First Time,1997 November,Secondhand Motor Cycles,
