Statistic,Year,Item,value
Modified Gross National Income at Constant Market Prices,2020,Gross national income at constant market prices - ESA code (B.5*g),318865
Modified Gross National Income at Constant Market Prices,2020,Total adjustments,-83643
Modified Gross National Income at Constant Market Prices,2020,Modified gross national income (GNI*) at constant market prices,234772
Modified Gross National Income at Constant Market Prices,2021,Gross national income at constant market prices - ESA code (B.5*g),362133
Modified Gross National Income at Constant Market Prices,2021,Total adjustments,-94594
Modified Gross National Income at Constant Market Prices,2021,Modified gross national income (GNI*) at constant market prices,267083
Modified Gross National Income at Constant Market Prices,2022,Gross national income at constant market prices - ESA code (B.5*g),366522
Modified Gross National Income at Constant Market Prices,2022,Total adjustments,-90734
Modified Gross National Income at Constant Market Prices,2022,Modified gross national income (GNI*) at constant market prices,275832
Modified Gross National Income at Constant Market Prices,2023,Gross national income at constant market prices - ESA code (B.5*g),390996
Modified Gross National Income at Constant Market Prices,2023,Total adjustments,-99568
Modified Gross National Income at Constant Market Prices,2023,Modified gross national income (GNI*) at constant market prices,291428
Modified Gross National Income at Constant Market Prices,2024,Gross national income at constant market prices - ESA code (B.5*g),404288
Modified Gross National Income at Constant Market Prices,2024,Total adjustments,-98914
Modified Gross National Income at Constant Market Prices,2024,Modified gross national income (GNI*) at constant market prices,305374
