Statistic,Month,Sex,Age.Group,Last.Held.Occupation,value
Persons on the Live Register,2011 October,Male,Under 25 years,All broad occupational groups,47370
Persons on the Live Register,2011 October,Male,Under 25 years,Managers and administrators,455
Persons on the Live Register,2011 October,Male,Under 25 years,Professional,1267
Persons on the Live Register,2011 October,Male,Under 25 years,Associate professional and technical,1038
Persons on the Live Register,2011 October,Male,Under 25 years,Clerical and secretarial,1795
Persons on the Live Register,2011 October,Male,Under 25 years,Craft and related,12944
Persons on the Live Register,2011 October,Male,Under 25 years,Personal and protective services,3149
Persons on the Live Register,2011 October,Male,Under 25 years,Sales,5625
Persons on the Live Register,2011 October,Male,Under 25 years,Plant and machine operatives,7506
Persons on the Live Register,2011 October,Male,Under 25 years,Other broad occupational groups,8245
Persons on the Live Register,2011 October,Male,Under 25 years,No occupation,5346
Persons on the Live Register,2011 October,Male,25 years and over,All broad occupational groups,230225
Persons on the Live Register,2011 October,Male,25 years and over,Managers and administrators,9400
Persons on the Live Register,2011 October,Male,25 years and over,Professional,10547
Persons on the Live Register,2011 October,Male,25 years and over,Associate professional and technical,6256
Persons on the Live Register,2011 October,Male,25 years and over,Clerical and secretarial,9374
Persons on the Live Register,2011 October,Male,25 years and over,Craft and related,84688
Persons on the Live Register,2011 October,Male,25 years and over,Personal and protective services,14615
Persons on the Live Register,2011 October,Male,25 years and over,Sales,11779
Persons on the Live Register,2011 October,Male,25 years and over,Plant and machine operatives,46034
Persons on the Live Register,2011 October,Male,25 years and over,Other broad occupational groups,31592
Persons on the Live Register,2011 October,Male,25 years and over,No occupation,5940
Persons on the Live Register,2011 October,Male,All ages,All broad occupational groups,277595
Persons on the Live Register,2011 October,Male,All ages,Managers and administrators,9855
Persons on the Live Register,2011 October,Male,All ages,Professional,11814
Persons on the Live Register,2011 October,Male,All ages,Associate professional and technical,7294
Persons on the Live Register,2011 October,Male,All ages,Clerical and secretarial,11169
Persons on the Live Register,2011 October,Male,All ages,Craft and related,97632
Persons on the Live Register,2011 October,Male,All ages,Personal and protective services,17764
Persons on the Live Register,2011 October,Male,All ages,Sales,17404
Persons on the Live Register,2011 October,Male,All ages,Plant and machine operatives,53540
Persons on the Live Register,2011 October,Male,All ages,Other broad occupational groups,39837
Persons on the Live Register,2011 October,Male,All ages,No occupation,11286
Persons on the Live Register,2011 October,Female,Under 25 years,All broad occupational groups,30339
Persons on the Live Register,2011 October,Female,Under 25 years,Managers and administrators,274
Persons on the Live Register,2011 October,Female,Under 25 years,Professional,1332
Persons on the Live Register,2011 October,Female,Under 25 years,Associate professional and technical,668
Persons on the Live Register,2011 October,Female,Under 25 years,Clerical and secretarial,2475
Persons on the Live Register,2011 October,Female,Under 25 years,Craft and related,1201
Persons on the Live Register,2011 October,Female,Under 25 years,Personal and protective services,7379
Persons on the Live Register,2011 October,Female,Under 25 years,Sales,8063
Persons on the Live Register,2011 October,Female,Under 25 years,Plant and machine operatives,2645
Persons on the Live Register,2011 October,Female,Under 25 years,Other broad occupational groups,3022
Persons on the Live Register,2011 October,Female,Under 25 years,No occupation,3280
Persons on the Live Register,2011 October,Female,25 years and over,All broad occupational groups,122498
Persons on the Live Register,2011 October,Female,25 years and over,Managers and administrators,6267
Persons on the Live Register,2011 October,Female,25 years and over,Professional,11443
Persons on the Live Register,2011 October,Female,25 years and over,Associate professional and technical,4618
Persons on the Live Register,2011 October,Female,25 years and over,Clerical and secretarial,27419
Persons on the Live Register,2011 October,Female,25 years and over,Craft and related,5977
Persons on the Live Register,2011 October,Female,25 years and over,Personal and protective services,24506
Persons on the Live Register,2011 October,Female,25 years and over,Sales,20466
Persons on the Live Register,2011 October,Female,25 years and over,Plant and machine operatives,12337
Persons on the Live Register,2011 October,Female,25 years and over,Other broad occupational groups,6366
Persons on the Live Register,2011 October,Female,25 years and over,No occupation,3099
Persons on the Live Register,2011 October,Female,All ages,All broad occupational groups,152837
Persons on the Live Register,2011 October,Female,All ages,Managers and administrators,6541
Persons on the Live Register,2011 October,Female,All ages,Professional,12775
Persons on the Live Register,2011 October,Female,All ages,Associate professional and technical,5286
Persons on the Live Register,2011 October,Female,All ages,Clerical and secretarial,29894
Persons on the Live Register,2011 October,Female,All ages,Craft and related,7178
Persons on the Live Register,2011 October,Female,All ages,Personal and protective services,31885
Persons on the Live Register,2011 October,Female,All ages,Sales,28529
Persons on the Live Register,2011 October,Female,All ages,Plant and machine operatives,14982
Persons on the Live Register,2011 October,Female,All ages,Other broad occupational groups,9388
Persons on the Live Register,2011 October,Female,All ages,No occupation,6379
Persons on the Live Register,2011 November,Both sexes,Under 25 years,All broad occupational groups,75556
Persons on the Live Register,2011 November,Both sexes,Under 25 years,Managers and administrators,698
Persons on the Live Register,2011 November,Both sexes,Under 25 years,Professional,2382
Persons on the Live Register,2011 November,Both sexes,Under 25 years,Associate professional and technical,1605
Persons on the Live Register,2011 November,Both sexes,Under 25 years,Clerical and secretarial,4130
Persons on the Live Register,2011 November,Both sexes,Under 25 years,Craft and related,13706
Persons on the Live Register,2011 November,Both sexes,Under 25 years,Personal and protective services,10461
Persons on the Live Register,2011 November,Both sexes,Under 25 years,Sales,13002
Persons on the Live Register,2011 November,Both sexes,Under 25 years,Plant and machine operatives,9978
Persons on the Live Register,2011 November,Both sexes,Under 25 years,Other broad occupational groups,11059
Persons on the Live Register,2011 November,Both sexes,Under 25 years,No occupation,8535
Persons on the Live Register,2011 November,Both sexes,25 years and over,All broad occupational groups,354011
Persons on the Live Register,2011 November,Both sexes,25 years and over,Managers and administrators,15777
Persons on the Live Register,2011 November,Both sexes,25 years and over,Professional,21848
Persons on the Live Register,2011 November,Both sexes,25 years and over,Associate professional and technical,10794
Persons on the Live Register,2011 November,Both sexes,25 years and over,Clerical and secretarial,37019
Persons on the Live Register,2011 November,Both sexes,25 years and over,Craft and related,90302
Persons on the Live Register,2011 November,Both sexes,25 years and over,Personal and protective services,40436
Persons on the Live Register,2011 November,Both sexes,25 years and over,Sales,32192
Persons on the Live Register,2011 November,Both sexes,25 years and over,Plant and machine operatives,58407
Persons on the Live Register,2011 November,Both sexes,25 years and over,Other broad occupational groups,38131
Persons on the Live Register,2011 November,Both sexes,25 years and over,No occupation,9105
Persons on the Live Register,2011 November,Both sexes,All ages,All broad occupational groups,429567
Persons on the Live Register,2011 November,Both sexes,All ages,Managers and administrators,16475
Persons on the Live Register,2011 November,Both sexes,All ages,Professional,24230
Persons on the Live Register,2011 November,Both sexes,All ages,Associate professional and technical,12399
Persons on the Live Register,2011 November,Both sexes,All ages,Clerical and secretarial,41149
Persons on the Live Register,2011 November,Both sexes,All ages,Craft and related,104008
Persons on the Live Register,2011 November,Both sexes,All ages,Personal and protective services,50897
Persons on the Live Register,2011 November,Both sexes,All ages,Sales,45194
Persons on the Live Register,2011 November,Both sexes,All ages,Plant and machine operatives,68385
Persons on the Live Register,2011 November,Both sexes,All ages,Other broad occupational groups,49190
Persons on the Live Register,2011 November,Both sexes,All ages,No occupation,17640
Persons on the Live Register,2011 November,Male,Under 25 years,All broad occupational groups,46198
Persons on the Live Register,2011 November,Male,Under 25 years,Managers and administrators,452
Persons on the Live Register,2011 November,Male,Under 25 years,Professional,1198
Persons on the Live Register,2011 November,Male,Under 25 years,Associate professional and technical,967
Persons on the Live Register,2011 November,Male,Under 25 years,Clerical and secretarial,1729
Persons on the Live Register,2011 November,Male,Under 25 years,Craft and related,12516
Persons on the Live Register,2011 November,Male,Under 25 years,Personal and protective services,3155
Persons on the Live Register,2011 November,Male,Under 25 years,Sales,5359
Persons on the Live Register,2011 November,Male,Under 25 years,Plant and machine operatives,7403
Persons on the Live Register,2011 November,Male,Under 25 years,Other broad occupational groups,8118
Persons on the Live Register,2011 November,Male,Under 25 years,No occupation,5301
Persons on the Live Register,2011 November,Male,25 years and over,All broad occupational groups,230328
Persons on the Live Register,2011 November,Male,25 years and over,Managers and administrators,9451
Persons on the Live Register,2011 November,Male,25 years and over,Professional,10477
Persons on the Live Register,2011 November,Male,25 years and over,Associate professional and technical,6198
Persons on the Live Register,2011 November,Male,25 years and over,Clerical and secretarial,9392
Persons on the Live Register,2011 November,Male,25 years and over,Craft and related,84210
Persons on the Live Register,2011 November,Male,25 years and over,Personal and protective services,15121
Persons on the Live Register,2011 November,Male,25 years and over,Sales,11740
Persons on the Live Register,2011 November,Male,25 years and over,Plant and machine operatives,46041
Persons on the Live Register,2011 November,Male,25 years and over,Other broad occupational groups,31696
Persons on the Live Register,2011 November,Male,25 years and over,No occupation,6002
Persons on the Live Register,2011 November,Male,All ages,All broad occupational groups,276526
Persons on the Live Register,2011 November,Male,All ages,Managers and administrators,9903
Persons on the Live Register,2011 November,Male,All ages,Professional,11675
Persons on the Live Register,2011 November,Male,All ages,Associate professional and technical,7165
Persons on the Live Register,2011 November,Male,All ages,Clerical and secretarial,11121
Persons on the Live Register,2011 November,Male,All ages,Craft and related,96726
Persons on the Live Register,2011 November,Male,All ages,Personal and protective services,18276
Persons on the Live Register,2011 November,Male,All ages,Sales,17099
Persons on the Live Register,2011 November,Male,All ages,Plant and machine operatives,53444
Persons on the Live Register,2011 November,Male,All ages,Other broad occupational groups,39814
Persons on the Live Register,2011 November,Male,All ages,No occupation,11303
Persons on the Live Register,2011 November,Female,Under 25 years,All broad occupational groups,29358
Persons on the Live Register,2011 November,Female,Under 25 years,Managers and administrators,246
Persons on the Live Register,2011 November,Female,Under 25 years,Professional,1184
Persons on the Live Register,2011 November,Female,Under 25 years,Associate professional and technical,638
Persons on the Live Register,2011 November,Female,Under 25 years,Clerical and secretarial,2401
Persons on the Live Register,2011 November,Female,Under 25 years,Craft and related,1190
Persons on the Live Register,2011 November,Female,Under 25 years,Personal and protective services,7306
Persons on the Live Register,2011 November,Female,Under 25 years,Sales,7643
Persons on the Live Register,2011 November,Female,Under 25 years,Plant and machine operatives,2575
Persons on the Live Register,2011 November,Female,Under 25 years,Other broad occupational groups,2941
Persons on the Live Register,2011 November,Female,Under 25 years,No occupation,3234
Persons on the Live Register,2011 November,Female,25 years and over,All broad occupational groups,123683
Persons on the Live Register,2011 November,Female,25 years and over,Managers and administrators,6326
Persons on the Live Register,2011 November,Female,25 years and over,Professional,11371
Persons on the Live Register,2011 November,Female,25 years and over,Associate professional and technical,4596
Persons on the Live Register,2011 November,Female,25 years and over,Clerical and secretarial,27627
Persons on the Live Register,2011 November,Female,25 years and over,Craft and related,6092
Persons on the Live Register,2011 November,Female,25 years and over,Personal and protective services,25315
Persons on the Live Register,2011 November,Female,25 years and over,Sales,20452
Persons on the Live Register,2011 November,Female,25 years and over,Plant and machine operatives,12366
Persons on the Live Register,2011 November,Female,25 years and over,Other broad occupational groups,6435
Persons on the Live Register,2011 November,Female,25 years and over,No occupation,3103
Persons on the Live Register,2011 November,Female,All ages,All broad occupational groups,153041
Persons on the Live Register,2011 November,Female,All ages,Managers and administrators,6572
Persons on the Live Register,2011 November,Female,All ages,Professional,12555
Persons on the Live Register,2011 November,Female,All ages,Associate professional and technical,5234
Persons on the Live Register,2011 November,Female,All ages,Clerical and secretarial,30028
Persons on the Live Register,2011 November,Female,All ages,Craft and related,7282
Persons on the Live Register,2011 November,Female,All ages,Personal and protective services,32621
Persons on the Live Register,2011 November,Female,All ages,Sales,28095
Persons on the Live Register,2011 November,Female,All ages,Plant and machine operatives,14941
Persons on the Live Register,2011 November,Female,All ages,Other broad occupational groups,9376
Persons on the Live Register,2011 November,Female,All ages,No occupation,6337
Persons on the Live Register,2011 December,Both sexes,Under 25 years,All broad occupational groups,74346
Persons on the Live Register,2011 December,Both sexes,Under 25 years,Managers and administrators,683
Persons on the Live Register,2011 December,Both sexes,Under 25 years,Professional,2267
Persons on the Live Register,2011 December,Both sexes,Under 25 years,Associate professional and technical,1534
Persons on the Live Register,2011 December,Both sexes,Under 25 years,Clerical and secretarial,4009
Persons on the Live Register,2011 December,Both sexes,Under 25 years,Craft and related,13700
Persons on the Live Register,2011 December,Both sexes,Under 25 years,Personal and protective services,10260
Persons on the Live Register,2011 December,Both sexes,Under 25 years,Sales,12547
Persons on the Live Register,2011 December,Both sexes,Under 25 years,Plant and machine operatives,9944
Persons on the Live Register,2011 December,Both sexes,Under 25 years,Other broad occupational groups,10920
Persons on the Live Register,2011 December,Both sexes,Under 25 years,No occupation,8482
Persons on the Live Register,2011 December,Both sexes,25 years and over,All broad occupational groups,360438
Persons on the Live Register,2011 December,Both sexes,25 years and over,Managers and administrators,15916
Persons on the Live Register,2011 December,Both sexes,25 years and over,Professional,22632
Persons on the Live Register,2011 December,Both sexes,25 years and over,Associate professional and technical,10823
Persons on the Live Register,2011 December,Both sexes,25 years and over,Clerical and secretarial,38607
Persons on the Live Register,2011 December,Both sexes,25 years and over,Craft and related,91480
Persons on the Live Register,2011 December,Both sexes,25 years and over,Personal and protective services,41480
Persons on the Live Register,2011 December,Both sexes,25 years and over,Sales,32122
Persons on the Live Register,2011 December,Both sexes,25 years and over,Plant and machine operatives,59488
Persons on the Live Register,2011 December,Both sexes,25 years and over,Other broad occupational groups,38615
Persons on the Live Register,2011 December,Both sexes,25 years and over,No occupation,9275
Persons on the Live Register,2011 December,Both sexes,All ages,All broad occupational groups,434784
Persons on the Live Register,2011 December,Both sexes,All ages,Managers and administrators,16599
Persons on the Live Register,2011 December,Both sexes,All ages,Professional,24899
Persons on the Live Register,2011 December,Both sexes,All ages,Associate professional and technical,12357
Persons on the Live Register,2011 December,Both sexes,All ages,Clerical and secretarial,42616
Persons on the Live Register,2011 December,Both sexes,All ages,Craft and related,105180
Persons on the Live Register,2011 December,Both sexes,All ages,Personal and protective services,51740
Persons on the Live Register,2011 December,Both sexes,All ages,Sales,44669
Persons on the Live Register,2011 December,Both sexes,All ages,Plant and machine operatives,69432
Persons on the Live Register,2011 December,Both sexes,All ages,Other broad occupational groups,49535
Persons on the Live Register,2011 December,Both sexes,All ages,No occupation,17757
Persons on the Live Register,2011 December,Male,Under 25 years,All broad occupational groups,45876
Persons on the Live Register,2011 December,Male,Under 25 years,Managers and administrators,437
Persons on the Live Register,2011 December,Male,Under 25 years,Professional,1126
Persons on the Live Register,2011 December,Male,Under 25 years,Associate professional and technical,943
Persons on the Live Register,2011 December,Male,Under 25 years,Clerical and secretarial,1701
Persons on the Live Register,2011 December,Male,Under 25 years,Craft and related,12572
Persons on the Live Register,2011 December,Male,Under 25 years,Personal and protective services,3106
Persons on the Live Register,2011 December,Male,Under 25 years,Sales,5234
Persons on the Live Register,2011 December,Male,Under 25 years,Plant and machine operatives,7400
Persons on the Live Register,2011 December,Male,Under 25 years,Other broad occupational groups,8052
Persons on the Live Register,2011 December,Male,Under 25 years,No occupation,5305
Persons on the Live Register,2011 December,Male,25 years and over,All broad occupational groups,233847
Persons on the Live Register,2011 December,Male,25 years and over,Managers and administrators,9523
Persons on the Live Register,2011 December,Male,25 years and over,Professional,10693
Persons on the Live Register,2011 December,Male,25 years and over,Associate professional and technical,6200
Persons on the Live Register,2011 December,Male,25 years and over,Clerical and secretarial,9732
Persons on the Live Register,2011 December,Male,25 years and over,Craft and related,85318
Persons on the Live Register,2011 December,Male,25 years and over,Personal and protective services,15358
Persons on the Live Register,2011 December,Male,25 years and over,Sales,11783
Persons on the Live Register,2011 December,Male,25 years and over,Plant and machine operatives,46983
Persons on the Live Register,2011 December,Male,25 years and over,Other broad occupational groups,32119
Persons on the Live Register,2011 December,Male,25 years and over,No occupation,6138
Persons on the Live Register,2011 December,Male,All ages,All broad occupational groups,279723
Persons on the Live Register,2011 December,Male,All ages,Managers and administrators,9960
Persons on the Live Register,2011 December,Male,All ages,Professional,11819
Persons on the Live Register,2011 December,Male,All ages,Associate professional and technical,7143
Persons on the Live Register,2011 December,Male,All ages,Clerical and secretarial,11433
Persons on the Live Register,2011 December,Male,All ages,Craft and related,97890
Persons on the Live Register,2011 December,Male,All ages,Personal and protective services,18464
Persons on the Live Register,2011 December,Male,All ages,Sales,17017
Persons on the Live Register,2011 December,Male,All ages,Plant and machine operatives,54383
Persons on the Live Register,2011 December,Male,All ages,Other broad occupational groups,40171
Persons on the Live Register,2011 December,Male,All ages,No occupation,11443
Persons on the Live Register,2011 December,Female,Under 25 years,All broad occupational groups,28470
Persons on the Live Register,2011 December,Female,Under 25 years,Managers and administrators,246
Persons on the Live Register,2011 December,Female,Under 25 years,Professional,1141
Persons on the Live Register,2011 December,Female,Under 25 years,Associate professional and technical,591
Persons on the Live Register,2011 December,Female,Under 25 years,Clerical and secretarial,2308
Persons on the Live Register,2011 December,Female,Under 25 years,Craft and related,1128
Persons on the Live Register,2011 December,Female,Under 25 years,Personal and protective services,7154
Persons on the Live Register,2011 December,Female,Under 25 years,Sales,7313
Persons on the Live Register,2011 December,Female,Under 25 years,Plant and machine operatives,2544
Persons on the Live Register,2011 December,Female,Under 25 years,Other broad occupational groups,2868
Persons on the Live Register,2011 December,Female,Under 25 years,No occupation,3177
Persons on the Live Register,2011 December,Female,25 years and over,All broad occupational groups,126591
Persons on the Live Register,2011 December,Female,25 years and over,Managers and administrators,6393
Persons on the Live Register,2011 December,Female,25 years and over,Professional,11939
Persons on the Live Register,2011 December,Female,25 years and over,Associate professional and technical,4623
Persons on the Live Register,2011 December,Female,25 years and over,Clerical and secretarial,28875
Persons on the Live Register,2011 December,Female,25 years and over,Craft and related,6162
Persons on the Live Register,2011 December,Female,25 years and over,Personal and protective services,26122
Persons on the Live Register,2011 December,Female,25 years and over,Sales,20339
Persons on the Live Register,2011 December,Female,25 years and over,Plant and machine operatives,12505
Persons on the Live Register,2011 December,Female,25 years and over,Other broad occupational groups,6496
Persons on the Live Register,2011 December,Female,25 years and over,No occupation,3137
Persons on the Live Register,2011 December,Female,All ages,All broad occupational groups,155061
Persons on the Live Register,2011 December,Female,All ages,Managers and administrators,6639
Persons on the Live Register,2011 December,Female,All ages,Professional,13080
Persons on the Live Register,2011 December,Female,All ages,Associate professional and technical,5214
Persons on the Live Register,2011 December,Female,All ages,Clerical and secretarial,31183
Persons on the Live Register,2011 December,Female,All ages,Craft and related,7290
Persons on the Live Register,2011 December,Female,All ages,Personal and protective services,33276
Persons on the Live Register,2011 December,Female,All ages,Sales,27652
Persons on the Live Register,2011 December,Female,All ages,Plant and machine operatives,15049
Persons on the Live Register,2011 December,Female,All ages,Other broad occupational groups,9364
Persons on the Live Register,2011 December,Female,All ages,No occupation,6314
Persons on the Live Register,2012 January,Both sexes,Under 25 years,All broad occupational groups,75204
Persons on the Live Register,2012 January,Both sexes,Under 25 years,Managers and administrators,681
Persons on the Live Register,2012 January,Both sexes,Under 25 years,Professional,2084
Persons on the Live Register,2012 January,Both sexes,Under 25 years,Associate professional and technical,1479
Persons on the Live Register,2012 January,Both sexes,Under 25 years,Clerical and secretarial,4043
Persons on the Live Register,2012 January,Both sexes,Under 25 years,Craft and related,13665
Persons on the Live Register,2012 January,Both sexes,Under 25 years,Personal and protective services,10328
Persons on the Live Register,2012 January,Both sexes,Under 25 years,Sales,13211
Persons on the Live Register,2012 January,Both sexes,Under 25 years,Plant and machine operatives,10117
Persons on the Live Register,2012 January,Both sexes,Under 25 years,Other broad occupational groups,11007
Persons on the Live Register,2012 January,Both sexes,Under 25 years,No occupation,8589
Persons on the Live Register,2012 January,Both sexes,25 years and over,All broad occupational groups,363681
Persons on the Live Register,2012 January,Both sexes,25 years and over,Managers and administrators,16226
Persons on the Live Register,2012 January,Both sexes,25 years and over,Professional,22031
Persons on the Live Register,2012 January,Both sexes,25 years and over,Associate professional and technical,10892
Persons on the Live Register,2012 January,Both sexes,25 years and over,Clerical and secretarial,37786
Persons on the Live Register,2012 January,Both sexes,25 years and over,Craft and related,92886
Persons on the Live Register,2012 January,Both sexes,25 years and over,Personal and protective services,41907
Persons on the Live Register,2012 January,Both sexes,25 years and over,Sales,32939
Persons on the Live Register,2012 January,Both sexes,25 years and over,Plant and machine operatives,60767
Persons on the Live Register,2012 January,Both sexes,25 years and over,Other broad occupational groups,38899
Persons on the Live Register,2012 January,Both sexes,25 years and over,No occupation,9348
Persons on the Live Register,2012 January,Both sexes,All ages,All broad occupational groups,438885
Persons on the Live Register,2012 January,Both sexes,All ages,Managers and administrators,16907
Persons on the Live Register,2012 January,Both sexes,All ages,Professional,24115
Persons on the Live Register,2012 January,Both sexes,All ages,Associate professional and technical,12371
Persons on the Live Register,2012 January,Both sexes,All ages,Clerical and secretarial,41829
Persons on the Live Register,2012 January,Both sexes,All ages,Craft and related,106551
Persons on the Live Register,2012 January,Both sexes,All ages,Personal and protective services,52235
Persons on the Live Register,2012 January,Both sexes,All ages,Sales,46150
Persons on the Live Register,2012 January,Both sexes,All ages,Plant and machine operatives,70884
Persons on the Live Register,2012 January,Both sexes,All ages,Other broad occupational groups,49906
Persons on the Live Register,2012 January,Both sexes,All ages,No occupation,17937
Persons on the Live Register,2012 January,Male,Under 25 years,All broad occupational groups,46443
Persons on the Live Register,2012 January,Male,Under 25 years,Managers and administrators,429
Persons on the Live Register,2012 January,Male,Under 25 years,Professional,1062
Persons on the Live Register,2012 January,Male,Under 25 years,Associate professional and technical,920
Persons on the Live Register,2012 January,Male,Under 25 years,Clerical and secretarial,1731
Persons on the Live Register,2012 January,Male,Under 25 years,Craft and related,12503
Persons on the Live Register,2012 January,Male,Under 25 years,Personal and protective services,3145
Persons on the Live Register,2012 January,Male,Under 25 years,Sales,5585
Persons on the Live Register,2012 January,Male,Under 25 years,Plant and machine operatives,7569
Persons on the Live Register,2012 January,Male,Under 25 years,Other broad occupational groups,8140
Persons on the Live Register,2012 January,Male,Under 25 years,No occupation,5359
Persons on the Live Register,2012 January,Male,25 years and over,All broad occupational groups,237105
Persons on the Live Register,2012 January,Male,25 years and over,Managers and administrators,9676
Persons on the Live Register,2012 January,Male,25 years and over,Professional,10610
Persons on the Live Register,2012 January,Male,25 years and over,Associate professional and technical,6230
Persons on the Live Register,2012 January,Male,25 years and over,Clerical and secretarial,9720
Persons on the Live Register,2012 January,Male,25 years and over,Craft and related,86562
Persons on the Live Register,2012 January,Male,25 years and over,Personal and protective services,15719
Persons on the Live Register,2012 January,Male,25 years and over,Sales,12087
Persons on the Live Register,2012 January,Male,25 years and over,Plant and machine operatives,48004
Persons on the Live Register,2012 January,Male,25 years and over,Other broad occupational groups,32330
Persons on the Live Register,2012 January,Male,25 years and over,No occupation,6167
Persons on the Live Register,2012 January,Male,All ages,All broad occupational groups,283548
Persons on the Live Register,2012 January,Male,All ages,Managers and administrators,10105
Persons on the Live Register,2012 January,Male,All ages,Professional,11672
Persons on the Live Register,2012 January,Male,All ages,Associate professional and technical,7150
Persons on the Live Register,2012 January,Male,All ages,Clerical and secretarial,11451
Persons on the Live Register,2012 January,Male,All ages,Craft and related,99065
Persons on the Live Register,2012 January,Male,All ages,Personal and protective services,18864
Persons on the Live Register,2012 January,Male,All ages,Sales,17672
Persons on the Live Register,2012 January,Male,All ages,Plant and machine operatives,55573
Persons on the Live Register,2012 January,Male,All ages,Other broad occupational groups,40470
Persons on the Live Register,2012 January,Male,All ages,No occupation,11526
Persons on the Live Register,2012 January,Female,Under 25 years,All broad occupational groups,28761
Persons on the Live Register,2012 January,Female,Under 25 years,Managers and administrators,252
Persons on the Live Register,2012 January,Female,Under 25 years,Professional,1022
Persons on the Live Register,2012 January,Female,Under 25 years,Associate professional and technical,559
Persons on the Live Register,2012 January,Female,Under 25 years,Clerical and secretarial,2312
Persons on the Live Register,2012 January,Female,Under 25 years,Craft and related,1162
Persons on the Live Register,2012 January,Female,Under 25 years,Personal and protective services,7183
Persons on the Live Register,2012 January,Female,Under 25 years,Sales,7626
Persons on the Live Register,2012 January,Female,Under 25 years,Plant and machine operatives,2548
Persons on the Live Register,2012 January,Female,Under 25 years,Other broad occupational groups,2867
Persons on the Live Register,2012 January,Female,Under 25 years,No occupation,3230
Persons on the Live Register,2012 January,Female,25 years and over,All broad occupational groups,126576
Persons on the Live Register,2012 January,Female,25 years and over,Managers and administrators,6550
Persons on the Live Register,2012 January,Female,25 years and over,Professional,11421
Persons on the Live Register,2012 January,Female,25 years and over,Associate professional and technical,4662
Persons on the Live Register,2012 January,Female,25 years and over,Clerical and secretarial,28066
Persons on the Live Register,2012 January,Female,25 years and over,Craft and related,6324
Persons on the Live Register,2012 January,Female,25 years and over,Personal and protective services,26188
Persons on the Live Register,2012 January,Female,25 years and over,Sales,20852
Persons on the Live Register,2012 January,Female,25 years and over,Plant and machine operatives,12763
Persons on the Live Register,2012 January,Female,25 years and over,Other broad occupational groups,6569
Persons on the Live Register,2012 January,Female,25 years and over,No occupation,3181
Persons on the Live Register,2012 January,Female,All ages,All broad occupational groups,155337
Persons on the Live Register,2012 January,Female,All ages,Managers and administrators,6802
Persons on the Live Register,2012 January,Female,All ages,Professional,12443
Persons on the Live Register,2012 January,Female,All ages,Associate professional and technical,5221
Persons on the Live Register,2012 January,Female,All ages,Clerical and secretarial,30378
Persons on the Live Register,2012 January,Female,All ages,Craft and related,7486
Persons on the Live Register,2012 January,Female,All ages,Personal and protective services,33371
Persons on the Live Register,2012 January,Female,All ages,Sales,28478
Persons on the Live Register,2012 January,Female,All ages,Plant and machine operatives,15311
Persons on the Live Register,2012 January,Female,All ages,Other broad occupational groups,9436
Persons on the Live Register,2012 January,Female,All ages,No occupation,6411
Persons on the Live Register,2012 February,Both sexes,Under 25 years,All broad occupational groups,74775
Persons on the Live Register,2012 February,Both sexes,Under 25 years,Managers and administrators,653
Persons on the Live Register,2012 February,Both sexes,Under 25 years,Professional,1938
Persons on the Live Register,2012 February,Both sexes,Under 25 years,Associate professional and technical,1433
Persons on the Live Register,2012 February,Both sexes,Under 25 years,Clerical and secretarial,4029
Persons on the Live Register,2012 February,Both sexes,Under 25 years,Craft and related,13350
Persons on the Live Register,2012 February,Both sexes,Under 25 years,Personal and protective services,10253
Persons on the Live Register,2012 February,Both sexes,Under 25 years,Sales,13536
Persons on the Live Register,2012 February,Both sexes,Under 25 years,Plant and machine operatives,10068
Persons on the Live Register,2012 February,Both sexes,Under 25 years,Other broad occupational groups,10911
Persons on the Live Register,2012 February,Both sexes,Under 25 years,No occupation,8604
Persons on the Live Register,2012 February,Both sexes,25 years and over,All broad occupational groups,363990
Persons on the Live Register,2012 February,Both sexes,25 years and over,Managers and administrators,16231
Persons on the Live Register,2012 February,Both sexes,25 years and over,Professional,21699
Persons on the Live Register,2012 February,Both sexes,25 years and over,Associate professional and technical,10796
Persons on the Live Register,2012 February,Both sexes,25 years and over,Clerical and secretarial,37854
Persons on the Live Register,2012 February,Both sexes,25 years and over,Craft and related,92754
Persons on the Live Register,2012 February,Both sexes,25 years and over,Personal and protective services,42347
Persons on the Live Register,2012 February,Both sexes,25 years and over,Sales,33328
Persons on the Live Register,2012 February,Both sexes,25 years and over,Plant and machine operatives,60890
Persons on the Live Register,2012 February,Both sexes,25 years and over,Other broad occupational groups,38742
Persons on the Live Register,2012 February,Both sexes,25 years and over,No occupation,9349
Persons on the Live Register,2012 February,Both sexes,All ages,All broad occupational groups,438765
Persons on the Live Register,2012 February,Both sexes,All ages,Managers and administrators,16884
Persons on the Live Register,2012 February,Both sexes,All ages,Professional,23637
Persons on the Live Register,2012 February,Both sexes,All ages,Associate professional and technical,12229
Persons on the Live Register,2012 February,Both sexes,All ages,Clerical and secretarial,41883
Persons on the Live Register,2012 February,Both sexes,All ages,Craft and related,106104
Persons on the Live Register,2012 February,Both sexes,All ages,Personal and protective services,52600
Persons on the Live Register,2012 February,Both sexes,All ages,Sales,46864
Persons on the Live Register,2012 February,Both sexes,All ages,Plant and machine operatives,70958
Persons on the Live Register,2012 February,Both sexes,All ages,Other broad occupational groups,49653
Persons on the Live Register,2012 February,Both sexes,All ages,No occupation,17953
Persons on the Live Register,2012 February,Male,Under 25 years,All broad occupational groups,46133
