Statistic,Month,Sex,Age.Group,Last.Held.Occupation,value
Persons on the Live Register,2009 October,Female,25 years and over,All broad occupational groups,107970
Persons on the Live Register,2009 October,Female,25 years and over,Managers and administrators,6394
Persons on the Live Register,2009 October,Female,25 years and over,Professional,10650
Persons on the Live Register,2009 October,Female,25 years and over,Associate professional and technical,4335
Persons on the Live Register,2009 October,Female,25 years and over,Clerical and secretarial,27094
Persons on the Live Register,2009 October,Female,25 years and over,Craft and related,5191
Persons on the Live Register,2009 October,Female,25 years and over,Personal and protective services,20112
Persons on the Live Register,2009 October,Female,25 years and over,Sales,16430
Persons on the Live Register,2009 October,Female,25 years and over,Plant and machine operatives,11226
Persons on the Live Register,2009 October,Female,25 years and over,Other broad occupational groups,4576
Persons on the Live Register,2009 October,Female,25 years and over,No occupation,1962
Persons on the Live Register,2009 October,Female,All ages,All broad occupational groups,138812
Persons on the Live Register,2009 October,Female,All ages,Managers and administrators,6922
Persons on the Live Register,2009 October,Female,All ages,Professional,12386
Persons on the Live Register,2009 October,Female,All ages,Associate professional and technical,5177
Persons on the Live Register,2009 October,Female,All ages,Clerical and secretarial,31076
Persons on the Live Register,2009 October,Female,All ages,Craft and related,6496
Persons on the Live Register,2009 October,Female,All ages,Personal and protective services,27620
Persons on the Live Register,2009 October,Female,All ages,Sales,24831
Persons on the Live Register,2009 October,Female,All ages,Plant and machine operatives,13948
Persons on the Live Register,2009 October,Female,All ages,Other broad occupational groups,6466
Persons on the Live Register,2009 October,Female,All ages,No occupation,3890
Persons on the Live Register,2009 November,Both sexes,Under 25 years,All broad occupational groups,83362
Persons on the Live Register,2009 November,Both sexes,Under 25 years,Managers and administrators,1128
Persons on the Live Register,2009 November,Both sexes,Under 25 years,Professional,3172
Persons on the Live Register,2009 November,Both sexes,Under 25 years,Associate professional and technical,1865
Persons on the Live Register,2009 November,Both sexes,Under 25 years,Clerical and secretarial,5947
Persons on the Live Register,2009 November,Both sexes,Under 25 years,Craft and related,21829
Persons on the Live Register,2009 November,Both sexes,Under 25 years,Personal and protective services,10690
Persons on the Live Register,2009 November,Both sexes,Under 25 years,Sales,13054
Persons on the Live Register,2009 November,Both sexes,Under 25 years,Plant and machine operatives,11113
Persons on the Live Register,2009 November,Both sexes,Under 25 years,Other broad occupational groups,9284
Persons on the Live Register,2009 November,Both sexes,Under 25 years,No occupation,5280
Persons on the Live Register,2009 November,Both sexes,25 years and over,All broad occupational groups,330143
Persons on the Live Register,2009 November,Both sexes,25 years and over,Managers and administrators,16271
