,Statistic,Month,State,value
0,Total Imports,1970 January,State,66395
1,Total Imports,1970 February,State,68667
2,Total Imports,1970 March,State,65722
3,Total Imports,1970 April,State,77403
4,Total Imports,1970 May,State,74432
5,Total Imports,1970 June,State,67512
6,Total Imports,1970 July,State,71347
7,Total Imports,1970 August,State,62344
8,Total Imports,1970 September,State,69328
9,Total Imports,1970 October,State,82711
10,Total Imports,1970 November,State,76743
11,Total Imports,1970 December,State,75295
12,Total Imports,1971 January,State,74711
13,Total Imports,1971 February,State,77505
14,Total Imports,1971 March,State,108029
15,Total Imports,1971 April,State,81543
16,Total Imports,1971 May,State,86012
17,Total Imports,1971 June,State,75511
18,Total Imports,1971 July,State,78203
19,Total Imports,1971 August,State,66420
20,Total Imports,1971 September,State,73886
21,Total Imports,1971 October,State,78876
22,Total Imports,1971 November,State,80654
23,Total Imports,1971 December,State,76133
24,Total Imports,1972 January,State,77316
25,Total Imports,1972 February,State,80199
26,Total Imports,1972 March,State,89809
27,Total Imports,1972 April,State,80928
28,Total Imports,1972 May,State,94683
29,Total Imports,1972 June,State,87062
30,Total Imports,1972 July,State,80614
31,Total Imports,1972 August,State,71745
32,Total Imports,1972 September,State,90884
33,Total Imports,1972 October,State,106885
34,Total Imports,1972 November,State,104718
35,Total Imports,1972 December,State,106702
36,Total Imports,1973 January,State,109825
37,Total Imports,1973 February,State,113623
38,Total Imports,1973 March,State,117617
39,Total Imports,1973 April,State,112793
40,Total Imports,1973 May,State,130486
41,Total Imports,1973 June,State,114510
42,Total Imports,1973 July,State,127381
43,Total Imports,1973 August,State,112012
44,Total Imports,1973 September,State,108215
45,Total Imports,1973 October,State,147523
46,Total Imports,1973 November,State,138893
47,Total Imports,1973 December,State,112843
48,Total Imports,1974 January,State,138426
49,Total Imports,1974 February,State,152201
50,Total Imports,1974 March,State,184473
51,Total Imports,1974 April,State,193142
52,Total Imports,1974 May,State,205823
53,Total Imports,1974 June,State,169648
54,Total Imports,1974 July,State,190203
55,Total Imports,1974 August,State,167011
56,Total Imports,1974 September,State,163349
57,Total Imports,1974 October,State,186578
58,Total Imports,1974 November,State,157912
59,Total Imports,1974 December,State,156103
60,Total Imports,1975 January,State,183087
61,Total Imports,1975 February,State,183729
62,Total Imports,1975 March,State,158258
63,Total Imports,1975 April,State,181906
64,Total Imports,1975 May,State,190020
65,Total Imports,1975 June,State,160320
66,Total Imports,1975 July,State,184715
67,Total Imports,1975 August,State,144405
68,Total Imports,1975 September,State,170196
69,Total Imports,1975 October,State,204371
70,Total Imports,1975 November,State,201365
71,Total Imports,1975 December,State,196643
72,Total Imports,1976 January,State,197505
73,Total Imports,1976 February,State,216243
74,Total Imports,1976 March,State,257709
75,Total Imports,1976 April,State,241980
76,Total Imports,1976 May,State,251128
77,Total Imports,1976 June,State,242863
78,Total Imports,1976 July,State,241810
79,Total Imports,1976 August,State,216447
80,Total Imports,1976 September,State,253920
81,Total Imports,1976 October,State,275427
82,Total Imports,1976 November,State,313422
83,Total Imports,1976 December,State,258807
84,Total Imports,1977 January,State,309304
85,Total Imports,1977 February,State,307584
86,Total Imports,1977 March,State,354442
87,Total Imports,1977 April,State,313801
88,Total Imports,1977 May,State,347978
89,Total Imports,1977 June,State,320130
90,Total Imports,1977 July,State,330536
91,Total Imports,1977 August,State,297192
92,Total Imports,1977 September,State,334694
93,Total Imports,1977 October,State,339265
94,Total Imports,1977 November,State,351188
95,Total Imports,1977 December,State,318502
96,Total Imports,1978 January,State,369526
97,Total Imports,1978 February,State,338628
98,Total Imports,1978 March,State,362284
99,Total Imports,1978 April,State,365654
100,Total Imports,1978 May,State,472946
101,Total Imports,1978 June,State,409917
102,Total Imports,1978 July,State,384396
103,Total Imports,1978 August,State,388860
104,Total Imports,1978 September,State,395024
105,Total Imports,1978 October,State,431376
106,Total Imports,1978 November,State,472687
107,Total Imports,1978 December,State,321014
108,Total Imports,1979 January,State,464069
109,Total Imports,1979 February,State,432852
110,Total Imports,1979 March,State,508220
111,Total Imports,1979 April,State,485147
112,Total Imports,1979 May,State,594048
113,Total Imports,1979 June,State,519469
114,Total Imports,1979 July,State,531637
115,Total Imports,1979 August,State,507682
116,Total Imports,1979 September,State,505928
117,Total Imports,1979 October,State,608498
118,Total Imports,1979 November,State,579684
119,Total Imports,1979 December,State,379697
120,Total Imports,1980 January,State,626489
121,Total Imports,1980 February,State,609580
122,Total Imports,1980 March,State,579309
123,Total Imports,1980 April,State,556732
124,Total Imports,1980 May,State,619906
125,Total Imports,1980 June,State,499256
126,Total Imports,1980 July,State,581318
127,Total Imports,1980 August,State,486154
128,Total Imports,1980 September,State,578317
129,Total Imports,1980 October,State,547314
130,Total Imports,1980 November,State,651480
131,Total Imports,1980 December,State,546185
132,Total Imports,1981 January,State,624848
133,Total Imports,1981 February,State,630400
134,Total Imports,1981 March,State,697268
135,Total Imports,1981 April,State,669188
136,Total Imports,1981 May,State,728487
137,Total Imports,1981 June,State,726556
138,Total Imports,1981 July,State,804912
139,Total Imports,1981 August,State,626880
140,Total Imports,1981 September,State,751213
141,Total Imports,1981 October,State,740279
142,Total Imports,1981 November,State,783361
143,Total Imports,1981 December,State,568284
144,Total Imports,1982 January,State,719276
145,Total Imports,1982 February,State,720321
146,Total Imports,1982 March,State,836227
147,Total Imports,1982 April,State,793179
148,Total Imports,1982 May,State,735662
149,Total Imports,1982 June,State,717396
150,Total Imports,1982 July,State,701643
151,Total Imports,1982 August,State,659882
152,Total Imports,1982 September,State,668115
153,Total Imports,1982 October,State,667136
154,Total Imports,1982 November,State,770886
155,Total Imports,1982 December,State,660883
156,Total Imports,1983 January,State,710860
157,Total Imports,1983 February,State,729914
158,Total Imports,1983 March,State,790498
159,Total Imports,1983 April,State,711369
160,Total Imports,1983 May,State,796773
161,Total Imports,1983 June,State,747782
162,Total Imports,1983 July,State,721403
163,Total Imports,1983 August,State,787085
164,Total Imports,1983 September,State,788275
165,Total Imports,1983 October,State,852992
166,Total Imports,1983 November,State,972213
167,Total Imports,1983 December,State,733750
168,Total Imports,1984 January,State,920079
169,Total Imports,1984 February,State,959210
170,Total Imports,1984 March,State,956925
171,Total Imports,1984 April,State,823537
172,Total Imports,1984 May,State,1030494
173,Total Imports,1984 June,State,869030
174,Total Imports,1984 July,State,834138
175,Total Imports,1984 August,State,980876
176,Total Imports,1984 September,State,891388
177,Total Imports,1984 October,State,1108865
178,Total Imports,1984 November,State,1068088
179,Total Imports,1984 December,State,875316
180,Total Imports,1985 January,State,1095361
181,Total Imports,1985 February,State,968175
182,Total Imports,1985 March,State,1059824
183,Total Imports,1985 April,State,1066682
184,Total Imports,1985 May,State,1102877
185,Total Imports,1985 June,State,905064
186,Total Imports,1985 July,State,971135
187,Total Imports,1985 August,State,838436
188,Total Imports,1985 September,State,1012709
189,Total Imports,1985 October,State,1073551
190,Total Imports,1985 November,State,986992
191,Total Imports,1985 December,State,893287
192,Total Imports,1986 January,State,941256
193,Total Imports,1986 February,State,947540
194,Total Imports,1986 March,State,901127
195,Total Imports,1986 April,State,1004176
196,Total Imports,1986 May,State,900910
197,Total Imports,1986 June,State,849079
198,Total Imports,1986 July,State,862986
199,Total Imports,1986 August,State,721579
200,Total Imports,1986 September,State,955830
201,Total Imports,1986 October,State,996292
202,Total Imports,1986 November,State,976523
203,Total Imports,1986 December,State,900171
204,Total Imports,1987 January,State,819041
205,Total Imports,1987 February,State,946978
206,Total Imports,1987 March,State,1048461
207,Total Imports,1987 April,State,936462
208,Total Imports,1987 May,State,996926
209,Total Imports,1987 June,State,972908
210,Total Imports,1987 July,State,949868
211,Total Imports,1987 August,State,851163
212,Total Imports,1987 September,State,985434
213,Total Imports,1987 October,State,1087901
214,Total Imports,1987 November,State,1089320
215,Total Imports,1987 December,State,944360
216,Total Imports,1988 January,State,886949
217,Total Imports,1988 February,State,995273
218,Total Imports,1988 March,State,1176688
219,Total Imports,1988 April,State,992826
220,Total Imports,1988 May,State,1046613
221,Total Imports,1988 June,State,1051727
222,Total Imports,1988 July,State,982959
223,Total Imports,1988 August,State,1045189
224,Total Imports,1988 September,State,1129071
225,Total Imports,1988 October,State,1231598
226,Total Imports,1988 November,State,1317728
227,Total Imports,1988 December,State,1111298
228,Total Imports,1989 January,State,1251155
229,Total Imports,1989 February,State,1245644
230,Total Imports,1989 March,State,1323708
231,Total Imports,1989 April,State,1314166
232,Total Imports,1989 May,State,1339870
233,Total Imports,1989 June,State,1318254
234,Total Imports,1989 July,State,1239346
235,Total Imports,1989 August,State,1164078
236,Total Imports,1989 September,State,1308670
237,Total Imports,1989 October,State,1513575
238,Total Imports,1989 November,State,1437178
239,Total Imports,1989 December,State,1146681
240,Total Imports,1990 January,State,1323835
241,Total Imports,1990 February,State,1235216
242,Total Imports,1990 March,State,1416657
243,Total Imports,1990 April,State,1354247
244,Total Imports,1990 May,State,1376943
245,Total Imports,1990 June,State,1260840
246,Total Imports,1990 July,State,1261665
247,Total Imports,1990 August,State,1192886
248,Total Imports,1990 September,State,1338515
249,Total Imports,1990 October,State,1512490
250,Total Imports,1990 November,State,1425136
251,Total Imports,1990 December,State,1142239
252,Total Imports,1991 January,State,1332005
253,Total Imports,1991 February,State,1343928
254,Total Imports,1991 March,State,1412862
255,Total Imports,1991 April,State,1355765
256,Total Imports,1991 May,State,1438098
257,Total Imports,1991 June,State,1290343
258,Total Imports,1991 July,State,1369981
259,Total Imports,1991 August,State,1216955
260,Total Imports,1991 September,State,1354119
261,Total Imports,1991 October,State,1537097
262,Total Imports,1991 November,State,1464809
263,Total Imports,1991 December,State,1201194
264,Total Imports,1992 January,State,1356715
265,Total Imports,1992 February,State,1359889
266,Total Imports,1992 March,State,1503243
267,Total Imports,1992 April,State,1427313
268,Total Imports,1992 May,State,1387189
269,Total Imports,1992 June,State,1407251
270,Total Imports,1992 July,State,1368905
271,Total Imports,1992 August,State,1266564
272,Total Imports,1992 September,State,1403061
273,Total Imports,1992 October,State,1482546
274,Total Imports,1992 November,State,1469595
275,Total Imports,1992 December,State,1321670
276,Total Imports,1993 January,State,1335637
277,Total Imports,1993 February,State,1607996
278,Total Imports,1993 March,State,1679483
279,Total Imports,1993 April,State,1509973
280,Total Imports,1993 May,State,1487371
281,Total Imports,1993 June,State,1455247
282,Total Imports,1993 July,State,1499815
283,Total Imports,1993 August,State,1520384
284,Total Imports,1993 September,State,1710337
285,Total Imports,1993 October,State,1720241
286,Total Imports,1993 November,State,1786141
287,Total Imports,1993 December,State,1587300
288,Total Imports,1994 January,State,1661198
289,Total Imports,1994 February,State,1810139
290,Total Imports,1994 March,State,1935462
291,Total Imports,1994 April,State,1831470
292,Total Imports,1994 May,State,1790966
293,Total Imports,1994 June,State,1767602
294,Total Imports,1994 July,State,1599743
295,Total Imports,1994 August,State,1655865
296,Total Imports,1994 September,State,1867658
297,Total Imports,1994 October,State,1981299
298,Total Imports,1994 November,State,2086561
299,Total Imports,1994 December,State,1916543
300,Total Imports,1995 January,State,2055579
301,Total Imports,1995 February,State,1948633
302,Total Imports,1995 March,State,2306860
303,Total Imports,1995 April,State,2019391
304,Total Imports,1995 May,State,2198425
305,Total Imports,1995 June,State,2066880
306,Total Imports,1995 July,State,1977871
307,Total Imports,1995 August,State,2027899
308,Total Imports,1995 September,State,2184457
309,Total Imports,1995 October,State,2418851
310,Total Imports,1995 November,State,2671275
311,Total Imports,1995 December,State,2304702
312,Total Imports,1996 January,State,2497956
313,Total Imports,1996 February,State,2385330
314,Total Imports,1996 March,State,2566522
315,Total Imports,1996 April,State,2482846
316,Total Imports,1996 May,State,2391298
317,Total Imports,1996 June,State,2267117
318,Total Imports,1996 July,State,2248071
319,Total Imports,1996 August,State,1945112
320,Total Imports,1996 September,State,2285656
321,Total Imports,1996 October,State,2553443
322,Total Imports,1996 November,State,2523097
323,Total Imports,1996 December,State,2333017
324,Total Imports,1997 January,State,2397900
325,Total Imports,1997 February,State,2398154
326,Total Imports,1997 March,State,2747078
327,Total Imports,1997 April,State,2898177
328,Total Imports,1997 May,State,2698447
329,Total Imports,1997 June,State,2661752
330,Total Imports,1997 July,State,2670513
331,Total Imports,1997 August,State,2371744
332,Total Imports,1997 September,State,2830627
333,Total Imports,1997 October,State,3146665
334,Total Imports,1997 November,State,3110604
335,Total Imports,1997 December,State,2931825
336,Total Imports,1998 January,State,3118350
337,Total Imports,1998 February,State,3192756
338,Total Imports,1998 March,State,3568726
339,Total Imports,1998 April,State,3283035
340,Total Imports,1998 May,State,3347157
341,Total Imports,1998 June,State,3306779
342,Total Imports,1998 July,State,3266401
343,Total Imports,1998 August,State,2820596
344,Total Imports,1998 September,State,3258656
345,Total Imports,1998 October,State,3479971
346,Total Imports,1998 November,State,3659258
347,Total Imports,1998 December,State,3413310
348,Total Imports,1999 January,State,3271734
349,Total Imports,1999 February,State,3210152
350,Total Imports,1999 March,State,3742045
351,Total Imports,1999 April,State,3670559
352,Total Imports,1999 May,State,3539395
353,Total Imports,1999 June,State,3568218
354,Total Imports,1999 July,State,3585994
355,Total Imports,1999 August,State,3329507
356,Total Imports,1999 September,State,3822673
357,Total Imports,1999 October,State,4219975
358,Total Imports,1999 November,State,4389865
359,Total Imports,1999 December,State,3977074
360,Total Imports,2000 January,State,4138900
361,Total Imports,2000 February,State,3988000
362,Total Imports,2000 March,State,4618000
363,Total Imports,2000 April,State,4101200
364,Total Imports,2000 May,State,4749300
365,Total Imports,2000 June,State,4535800
366,Total Imports,2000 July,State,4306400
367,Total Imports,2000 August,State,4264100
368,Total Imports,2000 September,State,4641600
369,Total Imports,2000 October,State,5219100
370,Total Imports,2000 November,State,5500400
371,Total Imports,2000 December,State,4897300
372,Total Imports,2001 January,State,4997900
373,Total Imports,2001 February,State,4815400
374,Total Imports,2001 March,State,5365000
375,Total Imports,2001 April,State,4698000
376,Total Imports,2001 May,State,4634300
377,Total Imports,2001 June,State,4441700
378,Total Imports,2001 July,State,4463200
379,Total Imports,2001 August,State,4155300
380,Total Imports,2001 September,State,4389400
381,Total Imports,2001 October,State,5209700
382,Total Imports,2001 November,State,4775800
383,Total Imports,2001 December,State,4509500
384,Total Imports,2002 January,State,5082000
385,Total Imports,2002 February,State,4690800
386,Total Imports,2002 March,State,5297900
387,Total Imports,2002 April,State,5356300
388,Total Imports,2002 May,State,5373800
389,Total Imports,2002 June,State,3996200
390,Total Imports,2002 July,State,4643300
391,Total Imports,2002 August,State,3669500
392,Total Imports,2002 September,State,3973600
393,Total Imports,2002 October,State,4388300
394,Total Imports,2002 November,State,4424700
395,Total Imports,2002 December,State,4209400
396,Total Imports,2003 January,State,4173100
397,Total Imports,2003 February,State,3940300
398,Total Imports,2003 March,State,4228400
399,Total Imports,2003 April,State,4059600
400,Total Imports,2003 May,State,3784500
401,Total Imports,2003 June,State,3634700
402,Total Imports,2003 July,State,3831300
403,Total Imports,2003 August,State,3387300
404,Total Imports,2003 September,State,4048300
405,Total Imports,2003 October,State,4416300
406,Total Imports,2003 November,State,4495800
407,Total Imports,2003 December,State,4515700
408,Total Imports,2004 January,State,4092100
409,Total Imports,2004 February,State,4037100
410,Total Imports,2004 March,State,4505500
411,Total Imports,2004 April,State,4350000
412,Total Imports,2004 May,State,4134400
413,Total Imports,2004 June,State,4208500
414,Total Imports,2004 July,State,4047200
415,Total Imports,2004 August,State,3824700
416,Total Imports,2004 September,State,4235700
417,Total Imports,2004 October,State,4626100
418,Total Imports,2004 November,State,4731400
419,Total Imports,2004 December,State,4764300
420,Total Imports,2005 January,State,4394400
421,Total Imports,2005 February,State,4479700
422,Total Imports,2005 March,State,4842100
423,Total Imports,2005 April,State,4999900
424,Total Imports,2005 May,State,4704600
425,Total Imports,2005 June,State,4749000
426,Total Imports,2005 July,State,4707700
427,Total Imports,2005 August,State,4724500
428,Total Imports,2005 September,State,5140800
429,Total Imports,2005 October,State,4980800
430,Total Imports,2005 November,State,5277400
431,Total Imports,2005 December,State,5461700
432,Total Imports,2006 January,State,5424300
433,Total Imports,2006 February,State,5292200
434,Total Imports,2006 March,State,5950500
435,Total Imports,2006 April,State,5040000
436,Total Imports,2006 May,State,5385600
437,Total Imports,2006 June,State,5411100
438,Total Imports,2006 July,State,4817000
439,Total Imports,2006 August,State,4895600
440,Total Imports,2006 September,State,5108800
441,Total Imports,2006 October,State,5495100
442,Total Imports,2006 November,State,5661900
443,Total Imports,2006 December,State,5351100
444,Total Imports,2007 January,State,5665200
445,Total Imports,2007 February,State,5392700
446,Total Imports,2007 March,State,5660200
447,Total Imports,2007 April,State,5442100
448,Total Imports,2007 May,State,6081100
449,Total Imports,2007 June,State,5575700
450,Total Imports,2007 July,State,5284600
451,Total Imports,2007 August,State,4995800
452,Total Imports,2007 September,State,5091500
453,Total Imports,2007 October,State,5747000
454,Total Imports,2007 November,State,5874800
455,Total Imports,2007 December,State,5128700
456,Total Imports,2008 January,State,5642500
457,Total Imports,2008 February,State,5418200
458,Total Imports,2008 March,State,5235400
459,Total Imports,2008 April,State,5194300
460,Total Imports,2008 May,State,4992600
461,Total Imports,2008 June,State,5093300
462,Total Imports,2008 July,State,4846900
463,Total Imports,2008 August,State,4071000
464,Total Imports,2008 September,State,4533600
465,Total Imports,2008 October,State,5093400
466,Total Imports,2008 November,State,4779200
467,Total Imports,2008 December,State,4435100
468,Total Imports,2009 January,State,4256300
469,Total Imports,2009 February,State,4353900
470,Total Imports,2009 March,State,4597100
471,Total Imports,2009 April,State,4066000
472,Total Imports,2009 May,State,4176800
473,Total Imports,2009 June,State,4104000
474,Total Imports,2009 July,State,3733400
475,Total Imports,2009 August,State,3360900
476,Total Imports,2009 September,State,3796500
477,Total Imports,2009 October,State,3830900
478,Total Imports,2009 November,State,3998300
479,Total Imports,2009 December,State,3929100
480,Total Imports,2010 January,State,3596900
481,Total Imports,2010 February,State,3679200
482,Total Imports,2010 March,State,4268100
483,Total Imports,2010 April,State,4393600
484,Total Imports,2010 May,State,4075200
485,Total Imports,2010 June,State,4380700
486,Total Imports,2010 July,State,3717200
487,Total Imports,2010 August,State,3650000
488,Total Imports,2010 September,State,4076500
489,Total Imports,2010 October,State,4014000
490,Total Imports,2010 November,State,4315300
491,Total Imports,2010 December,State,4527900
492,Total Imports,2011 January,State,4425200
493,Total Imports,2011 February,State,4376000
494,Total Imports,2011 March,State,4583300
495,Total Imports,2011 April,State,5038800
496,Total Imports,2011 May,State,4423100
497,Total Imports,2011 June,State,4558900
498,Total Imports,2011 July,State,3907200
499,Total Imports,2011 August,State,4071700
500,Total Imports,2011 September,State,4206200
501,Total Imports,2011 October,State,4265200
502,Total Imports,2011 November,State,4608100
503,Total Imports,2011 December,State,4571600
504,Total Imports,2012 January,State,4795000
505,Total Imports,2012 February,State,4586300
506,Total Imports,2012 March,State,5354800
507,Total Imports,2012 April,State,4636300
508,Total Imports,2012 May,State,4843800
509,Total Imports,2012 June,State,4871000
510,Total Imports,2012 July,State,4234400
511,Total Imports,2012 August,State,4299200
512,Total Imports,2012 September,State,4556900
513,Total Imports,2012 October,State,4959900
514,Total Imports,2012 November,State,4702300
515,Total Imports,2012 December,State,4339200
516,Total Imports,2013 January,State,4977000
517,Total Imports,2013 February,State,4613900
518,Total Imports,2013 March,State,4805600
519,Total Imports,2013 April,State,4802400
520,Total Imports,2013 May,State,4500500
521,Total Imports,2013 June,State,4556200
522,Total Imports,2013 July,State,4419300
523,Total Imports,2013 August,State,4376900
524,Total Imports,2013 September,State,4411000
525,Total Imports,2013 October,State,4811400
526,Total Imports,2013 November,State,4803900
527,Total Imports,2013 December,State,4708900
528,Total Imports,2014 January,State,5181400
529,Total Imports,2014 February,State,4611400
530,Total Imports,2014 March,State,5434000
531,Total Imports,2014 April,State,4866100
532,Total Imports,2014 May,State,4971600
533,Total Imports,2014 June,State,4907100
534,Total Imports,2014 July,State,5267400
535,Total Imports,2014 August,State,4795100
536,Total Imports,2014 September,State,5282900
537,Total Imports,2014 October,State,5585600
538,Total Imports,2014 November,State,5583500
539,Total Imports,2014 December,State,5671200
540,Total Imports,2015 January,State,5368200
541,Total Imports,2015 February,State,5135600
542,Total Imports,2015 March,State,6360300
543,Total Imports,2015 April,State,5637100
544,Total Imports,2015 May,State,5534700
545,Total Imports,2015 June,State,5811400
546,Total Imports,2015 July,State,5765200
547,Total Imports,2015 August,State,5209400
548,Total Imports,2015 September,State,5763100
549,Total Imports,2015 October,State,6335900
550,Total Imports,2015 November,State,6196000
551,Total Imports,2015 December,State,6994200
552,Total Imports,2016 January,State,5142636
553,Total Imports,2016 February,State,5479756
554,Total Imports,2016 March,State,6998140
555,Total Imports,2016 April,State,5592160
556,Total Imports,2016 May,State,6412425
557,Total Imports,2016 June,State,6937378
558,Total Imports,2016 July,State,5737359
559,Total Imports,2016 August,State,5722818
560,Total Imports,2016 September,State,6669058
561,Total Imports,2016 October,State,5709814
562,Total Imports,2016 November,State,7246265
563,Total Imports,2016 December,State,6648506
564,Total Imports,2017 January,State,7197382
565,Total Imports,2017 February,State,6533128
566,Total Imports,2017 March,State,7250852
567,Total Imports,2017 April,State,6850915
568,Total Imports,2017 May,State,7618168
569,Total Imports,2017 June,State,7272068
570,Total Imports,2017 July,State,5685108
571,Total Imports,2017 August,State,6327901
572,Total Imports,2017 September,State,6533000
573,Total Imports,2017 October,State,7035569
574,Total Imports,2017 November,State,7423436
575,Total Imports,2017 December,State,7215660
576,Total Imports,2018 January,State,6541325
577,Total Imports,2018 February,State,6426150
578,Total Imports,2018 March,State,7132042
579,Total Imports,2018 April,State,6605711
580,Total Imports,2018 May,State,6926519
581,Total Imports,2018 June,State,8355135
582,Total Imports,2018 July,State,7720689
583,Total Imports,2018 August,State,7248464
584,Total Imports,2018 September,State,8253664
585,Total Imports,2018 October,State,8993769
586,Total Imports,2018 November,State,8872337
587,Total Imports,2018 December,State,8915285
588,Total Imports,2019 January,State,7661646
589,Total Imports,2019 February,State,6526935
590,Total Imports,2019 March,State,7658256
591,Total Imports,2019 April,State,7340631
592,Total Imports,2019 May,State,7356308
593,Total Imports,2019 June,State,7461440
594,Total Imports,2019 July,State,7978400
595,Total Imports,2019 August,State,6735251
596,Total Imports,2019 September,State,7364510
597,Total Imports,2019 October,State,8613469
598,Total Imports,2019 November,State,7844403
599,Total Imports,2019 December,State,8477816
600,Total Imports,2020 January,State,7107675
601,Total Imports,2020 February,State,7970852
602,Total Imports,2020 March,State,6667067
603,Total Imports,2020 April,State,5570580
604,Total Imports,2020 May,State,6152961
605,Total Imports,2020 June,State,6749713
606,Total Imports,2020 July,State,8378109
607,Total Imports,2020 August,State,5998807
608,Total Imports,2020 September,State,6463784
609,Total Imports,2020 October,State,7659710
610,Total Imports,2020 November,State,9342592
611,Total Imports,2020 December,State,9003582
612,Total Imports,2021 January,State,6440675
613,Total Imports,2021 February,State,6646738
614,Total Imports,2021 March,State,9219147
615,Total Imports,2021 April,State,8248848
616,Total Imports,2021 May,State,8759024
617,Total Imports,2021 June,State,9889444
618,Total Imports,2021 July,State,7796139
619,Total Imports,2021 August,State,7803153
620,Total Imports,2021 September,State,8465947
621,Total Imports,2021 October,State,8993925
622,Total Imports,2021 November,State,10402523
623,Total Imports,2021 December,State,11122927
624,Total Imports,2022 January,State,9356830
625,Total Imports,2022 February,State,9068063
626,Total Imports,2022 March,State,12007832
627,Total Imports,2022 April,State,11283733
628,Total Imports,2022 May,State,13271013
629,Total Imports,2022 June,State,12830338
630,Total Imports,2022 July,State,10702207
631,Total Imports,2022 August,State,12473804
632,Total Imports,2022 September,State,12807154
633,Total Imports,2022 October,State,12507608
634,Total Imports,2022 November,State,12128166
635,Total Imports,2022 December,State,12600678
636,Total Imports,2023 January,State,11505022
637,Total Imports,2023 February,State,11159207
638,Total Imports,2023 March,State,11885914
639,Total Imports,2023 April,State,10808133
640,Total Imports,2023 May,State,12383767
641,Total Imports,2023 June,State,12428632
642,Total Imports,2023 July,State,10846819
643,Total Imports,2023 August,State,9887974
644,Total Imports,2023 September,State,11208793
645,Total Imports,2023 October,State,10919944
646,Total Imports,2023 November,State,12367438
647,Total Exports,1970 January,State,46968
648,Total Exports,1970 February,State,45507
649,Total Exports,1970 March,State,45368
650,Total Exports,1970 April,State,46853
651,Total Exports,1970 May,State,51310
652,Total Exports,1970 June,State,46130
653,Total Exports,1970 July,State,48428
654,Total Exports,1970 August,State,44885
655,Total Exports,1970 September,State,55069
656,Total Exports,1970 October,State,58091
657,Total Exports,1970 November,State,53596
658,Total Exports,1970 December,State,50485
659,Total Exports,1971 January,State,54713
660,Total Exports,1971 February,State,48631
661,Total Exports,1971 March,State,55729
662,Total Exports,1971 April,State,50307
663,Total Exports,1971 May,State,60389
664,Total Exports,1971 June,State,60909
665,Total Exports,1971 July,State,57341
666,Total Exports,1971 August,State,51297
667,Total Exports,1971 September,State,61265
668,Total Exports,1971 October,State,57303
669,Total Exports,1971 November,State,58840
670,Total Exports,1971 December,State,64465
671,Total Exports,1972 January,State,52697
672,Total Exports,1972 February,State,58475
673,Total Exports,1972 March,State,64673
674,Total Exports,1972 April,State,50297
675,Total Exports,1972 May,State,69265
676,Total Exports,1972 June,State,71193
677,Total Exports,1972 July,State,71842
678,Total Exports,1972 August,State,63488
679,Total Exports,1972 September,State,80015
680,Total Exports,1972 October,State,82591
681,Total Exports,1972 November,State,85418
682,Total Exports,1972 December,State,68899
683,Total Exports,1973 January,State,71052
684,Total Exports,1973 February,State,77684
685,Total Exports,1973 March,State,89246
686,Total Exports,1973 April,State,75600
687,Total Exports,1973 May,State,96972
688,Total Exports,1973 June,State,89957
689,Total Exports,1973 July,State,91684
690,Total Exports,1973 August,State,87128
691,Total Exports,1973 September,State,99932
692,Total Exports,1973 October,State,115150
693,Total Exports,1973 November,State,109322
694,Total Exports,1973 December,State,99084
695,Total Exports,1974 January,State,101246
696,Total Exports,1974 February,State,105668
697,Total Exports,1974 March,State,110339
698,Total Exports,1974 April,State,106050
699,Total Exports,1974 May,State,120860
700,Total Exports,1974 June,State,115982
701,Total Exports,1974 July,State,130772
702,Total Exports,1974 August,State,109246
703,Total Exports,1974 September,State,118948
704,Total Exports,1974 October,State,136384
705,Total Exports,1974 November,State,141376
706,Total Exports,1974 December,State,133714
707,Total Exports,1975 January,State,142776
708,Total Exports,1975 February,State,134752
709,Total Exports,1975 March,State,116765
710,Total Exports,1975 April,State,136988
711,Total Exports,1975 May,State,157395
712,Total Exports,1975 June,State,128019
713,Total Exports,1975 July,State,168719
714,Total Exports,1975 August,State,136750
715,Total Exports,1975 September,State,171599
716,Total Exports,1975 October,State,216625
717,Total Exports,1975 November,State,177268
718,Total Exports,1975 December,State,144070
719,Total Exports,1976 January,State,138139
720,Total Exports,1976 February,State,149537
721,Total Exports,1976 March,State,157089
722,Total Exports,1976 April,State,188966
723,Total Exports,1976 May,State,201374
724,Total Exports,1976 June,State,194446
725,Total Exports,1976 July,State,203590
726,Total Exports,1976 August,State,162286
727,Total Exports,1976 September,State,237860
728,Total Exports,1976 October,State,268995
729,Total Exports,1976 November,State,248591
730,Total Exports,1976 December,State,209003
731,Total Exports,1977 January,State,195062
732,Total Exports,1977 February,State,226959
733,Total Exports,1977 March,State,242511
734,Total Exports,1977 April,State,236208
735,Total Exports,1977 May,State,262167
736,Total Exports,1977 June,State,262386
737,Total Exports,1977 July,State,310465
738,Total Exports,1977 August,State,256504
739,Total Exports,1977 September,State,307042
740,Total Exports,1977 October,State,291320
741,Total Exports,1977 November,State,322439
742,Total Exports,1977 December,State,284355
743,Total Exports,1978 January,State,279532
744,Total Exports,1978 February,State,255897
745,Total Exports,1978 March,State,298368
746,Total Exports,1978 April,State,304971
747,Total Exports,1978 May,State,314011
748,Total Exports,1978 June,State,312696
749,Total Exports,1978 July,State,325396
750,Total Exports,1978 August,State,275660
751,Total Exports,1978 September,State,360085
