Statistic,Quarter,Sector,value
GVA at Current Basic Prices,2001Q4,All sectors,27788
GVA at Current Basic Prices,2001Q4,Foreign-owned multinational enterprise dominated,7279
GVA at Current Basic Prices,2001Q4,Other sectors excluding the foreign-owned multinational enterprise dominated sector,20509
GVA at Current Basic Prices,2002Q1,All sectors,28908
GVA at Current Basic Prices,2002Q1,Foreign-owned multinational enterprise dominated,7947
GVA at Current Basic Prices,2002Q1,Other sectors excluding the foreign-owned multinational enterprise dominated sector,20962
GVA at Current Basic Prices,2002Q2,All sectors,30918
GVA at Current Basic Prices,2002Q2,Foreign-owned multinational enterprise dominated,8778
GVA at Current Basic Prices,2002Q2,Other sectors excluding the foreign-owned multinational enterprise dominated sector,22141
GVA at Current Basic Prices,2002Q3,All sectors,29735
GVA at Current Basic Prices,2002Q3,Foreign-owned multinational enterprise dominated,7752
GVA at Current Basic Prices,2002Q3,Other sectors excluding the foreign-owned multinational enterprise dominated sector,21983
GVA at Current Basic Prices,2002Q4,All sectors,31043
GVA at Current Basic Prices,2002Q4,Foreign-owned multinational enterprise dominated,8545
GVA at Current Basic Prices,2002Q4,Other sectors excluding the foreign-owned multinational enterprise dominated sector,22498
GVA at Current Basic Prices,2003Q1,All sectors,30952
GVA at Current Basic Prices,2003Q1,Foreign-owned multinational enterprise dominated,7357
GVA at Current Basic Prices,2003Q1,Other sectors excluding the foreign-owned multinational enterprise dominated sector,23595
GVA at Current Basic Prices,2003Q2,All sectors,32738
GVA at Current Basic Prices,2003Q2,Foreign-owned multinational enterprise dominated,7984
GVA at Current Basic Prices,2003Q2,Other sectors excluding the foreign-owned multinational enterprise dominated sector,24754
GVA at Current Basic Prices,2003Q3,All sectors,31350
GVA at Current Basic Prices,2003Q3,Foreign-owned multinational enterprise dominated,6274
GVA at Current Basic Prices,2003Q3,Other sectors excluding the foreign-owned multinational enterprise dominated sector,25076
GVA at Current Basic Prices,2003Q4,All sectors,33948
GVA at Current Basic Prices,2003Q4,Foreign-owned multinational enterprise dominated,8530
GVA at Current Basic Prices,2003Q4,Other sectors excluding the foreign-owned multinational enterprise dominated sector,25417
GVA at Current Basic Prices,2004Q1,All sectors,33778
GVA at Current Basic Prices,2004Q1,Foreign-owned multinational enterprise dominated,7667
GVA at Current Basic Prices,2004Q1,Other sectors excluding the foreign-owned multinational enterprise dominated sector,26111
GVA at Current Basic Prices,2004Q2,All sectors,35276
GVA at Current Basic Prices,2004Q2,Foreign-owned multinational enterprise dominated,8051
GVA at Current Basic Prices,2004Q2,Other sectors excluding the foreign-owned multinational enterprise dominated sector,27224
GVA at Current Basic Prices,2004Q3,All sectors,33109
GVA at Current Basic Prices,2004Q3,Foreign-owned multinational enterprise dominated,6479
GVA at Current Basic Prices,2004Q3,Other sectors excluding the foreign-owned multinational enterprise dominated sector,26631
GVA at Current Basic Prices,2004Q4,All sectors,35266
GVA at Current Basic Prices,2004Q4,Foreign-owned multinational enterprise dominated,8008
GVA at Current Basic Prices,2004Q4,Other sectors excluding the foreign-owned multinational enterprise dominated sector,27258
GVA at Current Basic Prices,2005Q1,All sectors,36517
GVA at Current Basic Prices,2005Q1,Foreign-owned multinational enterprise dominated,8048
GVA at Current Basic Prices,2005Q1,Other sectors excluding the foreign-owned multinational enterprise dominated sector,28469
GVA at Current Basic Prices,2005Q2,All sectors,38074
GVA at Current Basic Prices,2005Q2,Foreign-owned multinational enterprise dominated,8010
GVA at Current Basic Prices,2005Q2,Other sectors excluding the foreign-owned multinational enterprise dominated sector,30064
GVA at Current Basic Prices,2005Q3,All sectors,36432
GVA at Current Basic Prices,2005Q3,Foreign-owned multinational enterprise dominated,6741
GVA at Current Basic Prices,2005Q3,Other sectors excluding the foreign-owned multinational enterprise dominated sector,29691
GVA at Current Basic Prices,2005Q4,All sectors,38500
GVA at Current Basic Prices,2005Q4,Foreign-owned multinational enterprise dominated,7966
GVA at Current Basic Prices,2005Q4,Other sectors excluding the foreign-owned multinational enterprise dominated sector,30534
GVA at Current Basic Prices,2006Q1,All sectors,39733
GVA at Current Basic Prices,2006Q1,Foreign-owned multinational enterprise dominated,7453
GVA at Current Basic Prices,2006Q1,Other sectors excluding the foreign-owned multinational enterprise dominated sector,32279
GVA at Current Basic Prices,2006Q2,All sectors,41429
GVA at Current Basic Prices,2006Q2,Foreign-owned multinational enterprise dominated,8500
GVA at Current Basic Prices,2006Q2,Other sectors excluding the foreign-owned multinational enterprise dominated sector,32929
GVA at Current Basic Prices,2006Q3,All sectors,39616
GVA at Current Basic Prices,2006Q3,Foreign-owned multinational enterprise dominated,7358
GVA at Current Basic Prices,2006Q3,Other sectors excluding the foreign-owned multinational enterprise dominated sector,32258
GVA at Current Basic Prices,2006Q4,All sectors,41800
GVA at Current Basic Prices,2006Q4,Foreign-owned multinational enterprise dominated,7578
GVA at Current Basic Prices,2006Q4,Other sectors excluding the foreign-owned multinational enterprise dominated sector,34222
GVA at Current Basic Prices,2007Q1,All sectors,43362
GVA at Current Basic Prices,2007Q1,Foreign-owned multinational enterprise dominated,8892
GVA at Current Basic Prices,2007Q1,Other sectors excluding the foreign-owned multinational enterprise dominated sector,34470
GVA at Current Basic Prices,2007Q2,All sectors,44364
GVA at Current Basic Prices,2007Q2,Foreign-owned multinational enterprise dominated,8254
GVA at Current Basic Prices,2007Q2,Other sectors excluding the foreign-owned multinational enterprise dominated sector,36110
GVA at Current Basic Prices,2007Q3,All sectors,42894
GVA at Current Basic Prices,2007Q3,Foreign-owned multinational enterprise dominated,7208
GVA at Current Basic Prices,2007Q3,Other sectors excluding the foreign-owned multinational enterprise dominated sector,35686
GVA at Current Basic Prices,2007Q4,All sectors,44445
GVA at Current Basic Prices,2007Q4,Foreign-owned multinational enterprise dominated,8400
GVA at Current Basic Prices,2007Q4,Other sectors excluding the foreign-owned multinational enterprise dominated sector,36046
GVA at Current Basic Prices,2008Q1,All sectors,42639
GVA at Current Basic Prices,2008Q1,Foreign-owned multinational enterprise dominated,8710
GVA at Current Basic Prices,2008Q1,Other sectors excluding the foreign-owned multinational enterprise dominated sector,33929
